Exred_mean,Saturatoin_mean,field19
-5.4444447,0.58765954,negative
-12.222222,0.39835298,negative
0,0,negative
-10.777778,0.39643326,negative
-21.88889,0.31478265,negative
-16.88889,0.100709505,negative
-6.111111,0.5942257,negative
0.11111111,0.39415666,positive
-9.444445,0.3588616,negative
-40.666668,0.25913006,negative
-7.2222223,0.9543651,negative
-4.3333335,0.4155243,positive
-40.88889,0.27150124,negative
-10.444445,0.7899301,negative
-15.111111,0.2956214,negative
-24.777779,0.46491185,negative
-20.222221,0.32401717,negative
-8.222222,0.23234288,negative
-14.888889,0.34703225,negative
-2.1111112,1,negative
-7.2222223,0.93570626,negative
-14.777778,0.34575516,negative
-10.888889,0.90709877,negative
-19.333334,0.30018225,negative
-0.33333334,0.43785483,positive
3.6666667,0.55180776,positive
-18.777779,0.26677614,negative
0,0,negative
-8.333333,0.3152556,negative
-10,0.27036038,negative
4.5555553,0.39890292,positive
-47.666668,0.36217153,negative
-7.5555553,0.904321,negative
-16.555555,0.6957549,negative
-39.77778,0.23908533,negative
-1.7777778,0.43048432,positive
-8.222222,0.58956474,negative
-11.333333,0.31536263,negative
-6.888889,0.57276654,negative
-40.444443,0.2846535,negative
-22,0.30925295,negative
-39.444443,0.25415963,negative
-9.666667,0.34003016,negative
-15.111111,0.2736466,negative
-35.11111,0.19609308,negative
-16.555555,0.25469732,negative
-8,0.5633903,negative
-6.111111,0.2144562,negative
-20.11111,0.30745777,negative
-19,0.27956137,negative
-8.222222,0.24472968,negative
-17.666666,0.30066735,negative
-9.222222,0.43448815,negative
4.111111,0.5564374,positive
-21.88889,0.1269675,negative
-8.888889,0.84168977,negative
-2.6666667,0.20284556,negative
3.4444444,0.5456349,positive
-30.555555,0.17935319,negative
-1.5555556,0.25185186,negative
3.6666667,0.5667989,positive
-0.8888889,0.40102458,positive
-21,0.30846536,negative
-18.333334,0.271568,negative
-12.111111,0.24983571,negative
-10.666667,0.42249063,negative
-40.88889,0.24157602,negative
-14.111111,0.6417749,negative
-13.111111,0.55917877,negative
-13.222222,0.38528243,negative
-16,0.25532874,negative
-3.8888888,0.44663557,positive
-23.444445,0.3208649,negative
-9.555555,0.4410489,negative
-19.666666,0.09277301,negative
-14.333333,0.35188085,negative
4.888889,0.6005291,positive
-0.8888889,0.8888889,negative
-7.111111,0.5185864,negative
-12.555555,0.3374935,negative
-1.1111112,0.537037,negative
-6.888889,0.8930539,negative
-38.22222,0.23814337,negative
-19,0.6183277,negative
-9,0.5692659,negative
-10.777778,0.44550914,negative
4.2222223,0.56349206,positive
-2.7777777,0.9537037,negative
-42.11111,0.26421982,negative
-43,0.32571116,negative
-4.6666665,0.9814815,negative
-19.666666,0.2570597,negative
-40.555557,0.24509327,negative
-19.11111,0.2906682,negative
-3.2222223,0.54054004,negative
-27.11111,0.32936445,negative
0.44444445,0.16335146,negative
-8.222222,0.24899939,negative
-12.333333,0.3786151,negative
0,0,negative
-40.666668,0.24145858,negative
-16.333334,0.33512673,negative
-20,0.28739437,negative
-37.444443,0.22538376,negative
-16.222221,0.5964221,negative
-15.111111,0.30003616,negative
-11.444445,0.3589904,negative
-6.2222223,0.38661182,negative
-12,0.26675764,negative
-4.3333335,0.67526454,negative
-15.888889,0.25904787,negative
-27.222221,0.30227023,negative
-8.777778,0.34430414,negative
-13.444445,0.7620489,negative
-11.111111,0.3963988,negative
-2.4444444,0.21578804,negative
-2.7777777,0.41213372,positive
-3.2222223,0.4076231,positive
-7.5555553,0.35376814,negative
-27.222221,0.16165799,negative
-43.22222,0.3215052,negative
-16.777779,0.105127536,negative
-21.222221,0.29552308,negative
-13.888889,0.33195418,negative
3,0.39465594,positive
0.33333334,0.38914663,positive
-27.777779,0.20227888,negative
-32.333332,0.17262767,negative
-13.555555,0.57700235,negative
-22.11111,0.3126096,negative
-1.5555556,0.64867723,negative
0,0,negative
-1.6666666,1,negative
-12.888889,0.32174963,negative
-14.555555,0.3024212,negative
-15.888889,0.29484537,negative
-12.777778,0.44337976,negative
-19.11111,0.3346597,negative
0,0,negative
-1.6666666,0.4004446,positive
-8.777778,0.25072145,negative
-6.7777777,0.49138823,negative
-36.88889,0.21381323,negative
-3.2222223,1,negative
4.4444447,0.56415343,positive
-15.222222,0.29773334,negative
-22.333334,0.6384555,negative
-8.444445,0.5834605,negative
-6.7777777,0.5177167,negative
-17.444445,0.2976887,negative
-1.5555556,1,negative
-4.2222223,0.44541803,negative
-14.555555,0.29197225,negative
-14,0.43934208,negative
-5.7777777,0.9861111,negative
-5.4444447,0.1993515,negative
-36.444443,0.20358202,negative
-10.333333,0.3959547,negative
-37.444443,0.22538376,negative
-30.333334,0.183109,negative
-12.444445,0.34932512,negative
-2.8888888,0.88148147,negative
-19.11111,0.30228263,negative
2.3333333,0.23141664,negative
5.3333335,0.53055555,positive
5.3333335,0.5974427,positive
-26.777779,0.16222528,negative
-15.777778,0.3026748,negative
-13.333333,0.6295031,negative
-21.333334,0.2908336,negative
-20.333334,0.29269224,negative
-39.11111,0.26811782,negative
-9,0.27147257,negative
-14.444445,0.4158355,negative
-1.4444444,0.16604693,negative
-28.11111,0.15667991,negative
-5.6666665,0.5791423,negative
-5.4444447,0.8367725,negative
-13,0.27976418,negative
-21.555555,0.30568013,negative
-16.777779,0.1045387,negative
-7.4444447,0.8272487,negative
-8,0.60978836,negative
-0.6666667,0.5277778,negative
-10.666667,0.38252184,negative
-18.777779,0.42571348,negative
-8.777778,0.2663022,negative
-15.333333,0.38142902,negative
-10.555555,0.4604365,negative
-8.444445,0.95308644,negative
-19.777779,0.3978916,negative
-15.111111,0.26862052,negative
0,0,negative
-18.11111,0.10761623,negative
-15.333333,0.3218254,negative
-2.3333333,1,negative
4.2222223,0.56349206,positive
-24.11111,0.34747013,negative
-7.6666665,0.43944263,negative
-11.777778,0.39559862,negative
-21.333334,0.33914515,negative
-9.555555,0.42423514,negative
-11.333333,0.8916084,negative
-1.4444444,1,negative
-8.888889,0.2703099,negative
-12.666667,0.7629189,negative
-47.444443,0.35133117,negative
-31,0.18565786,negative
-10.444445,0.26195785,negative
-17,0.27435303,negative
-13.555555,0.44157267,negative
0,0,negative
-33,0.18889166,negative
-44.88889,0.34790245,negative
-9,0.8086198,negative
-0.22222222,0.22222222,negative
-9.222222,0.4018332,negative
-25.222221,0.1883132,negative
-12,0.424404,negative
-4.2222223,0.43704242,positive
-0.22222222,0.39043593,positive
-9.666667,0.8749174,negative
-35.666668,0.20650265,negative
-8.888889,0.29272884,negative
-13.666667,0.44469786,negative
-25.333334,0.48906165,negative
-0.11111111,0.46200204,positive
-35.444443,0.19951604,negative
-45,0.3382884,negative
-1.1111112,0.8611111,negative
-41.666668,0.24869815,negative
-18.222221,0.27344358,negative
-8.111111,0.94481075,negative
-7.3333335,0.45092598,positive
-12.555555,0.48688295,negative
-16.222221,0.28212494,negative
-2.8888888,1,negative
-7.4444447,0.88121694,negative
-8,0.9035714,negative
0,0,negative
-9.222222,0.4305578,positive
-0.7777778,0.39658895,positive
-5.4444447,0.6037037,negative
-7.7777777,0.46275216,positive
-31.666666,0.18147528,negative
2.5555556,0.37657413,positive
-16.666666,0.29058507,negative
-0.33333334,0.38262922,positive
0,0,negative
-4.5555553,1,negative
-5.5555553,0.9517196,negative
-9,0.9114478,negative
-17.444445,0.31732458,negative
-31.11111,0.17842785,negative
-14.333333,0.58577543,negative
-23,0.31436473,negative
-5.6666665,0.5491797,negative
-9.888889,0.915376,negative
2.3333333,0.5591711,positive
4,0.5582011,positive
-13.333333,0.437078,negative
-2,0.40601462,positive
4.7777777,0.5994268,positive
3,0.60119045,positive
-11.888889,0.38988227,negative
-21.333334,0.6911226,negative
-14.111111,0.4451721,negative
-14.111111,0.6866853,negative
-8.555555,0.37887058,negative
-1.8888888,0.9814815,negative
-13.888889,0.4462137,negative
-14.222222,0.5462072,negative
-5.4444447,0.4321665,positive
-20.222221,0.12003023,negative
-12.888889,0.28574014,negative
-20.333334,0.30067223,negative
-5.5555553,0.42481935,positive
-16.222221,0.2929567,negative
-18,0.2845155,negative
-9.555555,0.63273925,negative
0,0,negative
3.6666667,0.5458554,positive
-11.555555,0.3576681,negative
4.111111,0.56371254,positive
-9.555555,0.30188268,negative
-30.666666,0.17933026,negative
-6.3333335,0.367923,negative
-22.555555,0.27834544,negative
-8.888889,0.2656978,negative
-44.22222,0.35003868,negative
-40.88889,0.2620926,negative
1.1111112,0.39992693,positive
-11.666667,0.43576914,negative
-7.5555553,0.32797024,negative
-11,0.2916751,negative
-1.4444444,1,negative
-16.11111,0.28757253,negative
-11.666667,0.6765811,negative
-38.22222,0.2767844,negative
-7.4444447,0.5339284,negative
-5.5555553,0.8292328,negative
0,0,negative
-4.6666665,0.77248675,negative
-29.444445,0.3351151,negative
-4.888889,0.48671728,negative
-9.111111,0.38645566,negative
-16.666666,0.2921254,negative
-10.333333,0.4522286,negative
-14.888889,0.29399088,negative
-10.444445,0.7721516,negative
-19.333334,0.30349702,negative
2.8888888,0.36884832,positive
-9.888889,0.42083883,negative
-9.111111,0.39798474,negative
-14.777778,0.2511938,negative
-0.7777778,0.39658895,positive
-6,0.984127,negative
-2,0.61296296,negative
-10.888889,0.2745188,negative
4,0.38875645,positive
-11.888889,0.2645714,negative
-10.888889,0.27171725,negative
-11.222222,0.40983546,negative
-14.333333,0.30344796,negative
-2.8888888,0.41776258,positive
-23.777779,0.310288,negative
6.2222223,0.39931142,positive
-16.222221,0.32560807,negative
4.6666665,0.5928131,positive
-34,0.19629721,negative
-6.6666665,0.89973545,negative
-23.222221,0.303044,negative
-14.888889,0.26555753,negative
-16.444445,0.28073832,negative
-11.222222,0.82974845,negative
-12.222222,0.30228558,negative
-43.555557,0.29752782,negative
-7.111111,0.6873016,negative
-0.5555556,0.2777778,negative
-13.222222,0.30575457,negative
-15.111111,0.30923617,negative
-6.7777777,0.4214949,positive
3.5555556,0.56613755,positive
-3.1111112,0.41573665,positive
-11.666667,0.34639803,negative
-32.22222,0.19431558,negative
-2.5555556,0.40211964,positive
-5,0.40888458,negative
-3.3333333,0.62132436,negative
-10.888889,0.7788625,negative
-15.111111,0.2956001,negative
4.6666665,0.54012346,positive
-47.444443,0.3384867,negative
-4.6666665,0.9777778,negative
-19.333334,0.11121766,negative
-2.2222223,0.8888889,negative
-7.4444447,0.53894526,negative
-24.444445,0.71822083,negative
-41.88889,0.26643977,negative
-4.2222223,1,negative
-15.222222,0.39203387,negative
-4,0.420823,positive
-15.111111,0.3067255,negative
-1.4444444,0.46406928,negative
-32.444443,0.22295359,negative
5.2222223,0.5813492,positive
4.6666665,0.537017,positive
-11.222222,0.53354967,negative
-1.5555556,1,negative
-20,0.2963139,negative
0.6666667,0.40645057,positive
-0.7777778,0.5555556,negative
-3.8888888,1,negative
-12.666667,0.29042712,negative
-4,0.64367795,positive
-9.888889,0.3211389,negative
-6.5555553,0.91534394,negative
-28.555555,0.20829348,negative
-2.6666667,0.42553785,positive
-5.111111,0.984127,negative
-11.777778,0.27505925,negative
-6.2222223,0.4223002,positive
-22.444445,0.29722086,negative
-0.11111111,0.11111111,negative
-15.888889,0.2898632,negative
-22.444445,0.28936154,negative
-18.11111,0.32273299,negative
-13.888889,0.29278436,negative
-19.88889,0.32108474,negative
-30.666666,0.17250364,negative
-30.666666,0.17250364,negative
-10.444445,0.59776545,negative
-1.5555556,0.25185186,negative
-2.5555556,0.18437627,negative
-6.3333335,0.66534394,negative
-7.5555553,0.80665785,negative
-20.11111,0.3140923,negative
-8.555555,0.3748065,negative
-21.333334,0.31303197,negative
-32.88889,0.18426341,negative
3,0.53858024,positive
-35.444443,0.20414667,negative
-16.666666,0.26498562,negative
4.7777777,0.5376984,positive
-6.2222223,0.38661182,negative
-1.8888888,1,negative
-15.888889,0.29484537,negative
-14.444445,0.2805935,negative
-10.888889,0.8228925,negative
-16.11111,0.337989,negative
-1.5555556,1,negative
-8.333333,0.25295278,negative
-5.2222223,0.8153439,negative
-1.2222222,0.75,negative
-9.555555,0.45836443,negative
-7.2222223,0.322069,negative
-0.44444445,0.22222222,negative
-22,0.17412825,negative
-35.444443,0.20767513,negative
-0.5555556,0.11574074,negative
-24.555555,0.3377558,negative
-33.333332,0.18721664,negative
-16.333334,0.2902986,negative
-2.6666667,0.43039906,positive
-37.77778,0.22387896,negative
-13.888889,0.30616122,negative
-14.888889,0.25936732,negative
-6.7777777,0.7329263,negative
-19.333334,0.29965425,negative
-18.666666,0.45423168,negative
-21,0.30879894,negative
-8.222222,0.34176603,negative
4.5555553,0.52954143,positive
-9.222222,0.3503698,negative
-2,1,negative
4.7777777,0.40864444,positive
-21.555555,0.30690557,negative
-9,0.33542147,negative
-4.111111,0.330345,negative
-6.4444447,0.6248002,negative
4,0.53791887,positive
-4.2222223,0.44541803,negative
-30.444445,0.18736246,negative
-18.666666,0.29754734,negative
-5,0.9777778,negative
-7.5555553,0.3273603,negative
-38.22222,0.2767844,negative
0.44444445,0.42150384,positive
-11.888889,0.4148072,negative
-30.222221,0.32548746,negative
-0.7777778,0.33333334,negative
-4,0.912963,negative
-19.777779,0.28752622,negative
-2.2222223,0.42459705,positive
-8.111111,0.42024404,negative
-10.888889,0.27171725,negative
-8.666667,0.2849537,negative
-1.6666666,0.30902183,negative
-11.555555,0.3880957,negative
-0.44444445,0.39170122,positive
1.5555556,0.4100093,positive
-13.555555,0.29599184,negative
3.3333333,0.5674603,positive
-3.6666667,0.4405804,negative
0,0.40815476,positive
-15.666667,0.28958246,negative
-8,0.8646644,negative
-39.11111,0.23576024,negative
-7.888889,0.24779001,negative
4.6666665,0.5674603,positive
-16,0.28921792,negative
-8,0.44597858,negative
-5.2222223,0.79960316,negative
-41.444443,0.24777646,negative
1.8888888,0.41026655,positive
-8.111111,0.27147377,negative
5.888889,0.646164,positive
-12.555555,0.33188802,negative
-7.5555553,0.28569087,negative
-13.222222,0.39300215,negative
-14.333333,0.28666258,negative
-22.777779,0.17969723,negative
-20.88889,0.29966387,negative
-20.88889,0.3098264,negative
-14.888889,0.25936732,negative
-0.5555556,0.19104938,negative
-24.555555,0.19805206,negative
-14.333333,0.26505277,negative
-15.888889,0.7364309,negative
-15.444445,0.2598418,negative
5.111111,0.5299824,positive
-12.333333,0.39236423,negative
-25.444445,0.14110672,negative
-10,0.31808975,negative
-9.111111,0.91089994,negative
-18.88889,0.5142537,negative
-5.3333335,0.43507022,positive
-43.444443,0.29958275,negative
-20.555555,0.31361094,negative
-8.777778,0.5009438,negative
-9.333333,0.39533988,negative
5.6666665,0.37883934,positive
-10.111111,0.47394413,negative
-11.333333,0.24967904,negative
-22.666666,0.3501687,negative
-14.111111,0.29078844,negative
-5.7777777,0.52432793,negative
-10.777778,0.4503053,positive
-14.333333,0.25975996,negative
-11.555555,0.2591888,negative
-37.444443,0.21420376,negative
-8,0.42939755,negative
-4.2222223,0.4463545,positive
-23.666666,0.45878506,negative
-43.22222,0.33041757,negative
-14.666667,0.29222646,negative
-14.555555,0.2570141,negative
-4.111111,1,negative
-3.1111112,0.984127,negative
5.2222223,0.59325397,positive
-13.222222,0.30575457,negative
-14.333333,0.28555444,negative
-9.777778,0.27866945,negative
-33.666668,0.18952668,negative
-27.666666,0.16561614,negative
0,0,negative
-18.666666,0.46343043,negative
-36.555557,0.21380861,negative
-15.222222,0.2924689,negative
-13.222222,0.3074441,negative
4,0.5421076,positive
-35.333332,0.21148404,negative
0,0,negative
-1.1111112,1,negative
-6,0.29914993,negative
-15.555555,0.3009182,negative
-6.4444447,0.48659843,negative
-6.111111,0.42265132,positive
-14.888889,0.09847229,negative
-43.666668,0.32009703,negative
-7.6666665,0.29896173,negative
-15.333333,0.28913772,negative
-8.555555,0.7916667,negative
-9.222222,0.44611752,positive
-16.777779,0.24899773,negative
2.7777777,0.475,positive
-28.666666,0.15213422,negative
-12,0.5488248,negative
-5,0.962963,negative
-3.4444444,1,negative
-35.11111,0.2027078,negative
-12.555555,0.31548372,negative
3.1111112,0.56415343,positive
-46.11111,0.27970007,negative
-9.222222,0.34748083,negative
-35.88889,0.21353829,negative
-13.666667,0.36371678,negative
-11.888889,0.32728764,negative
-11.555555,0.3969092,negative
-41.555557,0.2580791,negative
-10.777778,0.43137968,negative
-6.2222223,0.6410182,negative
-6.888889,0.8435185,negative
-19.444445,0.3158616,negative
-4.6666665,0.82685184,negative
-11.111111,0.30079645,negative
-22.555555,0.30158615,negative
4.888889,0.6301587,positive
-1.6666666,0.41629943,positive
-7.111111,0.85319865,negative
-18.222221,0.11169542,negative
2.3333333,0.38127685,positive
-20.11111,0.26937962,negative
-7,0.47282594,negative
-3.3333333,1,negative
-16.222221,0.26721877,negative
-27.333334,0.32671866,negative
-11.666667,0.43971756,negative
-4,1,negative
-3.4444444,0.20066153,negative
-7,0.5918262,negative
-13.111111,0.49969473,negative
-43.77778,0.26204562,negative
-19.11111,0.38903406,negative
4.4444447,0.45030865,positive
-14.666667,0.65204316,negative
-4.3333335,0.62065095,negative
-1.3333334,0.6666667,negative
-13.555555,0.29599184,negative
-4,0.9238095,negative
-18.333334,0.31428084,negative
-8.111111,0.87222224,negative
-6.3333335,0.8755291,negative
-25,0.1971141,negative
-12.666667,0.4313206,negative
-7,0.4315472,positive
-39,0.26639053,negative
-19.88889,0.29352704,negative
-6,0.4324709,positive
-5.6666665,0.6392537,negative
-34,0.1924883,negative
-10.555555,0.5041609,negative
-9.111111,0.40134683,negative
-11.555555,0.3033766,negative
0.6666667,0.17869009,negative
-11.444445,0.39488608,negative
-22.777779,0.36128438,negative
4.2222223,0.3768521,positive
-31.777779,0.1818206,negative
6.7777777,0.6230159,positive
-33.333332,0.19062504,negative
-11.777778,0.2909818,negative
-37.333332,0.2367968,negative
-15.333333,0.29805613,negative
-39.333332,0.26589924,negative
-10,0.45815158,negative
-16.333334,0.28153613,negative
-14.333333,0.48024568,negative
-9,0.26919183,negative
-7.6666665,0.31533822,negative
3.5555556,0.5440917,positive
-6,0.5358197,negative
3.8888888,0.5438712,positive
-9.777778,0.42162097,negative
-11.888889,0.48998156,negative
-31.222221,0.19091243,negative
-4.111111,0.40474883,negative
-5.3333335,0.9111552,negative
-43.77778,0.26204562,negative
-8.666667,0.26524833,negative
-6.111111,0.9876543,negative
-41.444443,0.24777646,negative
-18.333334,0.28965253,negative
-6.888889,0.78617525,negative
-46.77778,0.3492103,negative
-2.3333333,1,negative
0,0,negative
-17.555555,0.2962514,negative
-14.444445,0.25336418,negative
-8.777778,0.25072145,negative
-7,0.6703704,negative
-11.444445,0.27838665,negative
-14.333333,0.28798285,negative
-8.555555,0.6084366,negative
-2.5555556,0.51256585,negative
-9.333333,0.4427882,positive
-19.444445,0.3128917,negative
-10.222222,0.3802916,negative
-20.777779,0.29368052,negative
-25.11111,0.3172057,negative
-20.666666,0.124646865,negative
-22.88889,0.29814535,negative
-18.777779,0.29530448,negative
-10,0.27036038,negative
-28.88889,0.3169049,negative
-20,0.50256854,negative
-20.11111,0.10009145,negative
-34,0.20236506,negative
-34.444443,0.62924504,negative
-21.333334,0.31203708,negative
-12.888889,0.4747726,positive
-5,0.87610227,negative
-2.1111112,0.41941756,positive
-12.555555,0.47722223,negative
4,0.56150794,positive
2.6666667,0.41030627,positive
-2.8888888,0.41776258,positive
-6.6666665,0.89973545,negative
-9.777778,0.36523178,negative
-4.7777777,1,negative
-8.555555,0.2246171,negative
3.7777777,0.65555555,positive
4.7777777,0.5740741,positive
-17.777779,0.30964476,negative
-9.111111,0.8912177,negative
-11.777778,0.47304532,negative
-20.777779,0.39882392,negative
-15.666667,0.2983021,negative
-46.88889,0.30673698,negative
-39.22222,0.27479535,negative
-10.444445,0.24982914,negative
0.8888889,0.7156085,positive
3.4444444,0.37431172,positive
5.6666665,0.555776,positive
-2.3333333,0.39844838,positive
-1.6666666,0.9722222,negative
-11.222222,0.28044972,negative
-4.4444447,0.56125355,negative
-14.888889,0.09518399,negative
-4,0.5783389,positive
-7.888889,0.6359381,negative
4,0.6018519,positive
-9.888889,0.29079577,negative
-1.5555556,1,negative
-13.555555,0.2970959,negative
-11.555555,0.4187123,negative
3.7777777,0.38838536,positive
-35.333332,0.20012376,negative
-3,1,negative
-17,0.2970586,negative
4.888889,0.6005291,positive
-2.6666667,1,negative
-2,1,negative
-30.666666,0.18262304,negative
-13.777778,0.63446367,negative
-19.555555,0.66081303,negative
-2.3333333,0.40502182,positive
-20.222221,0.3230207,negative
-15.777778,0.29027814,negative
-16.777779,0.27896288,negative
-10.111111,0.41640097,negative
-16.666666,0.31229463,negative
-0.44444445,0.41920358,positive
-2,1,negative
-3.4444444,0.20324889,negative
-14.333333,0.3206125,negative
-15.666667,0.2901475,negative
-10.777778,0.32921228,negative
-16.555555,0.09626316,negative
-13.666667,0.25220254,negative
-7.2222223,0.9861111,negative
-29.444445,0.33281505,negative
-5.888889,0.59312356,negative
-13.111111,0.45902446,negative
-6.888889,0.5872341,negative
0,0,negative
-0.33333334,0.22222222,negative
-26,0.30628127,negative
-2.2222223,0.8388889,negative
-23.444445,0.3444093,negative
0,0.14661072,negative
-8.777778,0.329382,negative
-6.6666665,0.90899473,negative
-3.2222223,0.96581197,negative
-6.2222223,0.46432462,negative
-14.111111,0.40952933,negative
-3.6666667,0.83227515,negative
-7.3333335,0.7252886,negative
-15.111111,0.33861881,negative
-2.3333333,0.18173215,negative
-10.666667,0.7054819,negative
-14,0.30452195,negative
-19.555555,0.113055356,negative
-12.111111,0.46630767,negative
-10,0.6206427,negative
-12.444445,0.816909,negative
-13.555555,0.77986646,negative
-28.11111,0.32012162,negative
-10.444445,0.31617704,negative
-1.5555556,0.31222734,negative
-22,0.5952822,negative
-18,0.2935857,negative
-7.5555553,0.48873982,negative
-18.88889,0.694627,negative
-1.6666666,0.5555556,negative
-5.888889,0.70975137,negative
-5.4444447,0.5681624,negative
-9.333333,0.38969478,negative
-17.222221,0.41181073,negative
-18.222221,0.298124,negative
-11,0.40593585,negative
-13.555555,0.2753682,negative
-6.888889,0.4987573,negative
-9.333333,0.35402012,negative
-16.555555,0.30312124,negative
-30.333334,0.17962871,negative
-8.666667,0.40343738,negative
-0.6666667,0.41704598,positive
0,0.38836312,positive
-0.6666667,0.6666667,negative
-3.3333333,0.96825397,negative
-6.4444447,0.39944676,negative
-1.3333334,0.423121,positive
-33.333332,0.19062504,negative
0,0,negative
4.3333335,0.5326279,positive
-11.222222,0.27987626,negative
0.8888889,0.4148357,positive
-30.666666,0.22336383,negative
-9,0.7695767,negative
-3.4444444,0.440354,positive
4.6666665,0.537017,positive
2.8888888,0.36884832,positive
-13.444445,0.26456326,negative
-39.77778,0.24193405,negative
4.3333335,0.571649,positive
3.7777777,0.48159373,positive
-5.7777777,0.65115255,negative
0,0,negative
-0.8888889,0.39879107,positive
4.5555553,0.52954143,positive
-13.444445,0.41676173,negative
-33.333332,0.19541612,negative
-11.666667,0.28328654,negative
-1.4444444,1,negative
-7.111111,0.34426668,negative
-0.11111111,0.41791564,positive
-3.8888888,1,negative
-41.88889,0.25886914,negative
-18,0.32463875,negative
-2.2222223,0.5509259,negative
-49.11111,0.37009746,negative
-13.333333,0.27882218,negative
-17.88889,0.73926485,negative
-15.222222,0.34778315,negative
-42.444443,0.6511328,negative
-0.8888889,0.15409406,negative
-18.222221,0.31236586,negative
-24,0.32390848,negative
-0.7777778,0.7777778,negative
-10.777778,0.28057775,negative
-5.111111,0.17822558,negative
-38.333332,0.2473368,negative
-4.2222223,1,negative
-16,0.34911168,negative
-44.88889,0.29960132,negative
4.5555553,0.6111111,positive
4.7777777,0.67407405,positive
-8.555555,0.8644824,negative
-31.333334,0.18850341,negative
-19.666666,0.3181372,negative
-1.1111112,0.40920117,positive
0,0,negative
-17,0.29632849,negative
-34.666668,0.20580281,negative
-27.444445,0.1651921,negative
-34,0.19128962,negative
-11,0.32900727,negative
-9.333333,0.25044397,negative
-20.555555,0.31361094,negative
-14.777778,0.30794257,negative
-28.444445,0.16648434,negative
-8.444445,0.38490298,negative
1.8888888,0.39032918,positive
-13,0.3324073,negative
-3.8888888,0.58261186,negative
-8.444445,0.3938387,negative
-17,0.30253935,negative
-20.88889,0.3069927,negative
-6.6666665,0.6175926,negative
-13.555555,0.27710575,negative
-14.444445,0.6281558,negative
-33,0.18402189,negative
-14.222222,0.2808298,negative
-9.888889,0.915376,negative
-7.5555553,0.41393992,positive
-19.555555,0.113055356,negative
-15.555555,0.3037197,negative
-6.888889,0.3057855,negative
-0.11111111,0.11111111,negative
0,0,negative
9.888889,0.56192696,negative
-3.4444444,1,negative
-16.222221,0.29465598,negative
-1.8888888,0.2045359,negative
5.6666665,0.6137566,positive
-10.333333,0.426777,negative
-23.666666,0.27917594,negative
-12,0.42215064,negative
-20.444445,0.3173622,negative
0,0,negative
-12.777778,0.40954432,negative
-31.444445,0.18207318,negative
-9,0.27147257,negative
3.3333333,0.5643298,positive
-7,0.65589225,negative
-14.111111,0.29078844,negative
-2.1111112,0.22648169,negative
-7.3333335,0.837478,negative
-9,0.5437747,negative
-13.555555,0.2788862,negative
-10.444445,0.28575617,negative
-19.88889,0.29130092,negative
-6.6666665,0.44435817,negative
-3.3333333,0.88148147,negative
-7.6666665,0.22524333,negative
-3.7777777,0.44724983,positive
-21.222221,0.31700587,negative
-21,0.28533262,negative
-28.666666,0.6385408,negative
-1.2222222,0.42268896,positive
-10.333333,0.3999011,negative
-23.444445,0.12984978,negative
-5.888889,0.79907405,negative
5.2222223,0.5734127,positive
-2.8888888,1,negative
-10.444445,0.31248218,negative
-6.3333335,0.4663447,positive
-8.777778,0.9074074,negative
-1.3333334,0.70555556,negative
-6.6666665,0.44485995,positive
-36.22222,0.23221897,negative
-15.777778,0.24900064,negative
-8.333333,0.38886335,negative
-11.444445,0.843607,negative
-20,0.44774532,negative
-1.5555556,0.7777778,negative
-5.5555553,0.96141976,negative
-47.444443,0.34886265,negative
-6.888889,0.31812865,negative
-8.888889,0.8858245,negative
-22.88889,0.4837708,negative
-3.2222223,0.84973544,negative
-8.222222,0.45942742,positive
-15.777778,0.24900064,negative
-19.222221,0.45740503,negative
0.44444445,0.39496386,positive
-2.8888888,0.39949927,positive
-32.444443,0.20298976,negative
-19.11111,0.2870454,negative
-30.555555,0.18574874,negative
-11.888889,0.36529657,negative
-11.777778,0.46348011,negative
-41.666668,0.30905932,negative
-4.888889,0.44070765,positive
-8.111111,0.94481075,negative
-16.555555,0.28481323,negative
-1.1111112,0.8888889,negative
-12,0.29696295,negative
5,0.53858024,positive
-25.555555,0.6812664,negative
-10,0.24660505,negative
-7.3333335,0.9356702,negative
-20,0.4681647,negative
-5.4444447,0.4302431,negative
-8.111111,0.42024404,negative
-15.777778,0.29027814,negative
4.6666665,0.56415343,positive
-12.222222,0.5331259,negative
-21,0.26725835,negative
-17,0.35474625,negative
-21.11111,0.41732758,negative
-12.444445,0.41721755,negative
-15.888889,0.096352234,negative
-2.2222223,0.42220616,positive
4.7777777,0.5438712,positive
-9.111111,0.91089994,negative
-13.555555,0.57700235,negative
4.6666665,0.587963,positive
-1.5555556,0.85555553,negative
-4,0.64629805,negative
-22,0.4415065,negative
-38.11111,0.23688999,negative
-23,0.18114924,negative
-25.333334,0.14413407,negative
-20.555555,0.30798513,negative
-13.111111,0.2781955,negative
-10.111111,0.28296396,negative
-1.1111112,0.8888889,negative
-20.88889,0.29802468,negative
-20.666666,0.30299366,negative
1.6666666,0.5436508,positive
-6.2222223,0.5268813,negative
-16.333334,0.2689782,negative
-7.4444447,0.23309669,negative
-43.444443,0.2540513,negative
-14.333333,0.29654688,negative
-4.2222223,0.45767197,negative
-12.222222,0.4203661,negative
-19,0.11873322,negative
-10.333333,0.45764294,negative
-13.888889,0.4462137,negative
-22.88889,0.4837708,negative
-14.444445,0.44151622,negative
