Saturatoin_mean,field19
0.6703704,negative
0.27838665,negative
0.28798285,negative
0.6084366,negative
0.51256585,negative
0.4427882,positive
0.3128917,negative
0.3802916,negative
0.29368052,negative
0.3172057,negative
0.124646865,negative
0.29814535,negative
0.29530448,negative
0.27036038,negative
0.3169049,negative
0.50256854,negative
0.10009145,negative
0.20236506,negative
0.62924504,negative
0.31203708,negative
0.4747726,positive
0.87610227,negative
0.41941756,positive
0.47722223,negative
0.56150794,positive
0.41030627,positive
0.41776258,positive
0.89973545,negative
0.36523178,negative
1,negative
0.2246171,negative
0.65555555,positive
0.5740741,positive
0.30964476,negative
0.8912177,negative
0.47304532,negative
0.39882392,negative
0.2983021,negative
0.30673698,negative
0.27479535,negative
0.24982914,negative
0.7156085,positive
0.37431172,positive
0.555776,positive
0.39844838,positive
0.9722222,negative
0.28044972,negative
0.56125355,negative
0.09518399,negative
0.5783389,positive
0.6359381,negative
0.6018519,positive
0.29079577,negative
1,negative
0.2970959,negative
0.4187123,negative
0.38838536,positive
0.20012376,negative
1,negative
0.2970586,negative
0.6005291,positive
1,negative
1,negative
0.18262304,negative
0.63446367,negative
0.66081303,negative
0.40502182,positive
0.3230207,negative
0.29027814,negative
0.27896288,negative
0.41640097,negative
0.31229463,negative
0.41920358,positive
1,negative
0.20324889,negative
0.3206125,negative
0.2901475,negative
0.32921228,negative
0.09626316,negative
0.25220254,negative
0.9861111,negative
0.33281505,negative
0.59312356,negative
0.45902446,negative
0.5872341,negative
0,negative
0.22222222,negative
0.30628127,negative
0.8388889,negative
0.3444093,negative
0.14661072,negative
0.329382,negative
0.90899473,negative
0.96581197,negative
0.46432462,negative
0.40952933,negative
0.83227515,negative
0.7252886,negative
0.33861881,negative
0.18173215,negative
0.7054819,negative
0.30452195,negative
0.113055356,negative
0.46630767,negative
0.6206427,negative
0.816909,negative
0.77986646,negative
0.32012162,negative
0.31617704,negative
0.31222734,negative
0.5952822,negative
0.2935857,negative
0.48873982,negative
0.694627,negative
0.5555556,negative
0.70975137,negative
0.5681624,negative
0.38969478,negative
0.41181073,negative
0.298124,negative
0.40593585,negative
0.2753682,negative
0.4987573,negative
0.35402012,negative
0.30312124,negative
0.17962871,negative
0.40343738,negative
0.41704598,positive
0.38836312,positive
0.6666667,negative
0.96825397,negative
0.39944676,negative
0.423121,positive
0.19062504,negative
0,negative
0.5326279,positive
0.27987626,negative
0.4148357,positive
0.22336383,negative
0.7695767,negative
0.440354,positive
0.537017,positive
0.36884832,positive
0.26456326,negative
0.24193405,negative
0.571649,positive
0.48159373,positive
0.65115255,negative
0,negative
0.39879107,positive
0.52954143,positive
0.41676173,negative
0.19541612,negative
0.28328654,negative
1,negative
0.34426668,negative
0.41791564,positive
1,negative
0.25886914,negative
0.32463875,negative
0.5509259,negative
0.37009746,negative
0.27882218,negative
0.73926485,negative
0.34778315,negative
0.6511328,negative
0.15409406,negative
0.31236586,negative
0.32390848,negative
0.7777778,negative
0.28057775,negative
0.17822558,negative
0.2473368,negative
1,negative
0.34911168,negative
0.29960132,negative
0.6111111,positive
0.67407405,positive
0.8644824,negative
0.18850341,negative
0.3181372,negative
0.40920117,positive
0,negative
0.29632849,negative
0.20580281,negative
0.1651921,negative
0.19128962,negative
0.32900727,negative
0.25044397,negative
0.31361094,negative
0.30794257,negative
0.16648434,negative
0.38490298,negative
0.39032918,positive
0.3324073,negative
0.58261186,negative
0.3938387,negative
0.30253935,negative
0.3069927,negative
0.6175926,negative
0.27710575,negative
0.6281558,negative
0.18402189,negative
0.2808298,negative
0.915376,negative
0.41393992,positive
0.113055356,negative
0.3037197,negative
0.3057855,negative
0.11111111,negative
0,negative
0.56192696,negative
1,negative
0.29465598,negative
0.2045359,negative
0.6137566,positive
0.426777,negative
0.27917594,negative
0.42215064,negative
0.3173622,negative
0,negative
0.40954432,negative
0.18207318,negative
0.27147257,negative
0.5643298,positive
0.65589225,negative
0.29078844,negative
0.22648169,negative
0.837478,negative
0.5437747,negative
0.2788862,negative
0.28575617,negative
0.29130092,negative
0.44435817,negative
0.88148147,negative
0.22524333,negative
0.44724983,positive
0.31700587,negative
0.28533262,negative
0.6385408,negative
0.42268896,positive
0.3999011,negative
0.12984978,negative
0.79907405,negative
0.5734127,positive
1,negative
0.31248218,negative
0.4663447,positive
0.9074074,negative
0.70555556,negative
0.44485995,positive
0.23221897,negative
0.24900064,negative
0.38886335,negative
0.843607,negative
0.44774532,negative
0.7777778,negative
0.96141976,negative
0.34886265,negative
0.31812865,negative
0.8858245,negative
0.4837708,negative
0.84973544,negative
0.45942742,positive
0.24900064,negative
0.45740503,negative
0.39496386,positive
0.39949927,positive
0.20298976,negative
0.2870454,negative
0.18574874,negative
0.36529657,negative
0.46348011,negative
0.30905932,negative
0.44070765,positive
0.94481075,negative
0.28481323,negative
0.8888889,negative
0.29696295,negative
0.53858024,positive
0.6812664,negative
0.24660505,negative
0.9356702,negative
0.4681647,negative
0.4302431,negative
0.42024404,negative
0.29027814,negative
0.56415343,positive
0.5331259,negative
0.26725835,negative
0.35474625,negative
0.41732758,negative
0.41721755,negative
0.096352234,negative
0.42220616,positive
0.5438712,positive
0.91089994,negative
0.57700235,negative
0.587963,positive
0.85555553,negative
0.64629805,negative
0.4415065,negative
0.23688999,negative
0.18114924,negative
0.14413407,negative
0.30798513,negative
0.2781955,negative
0.28296396,negative
0.8888889,negative
0.29802468,negative
0.30299366,negative
0.5436508,positive
0.5268813,negative
0.2689782,negative
0.23309669,negative
0.2540513,negative
0.29654688,negative
0.45767197,negative
0.4203661,negative
0.11873322,negative
0.45764294,negative
0.4462137,negative
0.4837708,negative
0.44151622,negative
0.32042044,negative
0.20012376,negative
0.41666666,negative
0.2634666,negative
0.31446242,negative
0.29780185,negative
0.25840873,negative
0.2938097,negative
0.20590083,negative
0.7900112,negative
0.4486757,negative
0.94074076,negative
0.4560301,negative
0.465278,negative
0.40993193,negative
0.31158692,negative
0.30628127,negative
0.5438712,positive
0.32763156,negative
0.35316142,negative
0.25818166,negative
0.40090325,negative
0.7547033,negative
0.1760659,negative
0.4162386,positive
0.8888889,negative
0.18402189,negative
1,negative
0.334876,negative
0.5,negative
0.31827116,negative
0.48521596,negative
0.36550307,negative
0.26327455,negative
0.2641149,negative
0.40896538,negative
0.20332612,negative
0.93703705,negative
0.475,negative
0.27027062,negative
0.5229992,negative
0.34671864,negative
0.28296396,negative
0.15582462,negative
0.29458332,negative
0.36714104,negative
0,negative
0.9814815,negative
0.4043918,negative
0.42312294,negative
0.5358197,negative
0.29477406,negative
0.5456349,positive
0.8644824,negative
0.19713038,negative
0.27804413,negative
0.40250653,positive
0.57363313,positive
0.15349694,negative
0.38675025,negative
0.3273826,negative
0.44313568,negative
0.26818594,negative
0.29230747,negative
0.24428888,negative
0.4132174,positive
0.26973316,negative
0.23589359,negative
0.35004318,negative
0.51036155,positive
0.33051255,negative
0.52543694,negative
0.44601154,negative
0.27240252,negative
0.30597952,negative
0.4205985,positive
0,negative
0.3229307,negative
0.096352234,negative
0.35672373,positive
0.71189785,negative
0.3480217,negative
0.37534603,negative
0.18239816,negative
0.29951125,negative
0.56415343,positive
0.4093088,negative
0.29470626,negative
0.33066535,negative
0.52006173,positive
0.18356538,negative
0.49614197,negative
0.5582011,positive
0.31602636,negative
0.31713998,negative
0.11111111,negative
0.59589946,positive
0.33333334,negative
0.42217422,negative
0.42982522,negative
0.2758629,negative
0.24633974,negative
0.3133975,negative
0.40196496,positive
0.13383016,negative
0.7607343,negative
0.4213954,positive
0.9777778,negative
0.170091,negative
1,negative
0.34293815,negative
0.3213451,negative
0.29405567,negative
0.10965454,negative
0.5793651,positive
0.70008737,negative
0.3496519,negative
0.54723245,negative
0.48480532,negative
0.3175664,negative
0.30307138,negative
0.6666667,negative
0.88955027,negative
0.68080807,negative
0.35354832,negative
0.19453695,negative
0.43595982,positive
0.534151,negative
0.38875645,positive
0.43507022,positive
0.16963542,negative
0.28575617,negative
0.31279564,negative
0.92777777,negative
0.3003628,negative
0.547103,negative
0.27672648,negative
1,negative
0.4592879,negative
0.43888178,negative
0.31068987,negative
0.39879107,positive
0.31446242,negative
0.39645794,negative
0.35127252,negative
0.29743084,negative
0.5500441,positive
0.41952246,positive
0.3411113,negative
0.5,negative
0.57539684,positive
0.77528197,negative
0.11111111,negative
0.4727645,negative
0.7672355,negative
0.2228557,negative
0.33502588,negative
0.35929558,negative
0.4816013,negative
0.29928485,negative
0.40479085,positive
0.23449263,negative
0.30085307,negative
0.1764939,negative
0.29238248,negative
0.9861111,negative
0.15181188,negative
0.984127,negative
0.18889166,negative
0.38572726,negative
0.59959364,negative
0.53571427,positive
0.19245563,negative
0.2101616,negative
0.105074264,negative
0.32576838,negative
0.26677614,negative
0.31323463,negative
0.39392713,negative
0.5881634,positive
0.33911672,negative
0.43169576,negative
0.28575617,negative
0.2367968,negative
0.27503988,negative
0.294787,negative
0.9777778,negative
0.42521268,negative
0.5654762,positive
0.40352198,negative
0.31418663,negative
0.27005577,negative
0.3721296,negative
0.55723476,negative
0.32001477,negative
0.5490324,negative
0.28241062,negative
0.39173108,positive
0.26415184,negative
0.4010419,positive
0.6749559,negative
0.28449497,negative
0.6084656,positive
0.82735026,negative
0.5708515,negative
0.6116402,positive
0.54960316,positive
0.28914437,negative
0.296365,negative
0.4369392,positive
0.30885938,negative
0.57539684,positive
0.74090356,negative
0.17887476,negative
0.32455578,negative
0.2546684,negative
0.51092404,negative
0.33502117,negative
0.43286037,negative
0.2481359,negative
0.2585428,negative
0.2918749,negative
0.2609661,negative
0.4850439,negative
0.9861111,negative
0.6472222,positive
0.41030994,positive
0.19520037,negative
0.29643956,negative
0.19475445,negative
0.33047688,negative
0.11953241,negative
0.45902446,negative
0.93333334,negative
0.88148147,negative
0.17948268,negative
0.33112764,negative
0.40888458,negative
0.37847343,negative
0.50308645,negative
0.42569095,positive
0.3026711,negative
0.6652397,negative
0.12657078,negative
0.44601154,negative
0.57760143,positive
0.29250294,negative
0.31715608,negative
0.9702381,negative
0.2540513,negative
0.33333334,negative
0.15361586,negative
0.16648434,negative
0.3016008,negative
0.4450395,negative
0.5343915,negative
0.86277056,negative
0.28042978,negative
0.47554862,negative
0.41959706,negative
0.12513736,negative
0.31949878,negative
0.57539684,positive
1,negative
0.5535714,positive
0.317014,negative
0.41924807,positive
0.3031787,negative
0.28710723,negative
0.24524052,negative
0.27090696,negative
0.40413755,positive
0.30081734,negative
0.44151622,negative
0.25860354,negative
0.44724658,negative
0.44538036,negative
0.22222222,negative
0.34236288,negative
0.5448579,negative
0.96031743,negative
0.34714225,negative
0.35127252,negative
0.5094597,negative
0.54320127,negative
0.40087178,negative
0.18499897,negative
0.42490423,positive
0.35403678,negative
0.2241392,negative
0.53911555,negative
0.29870403,negative
0.9691358,negative
0.25142038,negative
0.101526454,negative
0.4799313,negative
0.33166277,negative
0.54582953,negative
0.3130033,negative
0.59973544,negative
0.44057688,negative
0.29184964,negative
0.437078,negative
0.45946908,negative
1,negative
0.33727008,negative
0.12570898,negative
0.75,negative
0.86781305,negative
0.32273299,negative
0.52623457,positive
0.9261464,negative
0.10119048,negative
0,negative
0.4398524,negative
0.41374576,negative
1,negative
0.29418743,negative
0.39868945,negative
0.32455578,negative
0.4254409,negative
0.2807703,negative
0.25245842,negative
0.4318249,negative
0.4369392,positive
0.34230694,negative
0.69660497,negative
0.47678283,negative
0.3017472,negative
0.28108954,negative
0.20392033,negative
0.17420864,negative
0.3108182,negative
0.9404762,negative
0.31489635,negative
0.30540445,negative
0.26602298,negative
0.3081043,negative
0.28686288,negative
0.19716202,negative
0.29451475,negative
0.7404762,negative
0.40555555,negative
0.42442176,negative
0.39643326,negative
0.352606,negative
0.30882537,negative
0.56104016,negative
0.41874644,positive
0.7777778,negative
0.48272505,negative
0.5555556,negative
0.7794973,negative
0.35934293,negative
0.45744765,negative
1,negative
0.84772927,negative
0.3876632,negative
0.5555556,negative
0.06888328,negative
0.42167473,negative
0.32026085,negative
0.5094622,negative
0.28551513,negative
0.2692176,negative
0.58002645,positive
0.28924206,negative
0.3197136,negative
0.8833333,negative
0.17969723,negative
0.6522477,positive
0.2986217,negative
0.4192332,positive
0.3175422,negative
0.09277301,negative
0.696178,negative
0.42529303,negative
0.18729347,negative
0.9126984,negative
1,negative
0.5888227,negative
0.30064347,negative
0.30841646,negative
0.45334122,negative
0.38105944,positive
0.16939692,negative
0.31460637,negative
1,negative
