Lenght,Eccen,P_black,P_and,Wb_trans,Class
8,0.727,0.716,1,8,negative
8,0.727,0.705,1,7,negative
29,29,1,1,1,positive
14,14,0.929,1,1,positive
45,45,0.933,1,2,positive
39,4.333,0.444,0.923,57,negative
21,2.333,0.497,0.958,26,negative
97,9.7,0.423,0.832,165,negative
36,4,0.577,0.948,62,negative
300,12,0.065,0.071,12,positive
49,4.9,0.529,0.939,86,negative
50,25,0.46,0.51,3,positive
79,8.778,0.323,0.873,105,negative
24,2.667,0.356,0.907,35,negative
37,4.111,0.444,0.898,71,negative
21,2.333,0.365,0.905,30,negative
81,9,0.357,0.863,117,negative
67,6.7,0.3,0.745,94,negative
32,4,0.402,0.898,57,negative
11,1.571,0.143,0.558,7,negative
99,11,0.288,0.801,132,negative
12,1.333,0.444,1,26,negative
64,7.111,0.307,0.842,89,negative
94,8.545,0.257,0.604,122,negative
2,0.167,0.625,0.667,1,positive
99,11,0.312,0.826,129,negative
83,6.917,0.253,0.756,144,negative
12,1.5,0.438,1,28,negative
54,6.75,0.35,0.887,87,negative
95,10.556,0.284,0.849,127,negative
12,1.333,0.38,1,28,negative
64,7.111,0.302,0.92,88,negative
101,9.182,0.267,0.849,173,negative
82,7.455,0.236,0.814,108,negative
73,6.083,0.259,0.743,108,negative
98,9.8,0.3,0.781,171,negative
81,9,0.322,0.819,106,negative
27,3,0.346,0.951,43,negative
47,5.222,0.404,0.943,86,negative
32,3.556,0.413,0.993,69,negative
75,8.333,0.369,0.936,119,negative
27,2.25,0.318,0.898,39,negative
43,3.583,0.31,0.793,69,negative
61,5.083,0.251,0.746,104,negative
19,1.9,0.363,0.837,28,negative
204,102,0.412,0.681,16,positive
29,2.9,0.221,0.572,18,negative
65,7.222,0.463,0.901,102,negative
36,4,0.565,0.944,58,negative
21,2.333,0.323,0.81,34,negative
7,0.875,0.321,0.429,3,negative
100,10,0.444,0.924,168,negative
32,3.556,0.299,0.691,41,negative
83,9.222,0.335,0.843,122,negative
101,10.1,0.442,0.855,153,negative
118,9.833,0.255,0.7,175,negative
126,12.6,0.456,0.875,193,negative
86,9.556,0.337,0.757,119,negative
116,10.545,0.274,0.804,194,negative
43,4.778,0.481,0.953,59,negative
46,5.75,0.315,0.938,65,negative
41,5.125,0.393,0.976,59,negative
44,4.4,0.441,0.92,66,negative
45,5,0.319,0.923,61,negative
42,4.667,0.347,0.915,56,negative
35,35,0.857,1,3,positive
455,23.947,0.081,0.095,21,negative
43,5.375,0.392,0.927,61,negative
301,21.5,0.257,0.564,458,negative
35,5,0.494,0.902,47,negative
123,13.667,0.359,0.898,143,negative
142,23.667,0.115,0.173,15,positive
30,0.115,0.063,0.09,205,positive
130,13,0.453,0.822,212,negative
14,14,0.857,1,1,positive
3,0.375,0.458,0.667,5,negative
5,0.625,0.325,0.9,2,negative
14,1.75,0.321,0.938,21,negative
50,6.25,0.253,0.8,44,negative
3,0.375,0.5,0.667,4,negative
23,2.875,0.255,1,22,negative
15,1.875,0.258,0.683,8,negative
14,1.75,0.277,0.643,11,negative
2,0.333,0.667,1,1,negative
21,2.625,0.208,0.762,12,negative
6,0.857,0.333,0.762,3,negative
2,0.286,0.643,0.929,4,negative
3,0.375,0.458,0.708,4,negative
14,2,0.327,0.99,12,negative
59,7.375,0.206,0.691,31,negative
121,17.286,0.272,0.646,149,negative
9,0.818,0.465,0.687,8,negative
8,0.8,0.675,1,6,negative
7,0.7,0.429,0.429,1,negative
8,0.8,0.688,1,6,negative
8,0.8,0.6,1,8,negative
9,0.9,0.522,0.656,5,negative
8,0.8,0.575,0.888,5,negative
69,69,0.841,1,7,positive
38,3.8,0.397,0.887,56,negative
36,4,0.491,0.84,48,negative
97,9.7,0.425,0.825,152,negative
21,2.625,0.548,1,26,negative
49,5.444,0.587,0.961,83,negative
148,148,0.959,1,3,positive
20,2.222,0.3,0.972,31,negative
36,4,0.352,0.806,65,negative
21,2.333,0.365,0.82,24,negative
80,8.889,0.333,0.914,115,negative
11,1.222,0.343,1,24,negative
50,5.556,0.32,0.716,54,negative
33,3.667,0.354,0.781,57,negative
83,10.375,0.398,0.94,123,negative
11,1.375,0.443,1,24,negative
63,7,0.289,0.778,83,negative
74,6.727,0.267,0.628,98,negative
17,2.125,0.294,0.654,18,negative
84,10.5,0.36,0.954,125,negative
12,1.333,0.407,0.898,27,negative
82,10.25,0.358,0.84,105,negative
53,6.625,0.33,0.894,86,negative
84,8.4,0.279,0.896,142,negative
12,1.333,0.426,1,28,negative
63,7,0.284,0.908,82,negative
101,9.182,0.253,0.77,164,negative
83,10.375,0.357,0.979,120,negative
72,6,0.228,0.78,110,negative
97,10.778,0.317,0.863,157,negative
83,10.375,0.294,0.955,90,negative
26,2.889,0.299,0.953,42,negative
46,5.111,0.338,0.872,84,negative
83,9.222,0.293,0.751,96,negative
33,4.125,0.39,0.973,60,negative
26,2.364,0.283,0.888,37,negative
43,3.909,0.281,0.774,61,negative
62,5.636,0.218,0.705,92,negative
18,2.25,0.472,1,27,negative
76,9.5,0.388,0.903,112,negative
6,0.75,0.542,0.646,2,negative
84,84,0.917,1,4,positive
73,73,0.616,1,12,positive
64,6.4,0.439,0.889,109,negative
36,4,0.531,0.938,61,negative
8,1,0.234,0.672,10,negative
21,2.625,0.363,0.774,36,negative
99,11,0.484,0.951,171,negative
83,9.222,0.289,0.751,112,negative
32,3.556,0.302,0.674,40,negative
100,10,0.41,0.846,146,negative
118,11.8,0.277,0.745,162,negative
126,14,0.484,0.953,194,negative
86,9.556,0.3,0.677,109,negative
116,11.6,0.273,0.797,186,negative
43,5.375,0.494,0.953,50,negative
47,5.222,0.307,0.872,64,negative
40,5,0.456,0.997,54,negative
43,4.778,0.455,0.899,59,negative
46,5.75,0.356,0.927,62,negative
42,5.25,0.423,0.979,60,negative
2,0.095,0.738,0.738,1,positive
41,5.125,0.351,0.963,60,negative
70,1.842,0.059,0.062,8,positive
342,22.8,0.24,0.548,495,negative
123,13.667,0.39,0.996,153,negative
147,147,0.864,1,11,positive
131,13.1,0.487,0.856,217,negative
17,17,0.941,1,1,positive
1,0.111,1,1,1,positive
89,8.091,0.17,0.706,61,negative
31,3.1,0.3,0.813,28,negative
230,19.167,0.164,0.57,130,negative
43,6.143,0.243,0.807,21,negative
172,4.778,0.128,0.337,164,positive
72,3.273,0.469,0.848,86,negative
76,8.444,0.358,0.795,112,negative
190,27.143,0.293,0.847,218,negative
71,8.875,0.312,0.866,95,negative
71,8.875,0.31,0.861,95,negative
116,8.923,0.279,0.658,183,negative
93,10.333,0.259,0.895,125,negative
109,12.111,0.243,0.848,151,negative
64,8,0.301,0.857,80,negative
133,14.778,0.236,0.718,150,negative
100,16.667,0.342,0.822,120,negative
49,7,0.297,0.641,49,negative
43,7.167,0.205,0.69,30,negative
29,4.833,0.339,0.874,39,negative
48,4.8,0.313,0.76,60,negative
35,3.5,0.38,0.829,66,negative
37,4.111,0.453,0.964,56,negative
85,6.538,0.327,0.633,131,negative
217,16.692,0.361,0.686,334,negative
487,37.462,0.247,0.63,745,negative
440,33.846,0.255,0.696,669,negative
168,14,0.255,0.719,245,negative
1,0.038,1,1,1,positive
65,5,0.302,0.677,99,negative
1,0.077,1,1,1,positive
1,0.059,1,1,1,positive
121,12.1,0.37,0.873,186,negative
118,9.833,0.309,0.726,181,negative
1,0.091,1,1,1,positive
106,8.154,0.306,0.688,178,negative
9,1.286,0.143,0.238,1,positive
72,1.946,0.12,0.257,42,positive
1,0.077,1,1,1,positive
34,3.778,0.366,0.846,47,negative
1,0.071,1,1,1,positive
6,3,0.667,1,2,positive
1,0.043,1,1,1,positive
108,10.8,0.319,0.746,161,negative
185,23.125,0.235,0.659,191,negative
39,7.8,0.338,0.882,38,negative
1,0.077,1,1,1,positive
116,16.571,0.262,0.788,116,negative
89,14.833,0.303,0.79,89,negative
46,6.571,0.304,0.963,38,negative
29,4.143,0.266,0.813,20,negative
172,28.667,0.294,0.907,175,negative
17,3.4,0.471,0.929,17,negative
1,0.067,1,1,1,positive
54,18,0.364,0.519,7,positive
72,3.273,0.52,0.856,82,negative
76,9.5,0.475,0.87,106,negative
181,30.167,0.298,0.684,192,negative
71,8.875,0.407,0.903,112,negative
72,9,0.399,0.811,102,negative
94,9.4,0.25,0.721,138,negative
71,6.455,0.37,0.726,120,negative
108,10.8,0.297,0.831,174,negative
64,8,0.336,0.846,81,negative
33,3.3,0.394,0.645,40,negative
132,16.5,0.31,0.861,178,negative
54,3.6,0.323,0.689,107,negative
44,3.143,0.398,0.766,98,negative
99,19.8,0.356,0.881,117,negative
61,4.067,0.247,0.515,121,negative
59,6.556,0.492,0.861,81,negative
137,4.893,0.265,0.564,201,negative
407,31.308,0.266,0.649,609,negative
408,31.385,0.281,0.677,579,negative
410,29.286,0.241,0.592,576,negative
86,8.6,0.423,0.914,149,negative
409,31.462,0.267,0.582,637,negative
307,25.583,0.29,0.771,444,negative
410,16.4,0.272,0.67,1218,negative
34,3.4,0.426,0.656,48,negative
410,10.789,0.254,0.604,1651,negative
151,11.615,0.302,0.726,229,negative
66,5.5,0.402,0.78,105,negative
117,13,0.419,0.947,178,negative
115,8.846,0.314,0.695,179,negative
103,8.583,0.353,0.724,171,negative
79,1.612,0.084,0.179,44,positive
33,3.667,0.377,0.842,50,negative
63,5.727,0.332,0.724,83,negative
14,1.75,0.518,0.964,18,negative
79,7.182,0.342,0.841,135,negative
75,7.5,0.428,0.909,141,negative
107,11.889,0.383,0.858,166,negative
114,19,0.278,0.741,108,negative
39,7.8,0.344,0.728,32,negative
114,16.286,0.253,0.741,114,negative
90,15,0.298,0.77,104,negative
28,4.667,0.405,0.804,37,negative
1,0.143,1,1,1,positive
46,5.75,0.266,0.886,53,negative
17,2.125,0.456,0.824,26,negative
28,4,0.337,0.99,31,negative
175,25,0.337,0.991,221,negative
168,9.333,0.187,0.73,241,negative
58,4.833,0.343,0.803,62,negative
71,3.227,0.487,0.834,75,negative
136,9.067,0.24,0.748,174,negative
76,8.444,0.352,0.813,106,negative
181,25.857,0.316,0.758,242,negative
70,8.75,0.371,0.911,122,negative
217,15.5,0.268,0.632,383,negative
71,10.143,0.394,0.958,105,negative
87,3.783,0.286,0.671,242,negative
93,10.333,0.278,0.847,140,negative
107,10.7,0.273,0.738,161,negative
62,7.75,0.357,0.968,99,negative
84,9.333,0.407,0.878,112,negative
133,16.625,0.272,0.825,162,negative
100,16.667,0.345,0.795,123,negative
51,8.5,0.294,0.775,61,negative
43,7.167,0.337,0.969,52,negative
29,4.833,0.333,0.799,38,negative
35,3.5,0.337,0.714,63,negative
40,5,0.481,0.988,59,negative
44,5.5,0.415,0.949,71,negative
80,6.667,0.324,0.673,127,negative
89,7.417,0.429,0.879,131,negative
418,29.857,0.261,0.619,707,negative
129,10.75,0.303,0.711,187,negative
77,5.923,0.298,0.7,124,negative
119,13.222,0.422,0.965,193,negative
116,8.923,0.292,0.703,177,negative
104,8.667,0.335,0.758,170,negative
70,1.795,0.09,0.255,35,positive
33,3,0.295,0.694,54,negative
128,12.8,0.355,0.751,202,negative
14,2,0.49,0.939,19,negative
84,7,0.331,0.792,142,negative
107,11.889,0.375,0.861,186,negative
115,23,0.417,0.92,118,negative
39,7.8,0.41,0.867,48,negative
114,28.5,0.393,0.978,98,negative
90,30,0.511,0.907,59,negative
172,19.111,0.353,0.799,225,negative
17,2.125,0.529,0.853,25,negative
45,5,0.279,0.785,52,negative
27,3.857,0.344,1,33,negative
71,3.227,0.519,0.843,72,negative
190,23.75,0.326,0.63,223,negative
76,7.6,0.474,0.799,119,negative
70,8.75,0.463,0.986,112,negative
71,7.889,0.39,0.768,102,negative
77,7.7,0.469,0.905,137,negative
93,11.625,0.324,0.835,121,negative
107,11.889,0.357,0.875,161,negative
29,2.636,0.408,0.765,42,negative
62,6.889,0.348,0.869,87,negative
130,16.25,0.36,0.876,169,negative
100,16.667,0.385,0.828,134,negative
50,8.333,0.397,0.713,50,negative
44,7.333,0.447,0.811,56,negative
29,5.8,0.538,0.89,33,negative
35,3.182,0.351,0.652,60,negative
40,4.444,0.506,0.964,59,negative
42,4.667,0.378,0.841,54,negative
83,6.385,0.373,0.628,115,negative
234,16.714,0.383,0.634,299,negative
409,31.462,0.312,0.602,547,negative
412,15.846,0.32,0.664,1142,negative
152,11.692,0.312,0.714,220,negative
147,11.308,0.358,0.703,190,negative
9,1,0.63,0.802,10,negative
124,12.4,0.473,0.814,171,negative
121,9.308,0.376,0.69,159,negative
90,9,0.501,0.868,115,negative
409,31.462,0.277,0.573,556,negative
128,10.667,0.339,0.737,179,negative
410,34.167,0.333,0.661,608,negative
142,11.833,0.337,0.759,189,negative
410,34.167,0.324,0.706,645,negative
291,22.385,0.285,0.627,403,negative
277,21.308,0.293,0.636,407,negative
67,5.583,0.403,0.704,88,negative
119,11.9,0.39,0.81,169,negative
117,4.875,0.347,0.729,338,negative
11,3.667,0.364,0.667,4,positive
71,2.29,0.159,0.296,34,positive
33,3.3,0.327,0.742,46,negative
108,12,0.449,0.868,171,negative
183,22.875,0.288,0.664,202,negative
39,7.8,0.492,0.872,39,negative
116,8.286,0.27,0.649,207,negative
90,15,0.394,0.804,97,negative
337,30.636,0.175,0.637,296,negative
16,2.286,0.464,0.884,16,negative
304,101.33,0.555,0.686,12,positive
69,3.136,0.516,0.848,74,negative
74,9.25,0.456,0.887,109,negative
189,27,0.339,0.704,237,negative
69,8.625,0.415,0.984,106,negative
70,8.75,0.388,0.841,98,negative
91,10.111,0.321,0.908,135,negative
77,8.556,0.486,0.97,128,negative
106,11.778,0.309,0.791,150,negative
62,7.75,0.363,0.925,85,negative
30,2.308,0.356,0.649,43,negative
132,16.5,0.311,0.873,163,negative
101,16.833,0.411,0.876,129,negative
50,8.333,0.327,0.687,49,negative
46,7.667,0.315,0.75,41,negative
29,4.833,0.356,0.684,33,negative
35,3.5,0.42,0.826,66,negative
37,4.111,0.517,0.934,61,negative
43,4.778,0.388,0.886,55,negative
84,7,0.43,0.703,123,negative
160,4.848,0.219,0.389,182,negative
498,41.5,0.307,0.639,752,negative
58,4.462,0.336,0.599,79,negative
35,3.889,0.59,0.86,48,negative
176,14.667,0.302,0.599,244,negative
442,2.889,0.114,0.215,1227,positive
259,86.333,0.411,0.481,24,positive
22,2.2,0.491,0.932,29,negative
124,10.333,0.3,0.869,228,negative
13,1.444,0.564,0.863,17,negative
12,1.333,0.62,0.944,14,negative
37,3.364,0.371,0.899,75,negative
13,1.444,0.53,0.88,19,negative
122,10.167,0.26,0.881,166,negative
5,0.556,0.467,0.556,2,negative
38,3.455,0.328,0.852,70,negative
13,1.625,0.587,0.837,13,negative
497,41.417,0.278,0.751,731,negative
498,38.308,0.281,0.688,799,negative
54,5.4,0.378,0.622,65,negative
37,3.083,0.41,0.748,47,negative
497,41.417,0.269,0.594,658,negative
50,4.167,0.345,0.627,76,negative
61,6.1,0.487,0.834,95,negative
500,41.667,0.264,0.595,646,negative
497,41.417,0.297,0.733,789,negative
25,2.083,0.32,0.643,37,negative
108,12,0.376,0.815,155,negative
184,30.667,0.323,0.752,179,negative
39,7.8,0.328,0.744,31,negative
116,23.2,0.376,0.784,100,negative
89,22.25,0.34,0.916,74,negative
46,6.571,0.298,0.994,44,negative
27,3.375,0.218,0.852,21,negative
172,24.571,0.294,0.967,171,negative
17,2.429,0.412,0.807,19,negative
71,3.227,0.536,0.876,72,negative
75,9.375,0.375,0.86,110,negative
189,31.5,0.324,0.83,227,negative
70,8.75,0.298,0.914,95,negative
70,8.75,0.332,0.896,112,negative
76,8.444,0.436,0.955,126,negative
93,11.625,0.261,0.937,125,negative
108,13.5,0.293,0.897,150,negative
63,9,0.333,0.971,74,negative
34,3.091,0.364,0.642,49,negative
123,15.375,0.255,0.827,147,negative
99,16.5,0.301,0.803,123,negative
50,10,0.36,0.812,57,negative
43,8.6,0.265,0.786,43,negative
28,5.6,0.329,0.871,26,negative
42,4.667,0.384,0.817,61,negative
35,3.5,0.331,0.686,60,negative
40,5,0.463,0.969,60,negative
286,6.085,0.183,0.317,526,positive
386,29.692,0.286,0.658,657,negative
60,6.667,0.413,0.822,81,negative
67,5.583,0.35,0.693,99,negative
118,13.111,0.372,0.818,164,negative
115,4.6,0.296,0.65,333,negative
96,2.667,0.096,0.207,43,positive
33,3.667,0.33,0.845,54,negative
107,13.375,0.384,0.86,155,negative
183,26.143,0.265,0.664,181,negative
39,6.5,0.303,0.739,45,negative
115,16.429,0.273,0.704,128,negative
88,17.6,0.364,0.775,96,negative
27,5.4,0.407,0.815,26,negative
337,30.636,0.179,0.648,318,negative
17,2.429,0.454,0.866,17,negative
333,66.6,0.374,0.413,17,positive
70,3.182,0.525,0.838,70,negative
74,9.25,0.412,0.845,114,negative
191,27.286,0.307,0.748,247,negative
68,8.5,0.336,0.868,96,negative
69,8.625,0.312,0.842,90,negative
127,12.7,0.388,0.798,210,negative
91,10.111,0.233,0.789,112,negative
105,10.5,0.234,0.811,145,negative
61,7.625,0.316,0.967,76,negative
127,15.875,0.314,0.825,161,negative
30,2.727,0.379,0.739,41,negative
29,5.8,0.4,0.89,31,negative
100,14.286,0.294,0.633,123,negative
50,8.333,0.327,0.777,49,negative
43,8.6,0.405,0.981,54,negative
42,4.667,0.45,0.905,61,negative
35,3.5,0.434,0.803,65,negative
40,4.444,0.494,0.925,61,negative
84,6.462,0.35,0.59,121,negative
249,24.9,0.462,0.842,326,negative
410,10.789,0.279,0.696,1815,negative
232,19.333,0.316,0.703,375,negative
67,5.583,0.376,0.751,101,negative
119,11.9,0.392,0.891,190,negative
116,9.667,0.331,0.756,176,negative
104,9.455,0.377,0.779,168,negative
62,1.442,0.08,0.17,32,positive
33,3.3,0.294,0.791,53,negative
101,9.182,0.33,0.734,137,negative
6,3,0.667,1,2,positive
108,12,0.364,0.794,165,negative
185,23.125,0.265,0.611,199,negative
38,7.6,0.316,0.695,29,negative
116,16.571,0.309,0.676,114,negative
89,14.833,0.298,0.758,99,negative
27,9,0.481,0.926,22,negative
174,17.4,0.278,0.733,239,negative
17,2.429,0.555,0.933,25,negative
28,3.5,0.308,0.835,22,negative
46,5.75,0.291,0.886,48,negative
71,3.227,0.499,0.836,71,negative
75,7.5,0.451,0.86,119,negative
192,24,0.316,0.746,279,negative
70,8.75,0.464,0.988,110,negative
121,12.1,0.415,0.879,192,negative
71,7.889,0.352,0.897,114,negative
23,2.091,0.415,0.858,30,negative
115,4.259,0.293,0.672,388,negative
90,8.182,0.362,0.808,127,negative
71,7.889,0.294,0.762,87,negative
83,8.3,0.425,0.86,121,negative
132,16.5,0.36,0.921,181,negative
101,16.833,0.393,0.752,120,negative
51,8.5,0.454,0.817,57,negative
45,7.5,0.456,0.967,75,negative
44,2.75,0.376,0.744,111,negative
35,3.889,0.397,0.832,65,negative
42,4.667,0.452,0.942,60,negative
104,9.455,0.367,0.747,164,negative
414,31.846,0.357,0.653,623,negative
181,18.1,0.491,0.866,273,negative
413,37.545,0.356,0.806,664,negative
348,26.769,0.308,0.721,543,negative
414,34.5,0.313,0.734,675,negative
20,2,0.4,0.605,23,negative
413,41.3,0.315,0.731,527,negative
51,5.1,0.41,0.667,67,negative
69,5.75,0.4,0.74,95,negative
121,12.1,0.402,0.849,180,negative
118,9.833,0.35,0.778,166,negative
105,8.75,0.37,0.717,160,negative
28,0.848,0.098,0.271,16,positive
60,3.529,0.139,0.371,20,positive
33,3.3,0.282,0.839,51,negative
50,5,0.472,0.812,86,negative
98,9.8,0.392,0.849,154,negative
1,0.1,1,1,1,positive
108,12,0.389,0.88,170,negative
186,13.286,0.307,0.652,319,negative
39,6.5,0.466,0.889,52,negative
89,14.833,0.403,0.82,106,negative
65,16.25,0.296,0.631,29,negative
389,55.571,0.167,0.584,381,negative
3,1,0.778,0.778,1,negative
45,2.368,0.243,0.582,69,negative
96,4,0.208,0.504,151,negative
79,4.389,0.257,0.616,115,negative
64,2.667,0.227,0.57,103,negative
48,2.667,0.264,0.524,53,negative
64,3.556,0.261,0.705,93,negative
10,0.833,0.442,0.792,10,negative
35,3.889,0.273,0.654,52,negative
77,8.556,0.251,0.56,93,negative
21,2.333,0.302,0.614,30,negative
23,2.556,0.169,0.319,12,negative
26,2.6,0.312,0.577,40,negative
264,29.333,0.261,0.612,311,negative
7,1.4,0.229,0.6,3,positive
197,19.7,0.245,0.751,258,negative
68,7.556,0.335,0.789,88,negative
17,1.889,0.144,0.458,7,positive
8,2,0.344,0.531,2,positive
69,0.812,0.165,0.441,674,positive
13,1,0.124,0.45,6,positive
55,7.857,0.374,0.821,69,negative
41,5.857,0.425,0.993,62,negative
67,8.375,0.392,0.724,91,negative
12,1.714,0.476,0.762,14,negative
26,3.714,0.33,0.786,29,negative
35,4.375,0.321,0.775,51,negative
272,27.2,0.279,0.789,382,negative
272,30.222,0.269,0.696,342,negative
19,1.357,0.128,0.541,12,positive
19,1.357,0.113,0.504,1,positive
271,30.111,0.284,0.677,358,negative
271,27.1,0.251,0.754,362,negative
272,27.2,0.232,0.65,319,negative
14,0.933,0.11,0.338,12,positive
271,27.1,0.249,0.704,358,negative
271,30.111,0.292,0.727,374,negative
24,3.429,0.101,0.298,9,positive
271,27.1,0.267,0.698,369,negative
12,2.4,0.133,0.267,2,positive
5,0.625,0.275,0.45,3,positive
271,30.111,0.285,0.707,382,negative
5,1.25,0.35,0.8,3,positive
272,30.222,0.277,0.67,365,negative
15,2.143,0.114,0.295,5,positive
271,33.875,0.314,0.819,375,negative
13,1.857,0.154,0.484,7,positive
198,22,0.289,0.681,274,negative
7,1.75,0.286,1,4,positive
5,1.25,0.35,0.8,3,positive
3,0.6,0.467,0.6,2,positive
4,0.571,0.286,0.357,1,negative
65,9.286,0.316,0.848,95,negative
271,11.783,0.126,0.359,420,negative
29,3.625,0.384,0.884,43,negative
7,0.875,0.304,0.946,11,negative
11,1.375,0.318,0.864,21,negative
69,8.625,0.279,0.687,103,negative
55,6.875,0.243,0.657,77,negative
240,30,0.194,0.515,279,negative
22,3.143,0.156,0.519,15,negative
272,34,0.189,0.688,311,negative
272,34,0.186,0.539,299,negative
271,24.636,0.177,0.588,353,negative
213,30.429,0.199,0.733,237,negative
272,24.727,0.168,0.595,352,negative
9,1.8,0.178,0.533,5,positive
34,4.25,0.309,0.908,56,negative
7,0.875,0.393,0.946,11,negative
15,1.5,0.247,0.72,23,negative
21,2.625,0.28,0.923,34,negative
28,3.5,0.299,0.969,42,negative
60,6,0.203,0.595,85,negative
12,1.714,0.369,0.857,20,negative
6,0.857,0.214,0.286,1,negative
7,1,0.367,1,13,negative
17,2.833,0.343,0.873,27,negative
49,0.49,0.093,0.4,259,positive
30,1.875,0.133,0.471,28,positive
7,0.7,0.157,0.6,7,positive
54,6.75,0.245,0.745,82,negative
179,17.9,0.2,0.758,254,negative
5,0.833,0.233,0.633,4,positive
25,3.125,0.33,1,40,negative
12,2,0.139,0.514,7,positive
49,0.605,0.113,0.398,199,positive
271,27.1,0.197,0.748,386,negative
271,27.1,0.188,0.665,388,negative
6,1,0.194,0.417,2,positive
9,1.5,0.148,0.296,2,positive
272,27.2,0.187,0.649,368,negative
68,3.238,0.052,0.109,13,positive
271,27.1,0.199,0.717,381,negative
47,6.714,0.158,0.289,9,positive
8,0.615,0.154,0.769,15,positive
271,24.636,0.198,0.628,388,negative
1,0.125,0.875,1,1,positive
9,1.125,0.125,0.319,2,positive
272,27.2,0.211,0.772,401,negative
272,27.2,0.206,0.786,399,negative
49,24.5,0.51,0.51,1,positive
10,1.429,0.286,0.886,11,negative
9,1.5,0.352,0.87,12,negative
10,1.25,0.313,0.675,13,negative
9,2.25,0.417,1,9,negative
25,3.125,0.28,0.825,35,negative
37,4.625,0.334,0.993,77,negative
51,5.1,0.22,0.841,87,negative
100,10,0.212,0.702,146,negative
31,3.875,0.298,0.871,51,negative
5,0.714,0.2,0.429,1,negative
240,30,0.193,0.635,264,negative
11,1.571,0.351,0.87,15,negative
236,23.6,0.183,0.572,330,negative
135,16.875,0.077,0.294,54,negative
272,34,0.187,0.568,288,negative
62,7.75,0.218,0.629,69,negative
38,5.429,0.308,0.789,53,negative
272,34,0.197,0.629,310,negative
261,26.1,0.183,0.515,321,negative
271,33.875,0.217,0.786,364,negative
245,30.625,0.198,0.555,286,negative
272,27.2,0.191,0.578,348,negative
272,24.727,0.171,0.61,348,negative
271,27.1,0.173,0.557,318,negative
108,13.5,0.235,0.618,144,negative
125,12.5,0.19,0.526,170,negative
24,4,0.292,0.764,27,negative
37,4.625,0.182,0.649,40,negative
98,12.25,0.282,0.864,156,negative
93,9.3,0.206,0.794,130,negative
23,3.286,0.373,0.851,35,negative
271,24.636,0.162,0.542,355,negative
271,24.636,0.176,0.671,378,negative
71,8.875,0.238,0.701,92,negative
60,6,0.223,0.607,91,negative
47,4.7,0.223,0.706,65,negative
7,1,0.429,1,11,negative
38,5.429,0.327,0.951,63,negative
12,2.4,0.267,0.733,9,negative
234,23.4,0.188,0.614,319,negative
271,27.1,0.187,0.602,375,negative
189,17.182,0.174,0.613,256,negative
65,8.125,0.269,0.725,100,negative
147,14.7,0.168,0.55,191,negative
271,24.636,0.168,0.598,371,negative
261,32.625,0.218,0.773,340,negative
271,27.1,0.193,0.769,409,negative
173,17.3,0.09,0.375,102,negative
197,19.7,0.144,0.589,228,negative
258,28.667,0.173,0.581,313,negative
96,12,0.111,0.479,63,negative
271,27.1,0.176,0.574,342,negative
271,27.1,0.193,0.693,380,negative
48,6.857,0.292,0.804,64,negative
243,22.091,0.117,0.342,223,negative
88,11,0.195,0.756,92,negative
78,9.75,0.244,0.745,113,negative
175,19.444,0.19,0.568,221,negative
17,2.429,0.328,0.731,27,negative
14,2,0.357,0.959,19,negative
46,5.75,0.285,0.791,74,negative
34,3.778,0.225,0.755,44,negative
7,1,0.347,0.939,9,negative
11,1.571,0.351,0.87,18,negative
14,2,0.357,0.867,20,negative
21,3,0.313,0.966,31,negative
8,1.143,0.25,0.768,9,negative
29,4.143,0.281,0.842,39,negative
271,27.1,0.168,0.612,351,negative
71,8.875,0.136,0.384,59,negative
25,3.125,0.24,0.91,33,negative
238,26.444,0.168,0.614,285,negative
187,31.167,0.188,0.591,168,negative
17,2.833,0.245,0.598,16,negative
15,2.5,0.278,0.744,13,negative
215,21.5,0.133,0.464,239,negative
103,9.364,0.156,0.576,123,negative
263,32.875,0.154,0.549,274,negative
15,1.875,0.3,0.642,23,negative
26,3.25,0.264,0.62,38,negative
7,3.5,0.5,0.929,2,negative
7,1,0.286,0.633,9,negative
30,4.286,0.295,0.876,35,negative
18,2.571,0.31,0.96,28,negative
29,3.625,0.207,0.651,30,negative
20,3.333,0.175,0.792,14,negative
18,3.6,0.378,0.956,21,negative
8,1.6,0.425,1,9,negative
7,1.4,0.4,0.657,6,negative
12,2.4,0.383,0.883,12,negative
126,15.75,0.188,0.685,149,negative
21,2.625,0.262,0.696,29,negative
99,12.375,0.199,0.662,114,negative
81,9,0.187,0.542,91,negative
69,11.5,0.28,0.744,83,negative
80,10,0.184,0.544,84,negative
128,18.286,0.203,0.663,137,negative
10,10,0.8,1,2,negative
11,0.014,0.191,0.233,108,positive
129,21.5,0.195,0.565,112,negative
52,10.4,0.208,0.542,40,negative
12,2.4,0.317,0.75,13,negative
21,4.2,0.295,0.733,21,negative
6,1.2,0.333,0.967,4,negative
38,7.6,0.426,0.989,57,negative
13,2.6,0.308,0.831,11,negative
6,1.2,0.367,0.767,3,negative
15,3,0.4,0.947,18,negative
53,10.6,0.223,0.611,46,negative
34,6.8,0.224,0.606,29,negative
30,6,0.36,0.947,43,negative
25,4.167,0.34,0.887,36,negative
2,0.333,0.583,1,1,negative
12,1.5,0.208,0.771,18,negative
14,2,0.255,0.735,16,negative
14,2,0.337,0.99,20,negative
