Lenght,Eccen,P_black,P_and,Class
8,0.8,0.6,1,negative
9,0.9,0.522,0.656,negative
8,0.8,0.575,0.888,negative
69,69,0.841,1,positive
38,3.8,0.397,0.887,negative
36,4,0.491,0.84,negative
97,9.7,0.425,0.825,negative
21,2.625,0.548,1,negative
49,5.444,0.587,0.961,negative
148,148,0.959,1,positive
20,2.222,0.3,0.972,negative
36,4,0.352,0.806,negative
21,2.333,0.365,0.82,negative
80,8.889,0.333,0.914,negative
11,1.222,0.343,1,negative
50,5.556,0.32,0.716,negative
33,3.667,0.354,0.781,negative
83,10.375,0.398,0.94,negative
11,1.375,0.443,1,negative
63,7,0.289,0.778,negative
74,6.727,0.267,0.628,negative
17,2.125,0.294,0.654,negative
84,10.5,0.36,0.954,negative
12,1.333,0.407,0.898,negative
82,10.25,0.358,0.84,negative
53,6.625,0.33,0.894,negative
84,8.4,0.279,0.896,negative
12,1.333,0.426,1,negative
63,7,0.284,0.908,negative
101,9.182,0.253,0.77,negative
83,10.375,0.357,0.979,negative
72,6,0.228,0.78,negative
97,10.778,0.317,0.863,negative
83,10.375,0.294,0.955,negative
26,2.889,0.299,0.953,negative
46,5.111,0.338,0.872,negative
83,9.222,0.293,0.751,negative
33,4.125,0.39,0.973,negative
26,2.364,0.283,0.888,negative
43,3.909,0.281,0.774,negative
62,5.636,0.218,0.705,negative
18,2.25,0.472,1,negative
76,9.5,0.388,0.903,negative
6,0.75,0.542,0.646,negative
84,84,0.917,1,positive
73,73,0.616,1,positive
64,6.4,0.439,0.889,negative
36,4,0.531,0.938,negative
8,1,0.234,0.672,negative
21,2.625,0.363,0.774,negative
99,11,0.484,0.951,negative
83,9.222,0.289,0.751,negative
32,3.556,0.302,0.674,negative
100,10,0.41,0.846,negative
118,11.8,0.277,0.745,negative
126,14,0.484,0.953,negative
86,9.556,0.3,0.677,negative
116,11.6,0.273,0.797,negative
43,5.375,0.494,0.953,negative
47,5.222,0.307,0.872,negative
40,5,0.456,0.997,negative
43,4.778,0.455,0.899,negative
46,5.75,0.356,0.927,negative
42,5.25,0.423,0.979,negative
2,0.095,0.738,0.738,positive
41,5.125,0.351,0.963,negative
70,1.842,0.059,0.062,positive
342,22.8,0.24,0.548,negative
123,13.667,0.39,0.996,negative
147,147,0.864,1,positive
131,13.1,0.487,0.856,negative
17,17,0.941,1,positive
1,0.111,1,1,positive
89,8.091,0.17,0.706,negative
31,3.1,0.3,0.813,negative
230,19.167,0.164,0.57,negative
43,6.143,0.243,0.807,negative
172,4.778,0.128,0.337,positive
72,3.273,0.469,0.848,negative
76,8.444,0.358,0.795,negative
190,27.143,0.293,0.847,negative
71,8.875,0.312,0.866,negative
71,8.875,0.31,0.861,negative
116,8.923,0.279,0.658,negative
93,10.333,0.259,0.895,negative
109,12.111,0.243,0.848,negative
64,8,0.301,0.857,negative
133,14.778,0.236,0.718,negative
100,16.667,0.342,0.822,negative
49,7,0.297,0.641,negative
43,7.167,0.205,0.69,negative
29,4.833,0.339,0.874,negative
48,4.8,0.313,0.76,negative
35,3.5,0.38,0.829,negative
37,4.111,0.453,0.964,negative
85,6.538,0.327,0.633,negative
217,16.692,0.361,0.686,negative
487,37.462,0.247,0.63,negative
440,33.846,0.255,0.696,negative
168,14,0.255,0.719,negative
1,0.038,1,1,positive
65,5,0.302,0.677,negative
1,0.077,1,1,positive
1,0.059,1,1,positive
121,12.1,0.37,0.873,negative
118,9.833,0.309,0.726,negative
1,0.091,1,1,positive
106,8.154,0.306,0.688,negative
9,1.286,0.143,0.238,positive
72,1.946,0.12,0.257,positive
1,0.077,1,1,positive
34,3.778,0.366,0.846,negative
1,0.071,1,1,positive
6,3,0.667,1,positive
1,0.043,1,1,positive
108,10.8,0.319,0.746,negative
185,23.125,0.235,0.659,negative
39,7.8,0.338,0.882,negative
1,0.077,1,1,positive
116,16.571,0.262,0.788,negative
89,14.833,0.303,0.79,negative
46,6.571,0.304,0.963,negative
29,4.143,0.266,0.813,negative
172,28.667,0.294,0.907,negative
17,3.4,0.471,0.929,negative
1,0.067,1,1,positive
54,18,0.364,0.519,positive
72,3.273,0.52,0.856,negative
76,9.5,0.475,0.87,negative
181,30.167,0.298,0.684,negative
71,8.875,0.407,0.903,negative
72,9,0.399,0.811,negative
94,9.4,0.25,0.721,negative
71,6.455,0.37,0.726,negative
108,10.8,0.297,0.831,negative
64,8,0.336,0.846,negative
33,3.3,0.394,0.645,negative
132,16.5,0.31,0.861,negative
54,3.6,0.323,0.689,negative
44,3.143,0.398,0.766,negative
99,19.8,0.356,0.881,negative
61,4.067,0.247,0.515,negative
59,6.556,0.492,0.861,negative
137,4.893,0.265,0.564,negative
407,31.308,0.266,0.649,negative
408,31.385,0.281,0.677,negative
410,29.286,0.241,0.592,negative
86,8.6,0.423,0.914,negative
409,31.462,0.267,0.582,negative
307,25.583,0.29,0.771,negative
410,16.4,0.272,0.67,negative
34,3.4,0.426,0.656,negative
410,10.789,0.254,0.604,negative
151,11.615,0.302,0.726,negative
66,5.5,0.402,0.78,negative
117,13,0.419,0.947,negative
115,8.846,0.314,0.695,negative
103,8.583,0.353,0.724,negative
79,1.612,0.084,0.179,positive
33,3.667,0.377,0.842,negative
63,5.727,0.332,0.724,negative
14,1.75,0.518,0.964,negative
79,7.182,0.342,0.841,negative
75,7.5,0.428,0.909,negative
107,11.889,0.383,0.858,negative
114,19,0.278,0.741,negative
39,7.8,0.344,0.728,negative
114,16.286,0.253,0.741,negative
90,15,0.298,0.77,negative
28,4.667,0.405,0.804,negative
1,0.143,1,1,positive
46,5.75,0.266,0.886,negative
17,2.125,0.456,0.824,negative
28,4,0.337,0.99,negative
175,25,0.337,0.991,negative
168,9.333,0.187,0.73,negative
58,4.833,0.343,0.803,negative
71,3.227,0.487,0.834,negative
136,9.067,0.24,0.748,negative
76,8.444,0.352,0.813,negative
181,25.857,0.316,0.758,negative
70,8.75,0.371,0.911,negative
217,15.5,0.268,0.632,negative
71,10.143,0.394,0.958,negative
87,3.783,0.286,0.671,negative
93,10.333,0.278,0.847,negative
107,10.7,0.273,0.738,negative
62,7.75,0.357,0.968,negative
84,9.333,0.407,0.878,negative
133,16.625,0.272,0.825,negative
100,16.667,0.345,0.795,negative
51,8.5,0.294,0.775,negative
43,7.167,0.337,0.969,negative
29,4.833,0.333,0.799,negative
35,3.5,0.337,0.714,negative
40,5,0.481,0.988,negative
44,5.5,0.415,0.949,negative
80,6.667,0.324,0.673,negative
89,7.417,0.429,0.879,negative
418,29.857,0.261,0.619,negative
129,10.75,0.303,0.711,negative
77,5.923,0.298,0.7,negative
119,13.222,0.422,0.965,negative
116,8.923,0.292,0.703,negative
104,8.667,0.335,0.758,negative
70,1.795,0.09,0.255,positive
33,3,0.295,0.694,negative
128,12.8,0.355,0.751,negative
14,2,0.49,0.939,negative
84,7,0.331,0.792,negative
107,11.889,0.375,0.861,negative
115,23,0.417,0.92,negative
39,7.8,0.41,0.867,negative
114,28.5,0.393,0.978,negative
90,30,0.511,0.907,negative
172,19.111,0.353,0.799,negative
17,2.125,0.529,0.853,negative
45,5,0.279,0.785,negative
27,3.857,0.344,1,negative
71,3.227,0.519,0.843,negative
190,23.75,0.326,0.63,negative
76,7.6,0.474,0.799,negative
70,8.75,0.463,0.986,negative
71,7.889,0.39,0.768,negative
77,7.7,0.469,0.905,negative
93,11.625,0.324,0.835,negative
107,11.889,0.357,0.875,negative
29,2.636,0.408,0.765,negative
62,6.889,0.348,0.869,negative
130,16.25,0.36,0.876,negative
100,16.667,0.385,0.828,negative
50,8.333,0.397,0.713,negative
44,7.333,0.447,0.811,negative
29,5.8,0.538,0.89,negative
35,3.182,0.351,0.652,negative
40,4.444,0.506,0.964,negative
42,4.667,0.378,0.841,negative
83,6.385,0.373,0.628,negative
234,16.714,0.383,0.634,negative
409,31.462,0.312,0.602,negative
412,15.846,0.32,0.664,negative
152,11.692,0.312,0.714,negative
147,11.308,0.358,0.703,negative
9,1,0.63,0.802,negative
124,12.4,0.473,0.814,negative
121,9.308,0.376,0.69,negative
90,9,0.501,0.868,negative
409,31.462,0.277,0.573,negative
128,10.667,0.339,0.737,negative
410,34.167,0.333,0.661,negative
142,11.833,0.337,0.759,negative
410,34.167,0.324,0.706,negative
291,22.385,0.285,0.627,negative
277,21.308,0.293,0.636,negative
67,5.583,0.403,0.704,negative
119,11.9,0.39,0.81,negative
117,4.875,0.347,0.729,negative
11,3.667,0.364,0.667,positive
71,2.29,0.159,0.296,positive
33,3.3,0.327,0.742,negative
108,12,0.449,0.868,negative
183,22.875,0.288,0.664,negative
39,7.8,0.492,0.872,negative
116,8.286,0.27,0.649,negative
90,15,0.394,0.804,negative
337,30.636,0.175,0.637,negative
16,2.286,0.464,0.884,negative
304,101.33,0.555,0.686,positive
69,3.136,0.516,0.848,negative
74,9.25,0.456,0.887,negative
189,27,0.339,0.704,negative
69,8.625,0.415,0.984,negative
70,8.75,0.388,0.841,negative
91,10.111,0.321,0.908,negative
77,8.556,0.486,0.97,negative
106,11.778,0.309,0.791,negative
62,7.75,0.363,0.925,negative
30,2.308,0.356,0.649,negative
132,16.5,0.311,0.873,negative
101,16.833,0.411,0.876,negative
50,8.333,0.327,0.687,negative
46,7.667,0.315,0.75,negative
29,4.833,0.356,0.684,negative
35,3.5,0.42,0.826,negative
37,4.111,0.517,0.934,negative
43,4.778,0.388,0.886,negative
84,7,0.43,0.703,negative
160,4.848,0.219,0.389,negative
498,41.5,0.307,0.639,negative
58,4.462,0.336,0.599,negative
35,3.889,0.59,0.86,negative
176,14.667,0.302,0.599,negative
442,2.889,0.114,0.215,positive
259,86.333,0.411,0.481,positive
22,2.2,0.491,0.932,negative
124,10.333,0.3,0.869,negative
13,1.444,0.564,0.863,negative
12,1.333,0.62,0.944,negative
37,3.364,0.371,0.899,negative
13,1.444,0.53,0.88,negative
122,10.167,0.26,0.881,negative
5,0.556,0.467,0.556,negative
38,3.455,0.328,0.852,negative
13,1.625,0.587,0.837,negative
497,41.417,0.278,0.751,negative
498,38.308,0.281,0.688,negative
54,5.4,0.378,0.622,negative
37,3.083,0.41,0.748,negative
497,41.417,0.269,0.594,negative
50,4.167,0.345,0.627,negative
61,6.1,0.487,0.834,negative
500,41.667,0.264,0.595,negative
497,41.417,0.297,0.733,negative
25,2.083,0.32,0.643,negative
108,12,0.376,0.815,negative
184,30.667,0.323,0.752,negative
39,7.8,0.328,0.744,negative
116,23.2,0.376,0.784,negative
89,22.25,0.34,0.916,negative
46,6.571,0.298,0.994,negative
27,3.375,0.218,0.852,negative
172,24.571,0.294,0.967,negative
17,2.429,0.412,0.807,negative
71,3.227,0.536,0.876,negative
75,9.375,0.375,0.86,negative
189,31.5,0.324,0.83,negative
70,8.75,0.298,0.914,negative
70,8.75,0.332,0.896,negative
76,8.444,0.436,0.955,negative
93,11.625,0.261,0.937,negative
108,13.5,0.293,0.897,negative
63,9,0.333,0.971,negative
34,3.091,0.364,0.642,negative
123,15.375,0.255,0.827,negative
99,16.5,0.301,0.803,negative
50,10,0.36,0.812,negative
43,8.6,0.265,0.786,negative
28,5.6,0.329,0.871,negative
42,4.667,0.384,0.817,negative
35,3.5,0.331,0.686,negative
40,5,0.463,0.969,negative
286,6.085,0.183,0.317,positive
386,29.692,0.286,0.658,negative
60,6.667,0.413,0.822,negative
67,5.583,0.35,0.693,negative
118,13.111,0.372,0.818,negative
115,4.6,0.296,0.65,negative
96,2.667,0.096,0.207,positive
33,3.667,0.33,0.845,negative
107,13.375,0.384,0.86,negative
183,26.143,0.265,0.664,negative
39,6.5,0.303,0.739,negative
115,16.429,0.273,0.704,negative
88,17.6,0.364,0.775,negative
27,5.4,0.407,0.815,negative
337,30.636,0.179,0.648,negative
17,2.429,0.454,0.866,negative
333,66.6,0.374,0.413,positive
70,3.182,0.525,0.838,negative
74,9.25,0.412,0.845,negative
191,27.286,0.307,0.748,negative
68,8.5,0.336,0.868,negative
69,8.625,0.312,0.842,negative
127,12.7,0.388,0.798,negative
91,10.111,0.233,0.789,negative
105,10.5,0.234,0.811,negative
61,7.625,0.316,0.967,negative
127,15.875,0.314,0.825,negative
30,2.727,0.379,0.739,negative
29,5.8,0.4,0.89,negative
100,14.286,0.294,0.633,negative
50,8.333,0.327,0.777,negative
43,8.6,0.405,0.981,negative
42,4.667,0.45,0.905,negative
35,3.5,0.434,0.803,negative
40,4.444,0.494,0.925,negative
84,6.462,0.35,0.59,negative
249,24.9,0.462,0.842,negative
410,10.789,0.279,0.696,negative
232,19.333,0.316,0.703,negative
67,5.583,0.376,0.751,negative
119,11.9,0.392,0.891,negative
116,9.667,0.331,0.756,negative
104,9.455,0.377,0.779,negative
62,1.442,0.08,0.17,positive
33,3.3,0.294,0.791,negative
101,9.182,0.33,0.734,negative
6,3,0.667,1,positive
108,12,0.364,0.794,negative
185,23.125,0.265,0.611,negative
38,7.6,0.316,0.695,negative
116,16.571,0.309,0.676,negative
89,14.833,0.298,0.758,negative
27,9,0.481,0.926,negative
174,17.4,0.278,0.733,negative
17,2.429,0.555,0.933,negative
28,3.5,0.308,0.835,negative
46,5.75,0.291,0.886,negative
71,3.227,0.499,0.836,negative
75,7.5,0.451,0.86,negative
192,24,0.316,0.746,negative
70,8.75,0.464,0.988,negative
121,12.1,0.415,0.879,negative
71,7.889,0.352,0.897,negative
23,2.091,0.415,0.858,negative
115,4.259,0.293,0.672,negative
90,8.182,0.362,0.808,negative
71,7.889,0.294,0.762,negative
83,8.3,0.425,0.86,negative
132,16.5,0.36,0.921,negative
101,16.833,0.393,0.752,negative
51,8.5,0.454,0.817,negative
45,7.5,0.456,0.967,negative
44,2.75,0.376,0.744,negative
35,3.889,0.397,0.832,negative
42,4.667,0.452,0.942,negative
104,9.455,0.367,0.747,negative
414,31.846,0.357,0.653,negative
181,18.1,0.491,0.866,negative
413,37.545,0.356,0.806,negative
348,26.769,0.308,0.721,negative
414,34.5,0.313,0.734,negative
20,2,0.4,0.605,negative
413,41.3,0.315,0.731,negative
51,5.1,0.41,0.667,negative
69,5.75,0.4,0.74,negative
121,12.1,0.402,0.849,negative
118,9.833,0.35,0.778,negative
105,8.75,0.37,0.717,negative
28,0.848,0.098,0.271,positive
60,3.529,0.139,0.371,positive
33,3.3,0.282,0.839,negative
50,5,0.472,0.812,negative
98,9.8,0.392,0.849,negative
1,0.1,1,1,positive
108,12,0.389,0.88,negative
186,13.286,0.307,0.652,negative
39,6.5,0.466,0.889,negative
89,14.833,0.403,0.82,negative
65,16.25,0.296,0.631,negative
389,55.571,0.167,0.584,negative
3,1,0.778,0.778,negative
45,2.368,0.243,0.582,negative
96,4,0.208,0.504,negative
79,4.389,0.257,0.616,negative
64,2.667,0.227,0.57,negative
48,2.667,0.264,0.524,negative
64,3.556,0.261,0.705,negative
10,0.833,0.442,0.792,negative
35,3.889,0.273,0.654,negative
77,8.556,0.251,0.56,negative
21,2.333,0.302,0.614,negative
23,2.556,0.169,0.319,negative
26,2.6,0.312,0.577,negative
264,29.333,0.261,0.612,negative
7,1.4,0.229,0.6,positive
197,19.7,0.245,0.751,negative
68,7.556,0.335,0.789,negative
17,1.889,0.144,0.458,positive
8,2,0.344,0.531,positive
69,0.812,0.165,0.441,positive
13,1,0.124,0.45,positive
55,7.857,0.374,0.821,negative
41,5.857,0.425,0.993,negative
67,8.375,0.392,0.724,negative
12,1.714,0.476,0.762,negative
26,3.714,0.33,0.786,negative
35,4.375,0.321,0.775,negative
272,27.2,0.279,0.789,negative
272,30.222,0.269,0.696,negative
19,1.357,0.128,0.541,positive
19,1.357,0.113,0.504,positive
271,30.111,0.284,0.677,negative
271,27.1,0.251,0.754,negative
272,27.2,0.232,0.65,negative
14,0.933,0.11,0.338,positive
271,27.1,0.249,0.704,negative
271,30.111,0.292,0.727,negative
24,3.429,0.101,0.298,positive
271,27.1,0.267,0.698,negative
12,2.4,0.133,0.267,positive
5,0.625,0.275,0.45,positive
271,30.111,0.285,0.707,negative
5,1.25,0.35,0.8,positive
272,30.222,0.277,0.67,negative
15,2.143,0.114,0.295,positive
271,33.875,0.314,0.819,negative
13,1.857,0.154,0.484,positive
198,22,0.289,0.681,negative
7,1.75,0.286,1,positive
5,1.25,0.35,0.8,positive
3,0.6,0.467,0.6,positive
4,0.571,0.286,0.357,negative
65,9.286,0.316,0.848,negative
271,11.783,0.126,0.359,negative
29,3.625,0.384,0.884,negative
7,0.875,0.304,0.946,negative
11,1.375,0.318,0.864,negative
69,8.625,0.279,0.687,negative
55,6.875,0.243,0.657,negative
240,30,0.194,0.515,negative
22,3.143,0.156,0.519,negative
272,34,0.189,0.688,negative
272,34,0.186,0.539,negative
271,24.636,0.177,0.588,negative
213,30.429,0.199,0.733,negative
272,24.727,0.168,0.595,negative
9,1.8,0.178,0.533,positive
34,4.25,0.309,0.908,negative
7,0.875,0.393,0.946,negative
15,1.5,0.247,0.72,negative
21,2.625,0.28,0.923,negative
28,3.5,0.299,0.969,negative
60,6,0.203,0.595,negative
12,1.714,0.369,0.857,negative
6,0.857,0.214,0.286,negative
7,1,0.367,1,negative
17,2.833,0.343,0.873,negative
49,0.49,0.093,0.4,positive
30,1.875,0.133,0.471,positive
7,0.7,0.157,0.6,positive
54,6.75,0.245,0.745,negative
179,17.9,0.2,0.758,negative
5,0.833,0.233,0.633,positive
25,3.125,0.33,1,negative
12,2,0.139,0.514,positive
49,0.605,0.113,0.398,positive
271,27.1,0.197,0.748,negative
271,27.1,0.188,0.665,negative
6,1,0.194,0.417,positive
9,1.5,0.148,0.296,positive
272,27.2,0.187,0.649,negative
68,3.238,0.052,0.109,positive
271,27.1,0.199,0.717,negative
47,6.714,0.158,0.289,positive
8,0.615,0.154,0.769,positive
271,24.636,0.198,0.628,negative
1,0.125,0.875,1,positive
9,1.125,0.125,0.319,positive
272,27.2,0.211,0.772,negative
272,27.2,0.206,0.786,negative
49,24.5,0.51,0.51,positive
10,1.429,0.286,0.886,negative
9,1.5,0.352,0.87,negative
10,1.25,0.313,0.675,negative
9,2.25,0.417,1,negative
25,3.125,0.28,0.825,negative
37,4.625,0.334,0.993,negative
51,5.1,0.22,0.841,negative
100,10,0.212,0.702,negative
31,3.875,0.298,0.871,negative
5,0.714,0.2,0.429,negative
240,30,0.193,0.635,negative
11,1.571,0.351,0.87,negative
236,23.6,0.183,0.572,negative
135,16.875,0.077,0.294,negative
272,34,0.187,0.568,negative
62,7.75,0.218,0.629,negative
38,5.429,0.308,0.789,negative
272,34,0.197,0.629,negative
261,26.1,0.183,0.515,negative
271,33.875,0.217,0.786,negative
245,30.625,0.198,0.555,negative
272,27.2,0.191,0.578,negative
272,24.727,0.171,0.61,negative
271,27.1,0.173,0.557,negative
108,13.5,0.235,0.618,negative
125,12.5,0.19,0.526,negative
24,4,0.292,0.764,negative
37,4.625,0.182,0.649,negative
98,12.25,0.282,0.864,negative
93,9.3,0.206,0.794,negative
23,3.286,0.373,0.851,negative
271,24.636,0.162,0.542,negative
271,24.636,0.176,0.671,negative
71,8.875,0.238,0.701,negative
60,6,0.223,0.607,negative
47,4.7,0.223,0.706,negative
7,1,0.429,1,negative
38,5.429,0.327,0.951,negative
12,2.4,0.267,0.733,negative
234,23.4,0.188,0.614,negative
271,27.1,0.187,0.602,negative
189,17.182,0.174,0.613,negative
65,8.125,0.269,0.725,negative
147,14.7,0.168,0.55,negative
271,24.636,0.168,0.598,negative
261,32.625,0.218,0.773,negative
271,27.1,0.193,0.769,negative
173,17.3,0.09,0.375,negative
197,19.7,0.144,0.589,negative
258,28.667,0.173,0.581,negative
96,12,0.111,0.479,negative
271,27.1,0.176,0.574,negative
271,27.1,0.193,0.693,negative
48,6.857,0.292,0.804,negative
243,22.091,0.117,0.342,negative
88,11,0.195,0.756,negative
78,9.75,0.244,0.745,negative
175,19.444,0.19,0.568,negative
17,2.429,0.328,0.731,negative
14,2,0.357,0.959,negative
46,5.75,0.285,0.791,negative
34,3.778,0.225,0.755,negative
7,1,0.347,0.939,negative
11,1.571,0.351,0.87,negative
14,2,0.357,0.867,negative
21,3,0.313,0.966,negative
8,1.143,0.25,0.768,negative
29,4.143,0.281,0.842,negative
271,27.1,0.168,0.612,negative
71,8.875,0.136,0.384,negative
25,3.125,0.24,0.91,negative
238,26.444,0.168,0.614,negative
187,31.167,0.188,0.591,negative
17,2.833,0.245,0.598,negative
15,2.5,0.278,0.744,negative
215,21.5,0.133,0.464,negative
103,9.364,0.156,0.576,negative
263,32.875,0.154,0.549,negative
15,1.875,0.3,0.642,negative
26,3.25,0.264,0.62,negative
7,3.5,0.5,0.929,negative
7,1,0.286,0.633,negative
30,4.286,0.295,0.876,negative
18,2.571,0.31,0.96,negative
29,3.625,0.207,0.651,negative
20,3.333,0.175,0.792,negative
18,3.6,0.378,0.956,negative
8,1.6,0.425,1,negative
7,1.4,0.4,0.657,negative
12,2.4,0.383,0.883,negative
126,15.75,0.188,0.685,negative
21,2.625,0.262,0.696,negative
99,12.375,0.199,0.662,negative
81,9,0.187,0.542,negative
69,11.5,0.28,0.744,negative
80,10,0.184,0.544,negative
128,18.286,0.203,0.663,negative
10,10,0.8,1,negative
11,0.014,0.191,0.233,positive
129,21.5,0.195,0.565,negative
52,10.4,0.208,0.542,negative
12,2.4,0.317,0.75,negative
21,4.2,0.295,0.733,negative
6,1.2,0.333,0.967,negative
38,7.6,0.426,0.989,negative
13,2.6,0.308,0.831,negative
6,1.2,0.367,0.767,negative
15,3,0.4,0.947,negative
53,10.6,0.223,0.611,negative
34,6.8,0.224,0.606,negative
30,6,0.36,0.947,negative
25,4.167,0.34,0.887,negative
2,0.333,0.583,1,negative
12,1.5,0.208,0.771,negative
14,2,0.255,0.735,negative
14,2,0.337,0.99,negative
8,1.143,0.357,1,negative
9,1.286,0.317,0.984,negative
4,0.571,0.357,0.571,negative
32,4.571,0.339,0.786,negative
29,3.222,0.234,0.709,negative
4,0.8,0.35,0.85,negative
8,1.6,0.425,0.975,negative
11,2.75,0.364,0.955,negative
50,8.333,0.213,0.577,negative
28,4.667,0.149,0.375,negative
43,8.6,0.233,0.8,negative
75,15,0.259,0.867,negative
18,4.5,0.333,0.667,negative
16,1.778,0.222,0.479,negative
79,7.9,0.163,0.42,negative
158,17.556,0.217,0.535,negative
114,114,0.939,1,positive
41,41,0.927,1,positive
6,1.5,0.333,0.792,negative
49,8.167,0.241,0.633,negative
32,5.333,0.292,0.698,negative
37,5.286,0.243,0.71,negative
19,3.167,0.254,0.956,negative
28,4.667,0.292,0.875,negative
12,2,0.319,0.653,negative
28,7,0.455,1,negative
33,33,0.667,1,positive
29,2.071,0.14,0.502,negative
106,106,0.858,1,positive
12,1.2,0.183,0.392,negative
16,1.778,0.16,0.5,negative
16,1.778,0.208,0.542,negative
11,1.375,0.159,0.477,negative
27,3.857,0.164,0.397,negative
6,1,0.306,0.556,negative
13,2.167,0.295,0.897,negative
41,5.857,0.209,0.652,negative
41,5.857,0.22,0.756,negative
7,1.167,0.405,0.833,negative
13,2.167,0.295,0.872,negative
41,6.833,0.232,0.927,negative
40,6.667,0.221,0.983,negative
7,1.167,0.31,0.786,negative
12,3,0.146,1,negative
41,5.857,0.213,0.861,negative
40,6.667,0.313,0.996,negative
12,12,0.583,1,negative
11,1.833,0.333,0.803,negative
12,3,0.292,1,negative
41,6.833,0.224,0.85,negative
40,5.714,0.229,0.686,negative
23,2.556,0.213,0.507,negative
23,2.556,0.246,0.57,negative
17,2.125,0.265,0.566,negative
37,5.286,0.301,0.691,negative
54,7.714,0.267,0.619,negative
32,6.4,0.431,0.988,negative
13,2.6,0.415,0.938,negative
17,2.833,0.255,0.745,negative
13,2.167,0.308,0.872,negative
14,2.333,0.274,0.893,negative
14,2.333,0.274,0.929,negative
17,2.833,0.382,0.951,negative
13,2.6,0.262,0.692,negative
13,2.6,0.246,0.831,negative
14,3.5,0.268,0.732,negative
24,4,0.257,0.771,negative
13,2.167,0.282,0.936,negative
41,5.857,0.185,0.638,negative
41,5.857,0.226,0.784,negative
27,27,0.407,1,positive
41,41,0.78,1,positive
12,1.2,0.225,0.558,negative
21,2.333,0.175,0.513,negative
15,1.667,0.178,0.556,negative
17,1.889,0.183,0.529,negative
19,1.9,0.142,0.326,negative
12,1.2,0.142,0.317,negative
16,2,0.242,0.602,negative
16,2.286,0.25,0.527,negative
22,22,0.5,1,positive
9,3,0.296,1,negative
58,5.8,0.081,0.224,negative
182,26,0.203,0.62,negative
73,8.111,0.174,0.434,negative
107,11.889,0.204,0.683,negative
18,2,0.278,0.716,negative
125,17.857,0.27,0.858,negative
53,5.3,0.215,0.781,negative
43,5.375,0.212,0.721,negative
8,1.143,0.375,0.964,negative
30,3.75,0.233,0.833,negative
59,9.833,0.268,0.692,negative
7,1.167,0.262,0.786,negative
17,3.4,0.4,0.965,negative
3,0.6,0.6,1,negative
6,0.857,0.476,0.881,negative
33,4.714,0.342,0.74,negative
19,2.714,0.406,1,negative
17,2.429,0.395,0.782,negative
16,2.286,0.304,0.696,negative
19,2.111,0.269,0.643,negative
18,2.571,0.27,0.714,negative
6,1,0.361,0.778,negative
11,2.2,0.345,0.873,negative
16,3.2,0.425,1,negative
8,1.6,0.6,0.975,negative
29,4.143,0.286,0.67,negative
21,2.333,0.243,0.757,negative
46,5.111,0.242,0.737,negative
8,0.889,0.264,1,negative
55,6.111,0.251,0.808,negative
23,2.875,0.277,0.832,negative
49,7,0.318,0.735,negative
17,3.4,0.412,0.941,negative
3,0.6,0.6,0.867,negative
26,3.25,0.25,0.808,negative
27,3.375,0.208,0.852,negative
14,2,0.327,1,negative
18,2.571,0.206,0.651,negative
9,1.286,0.349,0.905,negative
4,0.571,0.286,0.964,negative
14,2,0.296,0.898,negative
19,2.714,0.331,0.767,negative
27,3.375,0.269,0.764,negative
4,0.571,0.321,1,negative
38,5.429,0.301,0.85,negative
33,4.714,0.299,0.848,negative
9,1.286,0.365,0.857,negative
6,0.857,0.452,1,negative
30,4.286,0.352,0.79,negative
8,1.143,0.286,0.732,negative
46,5.111,0.242,0.575,negative
220,24.444,0.23,0.758,negative
38,4.75,0.25,0.73,negative
251,27.889,0.187,0.672,negative
151,15.1,0.193,0.77,negative
29,4.143,0.305,0.837,negative
13,1.857,0.264,0.648,negative
54,7.714,0.254,0.608,negative
7,1,0.408,0.857,negative
11,1.571,0.312,0.844,negative
49,5.444,0.265,0.744,negative
27,3.857,0.28,0.947,negative
21,3,0.354,0.939,negative
19,2.714,0.346,1,negative
41,5.125,0.232,0.527,negative
63,7.875,0.256,0.694,negative
47,5.875,0.221,0.702,negative
56,6.222,0.21,0.603,negative
22,2.444,0.192,0.697,negative
5,0.556,0.244,0.867,negative
22,3.667,0.326,1,negative
16,2.286,0.259,0.705,negative
81,10.125,0.221,0.591,negative
15,3,0.36,0.933,negative
5,1,0.44,1,negative
135,15,0.249,0.626,negative
21,3,0.34,0.85,negative
87,12.429,0.232,0.589,negative
8,1.143,0.375,1,negative
35,5,0.31,1,negative
14,2,0.388,0.847,negative
11,1.571,0.364,0.922,negative
13,1.857,0.297,0.835,negative
9,1.286,0.317,0.81,negative
41,5.857,0.345,0.777,negative
46,6.571,0.354,1,negative
20,2.857,0.35,0.757,negative
14,2.8,0.414,0.943,negative
262,26.2,0.179,0.606,negative
49,4.9,0.196,0.751,negative
21,3,0.327,0.728,negative
49,5.444,0.231,0.685,negative
23,3.286,0.248,0.944,negative
5,0.714,0.257,0.571,negative
37,4.111,0.213,0.706,negative
17,2.833,0.275,0.824,negative
11,1.833,0.303,0.712,negative
6,1,0.417,0.944,negative
214,23.778,0.23,0.748,negative
43,6.143,0.246,0.947,negative
56,6.222,0.196,0.617,negative
11,1.571,0.312,0.987,negative
33,4.714,0.342,0.848,negative
23,2.875,0.31,0.88,negative
23,3.286,0.329,1,negative
