Height,Lenght,Eccen,P_black,P_and,Blackand,Wb_trans,Class
10,197,19.7,0.245,0.751,1479,258,negative
9,68,7.556,0.335,0.789,483,88,negative
9,17,1.889,0.144,0.458,70,7,positive
4,8,2,0.344,0.531,17,2,positive
85,69,0.812,0.165,0.441,2588,674,positive
13,13,1,0.124,0.45,76,6,positive
7,55,7.857,0.374,0.821,316,69,negative
7,41,5.857,0.425,0.993,285,62,negative
8,67,8.375,0.392,0.724,388,91,negative
7,12,1.714,0.476,0.762,64,14,negative
7,26,3.714,0.33,0.786,143,29,negative
8,35,4.375,0.321,0.775,217,51,negative
10,272,27.2,0.279,0.789,2147,382,negative
9,272,30.222,0.269,0.696,1704,342,negative
14,19,1.357,0.128,0.541,144,12,positive
14,19,1.357,0.113,0.504,134,1,positive
9,271,30.111,0.284,0.677,1651,358,negative
10,271,27.1,0.251,0.754,2044,362,negative
10,272,27.2,0.232,0.65,1767,319,negative
15,14,0.933,0.11,0.338,71,12,positive
10,271,27.1,0.249,0.704,1908,358,negative
9,271,30.111,0.292,0.727,1774,374,negative
7,24,3.429,0.101,0.298,50,9,positive
10,271,27.1,0.267,0.698,1892,369,negative
5,12,2.4,0.133,0.267,16,2,positive
8,5,0.625,0.275,0.45,18,3,positive
9,271,30.111,0.285,0.707,1724,382,negative
4,5,1.25,0.35,0.8,16,3,positive
9,272,30.222,0.277,0.67,1640,365,negative
7,15,2.143,0.114,0.295,31,5,positive
8,271,33.875,0.314,0.819,1775,375,negative
7,13,1.857,0.154,0.484,44,7,positive
9,198,22,0.289,0.681,1213,274,negative
4,7,1.75,0.286,1,28,4,positive
4,5,1.25,0.35,0.8,16,3,positive
5,3,0.6,0.467,0.6,9,2,positive
7,4,0.571,0.286,0.357,10,1,negative
7,65,9.286,0.316,0.848,386,95,negative
23,271,11.783,0.126,0.359,2239,420,negative
8,29,3.625,0.384,0.884,205,43,negative
8,7,0.875,0.304,0.946,53,11,negative
8,11,1.375,0.318,0.864,76,21,negative
8,69,8.625,0.279,0.687,379,103,negative
8,55,6.875,0.243,0.657,289,77,negative
8,240,30,0.194,0.515,988,279,negative
7,22,3.143,0.156,0.519,80,15,negative
8,272,34,0.189,0.688,1497,311,negative
8,272,34,0.186,0.539,1172,299,negative
11,271,24.636,0.177,0.588,1752,353,negative
7,213,30.429,0.199,0.733,1093,237,negative
11,272,24.727,0.168,0.595,1781,352,negative
5,9,1.8,0.178,0.533,24,5,positive
8,34,4.25,0.309,0.908,247,56,negative
8,7,0.875,0.393,0.946,53,11,negative
10,15,1.5,0.247,0.72,108,23,negative
8,21,2.625,0.28,0.923,155,34,negative
8,28,3.5,0.299,0.969,217,42,negative
10,60,6,0.203,0.595,357,85,negative
7,12,1.714,0.369,0.857,72,20,negative
7,6,0.857,0.214,0.286,12,1,negative
7,7,1,0.367,1,49,13,negative
6,17,2.833,0.343,0.873,89,27,negative
100,49,0.49,0.093,0.4,1958,259,positive
16,30,1.875,0.133,0.471,226,28,positive
10,7,0.7,0.157,0.6,42,7,positive
8,54,6.75,0.245,0.745,322,82,negative
10,179,17.9,0.2,0.758,1356,254,negative
6,5,0.833,0.233,0.633,19,4,positive
8,25,3.125,0.33,1,200,40,negative
6,12,2,0.139,0.514,37,7,positive
81,49,0.605,0.113,0.398,1580,199,positive
10,271,27.1,0.197,0.748,2027,386,negative
10,271,27.1,0.188,0.665,1803,388,negative
6,6,1,0.194,0.417,15,2,positive
6,9,1.5,0.148,0.296,16,2,positive
10,272,27.2,0.187,0.649,1765,368,negative
21,68,3.238,0.052,0.109,156,13,positive
10,271,27.1,0.199,0.717,1942,381,negative
7,47,6.714,0.158,0.289,95,9,positive
13,8,0.615,0.154,0.769,80,15,positive
11,271,24.636,0.198,0.628,1872,388,negative
8,1,0.125,0.875,1,8,1,positive
8,9,1.125,0.125,0.319,23,2,positive
10,272,27.2,0.211,0.772,2101,401,negative
10,272,27.2,0.206,0.786,2139,399,negative
2,49,24.5,0.51,0.51,50,1,positive
7,10,1.429,0.286,0.886,62,11,negative
6,9,1.5,0.352,0.87,47,12,negative
8,10,1.25,0.313,0.675,54,13,negative
4,9,2.25,0.417,1,36,9,negative
8,25,3.125,0.28,0.825,165,35,negative
8,37,4.625,0.334,0.993,294,77,negative
10,51,5.1,0.22,0.841,429,87,negative
10,100,10,0.212,0.702,702,146,negative
8,31,3.875,0.298,0.871,216,51,negative
7,5,0.714,0.2,0.429,15,1,negative
8,240,30,0.193,0.635,1220,264,negative
7,11,1.571,0.351,0.87,67,15,negative
10,236,23.6,0.183,0.572,1349,330,negative
8,135,16.875,0.077,0.294,317,54,negative
8,272,34,0.187,0.568,1236,288,negative
8,62,7.75,0.218,0.629,312,69,negative
7,38,5.429,0.308,0.789,210,53,negative
8,272,34,0.197,0.629,1369,310,negative
10,261,26.1,0.183,0.515,1343,321,negative
8,271,33.875,0.217,0.786,1704,364,negative
8,245,30.625,0.198,0.555,1088,286,negative
10,272,27.2,0.191,0.578,1571,348,negative
11,272,24.727,0.171,0.61,1824,348,negative
10,271,27.1,0.173,0.557,1510,318,negative
8,108,13.5,0.235,0.618,534,144,negative
10,125,12.5,0.19,0.526,657,170,negative
6,24,4,0.292,0.764,110,27,negative
8,37,4.625,0.182,0.649,192,40,negative
8,98,12.25,0.282,0.864,677,156,negative
10,93,9.3,0.206,0.794,738,130,negative
7,23,3.286,0.373,0.851,137,35,negative
11,271,24.636,0.162,0.542,1616,355,negative
11,271,24.636,0.176,0.671,2001,378,negative
8,71,8.875,0.238,0.701,398,92,negative
10,60,6,0.223,0.607,364,91,negative
10,47,4.7,0.223,0.706,332,65,negative
7,7,1,0.429,1,49,11,negative
7,38,5.429,0.327,0.951,253,63,negative
5,12,2.4,0.267,0.733,44,9,negative
10,234,23.4,0.188,0.614,1437,319,negative
10,271,27.1,0.187,0.602,1632,375,negative
11,189,17.182,0.174,0.613,1275,256,negative
8,65,8.125,0.269,0.725,377,100,negative
10,147,14.7,0.168,0.55,809,191,negative
11,271,24.636,0.168,0.598,1784,371,negative
8,261,32.625,0.218,0.773,1615,340,negative
10,271,27.1,0.193,0.769,2084,409,negative
10,173,17.3,0.09,0.375,649,102,negative
10,197,19.7,0.144,0.589,1160,228,negative
9,258,28.667,0.173,0.581,1350,313,negative
8,96,12,0.111,0.479,368,63,negative
10,271,27.1,0.176,0.574,1556,342,negative
10,271,27.1,0.193,0.693,1878,380,negative
7,48,6.857,0.292,0.804,270,64,negative
11,243,22.091,0.117,0.342,914,223,negative
8,88,11,0.195,0.756,532,92,negative
8,78,9.75,0.244,0.745,465,113,negative
9,175,19.444,0.19,0.568,894,221,negative
7,17,2.429,0.328,0.731,87,27,negative
7,14,2,0.357,0.959,94,19,negative
8,46,5.75,0.285,0.791,291,74,negative
9,34,3.778,0.225,0.755,231,44,negative
7,7,1,0.347,0.939,46,9,negative
7,11,1.571,0.351,0.87,67,18,negative
7,14,2,0.357,0.867,85,20,negative
7,21,3,0.313,0.966,142,31,negative
7,8,1.143,0.25,0.768,43,9,negative
7,29,4.143,0.281,0.842,171,39,negative
10,271,27.1,0.168,0.612,1659,351,negative
8,71,8.875,0.136,0.384,218,59,negative
8,25,3.125,0.24,0.91,182,33,negative
9,238,26.444,0.168,0.614,1316,285,negative
6,187,31.167,0.188,0.591,663,168,negative
6,17,2.833,0.245,0.598,61,16,negative
6,15,2.5,0.278,0.744,67,13,negative
10,215,21.5,0.133,0.464,997,239,negative
11,103,9.364,0.156,0.576,653,123,negative
8,263,32.875,0.154,0.549,1156,274,negative
8,15,1.875,0.3,0.642,77,23,negative
8,26,3.25,0.264,0.62,129,38,negative
2,7,3.5,0.5,0.929,13,2,negative
7,7,1,0.286,0.633,31,9,negative
7,30,4.286,0.295,0.876,184,35,negative
7,18,2.571,0.31,0.96,121,28,negative
8,29,3.625,0.207,0.651,151,30,negative
6,20,3.333,0.175,0.792,95,14,negative
5,18,3.6,0.378,0.956,86,21,negative
5,8,1.6,0.425,1,40,9,negative
5,7,1.4,0.4,0.657,23,6,negative
5,12,2.4,0.383,0.883,53,12,negative
8,126,15.75,0.188,0.685,690,149,negative
8,21,2.625,0.262,0.696,117,29,negative
8,99,12.375,0.199,0.662,524,114,negative
9,81,9,0.187,0.542,395,91,negative
6,69,11.5,0.28,0.744,308,83,negative
8,80,10,0.184,0.544,348,84,negative
7,128,18.286,0.203,0.663,594,137,negative
1,10,10,0.8,1,10,2,negative
804,11,0.014,0.191,0.233,2058,108,positive
6,129,21.5,0.195,0.565,437,112,negative
5,52,10.4,0.208,0.542,141,40,negative
5,12,2.4,0.317,0.75,45,13,negative
5,21,4.2,0.295,0.733,77,21,negative
5,6,1.2,0.333,0.967,29,4,negative
5,38,7.6,0.426,0.989,188,57,negative
5,13,2.6,0.308,0.831,54,11,negative
5,6,1.2,0.367,0.767,23,3,negative
5,15,3,0.4,0.947,71,18,negative
5,53,10.6,0.223,0.611,162,46,negative
5,34,6.8,0.224,0.606,103,29,negative
5,30,6,0.36,0.947,142,43,negative
6,25,4.167,0.34,0.887,133,36,negative
6,2,0.333,0.583,1,12,1,negative
8,12,1.5,0.208,0.771,74,18,negative
7,14,2,0.255,0.735,72,16,negative
7,14,2,0.337,0.99,97,20,negative
7,8,1.143,0.357,1,56,7,negative
7,9,1.286,0.317,0.984,62,9,negative
7,4,0.571,0.357,0.571,16,2,negative
7,32,4.571,0.339,0.786,176,52,negative
9,29,3.222,0.234,0.709,185,47,negative
5,4,0.8,0.35,0.85,17,4,negative
5,8,1.6,0.425,0.975,39,11,negative
4,11,2.75,0.364,0.955,42,12,negative
6,50,8.333,0.213,0.577,173,49,negative
6,28,4.667,0.149,0.375,63,17,negative
5,43,8.6,0.233,0.8,172,37,negative
5,75,15,0.259,0.867,325,82,negative
4,18,4.5,0.333,0.667,48,14,negative
9,16,1.778,0.222,0.479,69,24,negative
10,79,7.9,0.163,0.42,332,103,negative
9,158,17.556,0.217,0.535,761,212,negative
1,114,114,0.939,1,114,5,positive
1,41,41,0.927,1,41,3,positive
4,6,1.5,0.333,0.792,19,4,negative
6,49,8.167,0.241,0.633,186,50,negative
6,32,5.333,0.292,0.698,134,41,negative
7,37,5.286,0.243,0.71,184,47,negative
6,19,3.167,0.254,0.956,109,25,negative
6,28,4.667,0.292,0.875,147,38,negative
6,12,2,0.319,0.653,47,11,negative
4,28,7,0.455,1,112,40,negative
1,33,33,0.667,1,33,6,positive
14,29,2.071,0.14,0.502,204,35,negative
1,106,106,0.858,1,106,6,positive
10,12,1.2,0.183,0.392,47,10,negative
9,16,1.778,0.16,0.5,72,12,negative
9,16,1.778,0.208,0.542,78,14,negative
8,11,1.375,0.159,0.477,42,8,negative
7,27,3.857,0.164,0.397,75,12,negative
6,6,1,0.306,0.556,20,3,negative
6,13,2.167,0.295,0.897,70,14,negative
7,41,5.857,0.209,0.652,187,44,negative
7,41,5.857,0.22,0.756,217,43,negative
6,7,1.167,0.405,0.833,35,9,negative
6,13,2.167,0.295,0.872,68,16,negative
6,41,6.833,0.232,0.927,228,44,negative
6,40,6.667,0.221,0.983,236,42,negative
6,7,1.167,0.31,0.786,33,7,negative
4,12,3,0.146,1,48,7,negative
7,41,5.857,0.213,0.861,247,46,negative
6,40,6.667,0.313,0.996,239,59,negative
1,12,12,0.583,1,12,4,negative
6,11,1.833,0.333,0.803,53,13,negative
4,12,3,0.292,1,48,10,negative
6,41,6.833,0.224,0.85,209,46,negative
7,40,5.714,0.229,0.686,192,50,negative
9,23,2.556,0.213,0.507,105,28,negative
9,23,2.556,0.246,0.57,118,28,negative
8,17,2.125,0.265,0.566,77,21,negative
7,37,5.286,0.301,0.691,179,43,negative
7,54,7.714,0.267,0.619,234,71,negative
5,32,6.4,0.431,0.988,158,47,negative
5,13,2.6,0.415,0.938,61,16,negative
6,17,2.833,0.255,0.745,76,22,negative
6,13,2.167,0.308,0.872,68,15,negative
6,14,2.333,0.274,0.893,75,14,negative
6,14,2.333,0.274,0.929,78,18,negative
6,17,2.833,0.382,0.951,97,24,negative
5,13,2.6,0.262,0.692,45,12,negative
5,13,2.6,0.246,0.831,54,12,negative
4,14,3.5,0.268,0.732,41,9,negative
6,24,4,0.257,0.771,111,26,negative
6,13,2.167,0.282,0.936,73,14,negative
7,41,5.857,0.185,0.638,183,35,negative
7,41,5.857,0.226,0.784,225,44,negative
1,27,27,0.407,1,27,6,positive
1,41,41,0.78,1,41,7,positive
10,12,1.2,0.225,0.558,67,10,negative
9,21,2.333,0.175,0.513,97,20,negative
9,15,1.667,0.178,0.556,75,15,negative
9,17,1.889,0.183,0.529,81,16,negative
10,19,1.9,0.142,0.326,62,9,negative
10,12,1.2,0.142,0.317,38,6,negative
8,16,2,0.242,0.602,77,16,negative
7,16,2.286,0.25,0.527,59,14,negative
1,22,22,0.5,1,22,6,positive
3,9,3,0.296,1,27,6,negative
10,58,5.8,0.081,0.224,130,29,negative
7,182,26,0.203,0.62,790,204,negative
9,73,8.111,0.174,0.434,285,79,negative
9,107,11.889,0.204,0.683,658,138,negative
9,18,2,0.278,0.716,116,27,negative
7,125,17.857,0.27,0.858,751,168,negative
10,53,5.3,0.215,0.781,414,79,negative
8,43,5.375,0.212,0.721,248,52,negative
7,8,1.143,0.375,0.964,54,13,negative
8,30,3.75,0.233,0.833,200,45,negative
6,59,9.833,0.268,0.692,245,75,negative
6,7,1.167,0.262,0.786,33,6,negative
5,17,3.4,0.4,0.965,82,26,negative
5,3,0.6,0.6,1,15,2,negative
7,6,0.857,0.476,0.881,37,11,negative
7,33,4.714,0.342,0.74,171,53,negative
7,19,2.714,0.406,1,133,32,negative
7,17,2.429,0.395,0.782,93,26,negative
7,16,2.286,0.304,0.696,78,25,negative
9,19,2.111,0.269,0.643,110,34,negative
7,18,2.571,0.27,0.714,90,25,negative
6,6,1,0.361,0.778,28,8,negative
5,11,2.2,0.345,0.873,48,13,negative
5,16,3.2,0.425,1,80,25,negative
5,8,1.6,0.6,0.975,39,11,negative
7,29,4.143,0.286,0.67,136,34,negative
9,21,2.333,0.243,0.757,143,35,negative
9,46,5.111,0.242,0.737,305,68,negative
9,8,0.889,0.264,1,72,15,negative
9,55,6.111,0.251,0.808,400,87,negative
8,23,2.875,0.277,0.832,153,30,negative
7,49,7,0.318,0.735,252,71,negative
5,17,3.4,0.412,0.941,80,20,negative
5,3,0.6,0.6,0.867,13,2,negative
8,26,3.25,0.25,0.808,168,38,negative
8,27,3.375,0.208,0.852,184,31,negative
7,14,2,0.327,1,98,20,negative
7,18,2.571,0.206,0.651,82,12,negative
7,9,1.286,0.349,0.905,57,10,negative
7,4,0.571,0.286,0.964,27,1,negative
7,14,2,0.296,0.898,88,18,negative
7,19,2.714,0.331,0.767,102,31,negative
8,27,3.375,0.269,0.764,165,45,negative
7,4,0.571,0.321,1,28,3,negative
7,38,5.429,0.301,0.85,226,55,negative
7,33,4.714,0.299,0.848,196,48,negative
7,9,1.286,0.365,0.857,54,13,negative
7,6,0.857,0.452,1,42,10,negative
7,30,4.286,0.352,0.79,166,48,negative
7,8,1.143,0.286,0.732,41,9,negative
9,46,5.111,0.242,0.575,238,70,negative
9,220,24.444,0.23,0.758,1501,316,negative
8,38,4.75,0.25,0.73,222,55,negative
9,251,27.889,0.187,0.672,1517,317,negative
10,151,15.1,0.193,0.77,1162,197,negative
7,29,4.143,0.305,0.837,170,42,negative
7,13,1.857,0.264,0.648,59,17,negative
7,54,7.714,0.254,0.608,230,69,negative
7,7,1,0.408,0.857,42,9,negative
7,11,1.571,0.312,0.844,65,16,negative
9,49,5.444,0.265,0.744,328,73,negative
7,27,3.857,0.28,0.947,179,40,negative
7,21,3,0.354,0.939,138,32,negative
7,19,2.714,0.346,1,133,32,negative
8,41,5.125,0.232,0.527,173,49,negative
8,63,7.875,0.256,0.694,350,85,negative
8,47,5.875,0.221,0.702,264,66,negative
9,56,6.222,0.21,0.603,304,84,negative
9,22,2.444,0.192,0.697,138,29,negative
9,5,0.556,0.244,0.867,39,5,negative
6,22,3.667,0.326,1,132,33,negative
7,16,2.286,0.259,0.705,79,21,negative
8,81,10.125,0.221,0.591,383,111,negative
5,15,3,0.36,0.933,70,20,negative
5,5,1,0.44,1,25,7,negative
9,135,15,0.249,0.626,761,193,negative
7,21,3,0.34,0.85,125,37,negative
7,87,12.429,0.232,0.589,359,111,negative
7,8,1.143,0.375,1,56,13,negative
7,35,5,0.31,1,245,49,negative
7,14,2,0.388,0.847,83,23,negative
7,11,1.571,0.364,0.922,71,16,negative
7,13,1.857,0.297,0.835,76,16,negative
7,9,1.286,0.317,0.81,51,13,negative
7,41,5.857,0.345,0.777,223,64,negative
7,46,6.571,0.354,1,322,78,negative
7,20,2.857,0.35,0.757,106,31,negative
5,14,2.8,0.414,0.943,66,21,negative
10,262,26.2,0.179,0.606,1587,344,negative
10,49,4.9,0.196,0.751,368,76,negative
7,21,3,0.327,0.728,107,34,negative
9,49,5.444,0.231,0.685,302,70,negative
7,23,3.286,0.248,0.944,152,33,negative
7,5,0.714,0.257,0.571,20,4,negative
9,37,4.111,0.213,0.706,235,46,negative
6,17,2.833,0.275,0.824,84,21,negative
6,11,1.833,0.303,0.712,47,13,negative
6,6,1,0.417,0.944,34,10,negative
9,214,23.778,0.23,0.748,1440,307,negative
7,43,6.143,0.246,0.947,285,56,negative
9,56,6.222,0.196,0.617,311,80,negative
7,11,1.571,0.312,0.987,76,20,negative
7,33,4.714,0.342,0.848,196,40,negative
8,23,2.875,0.31,0.88,162,31,negative
7,23,3.286,0.329,1,161,38,negative
7,11,1.571,0.351,0.922,71,17,negative
7,20,2.857,0.364,0.871,122,35,negative
7,49,7,0.3,0.72,247,77,negative
10,38,3.8,0.195,0.55,209,50,negative
7,15,2.143,0.314,1,105,21,negative
7,66,9.429,0.294,0.924,427,93,negative
9,54,6,0.27,0.852,414,88,negative
9,49,5.444,0.272,0.791,349,87,negative
8,11,1.375,0.25,0.83,73,17,negative
7,36,5.143,0.365,0.96,242,55,negative
7,29,4.143,0.36,0.936,190,52,negative
7,11,1.571,0.351,0.961,74,20,negative
7,26,3.714,0.352,1,182,47,negative
7,9,1.286,0.286,0.968,61,15,negative
7,31,4.429,0.276,0.788,171,48,negative
7,9,1.286,0.381,0.952,60,13,negative
8,27,3.375,0.236,0.685,148,39,negative
8,4,0.5,0.375,1,32,5,negative
8,5,0.625,0.375,0.95,38,9,negative
5,5,1,0.52,1,25,6,negative
7,15,2.143,0.229,0.981,103,17,negative
7,37,5.286,0.305,1,259,54,negative
7,9,1.286,0.302,0.905,57,13,negative
7,11,1.571,0.364,1,77,21,negative
7,19,2.714,0.361,0.917,122,32,negative
7,8,1.143,0.357,0.893,50,9,negative
9,55,6.111,0.259,0.699,346,87,negative
7,29,4.143,0.365,0.946,192,37,negative
7,4,0.571,0.25,0.857,24,3,negative
7,14,2,0.337,0.98,96,18,negative
7,17,2.429,0.286,0.916,109,26,negative
7,38,5.429,0.226,0.639,170,43,negative
8,23,2.875,0.239,0.554,102,25,negative
9,41,4.556,0.244,0.661,244,68,negative
6,33,5.5,0.268,0.848,168,38,negative
6,4,0.667,0.458,1,24,5,negative
6,19,3.167,0.36,0.711,81,26,negative
6,49,8.167,0.286,0.694,204,61,negative
7,13,1.857,0.297,0.857,78,23,negative
7,13,1.857,0.374,0.978,89,19,negative
7,30,4.286,0.305,0.871,183,39,negative
7,14,2,0.378,1,98,19,negative
7,14,2,0.337,0.786,77,24,negative
7,18,2.571,0.365,0.968,122,23,negative
7,7,1,0.245,1,49,7,negative
7,26,3.714,0.269,0.929,169,40,negative
6,17,2.833,0.324,1,102,25,negative
6,9,1.5,0.296,0.796,43,13,negative
6,26,4.333,0.34,0.974,152,40,negative
5,5,1,0.36,1,25,7,negative
9,48,5.333,0.273,0.685,296,83,negative
7,31,4.429,0.313,0.853,185,43,negative
7,42,6,0.333,0.844,248,67,negative
7,46,6.571,0.304,0.745,240,64,negative
5,11,2.2,0.455,1,55,15,negative
9,21,2.333,0.206,0.778,147,32,negative
9,58,6.444,0.203,0.531,277,79,negative
9,49,5.444,0.265,0.653,288,86,negative
9,8,0.889,0.222,0.736,53,9,negative
9,22,2.444,0.227,0.934,185,28,negative
7,32,4.571,0.232,0.804,180,40,negative
9,19,2.111,0.222,0.673,115,29,negative
6,18,3,0.306,0.787,85,25,negative
7,15,2.143,0.333,0.838,88,24,negative
7,16,2.286,0.304,0.955,107,30,negative
9,32,3.556,0.24,0.913,263,46,negative
7,56,8,0.227,0.602,236,71,negative
8,16,2,0.234,0.922,118,19,negative
6,7,1.167,0.262,0.786,33,8,negative
6,33,5.5,0.247,0.813,161,41,negative
6,10,1.667,0.333,0.75,45,13,negative
6,25,4.167,0.273,0.787,118,35,negative
9,19,2.111,0.251,0.977,167,32,negative
9,29,3.222,0.234,0.889,232,44,negative
9,49,5.444,0.247,0.721,318,72,negative
7,13,1.857,0.363,0.934,85,15,negative
8,57,7.125,0.268,0.798,364,84,negative
8,54,6.75,0.275,0.778,336,87,negative
8,11,1.375,0.318,1,88,20,negative
7,24,3.429,0.274,0.661,111,31,negative
7,38,5.429,0.259,0.688,183,46,negative
9,23,2.556,0.222,0.816,169,34,negative
9,49,5.444,0.222,0.687,303,77,negative
7,43,6.143,0.249,0.807,243,58,negative
7,8,1.143,0.357,0.804,45,10,negative
7,19,2.714,0.398,0.977,130,30,negative
5,7,1.4,0.429,0.971,34,11,negative
5,6,1.2,0.3,1,30,5,negative
10,262,26.2,0.19,0.601,1575,377,negative
7,17,2.429,0.353,0.79,94,27,negative
7,9,1.286,0.349,0.746,47,12,negative
7,40,5.714,0.336,0.971,272,60,negative
7,48,6.857,0.33,0.821,276,77,negative
8,25,3.125,0.285,0.88,176,42,negative
7,13,1.857,0.396,1,91,27,negative
7,16,2.286,0.339,1,112,27,negative
7,38,5.429,0.248,0.955,254,50,negative
5,7,1.4,0.457,1,35,8,negative
10,9,0.9,0.222,1,90,16,negative
10,47,4.7,0.198,0.781,367,72,negative
8,16,2,0.258,0.945,121,28,negative
8,6,0.75,0.313,0.813,39,8,negative
7,26,3.714,0.302,0.912,166,36,negative
9,65,7.222,0.222,0.786,460,96,negative
7,18,2.571,0.27,0.825,104,26,negative
8,21,2.625,0.232,0.643,108,30,negative
5,13,2.6,0.4,1,65,22,negative
8,93,11.625,0.185,0.538,400,111,negative
7,21,3,0.293,0.81,119,32,negative
7,27,3.857,0.079,0.175,33,6,negative
7,44,6.286,0.218,0.734,226,53,negative
7,19,2.714,0.248,0.624,83,22,negative
7,24,3.429,0.232,0.851,143,32,negative
7,39,5.571,0.253,0.853,233,52,negative
7,11,1.571,0.325,0.935,72,18,negative
7,15,2.143,0.229,0.886,93,15,negative
7,13,1.857,0.363,1,91,17,negative
7,4,0.571,0.286,1,28,4,negative
7,18,2.571,0.365,0.952,120,30,negative
7,13,1.857,0.33,0.835,76,21,negative
7,40,5.714,0.336,0.782,219,64,negative
9,47,5.222,0.279,0.773,327,77,negative
7,7,1,0.347,0.98,48,8,negative
7,11,1.571,0.403,0.974,75,21,negative
9,30,3.333,0.27,0.796,215,52,negative
7,20,2.857,0.257,0.879,123,32,negative
7,11,1.571,0.364,0.727,56,18,negative
7,23,3.286,0.329,0.845,136,32,negative
7,9,1.286,0.333,0.952,60,15,negative
7,13,1.857,0.308,0.934,85,17,negative
7,19,2.714,0.286,0.669,89,28,negative
5,28,5.6,0.307,0.814,114,33,negative
5,32,6.4,0.35,0.863,138,42,negative
5,24,4.8,0.375,0.95,114,31,negative
5,19,3.8,0.442,0.937,89,28,negative
9,54,6,0.191,0.741,360,75,negative
9,39,4.333,0.239,0.624,219,55,negative
7,57,8.143,0.273,0.659,263,84,negative
7,10,1.429,0.329,1,70,13,negative
7,32,4.571,0.277,0.83,186,44,negative
6,6,1,0.361,1,36,9,negative
6,21,3.5,0.349,1,126,33,negative
6,7,1.167,0.357,0.762,32,7,negative
7,5,0.714,0.371,0.829,29,7,negative
7,13,1.857,0.319,0.846,77,18,negative
7,9,1.286,0.381,0.857,54,12,negative
7,35,5,0.302,0.939,230,50,negative
7,14,2,0.357,0.969,95,23,negative
7,11,1.571,0.39,0.792,61,19,negative
7,20,2.857,0.379,1,140,33,negative
7,31,4.429,0.318,0.839,182,51,negative
7,23,3.286,0.286,0.677,109,29,negative
7,39,5.571,0.293,0.733,200,56,negative
7,7,1,0.245,0.878,43,7,negative
8,39,4.875,0.224,0.824,257,58,negative
7,54,7.714,0.235,0.799,302,58,negative
7,32,4.571,0.268,0.83,186,47,negative
7,51,7.286,0.322,0.784,280,77,negative
7,48,6.857,0.268,0.652,219,56,negative
7,13,1.857,0.286,0.989,90,15,negative
7,8,1.143,0.268,0.679,38,13,negative
7,17,2.429,0.227,0.891,106,18,negative
7,10,1.429,0.286,0.829,58,15,negative
7,11,1.571,0.286,0.909,70,17,negative
10,13,1.3,0.231,0.8,104,17,negative
6,11,1.833,0.364,0.955,63,18,negative
7,19,2.714,0.346,0.842,112,26,negative
7,14,2,0.214,0.786,77,19,negative
8,20,2.5,0.206,0.813,130,24,negative
6,26,4.333,0.288,0.872,136,35,negative
8,30,3.75,0.225,0.671,161,44,negative
8,10,1.25,0.238,0.925,74,11,negative
7,13,1.857,0.341,0.846,77,17,negative
7,39,5.571,0.33,0.853,233,63,negative
5,18,3.6,0.467,0.867,78,22,negative
6,16,2.667,0.198,0.76,73,8,negative
7,27,3.857,0.37,0.841,159,39,negative
7,8,1.143,0.357,0.786,44,13,negative
7,17,2.429,0.261,0.95,113,17,negative
7,11,1.571,0.364,0.922,71,14,negative
7,11,1.571,0.299,0.779,60,14,negative
7,23,3.286,0.342,0.783,126,38,negative
7,7,1,0.327,1,49,12,negative
7,8,1.143,0.339,0.875,49,8,negative
6,13,2.167,0.269,0.667,52,14,negative
7,16,2.286,0.286,0.705,79,17,negative
6,28,4.667,0.369,0.78,131,35,negative
7,34,4.857,0.273,0.584,139,42,negative
7,18,2.571,0.286,0.627,79,23,negative
7,11,1.571,0.351,0.727,56,18,negative
7,21,3,0.327,0.912,134,28,negative
7,14,2,0.286,0.755,74,18,negative
7,52,7.429,0.272,0.788,287,81,negative
1,14,14,0.571,1,14,3,negative
5,18,3.6,0.4,0.811,73,22,negative
5,36,7.2,0.406,0.961,173,54,negative
7,11,1.571,0.377,0.948,73,21,negative
9,29,3.222,0.287,0.747,195,49,negative
9,37,4.111,0.228,0.586,195,60,negative
7,16,2.286,0.295,0.92,103,28,negative
8,26,3.25,0.236,0.779,162,39,negative
7,11,1.571,0.299,0.727,56,17,negative
5,13,2.6,0.477,0.938,61,21,negative
5,7,1.4,0.543,1,35,9,negative
5,14,2.8,0.457,1,70,21,negative
7,30,4.286,0.3,0.886,186,44,negative
7,9,1.286,0.238,0.619,39,10,negative
7,16,2.286,0.286,0.955,107,19,negative
7,11,1.571,0.247,0.61,47,14,negative
7,27,3.857,0.286,1,189,41,negative
7,7,1,0.265,0.796,39,9,negative
7,21,3,0.333,0.789,116,35,negative
7,33,4.714,0.368,0.896,207,54,negative
7,17,2.429,0.336,0.908,108,27,negative
7,12,1.714,0.357,0.81,68,18,negative
7,19,2.714,0.406,0.94,125,31,negative
7,30,4.286,0.329,1,210,50,negative
7,8,1.143,0.268,0.768,43,14,negative
7,11,1.571,0.312,0.844,65,18,negative
9,24,2.667,0.218,0.588,127,34,negative
7,24,3.429,0.244,0.774,130,28,negative
7,20,2.857,0.257,0.75,105,27,negative
9,30,3.333,0.248,0.937,253,46,negative
5,19,3.8,0.389,0.895,85,28,negative
5,11,2.2,0.364,1,55,15,negative
7,16,2.286,0.241,0.634,71,14,negative
5,7,1.4,0.4,1,35,12,negative
7,22,3.143,0.247,0.714,110,31,negative
9,17,1.889,0.235,0.647,99,25,negative
