Lenght,P_black,P_and,Class
147,0.358,0.703,negative
9,0.63,0.802,negative
124,0.473,0.814,negative
121,0.376,0.69,negative
90,0.501,0.868,negative
409,0.277,0.573,negative
128,0.339,0.737,negative
410,0.333,0.661,negative
142,0.337,0.759,negative
410,0.324,0.706,negative
291,0.285,0.627,negative
277,0.293,0.636,negative
67,0.403,0.704,negative
119,0.39,0.81,negative
117,0.347,0.729,negative
11,0.364,0.667,positive
71,0.159,0.296,positive
33,0.327,0.742,negative
108,0.449,0.868,negative
183,0.288,0.664,negative
39,0.492,0.872,negative
116,0.27,0.649,negative
90,0.394,0.804,negative
337,0.175,0.637,negative
16,0.464,0.884,negative
304,0.555,0.686,positive
69,0.516,0.848,negative
74,0.456,0.887,negative
189,0.339,0.704,negative
69,0.415,0.984,negative
70,0.388,0.841,negative
91,0.321,0.908,negative
77,0.486,0.97,negative
106,0.309,0.791,negative
62,0.363,0.925,negative
30,0.356,0.649,negative
132,0.311,0.873,negative
101,0.411,0.876,negative
50,0.327,0.687,negative
46,0.315,0.75,negative
29,0.356,0.684,negative
35,0.42,0.826,negative
37,0.517,0.934,negative
43,0.388,0.886,negative
84,0.43,0.703,negative
160,0.219,0.389,negative
498,0.307,0.639,negative
58,0.336,0.599,negative
35,0.59,0.86,negative
176,0.302,0.599,negative
442,0.114,0.215,positive
259,0.411,0.481,positive
22,0.491,0.932,negative
124,0.3,0.869,negative
13,0.564,0.863,negative
12,0.62,0.944,negative
37,0.371,0.899,negative
13,0.53,0.88,negative
122,0.26,0.881,negative
5,0.467,0.556,negative
38,0.328,0.852,negative
13,0.587,0.837,negative
497,0.278,0.751,negative
498,0.281,0.688,negative
54,0.378,0.622,negative
37,0.41,0.748,negative
497,0.269,0.594,negative
50,0.345,0.627,negative
61,0.487,0.834,negative
500,0.264,0.595,negative
497,0.297,0.733,negative
25,0.32,0.643,negative
108,0.376,0.815,negative
184,0.323,0.752,negative
39,0.328,0.744,negative
116,0.376,0.784,negative
89,0.34,0.916,negative
46,0.298,0.994,negative
27,0.218,0.852,negative
172,0.294,0.967,negative
17,0.412,0.807,negative
71,0.536,0.876,negative
75,0.375,0.86,negative
189,0.324,0.83,negative
70,0.298,0.914,negative
70,0.332,0.896,negative
76,0.436,0.955,negative
93,0.261,0.937,negative
108,0.293,0.897,negative
63,0.333,0.971,negative
34,0.364,0.642,negative
123,0.255,0.827,negative
99,0.301,0.803,negative
50,0.36,0.812,negative
43,0.265,0.786,negative
28,0.329,0.871,negative
42,0.384,0.817,negative
35,0.331,0.686,negative
40,0.463,0.969,negative
286,0.183,0.317,positive
386,0.286,0.658,negative
60,0.413,0.822,negative
67,0.35,0.693,negative
118,0.372,0.818,negative
115,0.296,0.65,negative
96,0.096,0.207,positive
33,0.33,0.845,negative
107,0.384,0.86,negative
183,0.265,0.664,negative
39,0.303,0.739,negative
115,0.273,0.704,negative
88,0.364,0.775,negative
27,0.407,0.815,negative
337,0.179,0.648,negative
17,0.454,0.866,negative
333,0.374,0.413,positive
70,0.525,0.838,negative
74,0.412,0.845,negative
191,0.307,0.748,negative
68,0.336,0.868,negative
69,0.312,0.842,negative
127,0.388,0.798,negative
91,0.233,0.789,negative
105,0.234,0.811,negative
61,0.316,0.967,negative
127,0.314,0.825,negative
30,0.379,0.739,negative
29,0.4,0.89,negative
100,0.294,0.633,negative
50,0.327,0.777,negative
43,0.405,0.981,negative
42,0.45,0.905,negative
35,0.434,0.803,negative
40,0.494,0.925,negative
84,0.35,0.59,negative
249,0.462,0.842,negative
410,0.279,0.696,negative
232,0.316,0.703,negative
67,0.376,0.751,negative
119,0.392,0.891,negative
116,0.331,0.756,negative
104,0.377,0.779,negative
62,0.08,0.17,positive
33,0.294,0.791,negative
101,0.33,0.734,negative
6,0.667,1,positive
108,0.364,0.794,negative
185,0.265,0.611,negative
38,0.316,0.695,negative
116,0.309,0.676,negative
89,0.298,0.758,negative
27,0.481,0.926,negative
174,0.278,0.733,negative
17,0.555,0.933,negative
28,0.308,0.835,negative
46,0.291,0.886,negative
71,0.499,0.836,negative
75,0.451,0.86,negative
192,0.316,0.746,negative
70,0.464,0.988,negative
121,0.415,0.879,negative
71,0.352,0.897,negative
23,0.415,0.858,negative
115,0.293,0.672,negative
90,0.362,0.808,negative
71,0.294,0.762,negative
83,0.425,0.86,negative
132,0.36,0.921,negative
101,0.393,0.752,negative
51,0.454,0.817,negative
45,0.456,0.967,negative
44,0.376,0.744,negative
35,0.397,0.832,negative
42,0.452,0.942,negative
104,0.367,0.747,negative
414,0.357,0.653,negative
181,0.491,0.866,negative
413,0.356,0.806,negative
348,0.308,0.721,negative
414,0.313,0.734,negative
20,0.4,0.605,negative
413,0.315,0.731,negative
51,0.41,0.667,negative
69,0.4,0.74,negative
121,0.402,0.849,negative
118,0.35,0.778,negative
105,0.37,0.717,negative
28,0.098,0.271,positive
60,0.139,0.371,positive
33,0.282,0.839,negative
50,0.472,0.812,negative
98,0.392,0.849,negative
1,1,1,positive
108,0.389,0.88,negative
186,0.307,0.652,negative
39,0.466,0.889,negative
89,0.403,0.82,negative
65,0.296,0.631,negative
389,0.167,0.584,negative
3,0.778,0.778,negative
45,0.243,0.582,negative
96,0.208,0.504,negative
79,0.257,0.616,negative
64,0.227,0.57,negative
48,0.264,0.524,negative
64,0.261,0.705,negative
10,0.442,0.792,negative
35,0.273,0.654,negative
77,0.251,0.56,negative
21,0.302,0.614,negative
23,0.169,0.319,negative
26,0.312,0.577,negative
264,0.261,0.612,negative
7,0.229,0.6,positive
197,0.245,0.751,negative
68,0.335,0.789,negative
17,0.144,0.458,positive
8,0.344,0.531,positive
69,0.165,0.441,positive
13,0.124,0.45,positive
55,0.374,0.821,negative
41,0.425,0.993,negative
67,0.392,0.724,negative
12,0.476,0.762,negative
26,0.33,0.786,negative
35,0.321,0.775,negative
272,0.279,0.789,negative
272,0.269,0.696,negative
19,0.128,0.541,positive
19,0.113,0.504,positive
271,0.284,0.677,negative
271,0.251,0.754,negative
272,0.232,0.65,negative
14,0.11,0.338,positive
271,0.249,0.704,negative
271,0.292,0.727,negative
24,0.101,0.298,positive
271,0.267,0.698,negative
12,0.133,0.267,positive
5,0.275,0.45,positive
271,0.285,0.707,negative
5,0.35,0.8,positive
272,0.277,0.67,negative
15,0.114,0.295,positive
271,0.314,0.819,negative
13,0.154,0.484,positive
198,0.289,0.681,negative
7,0.286,1,positive
5,0.35,0.8,positive
3,0.467,0.6,positive
4,0.286,0.357,negative
65,0.316,0.848,negative
271,0.126,0.359,negative
29,0.384,0.884,negative
7,0.304,0.946,negative
11,0.318,0.864,negative
69,0.279,0.687,negative
55,0.243,0.657,negative
240,0.194,0.515,negative
22,0.156,0.519,negative
272,0.189,0.688,negative
272,0.186,0.539,negative
271,0.177,0.588,negative
213,0.199,0.733,negative
272,0.168,0.595,negative
9,0.178,0.533,positive
34,0.309,0.908,negative
7,0.393,0.946,negative
15,0.247,0.72,negative
21,0.28,0.923,negative
28,0.299,0.969,negative
60,0.203,0.595,negative
12,0.369,0.857,negative
6,0.214,0.286,negative
7,0.367,1,negative
17,0.343,0.873,negative
49,0.093,0.4,positive
30,0.133,0.471,positive
7,0.157,0.6,positive
54,0.245,0.745,negative
179,0.2,0.758,negative
5,0.233,0.633,positive
25,0.33,1,negative
12,0.139,0.514,positive
49,0.113,0.398,positive
271,0.197,0.748,negative
271,0.188,0.665,negative
6,0.194,0.417,positive
9,0.148,0.296,positive
272,0.187,0.649,negative
68,0.052,0.109,positive
271,0.199,0.717,negative
47,0.158,0.289,positive
8,0.154,0.769,positive
271,0.198,0.628,negative
1,0.875,1,positive
9,0.125,0.319,positive
272,0.211,0.772,negative
272,0.206,0.786,negative
49,0.51,0.51,positive
10,0.286,0.886,negative
9,0.352,0.87,negative
10,0.313,0.675,negative
9,0.417,1,negative
25,0.28,0.825,negative
37,0.334,0.993,negative
51,0.22,0.841,negative
100,0.212,0.702,negative
31,0.298,0.871,negative
5,0.2,0.429,negative
240,0.193,0.635,negative
11,0.351,0.87,negative
236,0.183,0.572,negative
135,0.077,0.294,negative
272,0.187,0.568,negative
62,0.218,0.629,negative
38,0.308,0.789,negative
272,0.197,0.629,negative
261,0.183,0.515,negative
271,0.217,0.786,negative
245,0.198,0.555,negative
272,0.191,0.578,negative
272,0.171,0.61,negative
271,0.173,0.557,negative
108,0.235,0.618,negative
125,0.19,0.526,negative
24,0.292,0.764,negative
37,0.182,0.649,negative
98,0.282,0.864,negative
93,0.206,0.794,negative
23,0.373,0.851,negative
271,0.162,0.542,negative
271,0.176,0.671,negative
71,0.238,0.701,negative
60,0.223,0.607,negative
47,0.223,0.706,negative
7,0.429,1,negative
38,0.327,0.951,negative
12,0.267,0.733,negative
234,0.188,0.614,negative
271,0.187,0.602,negative
189,0.174,0.613,negative
65,0.269,0.725,negative
147,0.168,0.55,negative
271,0.168,0.598,negative
261,0.218,0.773,negative
271,0.193,0.769,negative
173,0.09,0.375,negative
197,0.144,0.589,negative
258,0.173,0.581,negative
96,0.111,0.479,negative
271,0.176,0.574,negative
271,0.193,0.693,negative
48,0.292,0.804,negative
243,0.117,0.342,negative
88,0.195,0.756,negative
78,0.244,0.745,negative
175,0.19,0.568,negative
17,0.328,0.731,negative
14,0.357,0.959,negative
46,0.285,0.791,negative
34,0.225,0.755,negative
7,0.347,0.939,negative
11,0.351,0.87,negative
14,0.357,0.867,negative
21,0.313,0.966,negative
8,0.25,0.768,negative
29,0.281,0.842,negative
271,0.168,0.612,negative
71,0.136,0.384,negative
25,0.24,0.91,negative
238,0.168,0.614,negative
187,0.188,0.591,negative
17,0.245,0.598,negative
15,0.278,0.744,negative
215,0.133,0.464,negative
103,0.156,0.576,negative
263,0.154,0.549,negative
15,0.3,0.642,negative
26,0.264,0.62,negative
7,0.5,0.929,negative
7,0.286,0.633,negative
30,0.295,0.876,negative
18,0.31,0.96,negative
29,0.207,0.651,negative
20,0.175,0.792,negative
18,0.378,0.956,negative
8,0.425,1,negative
7,0.4,0.657,negative
12,0.383,0.883,negative
126,0.188,0.685,negative
21,0.262,0.696,negative
99,0.199,0.662,negative
81,0.187,0.542,negative
69,0.28,0.744,negative
80,0.184,0.544,negative
128,0.203,0.663,negative
10,0.8,1,negative
11,0.191,0.233,positive
129,0.195,0.565,negative
52,0.208,0.542,negative
12,0.317,0.75,negative
21,0.295,0.733,negative
6,0.333,0.967,negative
38,0.426,0.989,negative
13,0.308,0.831,negative
6,0.367,0.767,negative
15,0.4,0.947,negative
53,0.223,0.611,negative
34,0.224,0.606,negative
30,0.36,0.947,negative
25,0.34,0.887,negative
2,0.583,1,negative
12,0.208,0.771,negative
14,0.255,0.735,negative
14,0.337,0.99,negative
8,0.357,1,negative
9,0.317,0.984,negative
4,0.357,0.571,negative
32,0.339,0.786,negative
29,0.234,0.709,negative
4,0.35,0.85,negative
8,0.425,0.975,negative
11,0.364,0.955,negative
50,0.213,0.577,negative
28,0.149,0.375,negative
43,0.233,0.8,negative
75,0.259,0.867,negative
18,0.333,0.667,negative
16,0.222,0.479,negative
79,0.163,0.42,negative
158,0.217,0.535,negative
114,0.939,1,positive
41,0.927,1,positive
6,0.333,0.792,negative
49,0.241,0.633,negative
32,0.292,0.698,negative
37,0.243,0.71,negative
19,0.254,0.956,negative
28,0.292,0.875,negative
12,0.319,0.653,negative
28,0.455,1,negative
33,0.667,1,positive
29,0.14,0.502,negative
106,0.858,1,positive
12,0.183,0.392,negative
16,0.16,0.5,negative
16,0.208,0.542,negative
11,0.159,0.477,negative
27,0.164,0.397,negative
6,0.306,0.556,negative
13,0.295,0.897,negative
41,0.209,0.652,negative
41,0.22,0.756,negative
7,0.405,0.833,negative
13,0.295,0.872,negative
41,0.232,0.927,negative
40,0.221,0.983,negative
7,0.31,0.786,negative
12,0.146,1,negative
41,0.213,0.861,negative
40,0.313,0.996,negative
12,0.583,1,negative
11,0.333,0.803,negative
12,0.292,1,negative
41,0.224,0.85,negative
40,0.229,0.686,negative
23,0.213,0.507,negative
23,0.246,0.57,negative
17,0.265,0.566,negative
37,0.301,0.691,negative
54,0.267,0.619,negative
32,0.431,0.988,negative
13,0.415,0.938,negative
17,0.255,0.745,negative
13,0.308,0.872,negative
14,0.274,0.893,negative
14,0.274,0.929,negative
17,0.382,0.951,negative
13,0.262,0.692,negative
13,0.246,0.831,negative
14,0.268,0.732,negative
24,0.257,0.771,negative
13,0.282,0.936,negative
41,0.185,0.638,negative
41,0.226,0.784,negative
27,0.407,1,positive
41,0.78,1,positive
12,0.225,0.558,negative
21,0.175,0.513,negative
15,0.178,0.556,negative
17,0.183,0.529,negative
19,0.142,0.326,negative
12,0.142,0.317,negative
16,0.242,0.602,negative
16,0.25,0.527,negative
22,0.5,1,positive
9,0.296,1,negative
58,0.081,0.224,negative
182,0.203,0.62,negative
73,0.174,0.434,negative
107,0.204,0.683,negative
18,0.278,0.716,negative
125,0.27,0.858,negative
53,0.215,0.781,negative
43,0.212,0.721,negative
8,0.375,0.964,negative
30,0.233,0.833,negative
59,0.268,0.692,negative
7,0.262,0.786,negative
17,0.4,0.965,negative
3,0.6,1,negative
6,0.476,0.881,negative
33,0.342,0.74,negative
19,0.406,1,negative
17,0.395,0.782,negative
16,0.304,0.696,negative
19,0.269,0.643,negative
18,0.27,0.714,negative
6,0.361,0.778,negative
11,0.345,0.873,negative
16,0.425,1,negative
8,0.6,0.975,negative
29,0.286,0.67,negative
21,0.243,0.757,negative
46,0.242,0.737,negative
8,0.264,1,negative
55,0.251,0.808,negative
23,0.277,0.832,negative
49,0.318,0.735,negative
17,0.412,0.941,negative
3,0.6,0.867,negative
26,0.25,0.808,negative
27,0.208,0.852,negative
14,0.327,1,negative
18,0.206,0.651,negative
9,0.349,0.905,negative
4,0.286,0.964,negative
14,0.296,0.898,negative
19,0.331,0.767,negative
27,0.269,0.764,negative
4,0.321,1,negative
38,0.301,0.85,negative
33,0.299,0.848,negative
9,0.365,0.857,negative
6,0.452,1,negative
30,0.352,0.79,negative
8,0.286,0.732,negative
46,0.242,0.575,negative
220,0.23,0.758,negative
38,0.25,0.73,negative
251,0.187,0.672,negative
151,0.193,0.77,negative
29,0.305,0.837,negative
13,0.264,0.648,negative
54,0.254,0.608,negative
7,0.408,0.857,negative
11,0.312,0.844,negative
49,0.265,0.744,negative
27,0.28,0.947,negative
21,0.354,0.939,negative
19,0.346,1,negative
41,0.232,0.527,negative
63,0.256,0.694,negative
47,0.221,0.702,negative
56,0.21,0.603,negative
22,0.192,0.697,negative
5,0.244,0.867,negative
22,0.326,1,negative
16,0.259,0.705,negative
81,0.221,0.591,negative
15,0.36,0.933,negative
5,0.44,1,negative
135,0.249,0.626,negative
21,0.34,0.85,negative
87,0.232,0.589,negative
8,0.375,1,negative
35,0.31,1,negative
14,0.388,0.847,negative
11,0.364,0.922,negative
13,0.297,0.835,negative
9,0.317,0.81,negative
41,0.345,0.777,negative
46,0.354,1,negative
20,0.35,0.757,negative
14,0.414,0.943,negative
262,0.179,0.606,negative
49,0.196,0.751,negative
21,0.327,0.728,negative
49,0.231,0.685,negative
23,0.248,0.944,negative
5,0.257,0.571,negative
37,0.213,0.706,negative
17,0.275,0.824,negative
11,0.303,0.712,negative
6,0.417,0.944,negative
214,0.23,0.748,negative
43,0.246,0.947,negative
56,0.196,0.617,negative
11,0.312,0.987,negative
33,0.342,0.848,negative
23,0.31,0.88,negative
23,0.329,1,negative
11,0.351,0.922,negative
20,0.364,0.871,negative
49,0.3,0.72,negative
38,0.195,0.55,negative
15,0.314,1,negative
66,0.294,0.924,negative
54,0.27,0.852,negative
49,0.272,0.791,negative
11,0.25,0.83,negative
36,0.365,0.96,negative
29,0.36,0.936,negative
11,0.351,0.961,negative
26,0.352,1,negative
9,0.286,0.968,negative
31,0.276,0.788,negative
9,0.381,0.952,negative
27,0.236,0.685,negative
4,0.375,1,negative
5,0.375,0.95,negative
5,0.52,1,negative
15,0.229,0.981,negative
37,0.305,1,negative
9,0.302,0.905,negative
11,0.364,1,negative
19,0.361,0.917,negative
8,0.357,0.893,negative
55,0.259,0.699,negative
29,0.365,0.946,negative
4,0.25,0.857,negative
14,0.337,0.98,negative
17,0.286,0.916,negative
38,0.226,0.639,negative
23,0.239,0.554,negative
41,0.244,0.661,negative
33,0.268,0.848,negative
4,0.458,1,negative
19,0.36,0.711,negative
49,0.286,0.694,negative
13,0.297,0.857,negative
13,0.374,0.978,negative
30,0.305,0.871,negative
14,0.378,1,negative
14,0.337,0.786,negative
18,0.365,0.968,negative
7,0.245,1,negative
26,0.269,0.929,negative
17,0.324,1,negative
9,0.296,0.796,negative
26,0.34,0.974,negative
5,0.36,1,negative
48,0.273,0.685,negative
31,0.313,0.853,negative
42,0.333,0.844,negative
46,0.304,0.745,negative
11,0.455,1,negative
21,0.206,0.778,negative
58,0.203,0.531,negative
49,0.265,0.653,negative
8,0.222,0.736,negative
22,0.227,0.934,negative
32,0.232,0.804,negative
19,0.222,0.673,negative
18,0.306,0.787,negative
15,0.333,0.838,negative
16,0.304,0.955,negative
32,0.24,0.913,negative
56,0.227,0.602,negative
16,0.234,0.922,negative
7,0.262,0.786,negative
33,0.247,0.813,negative
10,0.333,0.75,negative
25,0.273,0.787,negative
19,0.251,0.977,negative
29,0.234,0.889,negative
49,0.247,0.721,negative
13,0.363,0.934,negative
57,0.268,0.798,negative
54,0.275,0.778,negative
11,0.318,1,negative
24,0.274,0.661,negative
38,0.259,0.688,negative
23,0.222,0.816,negative
49,0.222,0.687,negative
43,0.249,0.807,negative
8,0.357,0.804,negative
19,0.398,0.977,negative
7,0.429,0.971,negative
6,0.3,1,negative
262,0.19,0.601,negative
17,0.353,0.79,negative
9,0.349,0.746,negative
40,0.336,0.971,negative
48,0.33,0.821,negative
25,0.285,0.88,negative
13,0.396,1,negative
16,0.339,1,negative
38,0.248,0.955,negative
7,0.457,1,negative
9,0.222,1,negative
47,0.198,0.781,negative
16,0.258,0.945,negative
6,0.313,0.813,negative
26,0.302,0.912,negative
65,0.222,0.786,negative
18,0.27,0.825,negative
21,0.232,0.643,negative
13,0.4,1,negative
93,0.185,0.538,negative
21,0.293,0.81,negative
27,0.079,0.175,negative
44,0.218,0.734,negative
19,0.248,0.624,negative
24,0.232,0.851,negative
39,0.253,0.853,negative
11,0.325,0.935,negative
15,0.229,0.886,negative
13,0.363,1,negative
4,0.286,1,negative
18,0.365,0.952,negative
13,0.33,0.835,negative
40,0.336,0.782,negative
47,0.279,0.773,negative
7,0.347,0.98,negative
11,0.403,0.974,negative
30,0.27,0.796,negative
20,0.257,0.879,negative
11,0.364,0.727,negative
23,0.329,0.845,negative
9,0.333,0.952,negative
13,0.308,0.934,negative
19,0.286,0.669,negative
28,0.307,0.814,negative
32,0.35,0.863,negative
24,0.375,0.95,negative
19,0.442,0.937,negative
54,0.191,0.741,negative
39,0.239,0.624,negative
57,0.273,0.659,negative
10,0.329,1,negative
32,0.277,0.83,negative
6,0.361,1,negative
21,0.349,1,negative
7,0.357,0.762,negative
5,0.371,0.829,negative
13,0.319,0.846,negative
9,0.381,0.857,negative
35,0.302,0.939,negative
14,0.357,0.969,negative
11,0.39,0.792,negative
20,0.379,1,negative
31,0.318,0.839,negative
23,0.286,0.677,negative
39,0.293,0.733,negative
7,0.245,0.878,negative
39,0.224,0.824,negative
54,0.235,0.799,negative
32,0.268,0.83,negative
51,0.322,0.784,negative
48,0.268,0.652,negative
13,0.286,0.989,negative
8,0.268,0.679,negative
17,0.227,0.891,negative
10,0.286,0.829,negative
11,0.286,0.909,negative
13,0.231,0.8,negative
11,0.364,0.955,negative
19,0.346,0.842,negative
14,0.214,0.786,negative
20,0.206,0.813,negative
26,0.288,0.872,negative
30,0.225,0.671,negative
10,0.238,0.925,negative
13,0.341,0.846,negative
39,0.33,0.853,negative
18,0.467,0.867,negative
16,0.198,0.76,negative
27,0.37,0.841,negative
8,0.357,0.786,negative
17,0.261,0.95,negative
11,0.364,0.922,negative
11,0.299,0.779,negative
23,0.342,0.783,negative
7,0.327,1,negative
8,0.339,0.875,negative
13,0.269,0.667,negative
16,0.286,0.705,negative
28,0.369,0.78,negative
34,0.273,0.584,negative
18,0.286,0.627,negative
11,0.351,0.727,negative
21,0.327,0.912,negative
14,0.286,0.755,negative
52,0.272,0.788,negative
14,0.571,1,negative
18,0.4,0.811,negative
36,0.406,0.961,negative
11,0.377,0.948,negative
29,0.287,0.747,negative
37,0.228,0.586,negative
16,0.295,0.92,negative
26,0.236,0.779,negative
11,0.299,0.727,negative
13,0.477,0.938,negative
7,0.543,1,negative
14,0.457,1,negative
30,0.3,0.886,negative
9,0.238,0.619,negative
16,0.286,0.955,negative
11,0.247,0.61,negative
27,0.286,1,negative
7,0.265,0.796,negative
21,0.333,0.789,negative
33,0.368,0.896,negative
17,0.336,0.908,negative
12,0.357,0.81,negative
19,0.406,0.94,negative
30,0.329,1,negative
8,0.268,0.768,negative
11,0.312,0.844,negative
24,0.218,0.588,negative
24,0.244,0.774,negative
20,0.257,0.75,negative
30,0.248,0.937,negative
19,0.389,0.895,negative
11,0.364,1,negative
16,0.241,0.634,negative
7,0.4,1,negative
22,0.247,0.714,negative
17,0.235,0.647,negative
33,0.182,0.564,negative
14,0.306,0.959,negative
18,0.278,0.976,negative
5,0.257,1,negative
41,0.328,0.774,negative
20,0.294,0.578,negative
6,0.381,1,negative
4,0.25,0.857,negative
14,0.408,0.98,negative
15,0.267,0.908,negative
21,0.32,0.714,negative
72,0.241,0.548,negative
21,0.279,0.748,negative
38,0.338,0.729,negative
11,0.364,0.935,negative
32,0.308,0.777,negative
36,0.302,0.873,negative
63,0.184,0.617,negative
43,0.292,0.85,negative
24,0.28,0.607,negative
19,0.292,0.684,negative
30,0.338,0.762,negative
7,0.306,0.898,negative
11,0.348,1,negative
28,0.25,0.77,negative
20,0.229,0.864,negative
14,0.265,0.827,negative
11,0.364,0.833,negative
19,0.307,0.904,negative
32,0.272,0.862,negative
10,0.317,0.85,negative
14,0.274,1,negative
24,0.213,0.468,negative
24,0.292,0.778,negative
11,0.303,0.97,negative
8,0.35,0.975,negative
20,0.329,1,negative
4,0.393,0.679,negative
51,0.325,0.871,negative
11,0.416,0.961,negative
44,0.284,0.673,negative
24,0.264,0.764,negative
38,0.286,0.748,negative
4,0.25,0.893,negative
25,0.189,0.806,negative
22,0.325,0.805,negative
21,0.388,0.912,negative
27,0.282,0.87,negative
13,0.33,0.835,negative
8,0.393,1,negative
33,0.351,0.987,negative
9,0.272,0.753,negative
11,0.253,0.778,negative
40,0.311,0.939,negative
11,0.299,1,negative
31,0.197,0.652,negative
38,0.187,0.463,negative
43,0.274,0.605,negative
7,0.286,1,negative
21,0.306,0.741,negative
11,0.377,0.974,negative
14,0.286,1,negative
13,0.333,0.91,negative
10,0.4,0.967,negative
6,0.433,0.967,negative
12,0.483,1,negative
49,0.165,0.649,negative
13,0.333,0.846,negative
11,0.394,0.955,negative
13,0.308,1,negative
16,0.211,0.672,negative
11,0.333,0.788,negative
30,0.311,0.8,negative
20,0.388,0.925,negative
22,0.432,0.977,negative
21,0.333,0.79,negative
29,0.23,0.613,negative
34,0.286,0.756,negative
6,0.452,0.976,negative
41,0.341,0.721,negative
46,0.354,0.994,negative
8,0.219,0.875,negative
14,0.347,1,negative
20,0.49,0.99,negative
20,0.233,0.5,negative
7,0.268,0.786,negative
17,0.199,0.603,negative
19,0.178,0.724,negative
19,0.184,0.849,negative
14,0.327,0.847,negative
16,0.259,1,negative
14,0.316,0.847,negative
11,0.364,0.896,negative
33,0.264,0.844,negative
36,0.278,0.937,negative
251,0.179,0.515,negative
6,0.333,0.643,negative
19,0.203,0.406,negative
15,0.267,0.833,negative
6,0.417,1,negative
17,0.311,0.908,negative
20,0.25,0.657,negative
24,0.268,0.708,negative
19,0.278,0.662,negative
7,0.286,0.857,negative
11,0.325,0.831,negative
42,0.235,0.571,negative
14,0.386,0.857,negative
22,0.247,0.883,negative
4,0.25,0.344,negative
11,0.312,1,negative
34,0.298,0.937,negative
6,0.333,1,negative
45,0.259,0.805,negative
16,0.313,0.973,negative
11,0.39,0.766,negative
74,0.276,0.683,negative
31,0.286,0.673,negative
11,0.403,0.961,negative
47,0.266,0.604,negative
56,0.319,0.829,negative
24,0.196,0.762,negative
40,0.213,0.659,negative
27,0.241,0.988,negative
44,0.254,0.689,negative
26,0.175,0.517,negative
20,0.307,0.85,negative
19,0.333,0.93,negative
25,0.313,1,negative
11,0.333,0.97,negative
16,0.259,0.768,negative
33,0.376,0.903,negative
37,0.154,0.457,negative
11,0.2,0.545,negative
17,0.229,0.582,negative
5,0.244,0.622,negative
26,0.192,0.626,negative
21,0.259,0.837,negative
11,0.416,0.818,negative
86,0.294,0.701,negative
33,0.346,0.879,negative
9,0.349,0.746,negative
11,0.222,0.737,negative
22,0.212,0.763,negative
47,0.286,0.717,negative
11,0.299,0.649,negative
19,0.331,0.729,negative
25,0.303,0.709,negative
207,0.249,0.771,negative
51,0.283,0.91,negative
26,0.288,0.679,negative
28,0.258,0.607,negative
13,0.359,0.782,negative
11,0.318,0.712,negative
30,0.242,0.667,negative
12,0.361,0.903,negative
11,0.432,1,negative
20,0.357,0.7,negative
43,0.319,0.801,negative
19,0.338,0.827,negative
41,0.307,0.808,negative
11,0.416,0.974,negative
15,0.343,1,negative
65,0.265,0.73,negative
11,0.377,0.961,negative
44,0.24,0.775,negative
7,0.306,0.959,negative
23,0.273,0.839,negative
7,0.327,1,negative
11,0.379,0.818,negative
6,0.542,1,negative
4,0.563,0.938,negative
17,0.388,0.859,negative
40,0.44,0.935,negative
38,0.377,0.833,negative
19,0.398,1,negative
18,0.238,0.714,negative
23,0.28,0.783,negative
7,0.347,1,negative
41,0.263,0.743,negative
24,0.287,0.912,negative
39,0.259,0.695,negative
52,0.306,0.718,negative
26,0.291,0.795,negative
45,0.254,0.708,negative
8,0.55,0.95,negative
12,0.55,0.983,negative
9,0.333,1,negative
48,0.221,0.557,negative
43,0.456,1,negative
40,0.296,0.729,negative
17,0.336,0.874,negative
34,0.209,0.493,negative
59,0.228,0.659,negative
91,0.206,0.731,negative
103,0.243,0.663,negative
13,0.431,0.923,negative
13,0.308,0.974,negative
32,0.406,1,negative
28,0.321,0.95,negative
6,0.433,1,negative
3,0.533,1,negative
23,0.329,0.938,negative
5,0.429,0.886,negative
13,0.359,0.885,negative
12,0.375,0.944,negative
18,0.259,0.71,negative
10,0.3,0.771,negative
11,0.364,0.948,negative
30,0.285,0.6,negative
33,0.364,0.753,negative
44,0.169,0.455,negative
157,0.222,0.54,negative
11,0.364,0.909,negative
19,0.289,0.789,negative
18,0.315,1,negative
16,0.354,1,negative
7,0.4,0.943,negative
4,0.45,0.8,negative
26,0.374,0.846,negative
35,0.269,0.939,negative
37,0.282,0.772,negative
48,0.257,0.738,negative
86,0.211,0.517,negative
4,0.6,1,negative
27,0.304,0.889,negative
15,0.371,0.829,negative
26,0.346,0.725,negative
20,0.25,0.593,negative
17,0.361,0.782,negative
82,0.245,0.562,negative
65,0.284,0.846,negative
92,0.24,0.641,negative
48,0.227,0.657,negative
52,0.266,0.959,negative
43,0.372,0.888,negative
4,0.5,0.7,negative
20,0.261,0.617,negative
14,0.298,0.619,negative
11,0.299,1,negative
13,0.374,0.901,negative
30,0.324,0.948,negative
31,0.281,0.682,negative
262,0.185,0.655,negative
36,0.262,0.671,negative
18,0.357,1,negative
11,0.377,1,negative
25,0.371,1,negative
33,0.351,0.957,negative
17,0.307,0.987,negative
6,0.375,1,negative
13,0.308,0.824,negative
18,0.254,0.841,negative
38,0.252,0.628,negative
262,0.209,0.703,negative
19,0.316,0.886,negative
32,0.413,0.994,negative
23,0.322,1,negative
5,0.28,0.72,negative
41,0.21,0.662,negative
