Lenght,Class
17,negative
42,negative
14,negative
37,negative
26,negative
28,negative
44,negative
12,negative
40,negative
14,negative
33,negative
9,negative
43,negative
13,negative
33,negative
37,negative
29,negative
50,negative
38,negative
26,negative
52,negative
39,negative
7,negative
261,negative
146,negative
19,negative
35,negative
57,negative
272,negative
26,negative
10,negative
28,negative
25,negative
8,negative
27,negative
8,negative
16,negative
19,negative
7,negative
13,negative
7,negative
10,negative
13,negative
42,negative
44,negative
26,negative
30,negative
27,negative
52,negative
76,negative
15,negative
18,negative
15,negative
35,negative
26,negative
8,negative
51,negative
114,negative
9,negative
29,negative
105,negative
101,negative
64,negative
32,negative
14,negative
61,negative
25,negative
21,positive
109,negative
221,negative
146,negative
10,negative
16,positive
19,negative
46,negative
25,negative
30,negative
14,negative
5,negative
34,positive
30,positive
12,negative
7,negative
7,negative
12,negative
261,negative
154,negative
155,negative
39,positive
17,positive
24,negative
41,negative
15,negative
12,negative
55,negative
6,negative
19,negative
8,negative
7,negative
29,negative
53,negative
19,negative
13,negative
144,negative
12,negative
2,negative
54,negative
51,negative
7,negative
37,negative
11,negative
6,negative
43,negative
28,negative
3,negative
7,negative
2,negative
2,negative
3,negative
2,negative
72,negative
150,negative
9,negative
34,negative
10,negative
9,negative
15,negative
30,negative
20,negative
13,negative
10,negative
20,negative
13,negative
15,negative
12,negative
13,negative
49,negative
17,negative
41,negative
14,negative
4,negative
39,negative
23,negative
16,negative
39,negative
20,negative
10,negative
10,negative
13,negative
14,negative
20,negative
17,negative
145,negative
62,negative
16,negative
24,negative
9,negative
261,negative
20,negative
39,negative
61,negative
14,positive
42,negative
20,positive
32,negative
14,negative
23,negative
25,positive
27,positive
43,positive
40,negative
14,negative
32,negative
31,negative
33,negative
20,negative
12,negative
29,positive
34,negative
109,negative
103,negative
91,negative
9,negative
12,negative
40,negative
57,negative
28,negative
8,negative
15,negative
3,negative
20,negative
20,negative
8,negative
3,negative
2,positive
2,negative
221,negative
35,negative
33,negative
7,negative
12,negative
16,negative
20,negative
4,negative
35,negative
33,negative
30,negative
26,negative
26,negative
22,negative
15,negative
19,negative
37,negative
11,negative
13,negative
14,negative
25,negative
10,negative
54,negative
29,negative
16,negative
39,negative
14,negative
12,negative
35,negative
9,negative
22,negative
36,negative
16,negative
31,negative
45,negative
23,negative
34,negative
12,negative
28,negative
41,negative
15,negative
12,negative
9,negative
36,negative
26,negative
24,negative
30,negative
71,negative
16,negative
14,negative
16,negative
15,negative
7,negative
74,negative
30,negative
51,negative
79,negative
127,negative
20,negative
20,negative
18,negative
35,negative
19,negative
64,negative
33,negative
16,negative
14,negative
76,negative
9,negative
21,negative
5,negative
7,negative
25,negative
53,negative
5,negative
14,negative
12,negative
20,negative
19,negative
59,negative
5,negative
6,negative
8,negative
41,negative
29,negative
19,negative
33,negative
6,negative
92,negative
10,negative
228,negative
18,negative
12,negative
18,negative
23,negative
24,negative
66,negative
62,negative
14,negative
7,negative
262,negative
15,negative
25,negative
7,negative
12,negative
13,negative
6,negative
30,negative
10,negative
12,negative
20,negative
16,negative
18,negative
4,negative
25,negative
24,negative
19,negative
8,negative
262,negative
39,negative
23,negative
27,negative
27,negative
20,negative
23,negative
20,negative
35,negative
30,negative
19,negative
46,negative
28,negative
41,negative
14,negative
33,negative
40,negative
20,negative
45,negative
18,negative
14,negative
4,negative
14,negative
60,negative
5,negative
41,negative
14,negative
23,negative
9,negative
12,negative
20,negative
16,negative
12,negative
14,negative
33,negative
46,negative
4,negative
49,negative
34,negative
10,negative
14,negative
261,negative
262,negative
260,negative
262,negative
11,negative
37,negative
24,negative
19,negative
33,negative
30,negative
7,negative
41,negative
30,negative
262,negative
53,negative
30,negative
18,negative
52,negative
29,negative
13,negative
9,negative
12,negative
22,negative
89,negative
26,negative
18,negative
4,negative
58,negative
18,negative
61,negative
19,negative
34,negative
27,negative
38,negative
12,negative
20,negative
16,negative
10,negative
22,negative
31,negative
34,negative
32,negative
25,negative
23,negative
12,negative
26,negative
261,negative
175,negative
40,negative
70,negative
262,negative
23,negative
39,negative
9,negative
10,negative
40,negative
14,negative
30,negative
25,negative
26,negative
12,negative
53,negative
99,negative
31,negative
9,negative
54,negative
50,negative
15,negative
35,negative
34,negative
16,negative
12,negative
24,negative
17,negative
19,negative
24,negative
31,negative
80,negative
15,negative
74,negative
39,negative
73,negative
33,negative
8,negative
4,negative
251,negative
52,negative
25,negative
9,negative
35,negative
17,negative
18,negative
38,negative
4,negative
21,negative
242,negative
63,negative
29,negative
5,negative
25,negative
9,negative
56,negative
14,negative
7,negative
23,negative
261,negative
262,negative
261,negative
7,negative
14,negative
52,negative
18,negative
17,negative
12,negative
23,negative
31,negative
13,negative
4,negative
13,negative
12,negative
41,negative
9,negative
22,negative
120,negative
64,negative
53,negative
33,negative
42,negative
13,negative
18,negative
19,negative
4,negative
20,negative
29,negative
46,negative
13,negative
12,negative
50,negative
9,negative
27,negative
41,negative
18,negative
7,negative
14,negative
27,negative
7,negative
15,negative
32,negative
5,negative
26,negative
25,negative
52,negative
15,negative
24,negative
22,negative
119,negative
34,negative
7,negative
63,negative
8,negative
7,negative
261,negative
15,negative
157,negative
171,negative
16,negative
108,negative
44,negative
24,negative
26,negative
52,negative
43,negative
5,negative
6,negative
9,negative
12,negative
20,negative
16,negative
36,negative
56,negative
7,negative
97,negative
9,negative
37,negative
14,negative
40,negative
41,negative
212,negative
45,negative
18,negative
38,negative
45,negative
16,negative
40,negative
20,negative
16,negative
21,negative
7,negative
4,negative
32,negative
23,negative
9,negative
33,negative
4,negative
262,negative
132,negative
168,negative
9,negative
31,negative
72,negative
14,negative
39,negative
23,negative
31,negative
14,negative
9,negative
33,negative
18,negative
3,negative
28,negative
16,negative
6,negative
39,negative
22,negative
262,negative
29,negative
45,negative
6,negative
31,negative
15,negative
261,negative
100,negative
93,negative
59,negative
78,negative
25,negative
43,negative
10,negative
3,negative
36,negative
18,negative
7,negative
14,negative
46,negative
22,negative
20,negative
48,negative
9,negative
35,negative
8,negative
11,negative
25,negative
119,negative
39,negative
20,negative
4,negative
6,negative
35,negative
49,negative
3,negative
23,negative
23,negative
112,negative
23,negative
116,negative
25,negative
40,negative
48,negative
12,negative
18,negative
24,negative
16,negative
33,negative
53,negative
22,negative
176,negative
12,negative
25,negative
36,negative
43,negative
12,negative
16,negative
22,negative
41,negative
8,negative
67,negative
67,positive
67,negative
69,negative
106,negative
225,negative
38,negative
177,negative
280,negative
185,negative
291,negative
73,negative
98,negative
111,negative
63,negative
99,positive
32,negative
214,negative
82,negative
179,negative
106,negative
103,negative
123,negative
184,negative
165,negative
536,positive
353,negative
144,negative
11,negative
536,positive
233,negative
32,negative
509,negative
9,negative
13,negative
304,negative
51,negative
13,negative
88,negative
132,negative
13,negative
268,negative
509,negative
13,negative
535,positive
81,negative
347,negative
150,negative
12,negative
536,positive
91,negative
31,negative
510,negative
12,negative
465,negative
135,negative
11,negative
19,negative
35,negative
89,negative
40,negative
536,positive
7,negative
82,negative
280,negative
69,negative
12,negative
343,negative
80,negative
13,negative
60,negative
344,negative
103,negative
13,negative
331,negative
109,negative
13,negative
532,negative
13,negative
510,negative
13,negative
508,negative
518,negative
12,negative
145,negative
283,negative
453,negative
66,negative
535,positive
57,negative
226,negative
38,negative
60,positive
98,negative
4,negative
176,negative
280,negative
4,negative
5,negative
186,negative
291,negative
73,negative
100,negative
63,negative
110,negative
31,positive
214,negative
4,negative
4,negative
82,negative
4,negative
180,negative
107,negative
102,negative
123,negative
4,negative
185,negative
166,negative
4,negative
536,positive
31,negative
84,negative
240,negative
272,negative
148,negative
535,negative
508,negative
519,negative
535,negative
508,negative
163,negative
101,negative
508,negative
520,negative
535,positive
81,negative
148,negative
534,negative
306,negative
174,negative
534,negative
534,negative
267,negative
196,negative
534,negative
534,negative
101,negative
275,negative
197,negative
536,positive
106,positive
298,negative
38,negative
468,negative
491,negative
75,negative
95,negative
61,negative
108,negative
32,positive
214,negative
83,negative
107,negative
180,negative
248,negative
103,negative
169,negative
185,negative
470,positive
64,positive
29,negative
150,negative
275,negative
245,negative
508,negative
256,negative
249,negative
534,negative
508,negative
508,negative
69,negative
532,negative
103,negative
274,negative
150,negative
34,negative
533,negative
62,negative
274,negative
193,negative
107,negative
464,negative
256,negative
263,negative
499,negative
305,negative
200,negative
277,positive
257,positive
147,negative
350,positive
37,negative
471,negative
495,negative
59,negative
96,negative
62,negative
109,negative
31,positive
216,negative
83,negative
182,negative
108,negative
249,negative
103,negative
187,negative
170,negative
537,positive
29,negative
152,negative
535,negative
535,negative
535,negative
535,negative
534,negative
69,negative
138,negative
218,negative
537,positive
76,negative
152,negative
284,negative
228,negative
535,negative
535,negative
535,negative
536,negative
533,negative
537,positive
349,negative
537,positive
105,positive
38,negative
228,negative
471,negative
494,negative
62,negative
96,negative
62,negative
109,negative
32,positive
215,negative
83,negative
181,negative
107,negative
102,negative
250,negative
185,negative
169,negative
98,positive
415,positive
63,positive
29,negative
151,negative
535,negative
535,negative
279,negative
233,negative
510,negative
525,negative
536,negative
536,negative
299,negative
217,negative
102,negative
535,negative
86,negative
505,negative
475,positive
99,positive
75,negative
61,negative
336,negative
155,negative
535,negative
298,negative
219,negative
299,negative
219,negative
537,positive
198,negative
13,negative
537,positive
105,positive
228,negative
37,negative
178,negative
282,negative
294,negative
186,negative
101,negative
96,negative
61,negative
109,negative
32,positive
215,negative
83,negative
181,negative
108,negative
103,negative
250,negative
186,negative
169,negative
63,positive
186,positive
214,positive
29,negative
151,negative
251,negative
262,negative
207,negative
262,negative
280,negative
209,negative
103,negative
270,negative
198,negative
343,negative
175,negative
492,negative
174,negative
143,negative
109,negative
535,negative
86,negative
219,negative
59,negative
123,negative
62,negative
314,negative
80,negative
62,positive
148,positive
278,positive
75,negative
151,negative
251,negative
141,negative
60,negative
127,negative
199,negative
89,negative
175,negative
203,negative
36,negative
69,negative
318,negative
141,negative
250,negative
198,negative
26,positive
13,positive
145,positive
36,positive
81,positive
187,positive
148,negative
37,positive
57,negative
138,negative
104,negative
38,negative
178,negative
187,negative
84,negative
187,negative
294,negative
86,negative
101,negative
63,negative
108,negative
32,negative
215,negative
84,negative
183,negative
110,negative
105,negative
249,negative
191,negative
168,negative
538,positive
511,negative
14,negative
538,positive
32,negative
176,negative
510,negative
15,negative
309,negative
187,negative
14,negative
511,negative
14,negative
40,negative
511,negative
15,negative
511,negative
15,negative
83,negative
474,negative
45,negative
14,negative
137,negative
375,negative
38,negative
129,negative
15,negative
73,negative
510,negative
15,negative
107,negative
511,negative
15,negative
537,positive
83,negative
175,negative
511,negative
15,negative
508,negative
490,negative
14,negative
41,negative
510,negative
195,negative
195,negative
13,negative
69,negative
538,positive
114,negative
14,negative
537,positive
57,negative
227,negative
38,negative
61,positive
98,negative
177,negative
281,negative
186,negative
292,negative
57,negative
111,negative
100,negative
63,negative
31,positive
215,negative
82,negative
181,negative
106,negative
102,negative
124,negative
185,negative
166,negative
537,positive
31,negative
34,negative
511,negative
173,negative
167,negative
21,negative
148,negative
535,negative
506,negative
521,negative
536,negative
53,negative
352,negative
171,negative
102,negative
194,negative
256,negative
60,negative
537,positive
80,negative
148,negative
510,negative
218,negative
279,negative
301,negative
218,negative
534,negative
213,negative
143,negative
317,negative
205,negative
194,negative
245,negative
65,negative
180,negative
172,negative
72,negative
158,negative
92,negative
45,negative
102,negative
535,negative
151,negative
363,negative
537,positive
57,negative
150,negative
104,negative
38,negative
61,positive
99,negative
178,negative
186,negative
84,negative
186,negative
292,negative
112,negative
60,negative
100,negative
63,negative
32,positive
216,negative
82,negative
181,negative
107,negative
103,negative
124,negative
186,negative
167,negative
537,positive
105,negative
315,negative
13,negative
538,positive
32,negative
62,negative
278,negative
216,negative
13,negative
492,negative
341,negative
14,negative
104,negative
99,negative
376,negative
120,negative
13,negative
511,negative
284,negative
172,negative
14,negative
259,negative
143,negative
13,negative
510,negative
14,negative
177,negative
353,negative
144,negative
14,negative
511,negative
14,negative
510,negative
488,negative
13,negative
99,negative
306,negative
163,negative
13,negative
537,positive
81,negative
66,negative
164,negative
71,negative
14,negative
177,negative
61,negative
268,negative
186,negative
13,negative
511,negative
13,negative
510,negative
13,negative
102,negative
273,negative
223,negative
14,negative
259,negative
50,negative
13,negative
31,negative
535,positive
58,negative
227,negative
38,negative
61,positive
98,negative
178,negative
280,negative
187,negative
292,negative
111,negative
99,negative
64,negative
100,negative
32,positive
215,negative
82,negative
180,negative
107,negative
102,negative
123,negative
186,negative
166,negative
500,positive
32,positive
31,negative
148,negative
457,negative
40,negative
523,negative
509,negative
140,negative
331,negative
168,negative
13,negative
69,negative
326,negative
171,negative
13,negative
101,negative
267,negative
136,negative
99,negative
535,negative
536,positive
81,negative
148,negative
264,negative
131,negative
70,negative
332,negative
190,negative
71,negative
310,negative
169,negative
241,negative
68,negative
104,negative
102,negative
233,negative
117,negative
508,negative
242,negative
74,negative
40,negative
535,negative
71,negative
504,negative
375,negative
45,negative
69,negative
112,negative
118,negative
50,negative
536,positive
14,negative
39,positive
278,positive
22,positive
54,positive
16,positive
10,negative
75,negative
158,positive
277,positive
149,positive
1,positive
1,positive
40,negative
38,negative
155,negative
1,positive
20,negative
17,negative
53,negative
25,positive
413,positive
15,positive
93,positive
12,negative
55,negative
27,negative
3,positive
118,negative
162,negative
9,negative
84,negative
67,negative
79,negative
190,negative
3,negative
180,positive
22,positive
11,positive
7,positive
10,positive
1,positive
5,negative
11,negative
37,negative
48,negative
80,negative
22,negative
71,negative
80,negative
36,negative
14,negative
15,negative
41,negative
1,positive
288,negative
27,negative
123,negative
67,negative
31,negative
18,negative
40,negative
10,negative
71,negative
85,negative
104,positive
185,negative
1,positive
331,negative
11,negative
12,negative
1,positive
340,negative
257,negative
342,negative
17,negative
13,negative
4,negative
7,negative
1,positive
379,positive
9,negative
6,negative
53,negative
45,negative
57,negative
50,negative
12,negative
1,positive
7,negative
8,negative
67,negative
45,negative
228,negative
80,negative
275,negative
89,negative
179,negative
320,negative
1,positive
14,positive
16,positive
19,positive
136,positive
11,positive
36,negative
12,positive
14,positive
15,positive
14,positive
104,positive
29,positive
78,positive
9,positive
145,positive
70,negative
314,positive
83,negative
155,negative
139,negative
137,negative
71,negative
36,positive
18,positive
99,negative
1,positive
90,negative
10,negative
43,negative
337,negative
402,negative
20,negative
1,positive
259,negative
125,negative
441,negative
18,negative
314,negative
159,negative
421,negative
3,negative
18,negative
91,negative
161,negative
371,negative
19,negative
322,negative
62,negative
385,negative
18,negative
80,negative
258,negative
133,negative
297,negative
20,negative
154,negative
137,positive
68,negative
357,positive
117,positive
47,positive
170,negative
82,negative
154,negative
72,negative
157,negative
183,negative
9,negative
141,negative
407,negative
10,negative
82,negative
435,negative
17,negative
430,negative
372,negative
18,negative
143,negative
336,negative
321,negative
18,negative
156,negative
124,negative
397,negative
20,negative
155,negative
364,negative
19,negative
186,negative
265,negative
3,negative
3,negative
19,negative
64,negative
350,negative
18,negative
273,negative
63,negative
1,positive
1,positive
547,positive
74,negative
40,negative
52,positive
32,negative
169,positive
82,negative
155,negative
71,negative
27,positive
39,positive
34,positive
107,negative
184,negative
9,negative
52,negative
399,negative
9,negative
126,negative
359,negative
18,negative
245,negative
124,negative
367,negative
19,negative
141,negative
344,negative
18,negative
153,negative
167,negative
419,negative
4,negative
17,negative
292,negative
326,negative
18,negative
253,negative
251,negative
269,negative
3,negative
18,negative
201,negative
246,negative
106,positive
28,positive
255,positive
10,positive
9,positive
1,positive
140,positive
54,negative
357,positive
171,negative
1,positive
83,negative
155,negative
72,negative
1,positive
19,positive
44,positive
14,positive
203,negative
8,negative
170,negative
121,negative
400,negative
8,negative
59,negative
354,negative
14,negative
130,negative
58,negative
1,positive
18,negative
335,negative
1,positive
222,negative
280,negative
106,negative
159,negative
17,negative
86,negative
266,negative
1,positive
349,negative
18,negative
1,positive
162,negative
18,negative
285,negative
159,negative
245,negative
332,negative
17,negative
1,positive
175,negative
205,negative
98,negative
17,negative
252,negative
151,negative
433,negative
17,negative
1,positive
252,negative
30,positive
94,positive
193,positive
347,positive
50,negative
378,negative
159,positive
169,negative
82,negative
154,negative
71,negative
166,negative
1,positive
183,negative
16,negative
240,negative
419,negative
3,negative
16,negative
136,negative
161,negative
19,negative
203,negative
62,negative
19,negative
390,negative
3,negative
123,negative
327,negative
371,negative
184,negative
19,negative
95,negative
201,negative
20,negative
165,negative
417,negative
19,negative
272,negative
319,negative
19,negative
98,negative
433,negative
20,negative
152,negative
340,negative
19,negative
183,negative
383,negative
1,positive
135,positive
1,positive
54,negative
315,positive
1,positive
83,negative
155,negative
72,negative
32,positive
261,negative
185,negative
10,negative
45,negative
284,negative
17,negative
160,negative
118,negative
16,negative
369,negative
123,negative
333,negative
19,negative
272,negative
281,negative
18,negative
152,negative
254,negative
20,negative
395,negative
157,negative
433,negative
19,negative
153,negative
267,negative
19,negative
193,negative
340,negative
184,negative
19,negative
215,negative
420,negative
3,negative
20,negative
140,negative
191,negative
19,negative
369,negative
14,positive
472,positive
72,negative
15,positive
132,negative
416,negative
9,negative
43,negative
198,negative
213,negative
4,negative
16,negative
82,negative
17,negative
266,negative
124,negative
320,negative
17,negative
133,negative
250,negative
320,negative
19,negative
250,negative
170,negative
184,negative
18,negative
249,negative
267,negative
19,negative
57,negative
1,positive
471,positive
72,negative
7,negative
83,negative
154,negative
71,negative
63,positive
209,negative
344,negative
20,negative
154,negative
198,negative
427,negative
23,negative
121,negative
409,negative
184,negative
350,negative
23,negative
121,negative
205,negative
367,negative
24,negative
138,negative
266,negative
382,negative
20,negative
181,negative
198,negative
42,positive
1,positive
79,negative
326,positive
96,positive
82,negative
155,negative
28,positive
72,negative
120,negative
344,negative
11,negative
135,negative
78,negative
322,negative
391,negative
4,negative
20,negative
70,negative
1,positive
353,negative
415,negative
20,negative
205,negative
195,negative
170,negative
359,negative
22,negative
341,negative
70,negative
203,negative
408,negative
22,negative
222,negative
59,negative
161,positive
80,negative
314,positive
82,negative
155,negative
71,negative
309,negative
356,negative
19,negative
389,negative
56,negative
22,negative
424,negative
4,negative
96,negative
87,negative
120,negative
389,negative
22,negative
62,negative
161,negative
198,negative
337,negative
23,negative
393,negative
256,negative
337,negative
22,negative
398,negative
212,negative
256,negative
424,negative
469,positive
83,negative
155,negative
71,negative
137,negative
20,negative
399,negative
227,negative
69,negative
382,negative
20,negative
87,negative
309,negative
22,negative
356,negative
284,negative
294,negative
22,negative
183,negative
81,negative
334,negative
22,negative
405,negative
4,negative
424,negative
302,negative
141,positive
54,negative
314,negative
9,negative
82,negative
155,negative
72,negative
23,positive
14,positive
45,positive
125,negative
376,negative
10,negative
352,negative
236,negative
4,negative
19,negative
154,negative
417,negative
404,negative
2,positive
2,positive
135,negative
2,positive
216,negative
22,negative
268,negative
4,negative
94,negative
2,positive
403,negative
22,negative
57,negative
356,negative
22,negative
439,negative
436,negative
94,negative
410,negative
22,negative
243,negative
378,negative
1,positive
57,negative
104,negative
64,negative
271,negative
268,negative
230,negative
150,negative
13,negative
157,negative
232,negative
13,negative
248,negative
177,negative
13,negative
171,negative
48,negative
13,negative
316,negative
281,negative
13,negative
268,negative
276,negative
278,negative
13,negative
358,negative
170,negative
19,negative
269,negative
398,negative
80,negative
12,negative
238,negative
88,negative
13,negative
279,negative
80,negative
19,negative
268,negative
162,negative
162,negative
109,negative
163,negative
162,negative
163,negative
163,negative
162,negative
104,negative
184,negative
5,negative
130,negative
17,negative
1,negative
116,negative
29,negative
257,negative
84,negative
63,negative
30,negative
510,positive
19,negative
24,negative
159,negative
168,negative
131,negative
206,negative
217,negative
184,negative
243,negative
219,negative
110,negative
128,negative
21,negative
23,negative
171,negative
166,negative
73,negative
125,negative
109,negative
27,negative
76,negative
18,negative
240,negative
51,negative
231,negative
231,negative
19,negative
70,negative
203,negative
22,negative
161,negative
24,negative
158,negative
92,negative
48,negative
95,negative
227,negative
243,negative
242,negative
192,negative
98,negative
22,negative
152,negative
11,negative
11,negative
141,negative
46,negative
229,negative
113,negative
69,negative
34,negative
58,negative
36,negative
46,negative
135,negative
118,negative
5,negative
145,negative
91,negative
177,negative
22,negative
150,negative
24,negative
117,negative
130,negative
239,negative
110,negative
21,positive
47,negative
25,negative
104,negative
31,negative
192,negative
162,negative
208,negative
22,negative
189,negative
92,negative
111,negative
24,negative
231,negative
185,negative
242,negative
48,negative
60,negative
211,negative
17,negative
198,positive
223,negative
67,negative
249,negative
23,negative
169,negative
100,negative
71,negative
210,negative
44,negative
97,negative
107,negative
34,negative
201,negative
213,negative
28,negative
98,negative
133,negative
72,negative
159,negative
245,negative
183,negative
541,positive
153,negative
58,negative
1,positive
192,negative
12,negative
284,negative
225,negative
325,negative
333,negative
197,negative
58,negative
323,negative
24,negative
37,negative
184,negative
44,negative
330,negative
33,negative
292,negative
50,negative
1,positive
93,negative
94,negative
284,negative
94,negative
24,negative
94,negative
167,negative
94,negative
95,negative
61,negative
95,negative
93,negative
288,negative
93,negative
18,negative
323,negative
95,negative
97,negative
293,negative
96,negative
96,negative
96,negative
96,negative
24,negative
239,negative
63,negative
298,negative
96,negative
96,negative
56,negative
94,negative
330,negative
96,negative
95,negative
319,negative
96,negative
82,negative
96,negative
24,negative
285,negative
96,negative
96,negative
1,positive
305,negative
96,negative
94,negative
19,negative
95,negative
331,negative
95,negative
96,negative
282,negative
97,negative
183,negative
97,negative
97,negative
93,negative
94,negative
97,negative
24,negative
91,negative
97,negative
97,negative
242,negative
96,negative
96,negative
140,negative
96,negative
303,negative
96,negative
96,negative
284,negative
69,negative
80,negative
96,negative
96,negative
96,negative
99,negative
96,negative
96,negative
1,positive
94,negative
92,negative
39,negative
39,negative
39,negative
286,positive
285,positive
73,positive
66,positive
50,positive
79,positive
1,positive
108,positive
32,negative
18,negative
9,negative
57,negative
20,positive
252,positive
31,negative
38,negative
5,positive
151,negative
88,negative
160,negative
92,negative
127,negative
1,positive
75,negative
119,negative
4,negative
41,negative
40,negative
42,negative
59,negative
1,positive
17,negative
120,negative
59,negative
125,negative
111,negative
164,negative
8,negative
40,negative
35,negative
31,negative
211,negative
93,negative
129,negative
7,negative
12,negative
88,negative
33,negative
63,positive
48,negative
38,negative
36,negative
76,negative
2,negative
56,negative
105,negative
53,negative
95,negative
75,negative
76,positive
20,negative
31,negative
98,negative
102,negative
21,negative
12,negative
69,negative
102,positive
77,negative
22,negative
62,negative
10,negative
7,negative
20,negative
91,negative
29,negative
17,negative
9,negative
56,negative
44,negative
128,positive
47,negative
22,negative
31,negative
8,negative
47,negative
44,negative
39,negative
8,negative
32,negative
50,negative
8,negative
77,negative
47,negative
42,negative
59,negative
82,negative
12,negative
58,negative
72,negative
45,negative
90,negative
2,positive
280,positive
296,negative
117,negative
46,negative
126,negative
55,negative
158,negative
30,negative
49,negative
118,negative
18,negative
20,negative
75,negative
17,negative
106,negative
6,negative
28,negative
30,negative
70,negative
31,negative
54,negative
15,negative
180,negative
34,negative
34,negative
65,negative
98,negative
138,negative
7,negative
104,negative
261,negative
98,negative
253,negative
80,negative
180,negative
65,negative
285,negative
92,negative
222,negative
28,negative
26,negative
32,negative
52,negative
21,negative
6,negative
13,negative
19,negative
16,negative
2,positive
85,negative
28,negative
61,negative
2,positive
18,negative
59,negative
45,negative
27,negative
24,negative
22,negative
34,negative
42,negative
6,negative
15,negative
11,negative
35,negative
40,negative
85,negative
27,negative
12,negative
15,negative
14,negative
37,negative
40,negative
39,negative
69,negative
87,negative
40,negative
46,negative
17,negative
96,negative
15,negative
24,negative
39,negative
8,negative
42,negative
29,negative
28,negative
10,negative
6,negative
13,negative
18,negative
25,negative
39,negative
7,negative
108,negative
34,negative
110,negative
132,negative
427,positive
110,positive
552,positive
186,negative
7,negative
20,negative
227,negative
39,negative
20,negative
12,negative
112,negative
18,negative
119,negative
283,positive
184,positive
16,positive
60,negative
367,negative
17,negative
22,negative
550,positive
370,negative
412,negative
117,negative
348,negative
390,negative
302,negative
227,negative
17,negative
23,negative
235,positive
58,positive
12,positive
69,positive
107,positive
440,negative
311,negative
18,negative
22,negative
550,positive
94,negative
422,negative
311,negative
18,negative
23,negative
463,positive
85,positive
409,negative
337,negative
423,negative
18,negative
23,negative
8,positive
544,positive
357,negative
188,negative
377,negative
274,negative
20,negative
22,negative
19,negative
17,positive
206,positive
325,positive
348,negative
218,negative
207,negative
245,negative
20,negative
23,negative
8,positive
17,positive
277,positive
199,positive
44,negative
553,positive
67,negative
259,positive
5,negative
342,negative
109,negative
65,negative
79,negative
57,negative
34,positive
18,negative
137,negative
311,negative
96,negative
158,negative
299,negative
128,negative
319,negative
59,negative
41,negative
105,positive
100,positive
1,positive
52,positive
161,positive
167,positive
181,negative
302,negative
295,negative
42,negative
263,negative
309,negative
108,negative
43,negative
35,negative
22,negative
13,negative
134,negative
48,positive
321,negative
112,negative
65,negative
178,negative
268,negative
75,negative
231,negative
8,negative
183,negative
85,negative
70,negative
71,positive
20,positive
172,positive
92,negative
95,negative
86,negative
9,negative
60,negative
90,negative
42,negative
106,positive
288,positive
74,negative
263,negative
19,negative
106,negative
346,negative
135,negative
346,negative
135,negative
326,negative
135,negative
340,negative
123,negative
346,negative
343,negative
19,negative
91,negative
346,negative
346,negative
346,negative
342,negative
63,negative
89,negative
42,negative
12,negative
10,negative
19,negative
30,negative
18,negative
16,negative
32,negative
82,negative
45,negative
28,negative
8,positive
95,positive
67,positive
10,positive
21,negative
32,negative
45,negative
28,negative
42,negative
22,negative
341,positive
41,negative
4,negative
10,negative
155,negative
10,negative
138,positive
180,negative
10,negative
342,positive
67,negative
82,negative
153,negative
11,negative
38,negative
126,positive
33,negative
7,negative
29,negative
155,negative
115,negative
31,negative
36,negative
9,negative
13,negative
342,positive
39,negative
28,negative
33,negative
1,positive
303,negative
5,negative
303,negative
10,negative
11,negative
121,negative
25,positive
24,positive
21,positive
22,positive
102,negative
11,negative
196,positive
90,negative
10,negative
1,positive
1,positive
98,negative
12,negative
199,positive
104,negative
84,negative
41,negative
137,negative
11,negative
159,positive
64,negative
21,negative
12,negative
199,positive
57,negative
52,negative
127,negative
96,negative
69,negative
5,negative
1,positive
231,positive
141,negative
12,negative
187,negative
11,negative
70,positive
14,positive
183,negative
151,negative
170,negative
156,negative
115,negative
1,positive
1,positive
87,negative
11,negative
26,negative
70,positive
9,positive
125,negative
57,negative
208,negative
47,negative
12,negative
65,negative
45,negative
131,positive
165,negative
168,negative
147,negative
12,negative
119,negative
62,positive
147,negative
193,negative
20,positive
87,positive
279,positive
16,positive
524,positive
4,negative
95,negative
41,negative
