Height,Lenght,Eccen,P_black,P_and,Blackpix,Blackand,Wb_trans,Class
9,40,4.444,0.494,0.925,178,333,61,negative
13,84,6.462,0.35,0.59,382,644,121,negative
10,249,24.9,0.462,0.842,1151,2097,326,negative
38,410,10.789,0.279,0.696,4341,10849,1815,negative
12,232,19.333,0.316,0.703,879,1957,375,negative
12,67,5.583,0.376,0.751,302,604,101,negative
10,119,11.9,0.392,0.891,467,1060,190,negative
12,116,9.667,0.331,0.756,461,1053,176,negative
11,104,9.455,0.377,0.779,431,891,168,negative
43,62,1.442,0.08,0.17,212,454,32,positive
10,33,3.3,0.294,0.791,97,261,53,negative
11,101,9.182,0.33,0.734,367,815,137,negative
2,6,3,0.667,1,8,12,2,positive
9,108,12,0.364,0.794,354,772,165,negative
8,185,23.125,0.265,0.611,392,905,199,negative
5,38,7.6,0.316,0.695,60,132,29,negative
7,116,16.571,0.309,0.676,251,549,114,negative
6,89,14.833,0.298,0.758,159,405,99,negative
3,27,9,0.481,0.926,39,75,22,negative
10,174,17.4,0.278,0.733,483,1276,239,negative
7,17,2.429,0.555,0.933,66,111,25,negative
8,28,3.5,0.308,0.835,69,187,22,negative
8,46,5.75,0.291,0.886,107,326,48,negative
22,71,3.227,0.499,0.836,780,1306,71,negative
10,75,7.5,0.451,0.86,338,645,119,negative
8,192,24,0.316,0.746,485,1146,279,negative
8,70,8.75,0.464,0.988,260,553,110,negative
10,121,12.1,0.415,0.879,502,1063,192,negative
9,71,7.889,0.352,0.897,225,573,114,negative
11,23,2.091,0.415,0.858,105,217,30,negative
27,115,4.259,0.293,0.672,910,2087,388,negative
11,90,8.182,0.362,0.808,358,800,127,negative
9,71,7.889,0.294,0.762,188,487,87,negative
10,83,8.3,0.425,0.86,353,714,121,negative
8,132,16.5,0.36,0.921,380,973,181,negative
6,101,16.833,0.393,0.752,238,456,120,negative
6,51,8.5,0.454,0.817,139,250,57,negative
6,45,7.5,0.456,0.967,123,261,75,negative
16,44,2.75,0.376,0.744,265,524,111,negative
9,35,3.889,0.397,0.832,125,262,65,negative
9,42,4.667,0.452,0.942,171,356,60,negative
11,104,9.455,0.367,0.747,420,854,164,negative
13,414,31.846,0.357,0.653,1919,3514,623,negative
10,181,18.1,0.491,0.866,888,1567,273,negative
11,413,37.545,0.356,0.806,1619,3662,664,negative
13,348,26.769,0.308,0.721,1395,3262,543,negative
12,414,34.5,0.313,0.734,1554,3646,675,negative
10,20,2,0.4,0.605,80,121,23,negative
10,413,41.3,0.315,0.731,1302,3018,527,negative
10,51,5.1,0.41,0.667,209,340,67,negative
12,69,5.75,0.4,0.74,331,613,95,negative
10,121,12.1,0.402,0.849,486,1027,180,negative
12,118,9.833,0.35,0.778,495,1102,166,negative
12,105,8.75,0.37,0.717,466,903,160,negative
33,28,0.848,0.098,0.271,91,250,16,positive
17,60,3.529,0.139,0.371,142,378,20,positive
10,33,3.3,0.282,0.839,93,277,51,negative
10,50,5,0.472,0.812,236,406,86,negative
10,98,9.8,0.392,0.849,384,832,154,negative
10,1,0.1,1,1,10,10,1,positive
9,108,12,0.389,0.88,378,855,170,negative
14,186,13.286,0.307,0.652,799,1698,319,negative
6,39,6.5,0.466,0.889,109,208,52,negative
6,89,14.833,0.403,0.82,215,438,106,negative
4,65,16.25,0.296,0.631,77,164,29,negative
7,389,55.571,0.167,0.584,455,1591,381,negative
3,3,1,0.778,0.778,7,7,1,negative
19,45,2.368,0.243,0.582,208,498,69,negative
24,96,4,0.208,0.504,480,1161,151,negative
18,79,4.389,0.257,0.616,365,876,115,negative
24,64,2.667,0.227,0.57,348,875,103,negative
18,48,2.667,0.264,0.524,228,453,53,negative
18,64,3.556,0.261,0.705,301,812,93,negative
12,10,0.833,0.442,0.792,53,95,10,negative
9,35,3.889,0.273,0.654,86,206,52,negative
9,77,8.556,0.251,0.56,174,388,93,negative
9,21,2.333,0.302,0.614,57,116,30,negative
9,23,2.556,0.169,0.319,35,66,12,negative
10,26,2.6,0.312,0.577,81,150,40,negative
9,264,29.333,0.261,0.612,619,1455,311,negative
5,7,1.4,0.229,0.6,8,21,3,positive
10,197,19.7,0.245,0.751,482,1479,258,negative
9,68,7.556,0.335,0.789,205,483,88,negative
9,17,1.889,0.144,0.458,22,70,7,positive
4,8,2,0.344,0.531,11,17,2,positive
85,69,0.812,0.165,0.441,969,2588,674,positive
13,13,1,0.124,0.45,21,76,6,positive
7,55,7.857,0.374,0.821,144,316,69,negative
7,41,5.857,0.425,0.993,122,285,62,negative
8,67,8.375,0.392,0.724,210,388,91,negative
7,12,1.714,0.476,0.762,40,64,14,negative
7,26,3.714,0.33,0.786,60,143,29,negative
8,35,4.375,0.321,0.775,90,217,51,negative
10,272,27.2,0.279,0.789,758,2147,382,negative
9,272,30.222,0.269,0.696,659,1704,342,negative
14,19,1.357,0.128,0.541,34,144,12,positive
14,19,1.357,0.113,0.504,30,134,1,positive
9,271,30.111,0.284,0.677,692,1651,358,negative
10,271,27.1,0.251,0.754,679,2044,362,negative
10,272,27.2,0.232,0.65,631,1767,319,negative
15,14,0.933,0.11,0.338,23,71,12,positive
10,271,27.1,0.249,0.704,675,1908,358,negative
9,271,30.111,0.292,0.727,712,1774,374,negative
7,24,3.429,0.101,0.298,17,50,9,positive
10,271,27.1,0.267,0.698,724,1892,369,negative
5,12,2.4,0.133,0.267,8,16,2,positive
8,5,0.625,0.275,0.45,11,18,3,positive
9,271,30.111,0.285,0.707,696,1724,382,negative
4,5,1.25,0.35,0.8,7,16,3,positive
9,272,30.222,0.277,0.67,679,1640,365,negative
7,15,2.143,0.114,0.295,12,31,5,positive
8,271,33.875,0.314,0.819,681,1775,375,negative
7,13,1.857,0.154,0.484,14,44,7,positive
9,198,22,0.289,0.681,515,1213,274,negative
4,7,1.75,0.286,1,8,28,4,positive
4,5,1.25,0.35,0.8,7,16,3,positive
5,3,0.6,0.467,0.6,7,9,2,positive
7,4,0.571,0.286,0.357,8,10,1,negative
7,65,9.286,0.316,0.848,144,386,95,negative
23,271,11.783,0.126,0.359,786,2239,420,negative
8,29,3.625,0.384,0.884,89,205,43,negative
8,7,0.875,0.304,0.946,17,53,11,negative
8,11,1.375,0.318,0.864,28,76,21,negative
8,69,8.625,0.279,0.687,154,379,103,negative
8,55,6.875,0.243,0.657,107,289,77,negative
8,240,30,0.194,0.515,373,988,279,negative
7,22,3.143,0.156,0.519,24,80,15,negative
8,272,34,0.189,0.688,411,1497,311,negative
8,272,34,0.186,0.539,404,1172,299,negative
11,271,24.636,0.177,0.588,527,1752,353,negative
7,213,30.429,0.199,0.733,296,1093,237,negative
11,272,24.727,0.168,0.595,504,1781,352,negative
5,9,1.8,0.178,0.533,8,24,5,positive
8,34,4.25,0.309,0.908,84,247,56,negative
8,7,0.875,0.393,0.946,22,53,11,negative
10,15,1.5,0.247,0.72,37,108,23,negative
8,21,2.625,0.28,0.923,47,155,34,negative
8,28,3.5,0.299,0.969,67,217,42,negative
10,60,6,0.203,0.595,122,357,85,negative
7,12,1.714,0.369,0.857,31,72,20,negative
7,6,0.857,0.214,0.286,9,12,1,negative
7,7,1,0.367,1,18,49,13,negative
6,17,2.833,0.343,0.873,35,89,27,negative
100,49,0.49,0.093,0.4,458,1958,259,positive
16,30,1.875,0.133,0.471,64,226,28,positive
10,7,0.7,0.157,0.6,11,42,7,positive
8,54,6.75,0.245,0.745,106,322,82,negative
10,179,17.9,0.2,0.758,358,1356,254,negative
6,5,0.833,0.233,0.633,7,19,4,positive
8,25,3.125,0.33,1,66,200,40,negative
6,12,2,0.139,0.514,10,37,7,positive
81,49,0.605,0.113,0.398,449,1580,199,positive
10,271,27.1,0.197,0.748,533,2027,386,negative
10,271,27.1,0.188,0.665,509,1803,388,negative
6,6,1,0.194,0.417,7,15,2,positive
6,9,1.5,0.148,0.296,8,16,2,positive
10,272,27.2,0.187,0.649,508,1765,368,negative
21,68,3.238,0.052,0.109,74,156,13,positive
10,271,27.1,0.199,0.717,540,1942,381,negative
7,47,6.714,0.158,0.289,52,95,9,positive
13,8,0.615,0.154,0.769,16,80,15,positive
11,271,24.636,0.198,0.628,591,1872,388,negative
8,1,0.125,0.875,1,7,8,1,positive
8,9,1.125,0.125,0.319,9,23,2,positive
10,272,27.2,0.211,0.772,573,2101,401,negative
10,272,27.2,0.206,0.786,559,2139,399,negative
2,49,24.5,0.51,0.51,50,50,1,positive
7,10,1.429,0.286,0.886,20,62,11,negative
6,9,1.5,0.352,0.87,19,47,12,negative
8,10,1.25,0.313,0.675,25,54,13,negative
4,9,2.25,0.417,1,15,36,9,negative
8,25,3.125,0.28,0.825,56,165,35,negative
8,37,4.625,0.334,0.993,99,294,77,negative
10,51,5.1,0.22,0.841,112,429,87,negative
10,100,10,0.212,0.702,212,702,146,negative
8,31,3.875,0.298,0.871,74,216,51,negative
7,5,0.714,0.2,0.429,7,15,1,negative
8,240,30,0.193,0.635,370,1220,264,negative
7,11,1.571,0.351,0.87,27,67,15,negative
10,236,23.6,0.183,0.572,432,1349,330,negative
8,135,16.875,0.077,0.294,83,317,54,negative
8,272,34,0.187,0.568,407,1236,288,negative
8,62,7.75,0.218,0.629,108,312,69,negative
7,38,5.429,0.308,0.789,82,210,53,negative
8,272,34,0.197,0.629,428,1369,310,negative
10,261,26.1,0.183,0.515,477,1343,321,negative
8,271,33.875,0.217,0.786,470,1704,364,negative
8,245,30.625,0.198,0.555,389,1088,286,negative
10,272,27.2,0.191,0.578,520,1571,348,negative
11,272,24.727,0.171,0.61,511,1824,348,negative
10,271,27.1,0.173,0.557,469,1510,318,negative
8,108,13.5,0.235,0.618,203,534,144,negative
10,125,12.5,0.19,0.526,237,657,170,negative
6,24,4,0.292,0.764,42,110,27,negative
8,37,4.625,0.182,0.649,54,192,40,negative
8,98,12.25,0.282,0.864,221,677,156,negative
10,93,9.3,0.206,0.794,192,738,130,negative
7,23,3.286,0.373,0.851,60,137,35,negative
11,271,24.636,0.162,0.542,483,1616,355,negative
11,271,24.636,0.176,0.671,525,2001,378,negative
8,71,8.875,0.238,0.701,135,398,92,negative
10,60,6,0.223,0.607,134,364,91,negative
10,47,4.7,0.223,0.706,105,332,65,negative
7,7,1,0.429,1,21,49,11,negative
7,38,5.429,0.327,0.951,87,253,63,negative
5,12,2.4,0.267,0.733,16,44,9,negative
10,234,23.4,0.188,0.614,441,1437,319,negative
10,271,27.1,0.187,0.602,508,1632,375,negative
11,189,17.182,0.174,0.613,361,1275,256,negative
8,65,8.125,0.269,0.725,140,377,100,negative
10,147,14.7,0.168,0.55,247,809,191,negative
11,271,24.636,0.168,0.598,502,1784,371,negative
8,261,32.625,0.218,0.773,455,1615,340,negative
10,271,27.1,0.193,0.769,524,2084,409,negative
10,173,17.3,0.09,0.375,155,649,102,negative
10,197,19.7,0.144,0.589,284,1160,228,negative
9,258,28.667,0.173,0.581,401,1350,313,negative
8,96,12,0.111,0.479,85,368,63,negative
10,271,27.1,0.176,0.574,476,1556,342,negative
10,271,27.1,0.193,0.693,522,1878,380,negative
7,48,6.857,0.292,0.804,98,270,64,negative
11,243,22.091,0.117,0.342,314,914,223,negative
8,88,11,0.195,0.756,137,532,92,negative
8,78,9.75,0.244,0.745,152,465,113,negative
9,175,19.444,0.19,0.568,299,894,221,negative
7,17,2.429,0.328,0.731,39,87,27,negative
7,14,2,0.357,0.959,35,94,19,negative
8,46,5.75,0.285,0.791,105,291,74,negative
9,34,3.778,0.225,0.755,69,231,44,negative
7,7,1,0.347,0.939,17,46,9,negative
7,11,1.571,0.351,0.87,27,67,18,negative
7,14,2,0.357,0.867,35,85,20,negative
7,21,3,0.313,0.966,46,142,31,negative
7,8,1.143,0.25,0.768,14,43,9,negative
7,29,4.143,0.281,0.842,57,171,39,negative
10,271,27.1,0.168,0.612,454,1659,351,negative
8,71,8.875,0.136,0.384,77,218,59,negative
8,25,3.125,0.24,0.91,48,182,33,negative
9,238,26.444,0.168,0.614,359,1316,285,negative
6,187,31.167,0.188,0.591,211,663,168,negative
6,17,2.833,0.245,0.598,25,61,16,negative
6,15,2.5,0.278,0.744,25,67,13,negative
10,215,21.5,0.133,0.464,287,997,239,negative
11,103,9.364,0.156,0.576,177,653,123,negative
8,263,32.875,0.154,0.549,325,1156,274,negative
8,15,1.875,0.3,0.642,36,77,23,negative
8,26,3.25,0.264,0.62,55,129,38,negative
2,7,3.5,0.5,0.929,7,13,2,negative
7,7,1,0.286,0.633,14,31,9,negative
7,30,4.286,0.295,0.876,62,184,35,negative
7,18,2.571,0.31,0.96,39,121,28,negative
8,29,3.625,0.207,0.651,48,151,30,negative
6,20,3.333,0.175,0.792,21,95,14,negative
5,18,3.6,0.378,0.956,34,86,21,negative
5,8,1.6,0.425,1,17,40,9,negative
5,7,1.4,0.4,0.657,14,23,6,negative
5,12,2.4,0.383,0.883,23,53,12,negative
8,126,15.75,0.188,0.685,189,690,149,negative
8,21,2.625,0.262,0.696,44,117,29,negative
8,99,12.375,0.199,0.662,158,524,114,negative
9,81,9,0.187,0.542,136,395,91,negative
6,69,11.5,0.28,0.744,116,308,83,negative
8,80,10,0.184,0.544,118,348,84,negative
7,128,18.286,0.203,0.663,182,594,137,negative
1,10,10,0.8,1,8,10,2,negative
804,11,0.014,0.191,0.233,1689,2058,108,positive
6,129,21.5,0.195,0.565,151,437,112,negative
5,52,10.4,0.208,0.542,54,141,40,negative
5,12,2.4,0.317,0.75,19,45,13,negative
5,21,4.2,0.295,0.733,31,77,21,negative
5,6,1.2,0.333,0.967,10,29,4,negative
5,38,7.6,0.426,0.989,81,188,57,negative
5,13,2.6,0.308,0.831,20,54,11,negative
5,6,1.2,0.367,0.767,11,23,3,negative
5,15,3,0.4,0.947,30,71,18,negative
5,53,10.6,0.223,0.611,59,162,46,negative
5,34,6.8,0.224,0.606,38,103,29,negative
5,30,6,0.36,0.947,54,142,43,negative
6,25,4.167,0.34,0.887,51,133,36,negative
6,2,0.333,0.583,1,7,12,1,negative
8,12,1.5,0.208,0.771,20,74,18,negative
7,14,2,0.255,0.735,25,72,16,negative
7,14,2,0.337,0.99,33,97,20,negative
7,8,1.143,0.357,1,20,56,7,negative
7,9,1.286,0.317,0.984,20,62,9,negative
7,4,0.571,0.357,0.571,10,16,2,negative
7,32,4.571,0.339,0.786,76,176,52,negative
9,29,3.222,0.234,0.709,61,185,47,negative
5,4,0.8,0.35,0.85,7,17,4,negative
5,8,1.6,0.425,0.975,17,39,11,negative
4,11,2.75,0.364,0.955,16,42,12,negative
6,50,8.333,0.213,0.577,64,173,49,negative
6,28,4.667,0.149,0.375,25,63,17,negative
5,43,8.6,0.233,0.8,50,172,37,negative
5,75,15,0.259,0.867,97,325,82,negative
4,18,4.5,0.333,0.667,24,48,14,negative
9,16,1.778,0.222,0.479,32,69,24,negative
10,79,7.9,0.163,0.42,129,332,103,negative
9,158,17.556,0.217,0.535,308,761,212,negative
1,114,114,0.939,1,107,114,5,positive
1,41,41,0.927,1,38,41,3,positive
4,6,1.5,0.333,0.792,8,19,4,negative
6,49,8.167,0.241,0.633,71,186,50,negative
6,32,5.333,0.292,0.698,56,134,41,negative
7,37,5.286,0.243,0.71,63,184,47,negative
6,19,3.167,0.254,0.956,29,109,25,negative
6,28,4.667,0.292,0.875,49,147,38,negative
6,12,2,0.319,0.653,23,47,11,negative
4,28,7,0.455,1,51,112,40,negative
1,33,33,0.667,1,22,33,6,positive
14,29,2.071,0.14,0.502,57,204,35,negative
1,106,106,0.858,1,91,106,6,positive
10,12,1.2,0.183,0.392,22,47,10,negative
9,16,1.778,0.16,0.5,23,72,12,negative
9,16,1.778,0.208,0.542,30,78,14,negative
8,11,1.375,0.159,0.477,14,42,8,negative
7,27,3.857,0.164,0.397,31,75,12,negative
6,6,1,0.306,0.556,11,20,3,negative
6,13,2.167,0.295,0.897,23,70,14,negative
7,41,5.857,0.209,0.652,60,187,44,negative
7,41,5.857,0.22,0.756,63,217,43,negative
6,7,1.167,0.405,0.833,17,35,9,negative
6,13,2.167,0.295,0.872,23,68,16,negative
6,41,6.833,0.232,0.927,57,228,44,negative
6,40,6.667,0.221,0.983,53,236,42,negative
6,7,1.167,0.31,0.786,13,33,7,negative
4,12,3,0.146,1,7,48,7,negative
7,41,5.857,0.213,0.861,61,247,46,negative
6,40,6.667,0.313,0.996,75,239,59,negative
1,12,12,0.583,1,7,12,4,negative
6,11,1.833,0.333,0.803,22,53,13,negative
4,12,3,0.292,1,14,48,10,negative
6,41,6.833,0.224,0.85,55,209,46,negative
7,40,5.714,0.229,0.686,64,192,50,negative
9,23,2.556,0.213,0.507,44,105,28,negative
9,23,2.556,0.246,0.57,51,118,28,negative
8,17,2.125,0.265,0.566,36,77,21,negative
7,37,5.286,0.301,0.691,78,179,43,negative
7,54,7.714,0.267,0.619,101,234,71,negative
5,32,6.4,0.431,0.988,69,158,47,negative
5,13,2.6,0.415,0.938,27,61,16,negative
6,17,2.833,0.255,0.745,26,76,22,negative
6,13,2.167,0.308,0.872,24,68,15,negative
6,14,2.333,0.274,0.893,23,75,14,negative
6,14,2.333,0.274,0.929,23,78,18,negative
6,17,2.833,0.382,0.951,39,97,24,negative
5,13,2.6,0.262,0.692,17,45,12,negative
5,13,2.6,0.246,0.831,16,54,12,negative
4,14,3.5,0.268,0.732,15,41,9,negative
6,24,4,0.257,0.771,37,111,26,negative
6,13,2.167,0.282,0.936,22,73,14,negative
7,41,5.857,0.185,0.638,53,183,35,negative
7,41,5.857,0.226,0.784,65,225,44,negative
1,27,27,0.407,1,11,27,6,positive
1,41,41,0.78,1,32,41,7,positive
10,12,1.2,0.225,0.558,27,67,10,negative
9,21,2.333,0.175,0.513,33,97,20,negative
9,15,1.667,0.178,0.556,24,75,15,negative
9,17,1.889,0.183,0.529,28,81,16,negative
10,19,1.9,0.142,0.326,27,62,9,negative
10,12,1.2,0.142,0.317,17,38,6,negative
8,16,2,0.242,0.602,31,77,16,negative
7,16,2.286,0.25,0.527,28,59,14,negative
1,22,22,0.5,1,11,22,6,positive
3,9,3,0.296,1,8,27,6,negative
10,58,5.8,0.081,0.224,47,130,29,negative
7,182,26,0.203,0.62,259,790,204,negative
9,73,8.111,0.174,0.434,114,285,79,negative
9,107,11.889,0.204,0.683,196,658,138,negative
9,18,2,0.278,0.716,45,116,27,negative
7,125,17.857,0.27,0.858,236,751,168,negative
10,53,5.3,0.215,0.781,114,414,79,negative
8,43,5.375,0.212,0.721,73,248,52,negative
7,8,1.143,0.375,0.964,21,54,13,negative
8,30,3.75,0.233,0.833,56,200,45,negative
6,59,9.833,0.268,0.692,95,245,75,negative
6,7,1.167,0.262,0.786,11,33,6,negative
5,17,3.4,0.4,0.965,34,82,26,negative
5,3,0.6,0.6,1,9,15,2,negative
7,6,0.857,0.476,0.881,20,37,11,negative
7,33,4.714,0.342,0.74,79,171,53,negative
7,19,2.714,0.406,1,54,133,32,negative
7,17,2.429,0.395,0.782,47,93,26,negative
7,16,2.286,0.304,0.696,34,78,25,negative
9,19,2.111,0.269,0.643,46,110,34,negative
7,18,2.571,0.27,0.714,34,90,25,negative
6,6,1,0.361,0.778,13,28,8,negative
5,11,2.2,0.345,0.873,19,48,13,negative
5,16,3.2,0.425,1,34,80,25,negative
5,8,1.6,0.6,0.975,24,39,11,negative
7,29,4.143,0.286,0.67,58,136,34,negative
9,21,2.333,0.243,0.757,46,143,35,negative
9,46,5.111,0.242,0.737,100,305,68,negative
9,8,0.889,0.264,1,19,72,15,negative
9,55,6.111,0.251,0.808,124,400,87,negative
8,23,2.875,0.277,0.832,51,153,30,negative
7,49,7,0.318,0.735,109,252,71,negative
5,17,3.4,0.412,0.941,35,80,20,negative
5,3,0.6,0.6,0.867,9,13,2,negative
8,26,3.25,0.25,0.808,52,168,38,negative
8,27,3.375,0.208,0.852,45,184,31,negative
7,14,2,0.327,1,32,98,20,negative
7,18,2.571,0.206,0.651,26,82,12,negative
7,9,1.286,0.349,0.905,22,57,10,negative
7,4,0.571,0.286,0.964,8,27,1,negative
7,14,2,0.296,0.898,29,88,18,negative
7,19,2.714,0.331,0.767,44,102,31,negative
8,27,3.375,0.269,0.764,58,165,45,negative
7,4,0.571,0.321,1,9,28,3,negative
7,38,5.429,0.301,0.85,80,226,55,negative
7,33,4.714,0.299,0.848,69,196,48,negative
7,9,1.286,0.365,0.857,23,54,13,negative
7,6,0.857,0.452,1,19,42,10,negative
7,30,4.286,0.352,0.79,74,166,48,negative
7,8,1.143,0.286,0.732,16,41,9,negative
9,46,5.111,0.242,0.575,100,238,70,negative
9,220,24.444,0.23,0.758,456,1501,316,negative
8,38,4.75,0.25,0.73,76,222,55,negative
9,251,27.889,0.187,0.672,423,1517,317,negative
10,151,15.1,0.193,0.77,291,1162,197,negative
7,29,4.143,0.305,0.837,62,170,42,negative
7,13,1.857,0.264,0.648,24,59,17,negative
7,54,7.714,0.254,0.608,96,230,69,negative
7,7,1,0.408,0.857,20,42,9,negative
7,11,1.571,0.312,0.844,24,65,16,negative
9,49,5.444,0.265,0.744,117,328,73,negative
7,27,3.857,0.28,0.947,53,179,40,negative
7,21,3,0.354,0.939,52,138,32,negative
7,19,2.714,0.346,1,46,133,32,negative
8,41,5.125,0.232,0.527,76,173,49,negative
8,63,7.875,0.256,0.694,129,350,85,negative
8,47,5.875,0.221,0.702,83,264,66,negative
9,56,6.222,0.21,0.603,106,304,84,negative
9,22,2.444,0.192,0.697,38,138,29,negative
9,5,0.556,0.244,0.867,11,39,5,negative
6,22,3.667,0.326,1,43,132,33,negative
7,16,2.286,0.259,0.705,29,79,21,negative
8,81,10.125,0.221,0.591,143,383,111,negative
5,15,3,0.36,0.933,27,70,20,negative
5,5,1,0.44,1,11,25,7,negative
9,135,15,0.249,0.626,302,761,193,negative
7,21,3,0.34,0.85,50,125,37,negative
7,87,12.429,0.232,0.589,141,359,111,negative
7,8,1.143,0.375,1,21,56,13,negative
7,35,5,0.31,1,76,245,49,negative
7,14,2,0.388,0.847,38,83,23,negative
7,11,1.571,0.364,0.922,28,71,16,negative
7,13,1.857,0.297,0.835,27,76,16,negative
7,9,1.286,0.317,0.81,20,51,13,negative
7,41,5.857,0.345,0.777,99,223,64,negative
7,46,6.571,0.354,1,114,322,78,negative
7,20,2.857,0.35,0.757,49,106,31,negative
5,14,2.8,0.414,0.943,29,66,21,negative
10,262,26.2,0.179,0.606,469,1587,344,negative
10,49,4.9,0.196,0.751,96,368,76,negative
7,21,3,0.327,0.728,48,107,34,negative
9,49,5.444,0.231,0.685,102,302,70,negative
7,23,3.286,0.248,0.944,40,152,33,negative
7,5,0.714,0.257,0.571,9,20,4,negative
9,37,4.111,0.213,0.706,71,235,46,negative
6,17,2.833,0.275,0.824,28,84,21,negative
6,11,1.833,0.303,0.712,20,47,13,negative
6,6,1,0.417,0.944,15,34,10,negative
9,214,23.778,0.23,0.748,443,1440,307,negative
7,43,6.143,0.246,0.947,74,285,56,negative
9,56,6.222,0.196,0.617,99,311,80,negative
7,11,1.571,0.312,0.987,24,76,20,negative
7,33,4.714,0.342,0.848,79,196,40,negative
8,23,2.875,0.31,0.88,57,162,31,negative
7,23,3.286,0.329,1,53,161,38,negative
7,11,1.571,0.351,0.922,27,71,17,negative
7,20,2.857,0.364,0.871,51,122,35,negative
7,49,7,0.3,0.72,103,247,77,negative
10,38,3.8,0.195,0.55,74,209,50,negative
7,15,2.143,0.314,1,33,105,21,negative
7,66,9.429,0.294,0.924,136,427,93,negative
9,54,6,0.27,0.852,131,414,88,negative
9,49,5.444,0.272,0.791,120,349,87,negative
8,11,1.375,0.25,0.83,22,73,17,negative
7,36,5.143,0.365,0.96,92,242,55,negative
7,29,4.143,0.36,0.936,73,190,52,negative
7,11,1.571,0.351,0.961,27,74,20,negative
7,26,3.714,0.352,1,64,182,47,negative
7,9,1.286,0.286,0.968,18,61,15,negative
7,31,4.429,0.276,0.788,60,171,48,negative
7,9,1.286,0.381,0.952,24,60,13,negative
8,27,3.375,0.236,0.685,51,148,39,negative
8,4,0.5,0.375,1,12,32,5,negative
8,5,0.625,0.375,0.95,15,38,9,negative
5,5,1,0.52,1,13,25,6,negative
7,15,2.143,0.229,0.981,24,103,17,negative
7,37,5.286,0.305,1,79,259,54,negative
7,9,1.286,0.302,0.905,19,57,13,negative
7,11,1.571,0.364,1,28,77,21,negative
7,19,2.714,0.361,0.917,48,122,32,negative
7,8,1.143,0.357,0.893,20,50,9,negative
9,55,6.111,0.259,0.699,128,346,87,negative
7,29,4.143,0.365,0.946,74,192,37,negative
7,4,0.571,0.25,0.857,7,24,3,negative
7,14,2,0.337,0.98,33,96,18,negative
7,17,2.429,0.286,0.916,34,109,26,negative
7,38,5.429,0.226,0.639,60,170,43,negative
8,23,2.875,0.239,0.554,44,102,25,negative
9,41,4.556,0.244,0.661,90,244,68,negative
6,33,5.5,0.268,0.848,53,168,38,negative
6,4,0.667,0.458,1,11,24,5,negative
6,19,3.167,0.36,0.711,41,81,26,negative
6,49,8.167,0.286,0.694,84,204,61,negative
7,13,1.857,0.297,0.857,27,78,23,negative
7,13,1.857,0.374,0.978,34,89,19,negative
7,30,4.286,0.305,0.871,64,183,39,negative
7,14,2,0.378,1,37,98,19,negative
7,14,2,0.337,0.786,33,77,24,negative
7,18,2.571,0.365,0.968,46,122,23,negative
7,7,1,0.245,1,12,49,7,negative
7,26,3.714,0.269,0.929,49,169,40,negative
6,17,2.833,0.324,1,33,102,25,negative
6,9,1.5,0.296,0.796,16,43,13,negative
6,26,4.333,0.34,0.974,53,152,40,negative
5,5,1,0.36,1,9,25,7,negative
9,48,5.333,0.273,0.685,118,296,83,negative
7,31,4.429,0.313,0.853,68,185,43,negative
7,42,6,0.333,0.844,98,248,67,negative
7,46,6.571,0.304,0.745,98,240,64,negative
5,11,2.2,0.455,1,25,55,15,negative
9,21,2.333,0.206,0.778,39,147,32,negative
9,58,6.444,0.203,0.531,106,277,79,negative
9,49,5.444,0.265,0.653,117,288,86,negative
9,8,0.889,0.222,0.736,16,53,9,negative
9,22,2.444,0.227,0.934,45,185,28,negative
7,32,4.571,0.232,0.804,52,180,40,negative
9,19,2.111,0.222,0.673,38,115,29,negative
6,18,3,0.306,0.787,33,85,25,negative
7,15,2.143,0.333,0.838,35,88,24,negative
7,16,2.286,0.304,0.955,34,107,30,negative
9,32,3.556,0.24,0.913,69,263,46,negative
7,56,8,0.227,0.602,89,236,71,negative
8,16,2,0.234,0.922,30,118,19,negative
6,7,1.167,0.262,0.786,11,33,8,negative
6,33,5.5,0.247,0.813,49,161,41,negative
6,10,1.667,0.333,0.75,20,45,13,negative
6,25,4.167,0.273,0.787,41,118,35,negative
9,19,2.111,0.251,0.977,43,167,32,negative
9,29,3.222,0.234,0.889,61,232,44,negative
9,49,5.444,0.247,0.721,109,318,72,negative
7,13,1.857,0.363,0.934,33,85,15,negative
8,57,7.125,0.268,0.798,122,364,84,negative
8,54,6.75,0.275,0.778,119,336,87,negative
8,11,1.375,0.318,1,28,88,20,negative
7,24,3.429,0.274,0.661,46,111,31,negative
7,38,5.429,0.259,0.688,69,183,46,negative
9,23,2.556,0.222,0.816,46,169,34,negative
9,49,5.444,0.222,0.687,98,303,77,negative
7,43,6.143,0.249,0.807,75,243,58,negative
7,8,1.143,0.357,0.804,20,45,10,negative
7,19,2.714,0.398,0.977,53,130,30,negative
5,7,1.4,0.429,0.971,15,34,11,negative
5,6,1.2,0.3,1,9,30,5,negative
10,262,26.2,0.19,0.601,499,1575,377,negative
7,17,2.429,0.353,0.79,42,94,27,negative
7,9,1.286,0.349,0.746,22,47,12,negative
7,40,5.714,0.336,0.971,94,272,60,negative
7,48,6.857,0.33,0.821,111,276,77,negative
8,25,3.125,0.285,0.88,57,176,42,negative
7,13,1.857,0.396,1,36,91,27,negative
