Attr02,Attr03,Attr06,Attr09,Attr12,Atrr13,Attr19,Class
0.13,1,0,0.67,0.33,0.16,0,negative
0.25,0.5,1,0.67,0.67,0.13,0,negative
0.09,0.25,0,0.67,0,0.07,0,negative
0.16,0.5,0,0.33,0.67,0.07,0,negative
0.12,0.5,0,0.33,0,0.32,0,positive
0.16,0.5,0,0.67,0.67,0.25,0,negative
0.03,0.5,0,0.33,0.33,0.54,1,negative
0.21,0.5,0,0.33,0.67,0.07,0,positive
0.12,0.5,0.25,0.33,0,0.07,0,negative
0.38,1,0,0.33,0.67,0.11,0,negative
0.12,0.75,0.75,0.67,1,0.64,0,positive
0.29,0.5,1,0.33,1,0.23,0,positive
0.03,1,0,0.67,0,0.98,0,negative
0.16,1,1,0.67,1,0.36,1,positive
0.29,0.5,0,0.67,0,0.21,1,negative
0.12,1,0,0.67,0.33,0.29,0,positive
0.16,1,1,0.33,0.67,0.71,1,negative
0.21,1,0,0.33,0,0.09,0,positive
0.12,0.5,0,0.67,0.33,0.09,0,negative
0.25,1,1,0.67,1,0.2,1,positive
0.29,1,0.25,1,0.33,0.14,1,negative
0.12,0.5,0,1,0,0.38,0,negative
0.38,0.5,0,0,0.33,0.21,0,positive
0.12,1,0,0.67,0.67,0.16,1,negative
0.09,0.5,1,0.33,0,0.21,0,negative
0.12,1,0,0.67,0,0.79,1,negative
0.29,0.5,1,0.33,0,0.13,0,negative
0.47,1,0,0.33,1,0.11,1,positive
0.25,1,0,0.67,0.67,0.3,1,negative
0.29,1,0.25,0.67,0.33,0.59,0,negative
0.12,1,0.5,0.67,1,0.84,0,negative
0.29,0.5,1,0.33,0,0.11,0,positive
0.47,1,0,0.67,0.67,0.32,1,negative
0.21,0.5,0,0.33,0,0.11,0,negative
0.47,1,0.75,0.67,0.67,0.34,1,negative
0.21,0.5,0,0.33,0.67,0.86,1,negative
0.51,1,0,0.67,0,0.11,0,positive
0.29,1,0.75,0.67,0,0.73,1,negative
0.12,0,0,0.67,0,0.21,1,negative
0.12,0.5,0.25,0.33,0.33,0.07,0,positive
0.24,0.5,1,0,0,0.73,1,negative
0.21,0.5,0.75,0.67,0.33,0.29,1,negative
0.26,0.5,0.5,0.67,0.67,0.38,0,negative
0.65,1,1,0.67,0.67,0.34,1,negative
0.65,0.75,0,0.67,1,0.55,0,positive
0.53,1,0,0.67,1,0.14,1,positive
0.25,0.5,0,0.33,0.33,0.36,0,positive
0.29,0.5,1,0.67,0.67,0.39,1,negative
0.03,1,1,1,0.33,0.14,0,negative
0.29,0.5,0,0,1,0.57,0,negative
0.29,0.5,0.5,0.67,1,0.23,1,negative
0.07,0.5,0.25,0.33,0.33,0.05,0,negative
0.21,0.5,1,0.67,0.33,0.57,1,positive
0.12,1,0,0.33,0.33,0.05,0,negative
0.29,0.75,1,1,0.67,0.63,1,negative
0.07,0.5,1,0.67,0,0.29,0,negative
0.29,1,0,0.67,1,0.63,0,negative
0.21,1,0,0.33,0,0.52,1,negative
0.24,1,0,0.33,0.33,0.09,0,negative
0.12,1,1,0.67,0.67,0.29,0,negative
0.12,0.5,1,0.33,0,0.09,0,negative
0.47,0.5,0,0.67,0.67,0.09,1,positive
0.03,0.5,0,1,0,0.13,0,negative
0.12,1,1,0.67,0,0.82,0,negative
0.56,0.25,0,0.67,1,0.64,1,negative
0.16,0,0,0.33,0,0.13,0,positive
0.06,0.5,0,1,0,0.13,1,negative
0.03,0.5,0,1,0,0.16,0,negative
0.47,1,0,0.67,0.67,0.09,1,positive
0.65,0.5,0,0.67,0.67,0.63,0,positive
0.65,0.5,0,0.67,1,0.48,0,positive
0.47,0.75,0,0.33,0.33,0.63,0,negative
0.03,0.5,0.5,0,0,0.77,0,negative
0.03,1,0,0.33,0.67,0.09,1,negative
0.47,0.5,0,0,0.67,0.43,0,negative
0.21,0.5,0,1,0,0.13,0,positive
0.12,0.5,0,1,0,0.14,1,negative
0.12,0.5,0,1,0.67,0.09,0,negative
0.47,0.5,0,0.67,0.33,0.39,0,positive
0.06,1,0,0.67,0,0.5,0,negative
0.21,1,0,0,0.67,0.29,1,negative
0.25,1,0,1,0.67,0.2,1,negative
0.21,1,0,0.33,0,0.25,1,positive
0.21,0,0,0.67,0.67,0.3,0,positive
0.47,0.5,1,0.67,1,0.5,0,positive
0.65,0.75,1,0.67,1,0.34,1,negative
0.29,0.75,0.5,0.67,0.67,0.45,1,negative
0.21,0.5,0,0.33,0.67,0.07,1,positive
0.6,0,0,0.67,0.67,0.18,0,positive
0.29,0.5,1,0.33,0.67,0.41,1,negative
0.16,0.5,0,0.33,0,0.11,0,positive
0.12,0,0,0.67,0.67,0.52,0,positive
0.12,0.5,1,0.33,0.67,0.04,0,negative
0,0.5,0,0.33,0,0.07,0,negative
0.29,1,0,0.67,0.33,0.79,1,negative
0.29,1,0,1,0,0.48,0,negative
0.47,0.5,0,0.67,0.33,0.18,0,positive
0.25,0.75,0,0.67,0,0.16,0,negative
0.21,0.5,0,0.33,0,0.07,0,positive
0.29,0.25,0,0.67,0.67,0.55,1,negative
0.21,0.5,0,0.67,0.33,0.5,1,negative
0.25,0.5,1,0.67,0.67,0.29,1,negative
0.21,0.5,1,0.67,0.67,0.88,0,positive
0.29,0.5,0,1,0,0.16,0,negative
0.07,0.5,0,0.67,0,0.71,0,negative
0.12,0.5,0,0.67,0,0.68,0,positive
0.24,1,0,1,0.33,0.25,0,positive
0.29,1,1,0.67,0.33,0.43,1,negative
0.16,1,0,0.67,1,0.29,1,negative
0.21,0.25,0,0.67,1,0.23,0,positive
0.47,0.75,0,0.67,0.67,0.46,1,negative
0.29,0.5,0.25,1,0,0.25,1,negative
0.09,0.5,1,0.33,0.33,0.38,1,negative
0.16,1,0,0.67,1,0.16,1,negative
0.16,0.5,0,0.33,0.33,0.18,1,positive
0.07,0.5,0.25,0.67,0,0.13,0,negative
0.29,1,0.75,0.67,0,0.14,0,negative
0.21,0.75,0,1,0.67,0.16,1,positive
0.29,0.5,0,0.33,0,0.29,1,positive
0.34,1,0.75,0.67,0,0.23,1,negative
0.09,0.5,0,0.67,0,0.11,0,positive
0.16,0.5,0.5,0.33,0.67,0.02,0,negative
0.21,0.5,0,0.33,0.67,0.14,0,negative
0.12,1,0,0.67,0.33,0.41,0,negative
0.47,0.5,1,0.67,0.33,0.32,0,negative
0.12,0.5,0,0.33,0.33,0.09,0,negative
0.47,0.75,0.5,0.33,0.67,0.38,1,negative
0.03,1,0,0.67,0,0.48,0,negative
0.29,1,0.25,0.67,0,0.13,1,negative
0.16,0.5,1,0.33,0,0.09,0,negative
0.12,0.5,0,0.67,0.33,0.18,0,negative
0.1,1,0.75,0.33,0.67,0.38,0,negative
0.21,0.25,0,0.67,1,0.3,1,negative
0.47,0.5,0,0.67,0.67,0.16,0,negative
0.07,0.5,0,0.67,1,0.14,1,positive
0.38,1,1,0.67,0.33,0.3,0,negative
0.29,0.5,0,0.67,0.67,0.34,1,negative
0.29,0.5,1,0,1,0.52,1,negative
0.38,1,1,0.67,0,0.3,0,negative
0.21,1,0,0.33,0.67,0.82,0,negative
0.29,0.5,0,0,0.67,0.43,1,positive
0.12,0.5,0,0.33,0.33,0.61,0,positive
0.29,1,1,0.67,1,0.27,1,negative
0.65,0.5,0,0.67,0.67,0.07,1,positive
0.47,1,0,0.67,0.67,0.27,1,negative
0.35,0.25,1,0.67,0,0.38,1,negative
0.34,1,0,0.67,0.67,0.43,1,negative
0.16,1,0,0.67,0.67,0.48,1,negative
0.12,1,0,0.67,0.33,0.34,0,negative
0.47,1,0,0.67,0.67,0.27,1,negative
0.21,1,1,0.67,0.33,0.18,1,negative
0.47,0.75,1,0.67,0.67,0.21,1,negative
0.25,0.5,0,0.33,0.33,0.16,1,negative
0.12,1,0.75,0.33,0.33,0.29,0,negative
0.16,0.5,1,0.33,0,0.25,0,negative
0.21,0.5,0,0.67,0.67,0.41,0,positive
0.18,1,0,0.67,0.33,0.43,1,positive
0.24,1,1,0,0,0.45,1,negative
0.47,1,1,0.67,1,0.41,0,negative
0.16,0.5,1,1,0,0.38,1,negative
0.29,0.5,0,0.67,0,0.3,1,negative
0.12,0.5,0,0.67,0,0.02,1,negative
0.25,0.5,1,0.67,0,0.09,0,negative
0.47,0.5,1,1,0.67,0.14,0,negative
0.07,0.5,1,0.33,0,0.25,0,negative
0.16,0.75,0,0.33,0.33,0.48,0,negative
0.47,0.75,0,0.33,0,0.27,0,negative
0.29,1,0,0.33,0.67,0.11,0,positive
0.38,0.5,1,0.33,0.67,0.11,0,negative
0.1,0.5,0.75,0,0,0.16,1,negative
0.29,0.25,0,0.67,0.33,0.21,1,positive
0.65,0,0,0.33,0.33,0.23,1,positive
0.09,0.5,0.25,0.67,0,0.23,0,negative
0.03,0.5,0,0.67,1,0.88,1,positive
0.29,0.5,0.25,0,0.33,0.25,0,positive
0.29,0.5,0,0.67,0.33,0.36,1,positive
0.21,1,0,0.33,1,0.16,0,negative
0.65,0.75,0.5,0.67,0.67,0.32,1,negative
0.07,0.5,0,0.33,0.33,0.05,0,positive
0.12,0.5,0,0.67,0.33,0.2,1,negative
0.29,0.25,0,0,0.33,0.64,1,positive
0.12,0.25,0,0.67,0.67,0.48,1,positive
0.21,1,0,0.33,0.33,0.04,0,negative
0.65,0.5,0,0.67,1,0.36,1,positive
0.38,0.5,1,0.67,0.67,0.7,1,negative
0.12,0.75,0,0.67,0,0.43,0,negative
0.29,0.5,0,0.67,0.33,0.09,0,negative
0.07,0.5,0,0.33,0.67,0.05,1,positive
0.07,1,0,0.67,0,0.2,0,negative
0.12,1,0.5,0.67,0.33,0.41,1,negative
0.12,0.5,0,0.33,0.67,0.07,0,negative
0.38,0.75,0.25,0.67,1,0.2,0,positive
0.07,0.5,0,0.33,0,0.16,0,positive
0.03,0.5,0,1,0.67,0.2,1,negative
0.82,0.5,0,0.67,1,0.41,0,positive
0.29,1,1,0.67,0.33,0.48,1,negative
0.12,0.5,1,0.67,0.33,0.46,1,negative
0.09,0.5,0,0.67,0,0.21,0,negative
0.29,0.5,1,0.67,0.67,0.21,1,negative
0,1,0,0.67,0,0.41,0,negative
0.16,0.5,0,0.33,0.33,0.48,0,negative
0.29,0.25,0.5,0.67,1,0.2,1,positive
0.65,0,0.5,0.33,0.67,0.2,0,negative
0.12,0.5,1,0.67,1,0.34,1,negative
0.21,0.5,0,1,0.33,0.43,0,positive
0.29,0.5,0.25,0.67,0.67,0.21,0,positive
0.21,1,0,1,0.67,0.38,1,negative
0.47,0.75,0,0.67,0.67,0.09,1,positive
0.29,0.5,0.5,0.33,0.67,0.16,0,positive
0.47,0.5,0,0.33,0.67,0.13,1,positive
0.12,0.5,0,0.33,0.33,0.18,1,negative
0.29,1,0.75,0.33,0.33,0.68,1,negative
0.38,1,1,0.67,0.33,0.54,0,negative
0.07,1,0,0.67,0,0.32,0,negative
0.35,0.5,0,0.67,0.67,0.46,0,positive
0.03,1,0,1,0,0.2,0,negative
0.29,0.5,0.25,0.67,1,0.2,0,negative
0.25,0.75,0,0,0.33,0.5,0,negative
0.16,0.5,1,0.67,1,0.18,0,negative
0.29,0.5,0.5,0.67,0.67,0.29,1,positive
0.03,0.5,0,1,0.33,0.05,0,negative
0.38,0.5,1,0.33,0.67,0.13,0,negative
0.34,1,0.5,0.67,0.33,0.07,0,positive
0.56,0.5,1,1,0.33,0.18,1,negative
0.1,1,0,0.67,0,0.38,0,negative
0.29,0.25,0,0.33,1,0.18,0,positive
0.16,0.5,0,0.33,0.67,0.63,1,negative
0.82,0.5,0,0.67,1,0.3,0,positive
0.38,1,0,0.33,0.67,0.25,1,negative
0.16,0.5,0.25,0.67,0,0.05,0,negative
0.29,0.5,0,0.67,0.33,0.43,0,negative
0.29,0.5,0.5,0.33,0.67,0.68,0,negative
0.03,0.5,0,0.33,0,0.8,0,negative
0.21,0.75,1,0.67,0.33,0.41,0,negative
0.29,0.75,0,0.67,0.67,0.5,0,positive
0.16,0.25,0.25,1,0.33,0.11,0,positive
0.38,1,0,0.67,0.33,0.54,0,positive
0.65,0.5,0,0.67,0.67,0.25,1,positive
0.25,0.5,0.25,0.33,0.67,0.16,1,negative
0.47,0.5,0,0.67,0.33,0.13,0,positive
0.29,1,0,0.67,0.33,0.2,0,negative
0.16,1,0,0.33,0.33,0.11,0,negative
0.56,0,0,0,0.33,0.25,0,negative
0.13,0.5,0.25,0.33,0,0.8,0,negative
0.29,0.5,0,0.67,1,0.18,1,negative
0.29,1,0,0.67,0.33,0.52,0,negative
0.12,1,1,0.67,0.33,0.32,0,negative
0.16,0.25,0.25,0.67,0.67,0.27,0,negative
0.21,0.5,1,1,0.67,0.07,0,negative
0.47,0.5,0,0.67,0.33,0.2,1,negative
0.12,0.5,1,0.67,0.67,0.55,1,negative
0.12,0.5,0,0.33,0,0.21,0,negative
0.38,0.5,0,0,0.33,0.38,1,negative
0.12,0.5,0,0.67,0.67,0.34,0,negative
0.6,0.5,0,0.67,1,0.07,1,positive
0.6,1,0.25,0.67,0.67,0.14,0,negative
0.65,0.5,0,0.33,0,0.05,0,positive
0.12,1,0,0.67,0,0.54,0,negative
0.56,0.5,0,0.67,0.33,0.46,0,negative
0.29,0.75,0,0.67,1,0.61,0,positive
0.47,0.5,1,0.67,1,0.29,1,negative
0.29,0.5,0.5,0.67,0.33,0.61,0,negative
0.47,0.5,0,0.67,0.67,0.29,1,negative
0.12,0.5,0.75,0,0,0.75,0,negative
0.38,1,0,1,0.67,0.16,0,positive
0.12,0.5,0,0.33,0.67,0.11,0,positive
0.65,0.5,0,0.33,0.33,0.09,0,positive
0.12,0.5,0,0.33,0.67,0.05,1,negative
0.29,1,0,0.67,0.67,0.73,0,positive
0.16,0.5,0,0.33,0.67,0.16,0,negative
0.29,0.5,0.25,0.33,0.67,0.23,0,positive
0.29,1,1,0.67,0.33,0.61,0,negative
0.38,0,1,0.67,0.67,0.11,0,negative
0.29,0.5,0,0.33,1,0.45,1,positive
0.29,0.5,0.5,0.67,0.67,0.21,1,negative
0.07,1,0,0.67,0.67,0.52,1,negative
0.03,0.5,0.5,0.67,0,0.45,0,negative
0.09,1,0,0.67,0,0.52,0,negative
0.12,1,0.25,0.67,0.33,0.45,0,negative
0.09,1,1,1,0.67,0.13,0,negative
0.03,0.5,0,0.67,0,0.3,1,negative
0.03,0,0,1,0.67,0.36,0,negative
0.12,0.25,0.75,0.33,0,0.41,0,negative
0.04,0.5,0,0.67,0,0.27,0,negative
0.82,0.75,0,0.67,1,0.79,1,positive
0.21,0.5,0.75,1,0,0.3,1,negative
0.29,0.5,0,0.67,0.67,0.14,0,negative
0.21,0.5,0.25,0.67,0.67,0.2,1,negative
0.12,1,1,0.67,1,0.68,0,negative
0.12,0.5,0,0.33,0.33,0.25,1,negative
0.6,1,0,0.67,0.33,0.11,0,positive
0.65,1,0,0.67,1,0.21,1,negative
0.21,0.5,0,0.67,0,0.32,0,positive
0.09,0.5,0,0.67,0.67,0.32,1,negative
0.07,0.5,0,0.67,0,0.09,0,negative
0.38,0.5,0.5,0.67,0.67,0.2,0,negative
0.12,0.5,0.5,0,0.67,0.13,1,negative
0.21,0.75,0,0.67,0,0.45,1,negative
0.38,1,0.25,1,0.67,0.09,0,negative
0.65,1,0,0.33,1,0.7,0,positive
0.1,1,0,0.33,0.67,0.29,0,negative
0.47,0.5,0.5,0.67,0.67,0.36,0,negative
0.03,0.5,0.5,0.33,0.33,0.07,1,negative
0.1,1,0,0.67,0.33,0.36,0,negative
0.12,0.5,0.25,0.33,0,0.16,0,negative
0.29,0.75,1,0.67,0.33,0.18,0,negative
0.34,0.75,0,0.67,0.67,0.2,1,negative
0.12,0.5,0,0.67,0.67,0.11,0,negative
0.21,0.5,1,0.67,0.33,0.21,1,negative
0.47,0.75,0,0.67,1,0.68,1,positive
0.03,0.25,1,0.67,0,0.13,0,negative
0.12,0.5,1,0.67,1,0.59,1,positive
0.47,1,0,0.33,0.67,0.21,0,negative
0.21,0.5,0,0.33,0.67,0.07,0,negative
0.47,1,0,0.33,1,0.07,1,positive
0.07,0.5,0,1,0,0.14,1,negative
0.16,1,1,0.67,0,0.55,1,negative
0.47,0,0,0.67,1,0.75,1,positive
0.65,0,0,0.67,0.67,0.11,1,positive
0.29,0.5,0,0.33,0.33,0.13,1,negative
0.34,0.5,1,0.67,0.33,0.52,1,negative
0.12,0.5,0,0.33,0.67,0.18,0,negative
0.12,0.5,0.75,1,0,0.05,0,negative
0.47,0.5,0,0.67,1,0.32,1,positive
0.47,0.5,1,0.33,0.67,0.11,0,negative
0.47,0.5,0,0.33,0.33,0.2,0,negative
0.04,1,1,0.67,0.33,0.48,1,negative
0.06,1,0,0.67,1,0.57,1,negative
0.56,1,0,0.33,0,0.39,0,negative
0.47,0.5,1,0.67,1,0.38,1,positive
0.12,1,0,0.67,1,0.84,0,negative
0.56,0.5,0,0.67,0.67,0.27,0,positive
0.1,0.75,0,0.67,0.33,0.57,0,negative
0.74,0,1,0.67,0.33,0.36,0,negative
0.38,0.5,0,1,0.33,0.05,0,negative
0.29,0.5,1,0.33,0.67,0.45,1,positive
0.16,0.5,0.5,0.67,0.33,0.5,1,negative
0.21,0.5,0.25,0.33,0.33,0.09,0,negative
0.29,0.5,0,0.33,0,0.7,1,negative
0.09,0.5,0,0.67,0,0.59,0,negative
0.12,1,0,0.33,0,0.18,1,negative
0.21,1,0,0.33,0.33,0.14,0,negative
0.47,0.5,0.25,0.67,1,0.5,1,positive
0.21,0.5,0.25,0.67,0.67,0.2,1,negative
0.12,0,0,0.67,0,0.16,0,positive
0.12,1,0,0.67,0,0.66,0,negative
0.12,1,0,0.67,0,0.63,0,negative
0.12,1,1,0.33,0.33,0.25,0,positive
0.29,1,1,0.67,1,0.02,0,negative
0.12,0.5,0.75,0.67,0,0.63,1,negative
0.74,0,0,0.67,1,0.7,1,positive
0.12,1,1,0.33,0.67,0.75,0,negative
0.21,0.5,0.25,0.67,0.67,0.27,0,negative
0.47,1,0,0.67,0,0.3,0,negative
0.24,0.75,1,0.67,0.33,0.3,1,negative
0.29,0.5,0.25,1,0,0.39,0,negative
0.47,0.5,0,0.67,0.67,0.09,0,negative
0.03,0.75,0,0.33,0,0.09,0,negative
0.07,1,0,0.67,0.67,0.29,1,negative
0.12,0.5,1,1,0.67,0.13,1,negative
0.29,1,0,0.67,0.67,0.36,1,positive
0.21,0.25,0,0.67,1,0.36,1,positive
0.12,0.5,0,0.67,0.67,0.23,0,negative
0.29,0.5,1,0.33,0.33,0.2,1,negative
0.15,0.5,0.5,1,0,0.29,1,negative
0.03,0.75,0.25,0,0.67,0.21,0,negative
0.16,0.5,0,0.33,0.33,0.07,1,negative
0.21,0.5,0,0.67,0,0.16,0,negative
0.47,1,0,0.33,0,0.11,1,positive
0.12,0.5,0.5,1,0,0.29,0,negative
0.65,1,1,0.67,0,0.5,1,negative
0.56,0.5,1,0.33,0.67,0.2,1,positive
0.09,1,1,0.33,0,0.14,0,negative
0.43,1,0.5,0.33,0.67,0.07,0,positive
0.12,1,0.5,0,0.67,0.3,1,negative
0.25,0.5,0,0.33,0,0.11,1,positive
0.29,1,0,0.33,0.67,0.39,1,negative
0.12,0.5,0,0.67,0,0.09,0,negative
0.09,1,0,0.67,1,0.79,1,negative
0.21,0.5,1,0.33,0,0.14,0,positive
0.12,1,0,0.67,0.33,0.2,0,negative
0.12,0.5,0,1,0,0.38,0,negative
0.12,0.5,0,0.67,0.67,0.2,0,positive
0.12,1,0,0.67,0.67,0.27,1,negative
0.12,1,0,0.33,0,0.18,0,positive
0.65,0.5,1,0.33,0.67,0.09,0,negative
0.47,0.75,0,0.67,0.33,0.18,1,positive
0.16,0.5,0,0.67,0.33,0.14,0,negative
0.21,0.5,0,0.67,1,0.5,0,negative
0.82,0.5,0.25,0.33,0,0.04,1,negative
0.34,0.75,0.75,0.67,0.67,0.14,0,negative
0.12,1,1,0.33,0,0.34,1,negative
0.12,0.5,0.5,0.67,0,0.84,0,positive
0.16,1,1,0.67,0,0.29,1,negative
0.12,0.5,0,0.33,0.67,0.45,1,negative
0.03,0.5,0.75,1,0,0.14,0,negative
0.47,0.5,0,0.33,1,0.2,1,negative
0.34,0.5,0,0.67,0.67,0.14,0,negative
0.21,0.5,0,0.67,0.67,0.05,0,positive
0.25,1,0,0.33,0.33,0.07,1,negative
0.65,0.25,0.25,0.67,0.67,0.2,0,negative
0.03,1,0,0.33,1,0.36,1,negative
0.12,1,0.25,0.33,0.67,0.57,1,negative
0.47,1,0,0.67,0.33,0.16,0,negative
0.21,1,0.75,0.67,0.67,0.48,0,negative
0.03,0.5,0.25,0.67,1,0.41,1,negative
0.09,0.5,0,0.67,0.33,0.34,1,negative
0.47,0.5,0,0.67,0.67,0.09,0,negative
0.29,1,0.75,0.33,1,0.18,0,negative
0.29,0.75,0.25,0.67,0.67,0.3,1,negative
0.12,0.5,0,0.33,0.67,0.02,0,positive
0.07,1,0.25,0.67,0,0.52,0,negative
0.12,0.25,0,1,0.67,0.46,0,negative
0.29,0.5,0.25,0.67,0.67,0.34,1,negative
0.03,1,1,0.67,0,0.27,0,negative
0.29,1,0.25,0.67,0,0.3,1,negative
0.21,1,0,0.33,0.33,0.2,0,negative
0.16,0.5,0.5,0.67,0.33,0.3,1,negative
0.09,0.5,0,0.67,1,0.91,1,negative
0.47,0.5,0.5,0.67,0.33,0.3,0,negative
0.03,0.5,0.5,0.67,0.67,0.23,1,negative
0.21,0.5,0,0.33,0.67,0.25,0,positive
0.1,0.5,0.75,0.33,0,0.02,0,negative
0.29,0.5,0,0.33,0.33,0.11,1,negative
0.29,1,0,0,0,0.21,1,positive
0.16,0,0,0.67,0.67,0.25,0,positive
0.12,0.5,0,0.33,0,0.13,1,negative
0.29,0.75,0,0.33,0.33,0.27,1,positive
0.06,0.5,0,0.67,0,0.25,0,negative
0.25,0.75,0,0.67,0.33,0.13,0,positive
0.12,0.5,0,0,0.67,0.41,0,negative
0.38,0.25,1,0.33,0,0.61,1,positive
0.03,1,0.5,0.67,0.67,0.59,0,negative
0.12,0.5,0,0.67,0.67,0.21,1,negative
0.25,1,0,0.67,0,0.82,0,negative
0.47,0.75,0,0,0.67,0.16,0,positive
0.47,0.75,0,0,0,0.2,1,positive
0.25,0.25,1,0.67,0.33,0.38,0,positive
0.29,1,0.75,0.67,0,0.55,1,negative
0.21,1,0,0.67,0.67,0.3,1,positive
0.16,1,0,0.67,0.33,0.21,0,negative
0.07,0.25,0,0.33,1,0.98,1,positive
0.18,1,0,0.67,0.67,0.88,1,negative
0.12,0.5,0.25,1,0.33,0.02,0,positive
0.21,0,0,0.33,0.67,0.25,1,negative
0.29,0.5,0.75,0.67,0.33,0.63,1,positive
0.65,0,0.25,0.67,1,0.27,0,positive
0.34,0.5,0,0.67,0.67,0.3,1,positive
0.03,0.5,0,1,0,0.18,0,negative
0.6,0.5,0.25,0.67,0.33,0.04,0,positive
0.07,1,0,0.33,0.67,0.27,1,positive
0.03,1,0,0.33,0.67,0.16,1,negative
0.12,0.5,0.25,0.33,0.67,0.14,0,positive
0.29,0.5,1,0.67,1,0.3,1,negative
0.07,1,0.5,0.67,0.67,0.59,1,negative
0.21,0.75,0,0,1,0.38,1,positive
