Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Shell_weight,Class
M,0.645,0.515,0.16,0.506,0.311,0.335,negative
F,0.645,0.52,0.18,0.5775,0.352,0.317,negative
M,0.65,0.515,0.125,0.5235,0.283,0.3275,negative
M,0.65,0.52,0.175,0.615,0.2775,0.336,negative
M,0.65,0.51,0.155,0.7215,0.298,0.335,negative
F,0.65,0.49,0.155,0.545,0.228,0.3055,negative
F,0.665,0.505,0.165,0.5985,0.3175,0.36,negative
M,0.725,0.55,0.2,0.8735,0.4265,0.5085,negative
I,0.445,0.36,0.11,0.182,0.0765,0.14,negative
I,0.505,0.385,0.125,0.245,0.097,0.21,negative
I,0.505,0.38,0.135,0.2645,0.095,0.165,negative
F,0.515,0.395,0.135,0.2015,0.132,0.162,negative
I,0.525,0.375,0.12,0.3045,0.114,0.19,negative
I,0.55,0.42,0.155,0.495,0.1805,0.205,negative
I,0.55,0.465,0.15,0.481,0.174,0.2435,negative
F,0.575,0.435,0.155,0.4115,0.2325,0.23,negative
F,0.58,0.425,0.15,0.3645,0.185,0.2705,negative
I,0.585,0.42,0.145,0.2895,0.1345,0.22,negative
M,0.6,0.45,0.145,0.4325,0.155,0.24,negative
M,0.59,0.47,0.145,0.4545,0.173,0.254,negative
M,0.65,0.52,0.155,0.6185,0.288,0.365,negative
M,0.6,0.51,0.185,0.6095,0.2745,0.315,negative
F,0.62,0.465,0.14,0.6005,0.2195,0.307,negative
F,0.66,0.505,0.19,0.6255,0.3375,0.3745,negative
F,0.675,0.525,0.17,0.8365,0.352,0.475,negative
F,0.705,0.54,0.205,0.8265,0.417,0.461,negative
M,0.725,0.57,0.19,1.253,0.541,0.52,negative
M,0.5,0.365,0.13,0.309,0.1085,0.1535,negative
M,0.52,0.4,0.105,0.4515,0.1615,0.1985,negative
F,0.525,0.43,0.135,0.4325,0.18,0.1815,negative
F,0.54,0.42,0.14,0.38,0.1805,0.21,negative
F,0.54,0.415,0.15,0.3875,0.1875,0.2035,negative
M,0.59,0.47,0.155,0.6245,0.233,0.2595,negative
M,0.59,0.485,0.155,0.4535,0.2435,0.31,negative
M,0.595,0.435,0.16,0.4255,0.224,0.31,negative
F,0.625,0.485,0.16,0.591,0.259,0.3485,negative
M,0.58,0.445,0.16,0.49,0.201,0.27,negative
M,0.6,0.475,0.175,0.5105,0.256,0.285,negative
F,0.645,0.49,0.16,0.4935,0.3155,0.299,negative
I,0.46,0.36,0.14,0.161,0.087,0.16,negative
I,0.505,0.425,0.125,0.245,0.1375,0.2,negative
I,0.5,0.39,0.13,0.2115,0.104,0.1755,negative
I,0.51,0.4,0.145,0.231,0.143,0.177,negative
F,0.55,0.435,0.14,0.347,0.174,0.2265,negative
I,0.56,0.435,0.13,0.354,0.173,0.222,negative
I,0.575,0.455,0.16,0.495,0.195,0.246,negative
F,0.58,0.45,0.17,0.4615,0.232,0.248,negative
F,0.58,0.45,0.15,0.393,0.212,0.2895,negative
I,0.585,0.45,0.135,0.3795,0.187,0.26,negative
M,0.59,0.5,0.15,0.485,0.265,0.345,negative
I,0.59,0.46,0.125,0.334,0.15,0.238,negative
F,0.6,0.45,0.15,0.4375,0.2225,0.2775,negative
I,0.6,0.445,0.135,0.445,0.2035,0.253,negative
M,0.605,0.49,0.18,0.457,0.29,0.3745,negative
F,0.615,0.515,0.135,0.545,0.2305,0.29,negative
F,0.62,0.475,0.15,0.455,0.1865,0.277,negative
M,0.63,0.53,0.18,0.618,0.256,0.315,negative
I,0.67,0.485,0.175,0.5355,0.322,0.386,negative
M,0.67,0.525,0.17,0.715,0.3025,0.387,negative
M,0.67,0.525,0.195,0.6595,0.2675,0.425,negative
F,0.51,0.37,0.21,0.508,0.292,0.343,negative
M,0.555,0.425,0.15,0.4625,0.1845,0.1965,negative
M,0.56,0.425,0.135,0.509,0.2015,0.1975,negative
F,0.59,0.44,0.14,0.4775,0.2105,0.2925,negative
F,0.625,0.49,0.11,0.5265,0.1915,0.2925,negative
M,0.61,0.475,0.175,0.409,0.261,0.322,negative
M,0.64,0.485,0.16,0.456,0.2245,0.2835,negative
M,0.61,0.485,0.17,0.597,0.3035,0.33,negative
F,0.635,0.51,0.17,0.532,0.271,0.354,negative
I,0.44,0.32,0.105,0.1755,0.074,0.12,negative
I,0.455,0.355,0.105,0.138,0.0765,0.135,negative
I,0.475,0.375,0.11,0.182,0.099,0.16,negative
I,0.535,0.42,0.145,0.273,0.1515,0.237,negative
M,0.56,0.45,0.145,0.3885,0.2095,0.264,negative
I,0.565,0.44,0.135,0.3305,0.1385,0.2475,negative
M,0.575,0.47,0.15,0.4505,0.196,0.276,negative
I,0.575,0.445,0.16,0.45,0.1935,0.24,negative
M,0.59,0.435,0.165,0.4525,0.2395,0.235,negative
M,0.59,0.405,0.15,0.326,0.2615,0.245,negative
M,0.595,0.48,0.14,0.4095,0.1825,0.289,negative
F,0.595,0.46,0.16,0.4005,0.2025,0.2875,negative
M,0.635,0.5,0.18,0.4405,0.2315,0.387,negative
F,0.635,0.49,0.155,0.4775,0.3035,0.3155,negative
F,0.64,0.5,0.15,0.559,0.231,0.3355,negative
F,0.655,0.49,0.16,0.5455,0.2615,0.3225,negative
M,0.525,0.4,0.13,0.2655,0.147,0.184,negative
M,0.53,0.415,0.12,0.3355,0.1635,0.1345,negative
F,0.53,0.395,0.115,0.249,0.1375,0.161,negative
F,0.525,0.4,0.13,0.3115,0.131,0.223,negative
M,0.575,0.48,0.15,0.4355,0.2605,0.2505,negative
F,0.62,0.485,0.155,0.5105,0.271,0.352,negative
M,0.575,0.45,0.135,0.354,0.209,0.2365,negative
M,0.46,0.35,0.125,0.1885,0.1145,0.185,negative
F,0.485,0.39,0.1,0.2215,0.1155,0.185,negative
M,0.425,0.335,0.1,0.1755,0.092,0.135,negative
F,0.625,0.48,0.2,0.6075,0.3055,0.355,negative
M,0.505,0.395,0.125,0.29,0.1555,0.175,negative
F,0.43,0.35,0.09,0.1575,0.089,0.12,negative
M,0.55,0.435,0.11,0.3415,0.203,0.215,negative
F,0.55,0.44,0.125,0.33,0.2125,0.245,negative
F,0.545,0.41,0.115,0.29,0.158,0.22,negative
F,0.64,0.54,0.175,0.627,0.271,0.475,positive
M,0.45,0.355,0.12,0.147,0.0765,0.145,negative
F,0.545,0.405,0.175,0.2585,0.207,0.38,positive
F,0.49,0.38,0.155,0.2395,0.1255,0.18,negative
M,0.335,0.265,0.095,0.0795,0.0375,0.07,negative
I,0.32,0.25,0.08,0.057,0.034,0.06,negative
M,0.385,0.305,0.09,0.109,0.0515,0.1,negative
M,0.52,0.435,0.195,0.2985,0.2135,0.355,positive
I,0.44,0.35,0.12,0.1425,0.0965,0.115,negative
I,0.42,0.325,0.125,0.1575,0.1025,0.115,negative
M,0.635,0.51,0.155,0.428,0.289,0.315,positive
F,0.435,0.35,0.125,0.197,0.1145,0.145,negative
M,0.505,0.385,0.11,0.3185,0.15,0.185,negative
M,0.64,0.505,0.165,0.6145,0.3035,0.39,positive
F,0.5,0.405,0.14,0.265,0.124,0.25,positive
F,0.655,0.53,0.19,0.493,0.318,0.565,positive
M,0.53,0.405,0.13,0.2845,0.17,0.193,negative
I,0.485,0.355,0.12,0.21,0.122,0.135,negative
F,0.45,0.325,0.135,0.1805,0.1165,0.11,negative
M,0.35,0.26,0.09,0.0745,0.041,0.0655,negative
M,0.41,0.3,0.1,0.124,0.069,0.09,negative
M,0.41,0.315,0.095,0.121,0.0735,0.09,negative
M,0.605,0.475,0.16,0.5495,0.332,0.34,positive
M,0.365,0.285,0.085,0.0855,0.0515,0.07,negative
M,0.545,0.41,0.145,0.3035,0.196,0.31,positive
M,0.48,0.395,0.15,0.2145,0.1405,0.2495,positive
I,0.35,0.265,0.11,0.066,0.059,0.075,negative
M,0.49,0.395,0.12,0.3325,0.1235,0.185,negative
F,0.56,0.465,0.16,0.432,0.2025,0.337,negative
F,0.49,0.4,0.115,0.256,0.1325,0.145,negative
M,0.61,0.47,0.155,0.497,0.2175,0.2785,negative
M,0.58,0.46,0.15,0.491,0.221,0.265,negative
M,0.6,0.475,0.155,0.502,0.2295,0.31,negative
M,0.62,0.485,0.165,0.5235,0.2505,0.2825,negative
F,0.64,0.48,0.195,0.4915,0.2345,0.353,negative
M,0.64,0.5,0.17,0.642,0.3575,0.354,negative
F,0.725,0.58,0.185,0.8045,0.3595,0.4375,negative
F,0.555,0.43,0.135,0.4055,0.163,0.2215,negative
F,0.585,0.45,0.145,0.4845,0.242,0.22,negative
F,0.595,0.47,0.165,0.491,0.1905,0.289,negative
M,0.625,0.47,0.175,0.605,0.258,0.271,negative
M,0.65,0.505,0.18,0.7115,0.3335,0.38,negative
F,0.66,0.5,0.175,0.556,0.2805,0.4085,negative
F,0.64,0.475,0.175,0.4865,0.341,0.288,negative
I,0.4,0.265,0.1,0.1245,0.0605,0.08,negative
I,0.48,0.355,0.125,0.2385,0.0835,0.15,negative
I,0.475,0.355,0.125,0.2155,0.1105,0.142,negative
I,0.5,0.365,0.125,0.229,0.103,0.1645,negative
I,0.515,0.4,0.135,0.3055,0.1215,0.1855,negative
I,0.53,0.405,0.13,0.2945,0.1395,0.19,negative
I,0.57,0.42,0.13,0.3535,0.1505,0.2365,negative
I,0.535,0.41,0.13,0.268,0.1225,0.1975,negative
I,0.575,0.44,0.125,0.4555,0.1715,0.1965,negative
F,0.575,0.475,0.16,0.3605,0.221,0.271,negative
M,0.575,0.45,0.155,0.3605,0.211,0.2575,negative
M,0.58,0.47,0.165,0.54,0.166,0.279,negative
F,0.585,0.46,0.165,0.486,0.25,0.294,negative
F,0.585,0.465,0.165,0.4035,0.2275,0.259,negative
F,0.6,0.47,0.17,0.4995,0.2245,0.3205,negative
F,0.6,0.485,0.145,0.3545,0.1585,0.239,negative
M,0.625,0.48,0.16,0.5795,0.2145,0.29,negative
F,0.625,0.5,0.175,0.564,0.302,0.374,negative
F,0.555,0.405,0.12,0.4585,0.196,0.2065,negative
M,0.625,0.485,0.16,0.631,0.2235,0.302,negative
F,0.65,0.475,0.165,0.58,0.3485,0.3095,negative
M,0.58,0.45,0.16,0.3935,0.221,0.215,negative
M,0.62,0.46,0.16,0.4915,0.2,0.228,negative
M,0.615,0.475,0.19,0.7315,0.305,0.3285,negative
F,0.64,0.5,0.17,0.565,0.3375,0.315,negative
F,0.665,0.5,0.175,0.643,0.345,0.37,negative
I,0.465,0.37,0.115,0.1515,0.0935,0.1455,negative
I,0.475,0.335,0.1,0.1895,0.086,0.135,negative
I,0.475,0.35,0.125,0.1905,0.079,0.1355,negative
I,0.49,0.39,0.12,0.2205,0.103,0.1745,negative
I,0.515,0.405,0.13,0.213,0.134,0.195,negative
I,0.53,0.425,0.13,0.3905,0.2005,0.215,negative
I,0.53,0.42,0.14,0.256,0.1855,0.208,negative
M,0.53,0.41,0.125,0.346,0.173,0.215,negative
M,0.545,0.41,0.14,0.349,0.15,0.212,negative
I,0.55,0.4,0.135,0.3315,0.1495,0.221,negative
I,0.575,0.45,0.145,0.4675,0.18,0.217,negative
I,0.555,0.43,0.15,0.345,0.1755,0.247,negative
F,0.61,0.495,0.165,0.4525,0.273,0.317,negative
I,0.585,0.46,0.14,0.326,0.153,0.265,negative
F,0.63,0.505,0.195,0.516,0.3305,0.375,negative
F,0.67,0.54,0.2,0.6435,0.328,0.4165,negative
F,0.675,0.53,0.195,0.62,0.375,0.425,negative
I,0.465,0.36,0.105,0.22,0.159,0.1035,negative
M,0.51,0.38,0.135,0.3435,0.142,0.17,negative
I,0.47,0.355,0.12,0.1765,0.1125,0.1325,negative
M,0.515,0.37,0.115,0.3415,0.155,0.146,negative
F,0.55,0.415,0.18,0.502,0.301,0.311,negative
M,0.43,0.31,0.13,0.2735,0.163,0.184,negative
M,0.495,0.375,0.155,0.45,0.2285,0.2475,negative
M,0.615,0.475,0.15,0.476,0.2325,0.283,negative
F,0.635,0.505,0.17,0.512,0.322,0.355,negative
M,0.625,0.47,0.15,0.556,0.2315,0.287,negative
I,0.525,0.4,0.14,0.2605,0.108,0.21,negative
F,0.65,0.525,0.165,0.647,0.2485,0.3005,negative
I,0.515,0.39,0.12,0.235,0.135,0.179,negative
M,0.53,0.425,0.155,0.307,0.171,0.2595,negative
M,0.53,0.425,0.13,0.2975,0.1395,0.22,negative
I,0.535,0.45,0.135,0.2845,0.1845,0.265,negative
F,0.56,0.43,0.145,0.3895,0.2325,0.245,negative
M,0.56,0.465,0.145,0.3345,0.22,0.2695,negative
I,0.565,0.43,0.125,0.2815,0.139,0.21,negative
M,0.575,0.465,0.12,0.516,0.2185,0.235,negative
F,0.575,0.46,0.15,0.333,0.207,0.2985,negative
I,0.58,0.42,0.14,0.3285,0.102,0.2255,negative
I,0.59,0.45,0.125,0.437,0.1515,0.245,negative
M,0.585,0.47,0.145,0.4025,0.2365,0.265,negative
M,0.625,0.495,0.155,0.5055,0.278,0.345,negative
M,0.425,0.305,0.11,0.173,0.0875,0.0975,negative
M,0.565,0.445,0.14,0.406,0.1605,0.2245,negative
M,0.555,0.445,0.13,0.4225,0.155,0.24,negative
F,0.605,0.48,0.175,0.4815,0.2305,0.356,negative
F,0.615,0.455,0.135,0.4735,0.263,0.274,negative
M,0.41,0.325,0.1,0.146,0.072,0.105,negative
F,0.615,0.475,0.145,0.3915,0.195,0.32,negative
F,0.53,0.41,0.145,0.375,0.204,0.245,negative
M,0.445,0.37,0.125,0.2495,0.087,0.159,negative
F,0.57,0.465,0.155,0.446,0.261,0.255,negative
I,0.335,0.255,0.085,0.071,0.0405,0.055,negative
F,0.57,0.44,0.19,0.447,0.207,0.265,negative
F,0.655,0.5,0.18,0.508,0.314,0.445,positive
F,0.49,0.385,0.16,0.2455,0.171,0.205,negative
F,0.515,0.4,0.115,0.191,0.1445,0.17,negative
M,0.295,0.225,0.09,0.048,0.046,0.05,negative
I,0.29,0.225,0.075,0.071,0.059,0.045,negative
F,0.56,0.44,0.155,0.4315,0.263,0.255,negative
I,0.49,0.385,0.12,0.271,0.1125,0.1775,negative
I,0.435,0.355,0.125,0.1535,0.074,0.165,negative
I,0.455,0.365,0.135,0.1515,0.1165,0.145,negative
F,0.645,0.49,0.19,0.479,0.3565,0.345,positive
F,0.61,0.5,0.18,0.5185,0.3735,0.3345,negative
M,0.685,0.51,0.18,0.6315,0.3105,0.3725,negative
F,0.555,0.43,0.14,0.3525,0.1835,0.2015,negative
M,0.585,0.465,0.15,0.4315,0.2545,0.247,negative
M,0.61,0.475,0.15,0.62,0.237,0.245,negative
M,0.615,0.53,0.17,0.5775,0.2095,0.286,negative
F,0.64,0.525,0.175,0.646,0.3115,0.37,negative
M,0.59,0.45,0.16,0.445,0.214,0.301,negative
M,0.625,0.495,0.155,0.46,0.1945,0.34,negative
M,0.625,0.495,0.175,0.5805,0.317,0.355,negative
M,0.63,0.49,0.15,0.5845,0.257,0.3,negative
F,0.64,0.49,0.18,0.653,0.347,0.305,negative
I,0.55,0.435,0.125,0.348,0.1585,0.206,negative
I,0.515,0.395,0.125,0.2365,0.1075,0.19,negative
I,0.565,0.465,0.15,0.581,0.2215,0.3095,negative
M,0.61,0.365,0.155,0.488,0.249,0.27,negative
F,0.65,0.495,0.16,0.577,0.3315,0.355,negative
M,0.635,0.5,0.18,0.594,0.2695,0.37,negative
F,0.645,0.5,0.15,0.4675,0.3355,0.31,negative
F,0.715,0.565,0.18,0.844,0.3535,0.5385,negative
M,0.51,0.41,0.155,0.569,0.291,0.3795,negative
F,0.56,0.42,0.18,0.7755,0.35,0.4525,negative
F,0.57,0.45,0.15,0.531,0.189,0.209,negative
M,0.625,0.48,0.16,0.6575,0.2625,0.2785,negative
F,0.64,0.505,0.175,0.6185,0.302,0.3315,negative
M,0.67,0.525,0.18,0.728,0.343,0.381,negative
F,0.675,0.52,0.175,0.7365,0.3055,0.37,negative
M,0.6,0.47,0.13,0.423,0.219,0.298,negative
M,0.65,0.525,0.185,0.586,0.278,0.3865,negative
I,0.54,0.415,0.135,0.3195,0.174,0.185,negative
I,0.455,0.35,0.13,0.215,0.0745,0.15,negative
F,0.595,0.455,0.14,0.3895,0.2225,0.271,negative
F,0.615,0.495,0.155,0.52,0.19,0.32,negative
F,0.56,0.44,0.135,0.35,0.1615,0.259,negative
M,0.5,0.38,0.125,0.269,0.1265,0.1535,negative
M,0.6,0.475,0.205,0.5255,0.2875,0.308,negative
