Diameter,Whole_weight,Shell_weight,Class
0.23,0.1385,0.037,negative
0.22,0.141,0.037,negative
0.235,0.1485,0.0425,negative
0.23,0.144,0.04,negative
0.51,1.486,0.321,negative
0.24,0.1575,0.0425,negative
0.24,0.187,0.05,negative
0.265,0.196,0.0445,negative
0.25,0.1825,0.055,negative
0.485,1.2945,0.2715,negative
0.525,1.4785,0.42,negative
0.25,0.186,0.0445,negative
0.25,0.2225,0.055,negative
0.25,0.1785,0.045,negative
0.265,0.2455,0.065,negative
0.29,0.249,0.067,negative
0.28,0.2865,0.0795,negative
0.28,0.215,0.055,negative
0.265,0.251,0.07,negative
0.31,0.339,0.09,negative
0.305,0.3535,0.1,negative
0.31,0.3335,0.091,negative
0.33,0.3595,0.09,negative
0.32,0.376,0.1,negative
0.315,0.3435,0.09,negative
0.315,0.377,0.105,negative
0.34,0.382,0.1,negative
0.325,0.3645,0.105,negative
0.325,0.425,0.095,negative
0.34,0.3925,0.1145,negative
0.325,0.3995,0.1125,negative
0.345,0.4495,0.134,negative
0.325,0.35,0.105,negative
0.335,0.4355,0.1195,negative
0.35,0.4195,0.1195,negative
0.36,0.478,0.137,negative
0.355,0.4445,0.1335,negative
0.345,0.47,0.1135,negative
0.335,0.447,0.119,negative
0.355,0.5325,0.1465,negative
0.375,0.497,0.1295,negative
0.36,0.4635,0.115,negative
0.365,0.467,0.113,negative
0.345,0.449,0.1265,negative
0.37,0.534,0.143,negative
0.345,0.4415,0.12,negative
0.35,0.482,0.1095,negative
0.365,0.612,0.14,negative
0.37,0.537,0.15,negative
0.365,0.582,0.146,negative
0.36,0.5915,0.127,negative
0.385,0.64,0.1575,negative
0.375,0.6765,0.17,negative
0.36,0.439,0.115,negative
0.365,0.6015,0.14,negative
0.385,0.649,0.1695,negative
0.37,0.4785,0.129,negative
0.395,0.6335,0.1495,negative
0.39,0.6595,0.1565,negative
0.4,0.61,0.144,negative
0.385,0.56,0.135,negative
0.385,0.6425,0.1535,negative
0.4,0.6725,0.1825,negative
0.39,0.674,0.1785,negative
0.41,0.642,0.155,negative
0.39,0.685,0.156,negative
0.39,0.769,0.19,negative
0.355,0.601,0.185,negative
0.375,0.5785,0.175,negative
0.405,0.7035,0.1885,negative
0.405,0.769,0.18,negative
0.41,0.796,0.1955,negative
0.43,0.834,0.23,negative
0.39,0.7125,0.155,negative
0.415,0.724,0.175,negative
0.4,0.7325,0.17,negative
0.425,0.7585,0.205,negative
0.425,0.8495,0.202,negative
0.405,0.6515,0.186,negative
0.43,0.7165,0.2155,negative
0.435,0.874,0.2195,negative
0.4,0.8215,0.205,negative
0.445,0.9905,0.218,negative
0.43,0.8105,0.275,negative
0.455,0.967,0.274,negative
0.4,0.6975,0.18,negative
0.45,1.195,0.295,negative
0.45,1.1935,0.343,negative
0.455,1.107,0.27,negative
0.445,1.0635,0.24,negative
0.46,0.9035,0.214,negative
0.475,1.114,0.29,negative
0.46,1.103,0.249,negative
0.46,1.1155,0.29,negative
0.46,1.0515,0.276,negative
0.455,1.012,0.2835,negative
0.45,1.137,0.29,negative
0.49,1.1335,0.237,negative
0.465,1.136,0.275,negative
0.47,1.206,0.309,negative
0.455,1.063,0.25,negative
0.47,1.121,0.155,negative
0.45,1.114,0.25,negative
0.475,1.213,0.274,negative
0.455,1.044,0.27,negative
0.475,1.161,0.275,negative
0.49,1.1345,0.295,negative
0.47,1.2315,0.2925,negative
0.475,1.168,0.3295,negative
0.47,1.1625,0.3085,negative
0.46,1.0045,0.2515,negative
0.48,1.2525,0.33,negative
0.475,1.1435,0.349,negative
0.5,1.288,0.315,negative
0.485,1.38,0.401,negative
0.485,1.278,0.31,negative
0.495,1.3075,0.315,negative
0.51,1.3315,0.388,negative
0.48,1.3525,0.365,negative
0.525,1.4065,0.3745,negative
0.505,1.4025,0.335,negative
0.5,1.5175,0.409,negative
0.49,1.3325,0.405,negative
0.49,1.375,0.395,negative
0.48,1.1785,0.3235,negative
0.5,1.394,0.4,negative
0.52,1.636,0.432,negative
0.5,1.2205,0.3185,negative
0.52,1.561,0.4,negative
0.505,1.4325,0.336,negative
0.5,1.3385,0.349,negative
0.5,1.2465,0.3,negative
0.515,1.212,0.385,negative
0.495,1.304,0.3725,negative
0.52,1.6785,0.46,negative
0.525,1.622,0.477,negative
0.46,1.494,0.1825,negative
0.51,1.6525,0.403,negative
0.505,1.528,0.441,negative
0.535,1.5905,0.5175,negative
0.495,1.6275,0.485,negative
0.475,1.3695,0.335,negative
0.525,1.6085,0.4005,negative
0.57,1.587,0.435,negative
0.565,1.8375,0.553,negative
0.535,1.607,0.498,negative
0.525,1.7005,0.405,negative
0.505,1.872,0.48,negative
0.535,1.8385,0.503,negative
0.535,1.685,0.4045,negative
0.565,2.198,0.5475,negative
0.565,1.9525,0.4135,negative
0.525,1.56,0.405,negative
0.6,2.555,0.6,negative
0.6,2.302,0.6205,negative
0.13,0.029,0.0095,negative
0.15,0.0375,0.011,negative
0.135,0.0325,0.0095,negative
0.155,0.0435,0.007,negative
0.165,0.059,0.015,negative
0.18,0.071,0.0215,negative
0.18,0.0685,0.0225,negative
0.195,0.084,0.025,negative
0.195,0.106,0.028,negative
0.21,0.1075,0.034,negative
0.22,0.096,0.03,negative
0.22,0.1255,0.039,negative
0.235,0.151,0.039,negative
0.225,0.1415,0.0405,negative
0.28,0.221,0.0635,negative
0.265,0.2015,0.055,negative
0.28,0.2345,0.067,negative
0.275,0.2325,0.065,negative
0.29,0.2485,0.065,negative
0.32,0.348,0.087,negative
0.3,0.32,0.093,negative
0.3,0.282,0.0875,negative
0.325,0.3245,0.106,negative
0.3,0.316,0.1035,negative
0.32,0.3625,0.105,negative
0.31,0.279,0.088,negative
0.335,0.397,0.1035,negative
0.325,0.3685,0.1045,negative
0.33,0.413,0.096,negative
0.345,0.418,0.106,negative
0.33,0.3705,0.12,negative
0.345,0.409,0.117,negative
0.34,0.434,0.13,negative
0.335,0.411,0.109,negative
0.365,0.462,0.1315,negative
0.34,0.4925,0.12,negative
0.33,0.3715,0.0975,negative
0.33,0.411,0.098,negative
0.33,0.3685,0.102,negative
0.35,0.4155,0.1175,negative
0.36,0.544,0.129,negative
0.38,0.4845,0.142,negative
0.35,0.4565,0.13,negative
0.35,0.4545,0.115,negative
0.38,0.6245,0.1665,negative
0.465,0.5225,0.141,negative
0.375,0.5495,0.1585,negative
0.375,0.542,0.17,negative
0.38,0.519,0.134,negative
0.39,0.5215,0.131,negative
0.39,0.5445,0.1405,negative
0.405,0.6795,0.182,negative
0.4,0.545,0.1385,negative
0.4,0.5575,0.1525,negative
0.38,0.5155,0.166,negative
0.385,0.6115,0.15,negative
0.4,0.7765,0.185,negative
0.38,0.5395,0.157,negative
0.38,0.5545,0.167,negative
0.46,1.019,0.254,negative
0.4,0.6455,0.17,negative
0.4,0.601,0.1835,negative
0.405,0.7555,0.201,negative
0.395,0.608,0.1405,negative
0.4,0.617,0.19,negative
0.39,0.7835,0.156,negative
0.41,0.793,0.19,negative
0.39,0.599,0.169,negative
0.415,0.8145,0.175,negative
0.43,0.84,0.223,negative
0.415,0.82,0.218,negative
0.42,0.6665,0.1895,negative
0.43,0.8995,0.234,negative
0.425,0.8315,0.2165,negative
0.445,0.8965,0.2215,negative
0.44,0.6405,0.245,negative
0.415,0.852,0.205,negative
0.455,0.9595,0.23,negative
0.435,0.99,0.206,negative
0.45,1.0095,0.2645,negative
0.46,1.0375,0.25,negative
0.445,0.8775,0.22,negative
0.44,0.755,0.224,negative
0.46,0.9945,0.265,negative
0.45,1.068,0.2575,negative
0.435,0.8455,0.222,negative
0.47,0.869,0.238,negative
0.435,0.805,0.245,negative
0.455,0.907,0.26,negative
0.445,0.847,0.22,negative
0.445,1.0225,0.228,negative
0.455,1.114,0.265,negative
0.455,1.859,0.441,negative
0.445,0.814,0.22,negative
0.45,0.9615,0.253,negative
0.45,1.0025,0.2295,negative
0.45,0.93,0.265,negative
0.46,0.9335,0.235,negative
0.465,0.9555,0.265,negative
0.47,0.9955,0.24,negative
0.475,1.0265,0.2565,negative
0.455,1.1915,0.24,negative
0.465,1.1025,0.25,negative
0.465,1.0165,0.225,negative
0.47,1.1775,0.292,negative
0.475,1.1175,0.274,negative
0.48,1.1835,0.317,negative
0.475,1.056,0.357,negative
0.485,1.3305,0.2865,negative
0.485,1.0145,0.2415,negative
0.47,1.052,0.267,negative
0.46,1.0565,0.27,negative
0.465,0.923,0.2415,negative
0.475,1.027,0.285,negative
0.47,1.0195,0.2475,negative
0.45,0.858,0.2405,negative
0.48,1.1125,0.281,negative
0.48,1.2065,0.286,negative
0.485,1.3745,0.332,negative
0.47,1.1325,0.287,negative
0.5,1.2645,0.3425,negative
0.495,1.1565,0.2885,negative
0.515,1.369,0.358,negative
0.53,1.39,0.3735,negative
0.48,1.1345,0.305,negative
0.5,1.464,0.4245,negative
0.5,1.202,0.294,negative
0.515,1.31,0.345,negative
0.51,1.415,0.364,negative
0.5,1.2975,0.3595,negative
0.53,1.346,0.476,negative
0.525,1.363,0.34,negative
0.505,1.3645,0.353,negative
0.52,1.519,0.4,negative
0.54,1.7025,0.4735,negative
0.54,1.454,0.39,negative
0.53,1.583,0.3865,negative
0.53,1.5535,0.3695,negative
0.56,1.74,0.4375,negative
0.565,1.751,0.446,negative
0.575,2.273,0.638,negative
0.525,1.6465,0.3995,negative
0.55,1.219,0.301,negative
0.56,1.652,0.4525,negative
0.55,2.0045,0.5075,negative
0.58,2.103,0.5375,negative
0.535,1.6755,0.42,negative
0.55,1.9965,0.5215,negative
0.505,1.978,0.4505,negative
0.565,1.187,0.2685,negative
0.575,1.8795,0.4825,negative
0.585,2.124,0.5,negative
0.57,2.236,0.545,negative
0.625,2.505,0.6785,negative
0.58,2.0065,0.595,negative
0.63,2.657,0.586,negative
0.375,0.4645,0.15,negative
0.565,1.931,0.5,negative
0.185,0.0685,0.0225,negative
0.205,0.0765,0.0215,negative
0.19,0.0835,0.025,negative
0.195,0.1125,0.0355,negative
0.215,0.1075,0.038,negative
0.23,0.1145,0.0385,negative
0.225,0.139,0.09,negative
0.23,0.1375,0.0445,negative
0.245,0.2015,0.048,negative
0.25,0.179,0.055,negative
0.255,0.1945,0.055,negative
0.255,0.2005,0.05,negative
0.205,0.1595,0.0435,negative
0.27,0.215,0.065,negative
0.255,0.1785,0.0525,negative
0.27,0.196,0.064,negative
0.27,0.1875,0.058,negative
0.25,0.2085,0.052,negative
0.27,0.196,0.06,negative
0.28,0.217,0.062,negative
0.29,0.213,0.061,negative
0.29,0.2385,0.0695,negative
0.275,0.218,0.0755,negative
0.275,0.2465,0.0775,negative
0.28,0.2025,0.065,negative
0.27,0.218,0.07,negative
0.275,0.256,0.0755,negative
0.27,0.2105,0.07,negative
0.29,0.2615,0.0745,negative
0.28,0.2175,0.067,negative
0.225,0.1055,0.04,negative
0.3,0.302,0.0735,negative
0.28,0.228,0.0655,negative
0.3,0.3265,0.089,negative
0.305,0.284,0.0945,negative
0.295,0.2725,0.085,negative
0.27,0.2985,0.082,negative
0.265,0.213,0.06,negative
0.29,0.2445,0.075,negative
0.285,0.2645,0.075,negative
0.325,0.3335,0.1,negative
0.29,0.2675,0.0765,negative
0.32,0.3055,0.106,negative
0.31,0.301,0.08,negative
0.34,0.428,0.115,negative
0.315,0.378,0.1045,negative
0.335,0.33,0.17,negative
0.305,0.328,0.082,negative
0.315,0.3685,0.12,negative
0.34,0.438,0.12,negative
0.33,0.448,0.12,negative
0.345,0.4005,0.126,negative
0.365,0.4305,0.1245,negative
0.33,0.372,0.11,negative
0.36,0.466,0.11,negative
0.35,0.3705,0.114,negative
0.365,0.4785,0.141,negative
0.34,0.346,0.113,negative
0.365,0.411,0.135,negative
0.355,0.48,0.1505,negative
0.355,0.393,0.115,negative
0.355,0.5035,0.14,negative
0.38,0.441,0.1505,negative
0.36,0.492,0.15,negative
0.37,0.5435,0.165,negative
0.355,0.4725,0.132,negative
0.365,0.461,0.135,negative
0.395,0.553,0.167,negative
0.355,0.4965,0.1495,negative
0.38,0.5125,0.16,negative
0.38,0.594,0.1565,negative
0.42,0.6765,0.2065,negative
0.375,0.5795,0.185,negative
0.375,0.5695,0.157,negative
0.41,0.6615,0.196,negative
0.395,0.6215,0.195,negative
0.405,0.6015,0.18,negative
0.38,0.594,0.18,negative
0.395,0.551,0.171,negative
0.38,0.625,0.16,negative
0.42,0.711,0.205,negative
0.395,0.663,0.1905,negative
0.4,0.6965,0.175,negative
0.4,0.5825,0.18,negative
0.42,0.842,0.2045,negative
0.4,0.6965,0.164,negative
0.42,0.81,0.192,negative
0.415,0.694,0.167,negative
0.415,0.5745,0.189,negative
0.425,0.7675,0.21,negative
0.4,0.6025,0.154,negative
0.415,0.5765,0.225,negative
0.41,0.7145,0.2075,negative
0.435,0.717,0.194,negative
0.42,0.8655,0.2175,negative
0.42,0.7265,0.229,negative
0.435,0.7715,0.227,negative
0.445,0.8,0.207,negative
0.43,0.7285,0.2545,negative
0.405,0.5945,0.185,negative
0.43,0.7895,0.223,negative
0.405,0.651,0.2,negative
0.435,0.7535,0.2325,negative
0.43,0.8745,0.248,negative
0.44,0.8705,0.255,negative
0.425,0.7305,0.215,negative
0.43,0.7395,0.28,negative
0.43,0.7665,0.23,negative
0.425,0.7905,0.225,negative
0.425,0.8205,0.236,negative
0.425,0.688,0.2165,negative
0.445,1.224,0.2695,negative
0.455,0.974,0.235,negative
0.44,0.8735,0.21,negative
0.45,0.8495,0.225,negative
0.39,0.744,0.1685,negative
0.445,0.796,0.219,negative
0.45,0.751,0.2215,negative
0.45,0.794,0.245,negative
0.46,0.9795,0.2655,negative
0.435,0.873,0.2705,negative
0.42,0.857,0.2125,negative
0.44,0.7665,0.202,negative
0.435,0.8965,0.275,negative
0.48,1.078,0.306,negative
0.46,0.892,0.22,negative
0.46,1.4395,0.2955,negative
0.455,0.7955,0.204,negative
0.445,0.858,0.253,negative
0.465,0.9145,0.235,negative
0.49,1.171,0.335,negative
0.475,1.0505,0.285,negative
0.46,1.1135,0.274,negative
0.47,1.409,0.295,negative
0.45,0.7995,0.237,negative
0.475,1.065,0.2885,negative
0.445,0.7715,0.23,negative
0.47,1.187,0.31,negative
0.455,0.8855,0.275,negative
0.465,0.98,0.2255,negative
0.465,1.026,0.305,negative
0.475,1.1315,0.309,negative
0.475,1.12,0.27,negative
0.48,1.014,0.325,negative
0.465,1.04,0.28,negative
0.455,0.8895,0.269,negative
0.46,0.9595,0.295,negative
0.485,1.238,0.33,negative
0.49,0.9755,0.315,negative
0.435,0.9025,0.26,negative
0.475,1.076,0.335,negative
0.47,1.0835,0.275,negative
0.45,0.871,0.25,negative
0.48,1.244,0.305,negative
0.465,0.9605,0.286,negative
0.475,1.0265,0.3035,negative
0.48,1.137,0.347,negative
0.46,1,0.275,negative
0.47,1.128,0.34,negative
0.475,1.004,0.2895,negative
0.5,1.054,0.295,negative
0.48,1.118,0.3,negative
0.475,1.023,0.3035,negative
0.475,1.129,0.3,negative
0.475,1.115,0.355,negative
0.51,1.2815,0.39,negative
0.495,1.2555,0.355,negative
0.5,1.293,0.354,negative
0.475,1.1295,0.33,negative
0.455,1.082,0.315,negative
0.505,1.15,0.3045,negative
0.515,1.264,0.321,negative
0.48,1.2035,0.3185,negative
0.485,1.3205,0.345,negative
0.505,1.272,0.315,negative
0.485,1.062,0.3365,negative
0.475,1.0605,0.28,negative
0.495,1.093,0.315,negative
0.49,1.101,0.3455,negative
0.5,1.4595,0.39,negative
0.495,1.211,0.323,negative
0.475,1.1935,0.3665,negative
0.51,0.986,0.31,negative
0.565,1.521,0.406,negative
0.525,1.3135,0.4075,negative
0.51,1.1835,0.345,negative
0.5,1.401,0.3725,negative
0.525,1.5075,0.4325,negative
0.525,1.5365,0.405,negative
0.505,1.16,0.349,negative
0.59,1.662,0.435,negative
0.51,1.542,0.375,negative
0.51,1.567,0.391,negative
0.525,1.3595,0.3985,negative
0.535,1.6445,0.46,negative
0.52,1.4545,0.383,negative
0.495,1.548,0.3925,negative
0.49,1.3585,0.365,negative
0.515,1.337,0.3575,negative
0.53,1.491,0.435,negative
0.53,1.5615,0.3725,negative
0.505,1.0145,0.3745,negative
0.545,1.7375,0.469,negative
0.565,1.7635,0.4975,negative
0.545,1.7925,0.461,negative
0.545,1.556,0.195,negative
0.565,2.21,0.512,negative
0.555,2.141,0.528,negative
0.57,1.5345,0.43,negative
0.55,1.614,0.45,negative
0.575,1.9335,0.51,negative
0.575,2.173,0.5365,negative
0.6,1.737,0.595,negative
0.58,1.7375,0.52,negative
0.565,2.1275,0.565,negative
0.57,2.25,0.558,negative
0.61,2.5085,0.612,negative
0.65,2.255,0.7975,negative
0.105,0.014,0.004,negative
0.165,0.0515,0.036,negative
0.265,0.2215,0.0605,negative
0.255,0.1985,0.053,negative
0.27,0.232,0.0615,negative
0.28,0.3155,0.067,negative
0.3,0.247,0.0675,negative
0.295,0.3025,0.0765,negative
0.29,0.329,0.0825,negative
0.3,0.2815,0.08,negative
0.31,0.3425,0.0855,negative
0.29,0.2825,0.0815,negative
0.3,0.304,0.0805,negative
0.32,0.2905,0.073,negative
0.315,0.3895,0.103,negative
0.34,0.389,0.088,negative
0.34,0.4405,0.1075,negative
0.34,0.369,0.1015,negative
0.32,0.4565,0.1025,negative
0.365,0.4465,0.1135,negative
0.335,0.4475,0.11,negative
0.335,0.501,0.1065,negative
0.355,0.436,0.125,negative
0.345,0.4615,0.116,negative
0.35,0.4315,0.1175,negative
0.355,0.3685,0.1365,negative
0.37,0.649,0.142,negative
0.365,0.459,0.1165,negative
0.365,0.566,0.1335,negative
0.36,0.542,0.147,negative
0.38,0.4725,0.147,negative
0.39,0.6435,0.198,negative
0.37,0.526,0.1555,negative
0.38,0.573,0.144,negative
0.385,0.5525,0.1555,negative
0.38,0.6855,0.161,negative
0.395,0.556,0.17,negative
0.425,0.9365,0.2185,negative
0.4,0.5625,0.17,negative
0.4,0.559,0.149,negative
0.4,0.7205,0.1735,negative
0.43,0.7045,0.189,negative
0.4,0.7575,0.175,negative
0.41,0.7405,0.203,negative
0.43,0.84,0.1945,negative
0.425,0.793,0.215,negative
0.435,0.8715,0.1835,negative
0.43,0.8745,0.22,negative
0.445,0.9875,0.249,negative
0.465,1.08,0.238,negative
0.46,0.9155,0.2385,negative
0.46,1.165,0.3055,negative
0.435,0.953,0.2095,negative
0.455,0.906,0.2335,negative
0.44,0.8725,0.245,negative
0.465,1.151,0.2515,negative
0.46,0.9905,0.275,negative
0.455,1.04,0.288,negative
0.455,0.945,0.25,negative
0.465,1.259,0.357,negative
0.485,0.9515,0.2765,negative
0.485,1.201,0.38,negative
0.515,1.289,0.3315,negative
0.485,1.1005,0.305,negative
0.475,0.8425,0.251,negative
0.485,1.049,0.25,negative
0.435,1.012,0.275,negative
0.48,1.0725,0.312,negative
0.52,1.4105,0.3465,negative
0.47,1.136,0.305,negative
0.47,1.1005,0.276,negative
0.49,1.336,0.3245,negative
0.505,1.1345,0.315,negative
0.51,1.308,0.377,negative
0.515,1.5335,0.4025,negative
0.515,1.546,0.415,negative
0.51,1.539,0.43,negative
0.48,1.271,0.31,negative
0.455,1.1315,0.305,negative
0.5,1.1105,0.329,negative
0.505,1.318,0.335,negative
0.545,1.5245,0.495,negative
0.515,1.466,0.4,negative
0.5,1.3825,0.3195,negative
0.485,1.175,0.215,negative
0.54,1.5555,0.444,negative
0.51,1.7835,0.4195,negative
0.505,1.374,0.345,negative
0.515,1.389,0.395,negative
0.545,1.7025,0.41,negative
0.51,1.5265,0.345,negative
0.5,1.519,0.415,negative
0.5,1.741,0.4685,negative
0.515,1.6115,0.395,negative
0.525,1.7825,0.461,negative
0.55,1.684,0.32,negative
0.555,1.858,0.595,negative
0.56,1.675,0.388,negative
0.565,2.1055,0.494,negative
0.575,2.21,0.5015,negative
0.57,1.8725,0.446,negative
0.55,1.893,0.445,negative
0.17,0.0475,0.013,negative
0.21,0.101,0.0335,negative
0.215,0.121,0.0405,negative
0.225,0.1465,0.0415,negative
0.23,0.117,0.0415,negative
0.255,0.168,0.05,negative
0.26,0.18,0.055,negative
0.27,0.1775,0.054,negative
0.26,0.1985,0.058,negative
0.27,0.2,0.061,negative
0.275,0.2205,0.066,negative
0.265,0.1845,0.055,negative
0.27,0.2225,0.066,negative
0.27,0.2175,0.065,negative
0.28,0.2165,0.07,negative
0.285,0.243,0.075,negative
0.29,0.237,0.082,negative
0.28,0.257,0.07,negative
0.29,0.2365,0.076,negative
0.3,0.252,0.08,negative
0.3,0.308,0.0835,negative
0.285,0.281,0.077,negative
0.29,0.2225,0.073,negative
0.3,0.304,0.0955,negative
0.3,0.28,0.075,negative
0.325,0.313,0.0965,negative
0.325,0.317,0.09,negative
0.315,0.303,0.095,negative
0.335,0.3295,0.11,negative
0.325,0.367,0.105,negative
0.34,0.3245,0.105,negative
0.335,0.4195,0.1345,negative
0.36,0.457,0.147,negative
0.35,0.4,0.1205,negative
0.355,0.4255,0.13,negative
0.37,0.4365,0.147,negative
0.345,0.393,0.12,negative
0.355,0.499,0.155,negative
0.36,0.6325,0.19,negative
0.36,0.4285,0.112,negative
0.36,0.4905,0.125,negative
0.37,0.474,0.175,negative
0.37,0.536,0.15,negative
0.355,0.464,0.239,negative
0.375,0.6025,0.16,negative
0.375,0.4615,0.143,negative
0.4,0.624,0.169,negative
0.37,0.4715,0.15,negative
0.4,0.602,0.19,negative
0.39,0.5955,0.173,negative
0.4,0.616,0.1935,negative
0.375,0.559,0.169,negative
0.395,0.6025,0.162,negative
0.36,0.4725,0.138,negative
0.375,0.6065,0.15,negative
0.35,0.4745,0.1275,negative
0.395,0.6635,0.17,negative
0.39,0.5705,0.185,negative
0.41,0.646,0.165,negative
0.39,0.5545,0.1895,negative
0.415,0.845,0.2875,negative
0.39,0.664,0.178,negative
0.38,0.615,0.175,negative
0.4,0.654,0.169,negative
0.4,0.707,0.225,negative
0.42,0.5965,0.177,negative
0.43,0.6255,0.2135,negative
0.4,0.555,0.195,negative
0.42,0.8365,0.249,negative
0.4,0.657,0.175,negative
0.43,0.836,0.24,negative
0.425,0.742,0.25,negative
0.43,0.8195,0.2295,negative
0.455,0.972,0.269,negative
0.42,0.6275,0.235,negative
0.425,0.7205,0.225,negative
0.425,0.686,0.213,negative
0.4,0.686,0.18,negative
0.375,0.543,0.1725,negative
0.42,0.717,0.22,negative
0.435,0.7625,0.259,negative
0.425,0.639,0.217,negative
0.42,0.816,0.23,negative
0.415,0.7815,0.2215,negative
0.425,0.7665,0.21,negative
0.395,0.5585,0.17,negative
0.435,0.765,0.206,negative
0.46,0.9005,0.2765,negative
0.445,0.8225,0.236,negative
0.44,0.7235,0.2,negative
0.425,0.849,0.2645,negative
0.42,0.743,0.231,negative
0.44,0.863,0.27,negative
0.44,0.802,0.215,negative
0.43,0.831,0.219,negative
0.45,0.7805,0.21,negative
0.45,0.795,0.245,negative
0.435,0.848,0.25,negative
0.43,0.833,0.2815,negative
0.445,0.867,0.28,negative
0.445,0.7405,0.1825,negative
0.455,0.867,0.268,negative
0.47,1.116,0.34,negative
0.425,0.7965,0.239,negative
0.45,0.78,0.235,negative
0.47,0.985,0.355,negative
0.465,0.9965,0.47,negative
0.445,0.8015,0.25,negative
0.45,0.807,0.254,negative
0.435,1.0305,0.36,negative
0.445,0.839,0.239,negative
0.435,0.834,0.23,negative
0.44,0.9615,0.275,negative
0.46,1.0335,0.295,negative
0.43,0.798,0.2285,negative
0.445,0.7095,0.235,negative
0.445,0.913,0.253,negative
0.49,1.207,0.309,negative
0.45,1.022,0.265,negative
0.46,0.9015,0.26,negative
0.45,0.838,0.217,negative
0.435,0.9,0.265,negative
0.45,0.959,0.2535,negative
0.46,0.8335,0.235,negative
0.46,0.9735,0.3,negative
0.475,1.13,0.305,negative
0.48,0.9165,0.2725,negative
0.48,0.9175,0.29,negative
0.48,1.0645,0.325,negative
0.47,1.059,0.275,negative
0.47,1.194,0.2635,negative
0.455,0.9775,0.275,negative
0.475,0.884,0.27,negative
0.47,0.8025,0.22,negative
0.48,0.991,0.24,negative
0.47,0.974,0.3345,negative
0.505,1.434,0.431,negative
0.475,0.983,0.266,negative
0.465,1.0725,0.28,negative
0.485,1.2405,0.3085,negative
0.47,1.022,0.2945,negative
0.475,1.1155,0.379,negative
0.465,0.9225,0.26,negative
0.47,1.1185,0.31,negative
0.485,1.2795,0.355,negative
0.47,1.0175,0.28,negative
0.475,1.224,0.311,negative
0.485,1.154,0.315,negative
0.515,1.3255,0.335,negative
0.515,1.221,0.395,negative
0.54,1.139,0.357,negative
0.49,1.066,0.305,negative
0.48,1.2215,0.313,negative
0.47,0.8565,0.295,negative
0.45,0.924,0.2965,negative
0.48,1.266,0.309,negative
0.48,1.0405,0.3,negative
0.49,1.1165,0.3325,negative
0.475,1.0845,0.3105,negative
0.5,1.0985,0.354,negative
0.47,1.1955,0.3145,negative
0.485,1.362,0.3705,negative
0.485,1.044,0.278,negative
0.505,1.0915,0.3,negative
0.5,1.1965,0.3995,negative
0.49,1.1745,0.339,negative
0.485,1.233,0.3035,negative
0.495,1.2695,0.328,negative
0.5,1.489,0.3615,negative
0.5,1.4345,0.418,negative
0.49,1.2435,0.305,negative
0.49,1.2615,0.38,negative
0.505,1.2235,0.36,negative
0.515,1.247,0.3685,negative
0.5,1.286,0.386,negative
0.525,1.707,0.4435,negative
0.505,1.1605,0.335,negative
0.5,1.5595,0.3845,negative
0.51,1.4745,0.48,negative
0.51,1.226,0.3745,negative
0.51,1.33,0.317,negative
0.51,1.2415,0.315,negative
0.5,1.3375,0.415,negative
0.51,1.363,0.36,negative
0.485,1.2215,0.33,negative
0.48,1.371,0.35,negative
0.495,1.337,0.335,negative
0.505,1.274,0.391,negative
0.525,1.488,0.378,negative
0.51,1.3835,0.3665,negative
0.55,1.274,0.365,negative
0.51,1.043,0.305,negative
0.505,1.3485,0.425,negative
0.505,1.4405,0.363,negative
0.5,1.3195,0.341,negative
0.535,1.5175,0.415,negative
0.53,1.5505,0.495,negative
0.51,1.6375,0.3925,negative
0.525,1.443,0.353,negative
0.505,1.289,0.3665,negative
0.505,1.2915,0.32,negative
0.52,1.3725,0.395,negative
0.5,1.2975,0.315,negative
0.505,1.2585,0.308,negative
0.52,1.39,0.3,negative
0.52,1.32,0.4275,negative
0.55,1.566,0.354,negative
0.54,1.619,0.465,negative
0.525,1.2835,0.3545,negative
0.51,1.382,0.3965,negative
0.52,1.4535,0.4125,negative
0.51,1.6075,0.4705,negative
0.52,1.3735,0.32,negative
0.535,1.773,0.512,negative
0.565,1.638,0.438,negative
0.55,1.569,0.46,negative
0.565,1.8565,0.54,negative
0.545,1.58,0.265,negative
0.575,2.009,0.502,negative
0.57,1.9805,0.48,negative
0.54,1.5805,0.435,negative
0.56,2.015,0.566,negative
0.57,1.8275,0.485,negative
0.55,2.125,0.511,negative
0.525,1.445,0.435,negative
0.565,2.1425,0.503,negative
0.56,1.9425,0.5655,negative
0.59,1.747,0.557,negative
0.565,2.119,0.482,negative
0.565,1.938,0.575,negative
0.595,2.2205,0.63,negative
0.62,2.5155,0.642,negative
0.63,2.7795,0.578,negative
0.175,0.2315,0.0705,negative
0.245,0.394,0.1125,negative
0.3,0.5965,0.1645,negative
0.27,0.597,0.1675,negative
0.28,0.564,0.143,negative
0.32,0.414,0.117,negative
0.335,0.422,0.1,negative
0.325,0.82,0.211,negative
0.345,0.434,0.1215,negative
0.325,0.7615,0.209,negative
0.36,0.5795,0.12,negative
0.365,0.5205,0.182,negative
0.37,0.968,0.2365,negative
0.345,0.869,0.319,negative
0.355,0.8795,0.2825,negative
0.37,1.0615,0.296,negative
0.35,0.9225,0.273,negative
0.395,1.007,0.252,negative
0.365,0.9605,0.276,negative
