Sex,Length,Diameter,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
I,0.41,0.325,0.3245,0.132,0.072,0.106,negative
I,0.42,0.3,0.316,0.1255,0.07,0.1035,negative
I,0.42,0.32,0.3625,0.174,0.0635,0.105,negative
I,0.42,0.31,0.279,0.1255,0.051,0.088,negative
M,0.43,0.335,0.397,0.1985,0.0865,0.1035,negative
I,0.425,0.325,0.3685,0.162,0.0865,0.1045,negative
I,0.435,0.33,0.413,0.2055,0.096,0.096,negative
I,0.435,0.345,0.418,0.222,0.0735,0.106,negative
I,0.44,0.33,0.3705,0.1545,0.084,0.12,negative
I,0.445,0.345,0.409,0.1675,0.1015,0.117,negative
I,0.445,0.34,0.434,0.1945,0.0905,0.13,negative
I,0.445,0.335,0.411,0.1985,0.0935,0.109,negative
I,0.45,0.365,0.462,0.2135,0.0985,0.1315,negative
I,0.45,0.34,0.4925,0.241,0.1075,0.12,negative
I,0.45,0.33,0.3715,0.1865,0.0785,0.0975,negative
I,0.45,0.33,0.411,0.1945,0.1,0.098,negative
I,0.45,0.33,0.3685,0.16,0.0885,0.102,negative
I,0.46,0.35,0.4155,0.18,0.098,0.1175,negative
M,0.47,0.36,0.544,0.27,0.1395,0.129,negative
I,0.47,0.38,0.4845,0.211,0.1075,0.142,negative
I,0.475,0.35,0.4565,0.206,0.099,0.13,negative
I,0.475,0.35,0.4545,0.2165,0.111,0.115,negative
I,0.48,0.38,0.6245,0.3395,0.1085,0.1665,negative
M,0.49,0.465,0.5225,0.235,0.13,0.141,negative
I,0.5,0.375,0.5495,0.248,0.112,0.1585,negative
I,0.5,0.375,0.542,0.215,0.116,0.17,negative
I,0.5,0.38,0.519,0.2485,0.1135,0.134,negative
M,0.5,0.39,0.5215,0.2485,0.117,0.131,negative
F,0.505,0.39,0.5445,0.246,0.15,0.1405,negative
I,0.51,0.405,0.6795,0.3465,0.1395,0.182,negative
F,0.51,0.4,0.545,0.261,0.115,0.1385,negative
I,0.51,0.4,0.5575,0.2615,0.1195,0.1525,negative
I,0.51,0.38,0.5155,0.215,0.1135,0.166,negative
I,0.515,0.385,0.6115,0.3175,0.1265,0.15,negative
M,0.52,0.4,0.7765,0.3525,0.1845,0.185,negative
I,0.52,0.38,0.5395,0.2295,0.133,0.157,negative
I,0.52,0.38,0.5545,0.288,0.1295,0.167,negative
F,0.52,0.46,1.019,0.523,0.1985,0.254,negative
I,0.525,0.4,0.6455,0.325,0.1245,0.17,negative
I,0.525,0.4,0.601,0.2625,0.1285,0.1835,negative
M,0.525,0.405,0.7555,0.3755,0.1555,0.201,negative
I,0.525,0.395,0.608,0.297,0.1395,0.1405,negative
I,0.53,0.4,0.617,0.279,0.127,0.19,negative
M,0.545,0.39,0.7835,0.4225,0.1815,0.156,negative
M,0.545,0.41,0.793,0.434,0.1405,0.19,negative
I,0.535,0.39,0.599,0.2595,0.149,0.169,negative
F,0.55,0.415,0.8145,0.427,0.1855,0.175,negative
F,0.55,0.43,0.84,0.395,0.195,0.223,negative
M,0.545,0.415,0.82,0.4615,0.127,0.218,negative
I,0.54,0.42,0.6665,0.3125,0.138,0.1895,negative
M,0.56,0.43,0.8995,0.464,0.1775,0.234,negative
M,0.55,0.425,0.8315,0.411,0.1765,0.2165,negative
M,0.56,0.445,0.8965,0.42,0.2175,0.2215,negative
F,0.56,0.44,0.6405,0.336,0.1765,0.245,negative
M,0.56,0.415,0.852,0.43,0.1885,0.205,negative
M,0.565,0.455,0.9595,0.4565,0.2395,0.23,negative
M,0.565,0.435,0.99,0.5795,0.1825,0.206,negative
F,0.565,0.45,1.0095,0.447,0.2375,0.2645,negative
M,0.57,0.46,1.0375,0.5415,0.2035,0.25,negative
F,0.57,0.445,0.8775,0.412,0.217,0.22,negative
I,0.57,0.44,0.755,0.3425,0.16,0.224,negative
F,0.575,0.46,0.9945,0.466,0.229,0.265,negative
F,0.575,0.45,1.068,0.556,0.214,0.2575,negative
M,0.575,0.435,0.8455,0.401,0.191,0.222,negative
F,0.575,0.47,0.869,0.435,0.197,0.238,negative
I,0.575,0.435,0.805,0.3155,0.2155,0.245,negative
M,0.575,0.455,0.907,0.4245,0.197,0.26,negative
M,0.575,0.445,0.847,0.415,0.1945,0.22,negative
M,0.575,0.445,1.0225,0.549,0.2175,0.228,negative
M,0.58,0.455,1.114,0.4765,0.2155,0.265,negative
M,0.58,0.455,1.859,0.945,0.426,0.441,negative
M,0.58,0.445,0.814,0.3775,0.1915,0.22,negative
M,0.58,0.45,0.9615,0.486,0.1815,0.253,negative
M,0.58,0.45,1.0025,0.547,0.1975,0.2295,negative
F,0.58,0.45,0.93,0.385,0.246,0.265,negative
M,0.585,0.46,0.9335,0.478,0.1825,0.235,negative
M,0.585,0.465,0.9555,0.4595,0.236,0.265,negative
M,0.59,0.47,0.9955,0.481,0.232,0.24,negative
F,0.6,0.475,1.0265,0.485,0.2495,0.2565,negative
M,0.6,0.455,1.1915,0.696,0.2395,0.24,negative
F,0.6,0.465,1.1025,0.5455,0.262,0.25,negative
M,0.6,0.465,1.0165,0.512,0.2465,0.225,negative
F,0.605,0.47,1.1775,0.611,0.2275,0.292,negative
M,0.605,0.475,1.1175,0.555,0.257,0.274,negative
M,0.605,0.48,1.1835,0.582,0.2365,0.317,negative
F,0.605,0.475,1.056,0.433,0.2195,0.357,negative
M,0.61,0.485,1.3305,0.783,0.2255,0.2865,negative
M,0.61,0.485,1.0145,0.5315,0.212,0.2415,negative
M,0.61,0.47,1.052,0.498,0.242,0.267,negative
M,0.615,0.46,1.0565,0.4815,0.272,0.27,negative
F,0.615,0.465,0.923,0.4615,0.1825,0.2415,negative
F,0.615,0.475,1.027,0.447,0.25,0.285,negative
M,0.62,0.47,1.0195,0.5315,0.2005,0.2475,negative
M,0.62,0.45,0.858,0.4285,0.1525,0.2405,negative
F,0.62,0.48,1.1125,0.5635,0.2445,0.281,negative
M,0.625,0.48,1.2065,0.587,0.29,0.286,negative
F,0.625,0.485,1.3745,0.7335,0.2715,0.332,negative
M,0.63,0.47,1.1325,0.589,0.211,0.287,negative
M,0.63,0.5,1.2645,0.5635,0.3065,0.3425,negative
F,0.635,0.495,1.1565,0.5115,0.308,0.2885,negative
M,0.64,0.515,1.369,0.632,0.3415,0.358,negative
M,0.645,0.53,1.39,0.6465,0.2945,0.3735,negative
F,0.645,0.48,1.1345,0.528,0.254,0.305,negative
F,0.65,0.5,1.464,0.6415,0.339,0.4245,negative
M,0.65,0.5,1.202,0.565,0.3135,0.294,negative
M,0.655,0.515,1.31,0.553,0.369,0.345,negative
F,0.655,0.51,1.415,0.5885,0.3725,0.364,negative
I,0.665,0.5,1.2975,0.6035,0.291,0.3595,negative
F,0.66,0.53,1.346,0.546,0.2705,0.476,negative
M,0.665,0.525,1.363,0.629,0.279,0.34,negative
F,0.67,0.505,1.3645,0.6075,0.3025,0.353,negative
M,0.685,0.52,1.519,0.699,0.3685,0.4,negative
F,0.685,0.54,1.7025,0.664,0.3655,0.4735,negative
F,0.69,0.54,1.454,0.624,0.3105,0.39,negative
M,0.69,0.53,1.583,0.7355,0.405,0.3865,negative
F,0.69,0.53,1.5535,0.7945,0.3485,0.3695,negative
M,0.695,0.56,1.74,0.885,0.3715,0.4375,negative
M,0.7,0.565,1.751,0.895,0.3355,0.446,negative
M,0.7,0.575,2.273,1.095,0.418,0.638,negative
F,0.7,0.525,1.6465,0.8545,0.307,0.3995,negative
F,0.705,0.55,1.219,0.6395,0.236,0.301,negative
F,0.71,0.56,1.652,0.735,0.381,0.4525,negative
M,0.715,0.55,2.0045,1.0465,0.407,0.5075,negative
F,0.72,0.58,2.103,1.0265,0.48,0.5375,negative
M,0.715,0.535,1.6755,0.889,0.313,0.42,negative
F,0.72,0.55,1.9965,0.9035,0.469,0.5215,negative
M,0.725,0.505,1.978,1.026,0.4255,0.4505,negative
M,0.72,0.565,1.187,0.691,0.1945,0.2685,negative
F,0.73,0.575,1.8795,0.931,0.38,0.4825,negative
M,0.735,0.585,2.124,0.952,0.55,0.5,negative
F,0.75,0.57,2.236,1.109,0.5195,0.545,negative
F,0.755,0.625,2.505,1.1965,0.513,0.6785,negative
M,0.755,0.58,2.0065,0.8295,0.4015,0.595,negative
F,0.78,0.63,2.657,1.488,0.4985,0.586,negative
I,0.185,0.375,0.4645,0.196,0.1045,0.15,negative
M,0.745,0.565,1.931,0.896,0.4585,0.5,negative
I,0.25,0.185,0.0685,0.0295,0.014,0.0225,negative
I,0.245,0.205,0.0765,0.034,0.014,0.0215,negative
I,0.25,0.19,0.0835,0.039,0.015,0.025,negative
I,0.275,0.195,0.1125,0.0545,0.0295,0.0355,negative
I,0.305,0.215,0.1075,0.044,0.0205,0.038,negative
I,0.315,0.23,0.1145,0.046,0.0235,0.0385,negative
I,0.325,0.225,0.139,0.0565,0.032,0.09,negative
I,0.315,0.23,0.1375,0.0545,0.031,0.0445,negative
I,0.335,0.245,0.2015,0.096,0.0405,0.048,negative
I,0.34,0.25,0.179,0.0775,0.033,0.055,negative
I,0.345,0.255,0.1945,0.0925,0.037,0.055,negative
I,0.345,0.255,0.2005,0.105,0.037,0.05,negative
I,0.33,0.205,0.1595,0.077,0.032,0.0435,negative
I,0.35,0.27,0.215,0.1,0.036,0.065,negative
I,0.35,0.255,0.1785,0.0855,0.0305,0.0525,negative
I,0.36,0.27,0.196,0.0875,0.035,0.064,negative
I,0.365,0.27,0.1875,0.081,0.042,0.058,negative
I,0.33,0.25,0.2085,0.102,0.0395,0.052,negative
I,0.365,0.27,0.196,0.0825,0.0375,0.06,negative
I,0.37,0.28,0.217,0.1095,0.035,0.062,negative
I,0.375,0.29,0.213,0.096,0.041,0.061,negative
I,0.375,0.29,0.2385,0.118,0.045,0.0695,negative
I,0.375,0.275,0.218,0.093,0.0405,0.0755,negative
I,0.375,0.275,0.2465,0.11,0.0415,0.0775,negative
I,0.375,0.28,0.2025,0.0825,0.048,0.065,negative
I,0.375,0.27,0.218,0.0945,0.039,0.07,negative
I,0.38,0.275,0.256,0.11,0.0535,0.0755,negative
I,0.38,0.27,0.2105,0.0865,0.042,0.07,negative
I,0.385,0.29,0.2615,0.111,0.0595,0.0745,negative
I,0.385,0.28,0.2175,0.097,0.038,0.067,negative
I,0.31,0.225,0.1055,0.435,0.015,0.04,negative
I,0.385,0.3,0.302,0.152,0.0615,0.0735,negative
I,0.385,0.28,0.228,0.1025,0.042,0.0655,negative
I,0.39,0.3,0.3265,0.1665,0.0575,0.089,negative
I,0.395,0.305,0.284,0.1135,0.0595,0.0945,negative
I,0.395,0.295,0.2725,0.115,0.0625,0.085,negative
I,0.395,0.27,0.2985,0.1445,0.061,0.082,negative
I,0.365,0.265,0.213,0.0945,0.049,0.06,negative
I,0.37,0.29,0.2445,0.089,0.0655,0.075,negative
I,0.405,0.285,0.2645,0.1265,0.0505,0.075,negative
I,0.425,0.325,0.3335,0.173,0.045,0.1,negative
I,0.4,0.29,0.2675,0.1205,0.0605,0.0765,negative
I,0.425,0.32,0.3055,0.126,0.06,0.106,negative
I,0.425,0.31,0.301,0.1385,0.065,0.08,negative
I,0.43,0.34,0.428,0.2065,0.086,0.115,negative
I,0.43,0.315,0.378,0.175,0.08,0.1045,negative
I,0.41,0.335,0.33,0.157,0.0705,0.17,negative
I,0.42,0.305,0.328,0.168,0.0615,0.082,negative
I,0.435,0.315,0.3685,0.1615,0.0715,0.12,negative
I,0.44,0.34,0.438,0.2115,0.083,0.12,negative
I,0.45,0.33,0.448,0.208,0.089,0.12,negative
I,0.455,0.345,0.4005,0.164,0.0755,0.126,negative
F,0.455,0.365,0.4305,0.184,0.108,0.1245,negative
I,0.455,0.33,0.372,0.358,0.0775,0.11,negative
I,0.46,0.36,0.466,0.2225,0.099,0.11,negative
I,0.46,0.35,0.3705,0.1575,0.077,0.114,negative
F,0.46,0.365,0.4785,0.206,0.1045,0.141,negative
I,0.465,0.34,0.346,0.1425,0.073,0.113,negative
I,0.47,0.365,0.411,0.175,0.0855,0.135,negative
I,0.47,0.355,0.48,0.2055,0.105,0.1505,negative
I,0.47,0.355,0.393,0.167,0.0885,0.115,negative
I,0.475,0.355,0.5035,0.2535,0.091,0.14,negative
I,0.475,0.38,0.441,0.1785,0.0885,0.1505,negative
I,0.475,0.36,0.492,0.211,0.11,0.15,negative
I,0.48,0.37,0.5435,0.244,0.101,0.165,negative
I,0.48,0.355,0.4725,0.2065,0.112,0.132,negative
I,0.48,0.365,0.461,0.2205,0.0835,0.135,negative
M,0.495,0.395,0.553,0.224,0.1375,0.167,negative
I,0.495,0.355,0.4965,0.214,0.1045,0.1495,negative
I,0.495,0.38,0.5125,0.2185,0.116,0.16,negative
I,0.5,0.38,0.594,0.2945,0.104,0.1565,negative
M,0.5,0.42,0.6765,0.302,0.1415,0.2065,negative
I,0.5,0.375,0.5795,0.239,0.1375,0.185,negative
I,0.5,0.375,0.5695,0.259,0.124,0.157,negative
I,0.5,0.41,0.6615,0.2585,0.1625,0.196,negative
I,0.5,0.395,0.6215,0.2925,0.1205,0.195,negative
I,0.505,0.405,0.6015,0.3015,0.11,0.18,negative
I,0.505,0.38,0.594,0.2595,0.1435,0.18,negative
I,0.505,0.395,0.551,0.248,0.103,0.171,negative
I,0.515,0.38,0.625,0.3265,0.1295,0.16,negative
I,0.515,0.42,0.711,0.337,0.144,0.205,negative
I,0.52,0.395,0.663,0.3005,0.131,0.1905,negative
I,0.515,0.4,0.6965,0.32,0.1255,0.175,negative
I,0.52,0.4,0.5825,0.233,0.1365,0.18,negative
M,0.525,0.42,0.842,0.428,0.1415,0.2045,negative
I,0.525,0.4,0.6965,0.369,0.1385,0.164,negative
I,0.53,0.42,0.81,0.4725,0.111,0.192,negative
I,0.53,0.415,0.694,0.3905,0.111,0.167,negative
I,0.53,0.415,0.5745,0.2525,0.1235,0.189,negative
I,0.53,0.425,0.7675,0.419,0.1205,0.21,negative
I,0.535,0.4,0.6025,0.2895,0.121,0.154,negative
I,0.535,0.415,0.5765,0.3595,0.135,0.225,negative
F,0.535,0.41,0.7145,0.335,0.144,0.2075,negative
M,0.535,0.435,0.717,0.3475,0.1445,0.194,negative
F,0.54,0.42,0.8655,0.4315,0.163,0.2175,negative
I,0.54,0.42,0.7265,0.3205,0.1445,0.229,negative
I,0.545,0.435,0.7715,0.372,0.148,0.227,negative
F,0.545,0.445,0.8,0.3535,0.163,0.207,negative
I,0.545,0.43,0.7285,0.302,0.1315,0.2545,negative
I,0.545,0.405,0.5945,0.27,0.1185,0.185,negative
I,0.55,0.43,0.7895,0.3745,0.171,0.223,negative
F,0.55,0.405,0.651,0.2965,0.137,0.2,negative
I,0.55,0.435,0.7535,0.3285,0.1555,0.2325,negative
M,0.55,0.43,0.8745,0.413,0.1905,0.248,negative
M,0.555,0.44,0.8705,0.407,0.156,0.255,negative
I,0.55,0.425,0.7305,0.3325,0.1545,0.215,negative
I,0.555,0.43,0.7395,0.3135,0.1435,0.28,negative
I,0.555,0.43,0.7665,0.341,0.165,0.23,negative
I,0.555,0.425,0.7905,0.3485,0.1765,0.225,negative
I,0.56,0.425,0.8205,0.3715,0.185,0.236,negative
I,0.56,0.425,0.688,0.3095,0.1305,0.2165,negative
F,0.56,0.445,1.224,0.5565,0.3225,0.2695,negative
I,0.56,0.455,0.974,0.547,0.1615,0.235,negative
I,0.565,0.44,0.8735,0.414,0.21,0.21,negative
F,0.565,0.45,0.8495,0.4215,0.1685,0.225,negative
M,0.565,0.39,0.744,0.352,0.13,0.1685,negative
M,0.565,0.445,0.796,0.3635,0.184,0.219,negative
I,0.57,0.45,0.751,0.2825,0.2195,0.2215,negative
I,0.57,0.45,0.794,0.3815,0.1415,0.245,negative
F,0.57,0.46,0.9795,0.397,0.2525,0.2655,negative
M,0.57,0.435,0.873,0.382,0.183,0.2705,negative
F,0.575,0.42,0.857,0.461,0.147,0.2125,negative
I,0.57,0.44,0.7665,0.347,0.1785,0.202,negative
M,0.57,0.435,0.8965,0.383,0.1835,0.275,negative
F,0.575,0.48,1.078,0.511,0.2095,0.306,negative
M,0.575,0.46,0.892,0.4415,0.176,0.22,negative
M,0.58,0.46,1.4395,0.6715,0.273,0.2955,negative
M,0.58,0.455,0.7955,0.405,0.167,0.204,negative
F,0.58,0.445,0.858,0.4,0.156,0.253,negative
M,0.585,0.465,0.9145,0.4555,0.1965,0.235,negative
M,0.585,0.49,1.171,0.522,0.2535,0.335,negative
I,0.585,0.475,1.0505,0.48,0.234,0.285,negative
M,0.585,0.46,1.1135,0.5825,0.2345,0.274,negative
M,0.585,0.47,1.409,0.8,0.229,0.295,negative
M,0.585,0.45,0.7995,0.336,0.1855,0.237,negative
M,0.585,0.475,1.065,0.5315,0.199,0.2885,negative
I,0.59,0.445,0.7715,0.328,0.1745,0.23,negative
M,0.59,0.47,1.187,0.5985,0.227,0.31,negative
M,0.59,0.455,0.8855,0.388,0.188,0.275,negative
F,0.595,0.465,0.98,0.4115,0.196,0.2255,negative
F,0.595,0.465,1.026,0.4645,0.112,0.305,negative
M,0.6,0.475,1.1315,0.508,0.272,0.309,negative
I,0.6,0.475,1.12,0.565,0.2465,0.27,negative
M,0.6,0.48,1.014,0.451,0.1885,0.325,negative
F,0.6,0.465,1.04,0.4755,0.25,0.28,negative
F,0.6,0.455,0.8895,0.419,0.1715,0.269,negative
M,0.6,0.46,0.9595,0.4455,0.189,0.295,negative
I,0.605,0.485,1.238,0.6315,0.226,0.33,negative
M,0.605,0.49,0.9755,0.419,0.206,0.315,negative
I,0.605,0.435,0.9025,0.432,0.174,0.26,negative
F,0.605,0.475,1.076,0.463,0.2195,0.335,negative
F,0.605,0.47,1.0835,0.5405,0.2215,0.275,negative
M,0.61,0.45,0.871,0.407,0.1835,0.25,negative
M,0.61,0.48,1.244,0.6345,0.257,0.305,negative
I,0.61,0.465,0.9605,0.4495,0.1725,0.286,negative
M,0.61,0.475,1.0265,0.435,0.2335,0.3035,negative
M,0.61,0.48,1.137,0.4565,0.29,0.347,negative
M,0.61,0.46,1,0.494,0.197,0.275,negative
M,0.615,0.47,1.128,0.4465,0.2195,0.34,negative
F,0.615,0.475,1.004,0.4475,0.193,0.2895,negative
M,0.615,0.5,1.054,0.4845,0.228,0.295,negative
M,0.615,0.48,1.118,0.446,0.3195,0.3,negative
F,0.615,0.475,1.023,0.4905,0.1955,0.3035,negative
M,0.615,0.475,1.129,0.4795,0.302,0.3,negative
F,0.615,0.475,1.115,0.484,0.2115,0.355,negative
M,0.62,0.51,1.2815,0.5715,0.2385,0.39,negative
M,0.62,0.495,1.2555,0.5765,0.254,0.355,negative
F,0.62,0.5,1.293,0.596,0.3135,0.354,negative
F,0.62,0.475,1.1295,0.463,0.2685,0.33,negative
M,0.625,0.455,1.082,0.4955,0.2345,0.315,negative
F,0.625,0.505,1.15,0.5475,0.256,0.3045,negative
F,0.625,0.515,1.264,0.5715,0.326,0.321,negative
F,0.625,0.48,1.2035,0.5865,0.239,0.3185,negative
F,0.63,0.485,1.3205,0.5945,0.345,0.345,negative
I,0.63,0.505,1.272,0.6025,0.295,0.315,negative
M,0.63,0.485,1.062,0.5065,0.1785,0.3365,negative
I,0.63,0.475,1.0605,0.5165,0.2195,0.28,negative
M,0.63,0.495,1.093,0.497,0.221,0.315,negative
M,0.635,0.49,1.101,0.534,0.1865,0.3455,negative
F,0.635,0.5,1.4595,0.705,0.2645,0.39,negative
F,0.635,0.495,1.211,0.707,0.2725,0.323,negative
M,0.635,0.475,1.1935,0.5205,0.2695,0.3665,negative
M,0.635,0.51,0.986,0.405,0.2255,0.31,negative
M,0.64,0.565,1.521,0.644,0.372,0.406,negative
M,0.64,0.525,1.3135,0.4865,0.2995,0.4075,negative
M,0.645,0.51,1.1835,0.556,0.2385,0.345,negative
M,0.645,0.5,1.401,0.6165,0.3515,0.3725,negative
M,0.645,0.525,1.5075,0.7455,0.245,0.4325,negative
M,0.65,0.525,1.5365,0.6865,0.3585,0.405,negative
F,0.65,0.505,1.16,0.4785,0.274,0.349,negative
F,0.65,0.59,1.662,0.77,0.378,0.435,negative
M,0.65,0.51,1.542,0.7155,0.3735,0.375,negative
F,0.65,0.51,1.567,0.7245,0.349,0.391,negative
F,0.655,0.525,1.3595,0.564,0.3215,0.3985,negative
M,0.655,0.535,1.6445,0.7305,0.3595,0.46,negative
F,0.655,0.52,1.4545,0.6,0.3865,0.383,negative
F,0.66,0.495,1.548,0.724,0.3525,0.3925,negative
M,0.655,0.49,1.3585,0.6395,0.294,0.365,negative
F,0.66,0.515,1.337,0.615,0.3125,0.3575,negative
F,0.665,0.53,1.491,0.6345,0.342,0.435,negative
F,0.67,0.53,1.5615,0.63,0.487,0.3725,negative
F,0.67,0.505,1.0145,0.4375,0.271,0.3745,negative
M,0.675,0.545,1.7375,0.876,0.3135,0.469,negative
F,0.695,0.565,1.7635,0.7465,0.399,0.4975,negative
M,0.685,0.545,1.7925,0.8145,0.416,0.461,negative
F,0.7,0.545,1.556,0.6725,0.374,0.195,negative
M,0.705,0.565,2.21,1.1075,0.4865,0.512,negative
M,0.705,0.555,2.141,1.0465,0.383,0.528,negative
F,0.705,0.57,1.5345,0.96,0.4195,0.43,negative
F,0.71,0.55,1.614,0.743,0.345,0.45,negative
F,0.72,0.575,1.9335,0.913,0.389,0.51,negative
M,0.72,0.575,2.173,0.9515,0.564,0.5365,negative
F,0.725,0.6,1.737,0.697,0.3585,0.595,negative
F,0.73,0.58,1.7375,0.6785,0.4345,0.52,negative
F,0.735,0.565,2.1275,0.949,0.46,0.565,negative
F,0.745,0.57,2.25,1.1565,0.446,0.558,negative
F,0.75,0.61,2.5085,1.232,0.519,0.612,negative
F,0.815,0.65,2.255,0.8905,0.42,0.7975,negative
I,0.14,0.105,0.014,0.0055,0.0025,0.004,negative
I,0.23,0.165,0.0515,0.019,0.0145,0.036,negative
I,0.365,0.265,0.2215,0.105,0.047,0.0605,negative
I,0.365,0.255,0.1985,0.0785,0.0345,0.053,negative
I,0.37,0.27,0.232,0.1325,0.041,0.0615,negative
I,0.375,0.28,0.3155,0.187,0.046,0.067,negative
I,0.385,0.3,0.247,0.1225,0.044,0.0675,negative
I,0.395,0.295,0.3025,0.143,0.0665,0.0765,negative
I,0.4,0.29,0.329,0.188,0.0455,0.0825,negative
I,0.4,0.3,0.2815,0.1185,0.061,0.08,negative
I,0.405,0.31,0.3425,0.1785,0.064,0.0855,negative
I,0.405,0.29,0.2825,0.112,0.075,0.0815,negative
I,0.405,0.3,0.304,0.1455,0.061,0.0805,negative
I,0.41,0.32,0.2905,0.141,0.063,0.073,negative
M,0.415,0.315,0.3895,0.2015,0.065,0.103,negative
I,0.425,0.34,0.389,0.2015,0.0905,0.088,negative
I,0.43,0.34,0.4405,0.2385,0.0745,0.1075,negative
I,0.44,0.34,0.369,0.164,0.08,0.1015,negative
M,0.44,0.32,0.4565,0.2435,0.092,0.1025,negative
I,0.44,0.365,0.4465,0.213,0.089,0.1135,negative
M,0.45,0.335,0.4475,0.2165,0.126,0.11,negative
I,0.455,0.335,0.501,0.274,0.0995,0.1065,negative
I,0.46,0.355,0.436,0.1975,0.096,0.125,negative
I,0.47,0.345,0.4615,0.229,0.1105,0.116,negative
I,0.47,0.35,0.4315,0.19,0.1165,0.1175,negative
I,0.47,0.355,0.3685,0.126,0.0835,0.1365,negative
M,0.475,0.37,0.649,0.347,0.136,0.142,negative
I,0.475,0.365,0.459,0.2175,0.093,0.1165,negative
F,0.475,0.365,0.566,0.281,0.117,0.1335,negative
I,0.48,0.36,0.542,0.2795,0.1025,0.147,negative
I,0.485,0.38,0.4725,0.2075,0.1075,0.147,negative
M,0.485,0.39,0.6435,0.2945,0.103,0.198,negative
M,0.485,0.37,0.526,0.2485,0.105,0.1555,negative
F,0.495,0.38,0.573,0.2655,0.1285,0.144,negative
M,0.505,0.385,0.5525,0.239,0.1245,0.1555,negative
F,0.505,0.38,0.6855,0.361,0.1565,0.161,negative
I,0.515,0.395,0.556,0.2695,0.096,0.17,negative
M,0.515,0.425,0.9365,0.497,0.181,0.2185,negative
I,0.515,0.4,0.5625,0.25,0.1245,0.17,negative
M,0.52,0.4,0.559,0.254,0.139,0.149,negative
M,0.525,0.4,0.7205,0.3685,0.145,0.1735,negative
I,0.53,0.43,0.7045,0.346,0.1415,0.189,negative
M,0.53,0.4,0.7575,0.398,0.151,0.175,negative
F,0.545,0.41,0.7405,0.3565,0.1775,0.203,negative
F,0.55,0.43,0.84,0.375,0.218,0.1945,negative
M,0.55,0.425,0.793,0.343,0.2035,0.215,negative
F,0.56,0.435,0.8715,0.4755,0.1835,0.1835,negative
F,0.56,0.43,0.8745,0.453,0.161,0.22,negative
M,0.57,0.445,0.9875,0.504,0.207,0.249,negative
M,0.575,0.465,1.08,0.595,0.2065,0.238,negative
M,0.575,0.46,0.9155,0.4005,0.2465,0.2385,negative
F,0.58,0.46,1.165,0.65,0.2205,0.3055,negative
F,0.58,0.435,0.953,0.475,0.2165,0.2095,negative
M,0.585,0.455,0.906,0.4095,0.23,0.2335,negative
M,0.59,0.44,0.8725,0.387,0.215,0.245,negative
F,0.59,0.465,1.151,0.613,0.239,0.2515,negative
F,0.59,0.46,0.9905,0.453,0.2205,0.275,negative
F,0.595,0.455,1.04,0.452,0.2655,0.288,negative
M,0.6,0.455,0.945,0.4365,0.2085,0.25,negative
M,0.6,0.465,1.259,0.6405,0.1985,0.357,negative
F,0.605,0.485,0.9515,0.4535,0.193,0.2765,negative
F,0.605,0.485,1.201,0.417,0.2875,0.38,negative
F,0.605,0.515,1.289,0.6,0.2945,0.3315,negative
F,0.61,0.485,1.1005,0.5125,0.229,0.305,negative
I,0.615,0.475,0.8425,0.353,0.1915,0.251,negative
M,0.62,0.485,1.049,0.462,0.231,0.25,negative
F,0.62,0.435,1.012,0.477,0.236,0.275,negative
M,0.62,0.48,1.0725,0.4815,0.235,0.312,negative
M,0.625,0.52,1.4105,0.691,0.322,0.3465,negative
M,0.625,0.47,1.136,0.451,0.3245,0.305,negative
M,0.63,0.47,1.1005,0.52,0.26,0.276,negative
F,0.63,0.49,1.336,0.6805,0.259,0.3245,negative
F,0.635,0.505,1.1345,0.505,0.2655,0.315,negative
M,0.635,0.51,1.308,0.544,0.318,0.377,negative
F,0.64,0.515,1.5335,0.6635,0.3345,0.4025,negative
F,0.645,0.515,1.546,0.7035,0.365,0.415,negative
M,0.645,0.51,1.539,0.6405,0.3585,0.43,negative
M,0.63,0.48,1.271,0.6605,0.2425,0.31,negative
M,0.63,0.455,1.1315,0.481,0.2745,0.305,negative
F,0.63,0.5,1.1105,0.467,0.268,0.329,negative
F,0.645,0.505,1.318,0.55,0.3015,0.335,negative
F,0.65,0.545,1.5245,0.59,0.326,0.495,negative
M,0.65,0.515,1.466,0.677,0.3045,0.4,negative
F,0.65,0.5,1.3825,0.702,0.304,0.3195,negative
M,0.65,0.485,1.175,0.475,0.2435,0.215,negative
F,0.655,0.54,1.5555,0.695,0.296,0.444,negative
M,0.655,0.51,1.7835,0.8885,0.4095,0.4195,negative
M,0.66,0.505,1.374,0.589,0.351,0.345,negative
F,0.665,0.515,1.389,0.5945,0.324,0.395,negative
M,0.67,0.545,1.7025,0.833,0.374,0.41,negative
M,0.67,0.51,1.5265,0.651,0.4475,0.345,negative
M,0.67,0.5,1.519,0.616,0.388,0.415,negative
F,0.68,0.5,1.741,0.7665,0.3255,0.4685,negative
M,0.68,0.515,1.6115,0.8415,0.306,0.395,negative
M,0.69,0.525,1.7825,0.9165,0.3325,0.461,negative
F,0.7,0.55,1.684,0.7535,0.3265,0.32,negative
M,0.7,0.555,1.858,0.73,0.3665,0.595,negative
M,0.705,0.56,1.675,0.797,0.4095,0.388,negative
M,0.72,0.565,2.1055,1.017,0.363,0.494,negative
