job,day,month,duration,Class
technician,2,jun,479,negative
management,2,jun,156,negative
blue-collar,2,jun,80,negative
management,2,jun,204,negative
self-employed,2,jun,360,negative
technician,2,jun,126,negative
blue-collar,2,jun,267,negative
blue-collar,2,jun,290,negative
management,2,jun,136,negative
blue-collar,2,jun,56,negative
admin.,2,jun,32,negative
blue-collar,2,jun,826,negative
services,2,jun,91,negative
blue-collar,2,jun,198,negative
technician,2,jun,164,negative
housemaid,2,jun,98,negative
blue-collar,2,jun,53,negative
technician,2,jun,349,negative
blue-collar,2,jun,178,negative
blue-collar,2,jun,532,negative
technician,2,jun,120,negative
blue-collar,2,jun,164,negative
services,2,jun,375,negative
blue-collar,2,jun,20,negative
services,2,jun,392,negative
technician,2,jun,213,negative
blue-collar,2,jun,18,negative
technician,2,jun,393,negative
blue-collar,2,jun,746,negative
entrepreneur,2,jun,351,negative
housemaid,2,jun,142,negative
blue-collar,2,jun,316,negative
blue-collar,2,jun,229,negative
technician,2,jun,261,negative
management,2,jun,289,negative
blue-collar,2,jun,74,negative
admin.,2,jun,227,negative
blue-collar,2,jun,115,negative
unemployed,2,jun,178,negative
technician,2,jun,154,negative
services,2,jun,100,negative
blue-collar,2,jun,61,negative
admin.,2,jun,754,negative
management,2,jun,55,negative
blue-collar,2,jun,130,negative
admin.,2,jun,509,negative
entrepreneur,2,jun,181,negative
admin.,2,jun,239,negative
blue-collar,2,jun,468,negative
retired,2,jun,358,negative
admin.,2,jun,442,negative
management,2,jun,1576,negative
admin.,2,jun,83,negative
admin.,2,jun,134,negative
management,2,jun,28,negative
blue-collar,2,jun,92,negative
management,2,jun,73,negative
blue-collar,2,jun,217,negative
blue-collar,2,jun,134,negative
admin.,2,jun,111,negative
blue-collar,2,jun,222,negative
unemployed,2,jun,75,negative
blue-collar,2,jun,179,negative
technician,2,jun,110,negative
blue-collar,2,jun,58,negative
blue-collar,2,jun,548,negative
admin.,2,jun,16,negative
technician,2,jun,213,negative
blue-collar,2,jun,402,negative
student,2,jun,312,negative
blue-collar,2,jun,280,negative
blue-collar,2,jun,689,negative
blue-collar,2,jun,253,negative
entrepreneur,2,jun,184,negative
blue-collar,2,jun,43,negative
management,2,jun,310,negative
services,2,jun,90,negative
blue-collar,2,jun,194,negative
management,2,jun,984,negative
management,2,jun,85,negative
blue-collar,2,jun,153,negative
management,2,jun,59,negative
admin.,2,jun,20,negative
blue-collar,2,jun,180,negative
technician,2,jun,94,negative
blue-collar,2,jun,232,negative
services,3,jun,152,negative
management,3,jun,104,negative
services,3,jun,154,negative
technician,3,jun,70,negative
admin.,3,jun,48,negative
management,3,jun,182,negative
technician,3,jun,150,negative
blue-collar,3,jun,209,negative
services,3,jun,86,negative
entrepreneur,3,jun,67,negative
admin.,3,jun,197,negative
services,3,jun,87,negative
admin.,3,jun,75,negative
technician,3,jun,450,negative
admin.,3,jun,216,negative
management,3,jun,174,negative
blue-collar,3,jun,180,negative
blue-collar,3,jun,20,negative
blue-collar,3,jun,179,negative
admin.,3,jun,73,negative
management,3,jun,55,negative
services,3,jun,222,negative
blue-collar,3,jun,267,negative
services,3,jun,69,negative
technician,3,jun,186,negative
blue-collar,3,jun,63,negative
technician,3,jun,166,negative
admin.,3,jun,332,negative
admin.,3,jun,542,negative
management,3,jun,301,negative
technician,3,jun,207,negative
blue-collar,3,jun,115,negative
services,3,jun,159,negative
technician,3,jun,117,negative
admin.,3,jun,159,negative
management,3,jun,238,negative
services,3,jun,161,negative
management,3,jun,206,negative
admin.,3,jun,438,negative
technician,3,jun,250,negative
blue-collar,3,jun,46,negative
blue-collar,3,jun,147,negative
unemployed,3,jun,275,negative
technician,3,jun,26,negative
technician,3,jun,202,negative
services,3,jun,50,negative
blue-collar,3,jun,236,negative
management,3,jun,272,negative
technician,3,jun,112,negative
admin.,3,jun,384,negative
admin.,3,jun,361,negative
management,3,jun,49,negative
admin.,3,jun,953,negative
blue-collar,3,jun,148,negative
blue-collar,3,jun,233,negative
technician,3,jun,409,negative
blue-collar,3,jun,194,negative
blue-collar,3,jun,538,negative
unemployed,3,jun,103,negative
admin.,3,jun,579,negative
services,3,jun,183,negative
admin.,3,jun,117,negative
blue-collar,3,jun,210,negative
technician,3,jun,175,negative
technician,3,jun,186,negative
services,3,jun,23,negative
technician,3,jun,268,negative
management,3,jun,68,negative
blue-collar,3,jun,157,negative
housemaid,3,jun,132,negative
blue-collar,3,jun,43,negative
services,3,jun,363,negative
technician,3,jun,517,negative
management,3,jun,315,negative
blue-collar,3,jun,143,negative
unemployed,3,jun,73,negative
blue-collar,3,jun,45,negative
self-employed,3,jun,447,negative
technician,3,jun,342,negative
management,3,jun,119,negative
admin.,3,jun,150,negative
technician,3,jun,110,negative
management,3,jun,166,negative
admin.,3,jun,65,negative
blue-collar,3,jun,404,negative
technician,3,jun,280,negative
services,3,jun,157,negative
blue-collar,3,jun,170,negative
retired,3,jun,80,negative
blue-collar,3,jun,34,negative
management,3,jun,258,negative
management,3,jun,291,negative
blue-collar,3,jun,126,negative
self-employed,3,jun,88,negative
self-employed,3,jun,941,positive
services,3,jun,349,negative
blue-collar,3,jun,170,negative
entrepreneur,3,jun,102,negative
admin.,3,jun,131,negative
blue-collar,3,jun,384,negative
entrepreneur,3,jun,440,negative
management,3,jun,143,negative
blue-collar,3,jun,284,negative
retired,3,jun,290,negative
entrepreneur,3,jun,161,negative
management,3,jun,247,negative
retired,3,jun,123,negative
blue-collar,3,jun,771,negative
technician,3,jun,103,negative
services,3,jun,132,negative
blue-collar,3,jun,235,negative
blue-collar,3,jun,45,negative
blue-collar,3,jun,21,negative
services,3,jun,243,negative
self-employed,3,jun,131,negative
blue-collar,3,jun,316,negative
management,3,jun,192,negative
blue-collar,3,jun,145,negative
blue-collar,3,jun,288,negative
blue-collar,3,jun,23,negative
blue-collar,3,jun,569,negative
services,3,jun,23,negative
technician,3,jun,379,negative
blue-collar,3,jun,406,negative
services,3,jun,106,negative
retired,3,jun,393,negative
unemployed,3,jun,116,negative
blue-collar,3,jun,25,negative
services,3,jun,118,negative
management,3,jun,75,negative
management,3,jun,54,negative
blue-collar,3,jun,235,negative
technician,3,jun,404,negative
services,3,jun,126,negative
admin.,3,jun,102,negative
management,3,jun,227,negative
blue-collar,3,jun,123,negative
blue-collar,3,jun,135,negative
blue-collar,3,jun,100,negative
admin.,3,jun,303,negative
management,3,jun,366,negative
management,3,jun,228,negative
admin.,3,jun,14,negative
services,3,jun,193,negative
blue-collar,3,jun,409,negative
management,3,jun,220,negative
blue-collar,3,jun,32,negative
technician,3,jun,231,negative
management,3,jun,242,negative
blue-collar,3,jun,310,negative
management,3,jun,216,negative
management,3,jun,119,negative
services,3,jun,495,negative
management,3,jun,128,negative
services,3,jun,185,negative
admin.,3,jun,722,negative
blue-collar,3,jun,240,negative
admin.,3,jun,455,negative
technician,3,jun,138,negative
technician,3,jun,361,negative
admin.,3,jun,418,negative
admin.,3,jun,208,negative
services,3,jun,177,negative
admin.,3,jun,84,negative
blue-collar,3,jun,435,negative
management,3,jun,120,negative
admin.,3,jun,825,negative
self-employed,3,jun,51,negative
blue-collar,3,jun,238,negative
technician,3,jun,259,negative
services,3,jun,237,negative
admin.,3,jun,110,negative
blue-collar,3,jun,188,negative
admin.,3,jun,231,negative
management,3,jun,27,negative
blue-collar,3,jun,170,negative
blue-collar,3,jun,615,negative
entrepreneur,3,jun,676,negative
management,3,jun,192,negative
management,3,jun,258,negative
blue-collar,3,jun,85,negative
blue-collar,3,jun,860,negative
technician,3,jun,680,negative
management,3,jun,165,negative
services,3,jun,356,negative
blue-collar,3,jun,235,negative
management,3,jun,173,negative
blue-collar,3,jun,294,negative
self-employed,3,jun,216,negative
services,3,jun,177,negative
entrepreneur,3,jun,220,negative
blue-collar,3,jun,641,negative
entrepreneur,3,jun,38,negative
management,3,jun,633,negative
entrepreneur,3,jun,94,negative
blue-collar,3,jun,478,negative
admin.,3,jun,35,negative
services,3,jun,46,negative
technician,3,jun,89,negative
blue-collar,3,jun,130,negative
housemaid,3,jun,35,negative
services,3,jun,263,negative
blue-collar,3,jun,143,negative
blue-collar,3,jun,108,negative
technician,3,jun,164,negative
services,3,jun,245,negative
services,3,jun,43,negative
services,3,jun,154,negative
blue-collar,3,jun,327,negative
management,3,jun,215,negative
blue-collar,3,jun,200,negative
technician,3,jun,320,negative
entrepreneur,3,jun,31,negative
technician,3,jun,114,negative
blue-collar,3,jun,236,negative
entrepreneur,3,jun,201,negative
blue-collar,3,jun,369,negative
services,3,jun,171,negative
blue-collar,3,jun,329,negative
technician,3,jun,94,negative
management,3,jun,59,negative
blue-collar,3,jun,111,negative
services,3,jun,72,negative
management,3,jun,199,negative
admin.,3,jun,271,negative
management,3,jun,589,negative
services,3,jun,199,negative
blue-collar,3,jun,113,negative
blue-collar,3,jun,179,negative
blue-collar,3,jun,215,negative
services,3,jun,242,negative
technician,3,jun,129,negative
admin.,3,jun,50,negative
blue-collar,3,jun,239,negative
blue-collar,3,jun,178,negative
management,3,jun,81,negative
unemployed,3,jun,327,negative
blue-collar,3,jun,604,negative
blue-collar,3,jun,137,negative
management,3,jun,72,negative
admin.,3,jun,199,negative
management,3,jun,372,negative
services,3,jun,167,negative
management,3,jun,788,negative
management,3,jun,132,negative
self-employed,3,jun,51,negative
blue-collar,3,jun,161,negative
blue-collar,3,jun,25,negative
admin.,3,jun,959,negative
management,3,jun,30,negative
services,3,jun,189,negative
blue-collar,3,jun,277,negative
blue-collar,3,jun,215,negative
admin.,3,jun,133,negative
technician,3,jun,183,negative
management,3,jun,134,negative
blue-collar,3,jun,211,negative
blue-collar,3,jun,80,negative
management,3,jun,220,negative
admin.,3,jun,495,negative
admin.,3,jun,148,negative
blue-collar,3,jun,157,negative
management,3,jun,348,negative
blue-collar,3,jun,81,negative
technician,3,jun,559,negative
blue-collar,3,jun,441,negative
management,3,jun,14,negative
management,3,jun,662,negative
blue-collar,3,jun,230,negative
admin.,3,jun,87,negative
retired,3,jun,323,negative
blue-collar,3,jun,176,negative
admin.,3,jun,117,negative
blue-collar,3,jun,380,negative
admin.,3,jun,214,negative
blue-collar,3,jun,350,negative
services,3,jun,136,negative
technician,3,jun,56,negative
management,3,jun,71,negative
admin.,3,jun,137,negative
technician,3,jun,497,negative
blue-collar,3,jun,81,negative
technician,3,jun,276,negative
admin.,3,jun,68,negative
services,3,jun,248,negative
blue-collar,3,jun,11,negative
services,3,jun,313,negative
retired,3,jun,397,negative
unemployed,3,jun,58,negative
management,3,jun,164,negative
admin.,3,jun,296,negative
admin.,3,jun,816,negative
blue-collar,3,jun,1030,negative
blue-collar,3,jun,266,negative
technician,3,jun,180,negative
management,3,jun,56,negative
services,3,jun,143,negative
blue-collar,3,jun,229,negative
technician,3,jun,342,negative
blue-collar,3,jun,340,negative
admin.,3,jun,59,negative
retired,3,jun,72,negative
management,3,jun,599,negative
admin.,3,jun,354,negative
blue-collar,3,jun,77,negative
blue-collar,3,jun,157,negative
management,3,jun,109,negative
admin.,3,jun,187,negative
technician,3,jun,239,negative
blue-collar,3,jun,246,negative
blue-collar,3,jun,118,negative
technician,3,jun,254,negative
management,3,jun,281,negative
admin.,3,jun,94,negative
entrepreneur,3,jun,203,negative
management,3,jun,140,negative
unknown,3,jun,148,negative
blue-collar,3,jun,583,negative
blue-collar,3,jun,328,negative
services,3,jun,172,negative
blue-collar,3,jun,87,negative
services,3,jun,666,negative
self-employed,3,jun,73,negative
services,3,jun,70,negative
technician,3,jun,68,negative
management,3,jun,267,negative
management,3,jun,193,negative
admin.,3,jun,88,negative
blue-collar,3,jun,19,negative
services,3,jun,604,negative
management,3,jun,290,negative
blue-collar,3,jun,67,negative
blue-collar,3,jun,88,negative
admin.,3,jun,113,negative
blue-collar,3,jun,550,negative
student,3,jun,52,negative
technician,3,jun,197,negative
blue-collar,3,jun,235,negative
management,3,jun,120,negative
technician,3,jun,1516,negative
blue-collar,3,jun,28,negative
blue-collar,3,jun,87,negative
technician,3,jun,25,negative
technician,3,jun,151,negative
admin.,3,jun,226,negative
unemployed,3,jun,113,negative
blue-collar,3,jun,196,negative
admin.,3,jun,272,negative
blue-collar,3,jun,281,negative
admin.,4,jun,173,negative
management,4,jun,735,negative
management,4,jun,457,negative
technician,4,jun,25,negative
admin.,4,jun,145,negative
services,4,jun,622,negative
technician,4,jun,89,negative
admin.,4,jun,99,negative
technician,4,jun,71,negative
blue-collar,4,jun,407,negative
services,4,jun,250,negative
management,4,jun,462,negative
blue-collar,4,jun,28,negative
admin.,4,jun,1138,negative
management,4,jun,107,negative
technician,4,jun,242,negative
technician,4,jun,135,negative
services,4,jun,96,negative
services,4,jun,66,negative
services,4,jun,131,negative
admin.,4,jun,46,negative
technician,4,jun,267,negative
blue-collar,4,jun,213,negative
blue-collar,4,jun,109,negative
technician,4,jun,75,negative
management,4,jun,129,negative
blue-collar,4,jun,89,negative
admin.,4,jun,103,negative
blue-collar,4,jun,71,negative
technician,4,jun,406,negative
management,4,jun,66,negative
blue-collar,4,jun,38,negative
admin.,4,jun,166,negative
technician,4,jun,67,negative
services,4,jun,121,negative
blue-collar,4,jun,1141,positive
services,4,jun,125,negative
blue-collar,4,jun,313,negative
services,4,jun,18,negative
admin.,4,jun,355,negative
blue-collar,4,jun,237,negative
retired,4,jun,265,negative
technician,4,jun,84,negative
student,4,jun,299,negative
services,4,jun,109,negative
services,4,jun,578,positive
retired,4,jun,142,negative
services,4,jun,749,negative
admin.,4,jun,102,negative
management,4,jun,233,negative
services,4,jun,16,negative
admin.,4,jun,215,negative
management,4,jun,193,negative
admin.,4,jun,148,negative
management,4,jun,386,negative
admin.,4,jun,194,negative
management,4,jun,91,negative
admin.,4,jun,98,negative
blue-collar,4,jun,193,negative
admin.,4,jun,132,negative
services,4,jun,279,negative
management,4,jun,347,negative
technician,4,jun,1045,negative
blue-collar,4,jun,1519,negative
services,4,jun,361,negative
blue-collar,4,jun,204,negative
blue-collar,4,jun,83,negative
technician,4,jun,105,negative
blue-collar,4,jun,77,negative
services,4,jun,29,negative
blue-collar,4,jun,355,negative
blue-collar,4,jun,153,negative
blue-collar,4,jun,87,negative
entrepreneur,4,jun,178,negative
management,4,jun,174,negative
blue-collar,4,jun,605,negative
student,4,jun,89,negative
blue-collar,4,jun,121,negative
blue-collar,4,jun,216,negative
services,4,jun,83,negative
admin.,4,jun,69,negative
blue-collar,4,jun,184,negative
blue-collar,4,jun,161,negative
management,4,jun,301,negative
admin.,4,jun,236,negative
admin.,4,jun,276,negative
blue-collar,4,jun,182,negative
blue-collar,4,jun,87,negative
blue-collar,4,jun,139,negative
blue-collar,4,jun,48,negative
technician,4,jun,377,negative
technician,4,jun,357,negative
services,4,jun,119,negative
blue-collar,4,jun,264,negative
blue-collar,4,jun,121,negative
blue-collar,4,jun,235,negative
self-employed,4,jun,90,negative
admin.,4,jun,444,negative
student,4,jun,283,negative
technician,4,jun,123,negative
unemployed,4,jun,236,negative
services,4,jun,85,negative
management,4,jun,104,negative
blue-collar,4,jun,324,negative
admin.,4,jun,525,negative
management,4,jun,238,negative
technician,4,jun,217,negative
blue-collar,4,jun,433,negative
blue-collar,4,jun,52,negative
housemaid,4,jun,235,negative
services,4,jun,149,negative
admin.,4,jun,402,negative
admin.,4,jun,357,negative
unknown,4,jun,140,negative
entrepreneur,4,jun,98,negative
services,4,jun,171,negative
technician,4,jun,219,negative
technician,4,jun,257,negative
blue-collar,4,jun,79,negative
entrepreneur,4,jun,103,negative
blue-collar,4,jun,833,negative
services,4,jun,97,negative
unknown,4,jun,45,negative
technician,4,jun,205,negative
admin.,4,jun,344,negative
management,4,jun,272,negative
technician,4,jun,204,negative
blue-collar,4,jun,156,negative
services,4,jun,213,negative
technician,4,jun,159,negative
services,4,jun,153,negative
management,4,jun,29,negative
blue-collar,4,jun,15,negative
blue-collar,4,jun,38,negative
services,4,jun,654,negative
self-employed,4,jun,139,negative
blue-collar,4,jun,81,negative
management,4,jun,597,negative
unemployed,4,jun,174,negative
technician,4,jun,142,negative
management,4,jun,393,negative
housemaid,4,jun,763,negative
admin.,4,jun,61,negative
management,4,jun,99,negative
blue-collar,4,jun,85,negative
blue-collar,4,jun,187,negative
blue-collar,4,jun,188,negative
blue-collar,4,jun,298,negative
services,4,jun,113,negative
blue-collar,4,jun,201,negative
services,4,jun,264,negative
blue-collar,4,jun,23,negative
technician,4,jun,180,negative
student,4,jun,95,negative
blue-collar,4,jun,69,negative
management,4,jun,84,negative
blue-collar,4,jun,324,negative
blue-collar,4,jun,222,negative
blue-collar,4,jun,608,negative
services,4,jun,144,negative
management,4,jun,298,negative
services,4,jun,1224,negative
blue-collar,4,jun,173,negative
admin.,4,jun,134,negative
blue-collar,4,jun,245,negative
admin.,4,jun,121,negative
blue-collar,4,jun,49,negative
unemployed,4,jun,606,negative
entrepreneur,4,jun,184,negative
services,4,jun,106,negative
admin.,4,jun,249,negative
blue-collar,4,jun,92,negative
blue-collar,4,jun,404,negative
unemployed,4,jun,207,negative
blue-collar,4,jun,135,negative
blue-collar,4,jun,37,negative
management,4,jun,141,negative
unemployed,4,jun,117,negative
blue-collar,4,jun,14,negative
blue-collar,4,jun,174,negative
blue-collar,4,jun,60,negative
blue-collar,4,jun,235,negative
management,4,jun,285,negative
blue-collar,4,jun,112,negative
technician,4,jun,99,negative
management,4,jun,208,negative
services,4,jun,132,negative
blue-collar,4,jun,151,negative
blue-collar,4,jun,163,negative
blue-collar,4,jun,135,negative
admin.,4,jun,179,negative
blue-collar,4,jun,329,negative
services,4,jun,126,negative
services,4,jun,126,negative
admin.,4,jun,119,negative
technician,4,jun,209,negative
admin.,4,jun,192,negative
admin.,4,jun,341,negative
blue-collar,4,jun,17,negative
blue-collar,4,jun,167,negative
services,4,jun,152,negative
blue-collar,4,jun,84,negative
admin.,4,jun,341,negative
blue-collar,4,jun,244,negative
blue-collar,4,jun,423,negative
services,4,jun,111,negative
blue-collar,4,jun,170,negative
student,4,jun,87,negative
services,4,jun,227,negative
management,4,jun,34,negative
blue-collar,4,jun,130,negative
blue-collar,4,jun,169,negative
blue-collar,4,jun,392,negative
blue-collar,4,jun,46,negative
blue-collar,4,jun,39,negative
admin.,4,jun,282,negative
blue-collar,4,jun,112,negative
blue-collar,4,jun,36,negative
management,4,jun,69,negative
blue-collar,4,jun,299,negative
admin.,4,jun,80,negative
blue-collar,4,jun,729,negative
services,4,jun,389,negative
blue-collar,4,jun,229,negative
blue-collar,4,jun,624,negative
blue-collar,4,jun,165,negative
services,4,jun,216,negative
management,4,jun,122,negative
services,4,jun,172,negative
entrepreneur,4,jun,79,negative
unemployed,4,jun,702,negative
blue-collar,4,jun,65,negative
blue-collar,4,jun,361,negative
technician,4,jun,140,negative
blue-collar,4,jun,382,negative
management,4,jun,128,negative
blue-collar,4,jun,175,negative
services,4,jun,147,negative
management,4,jun,292,negative
admin.,4,jun,235,negative
blue-collar,4,jun,156,negative
management,4,jun,570,negative
self-employed,5,jun,399,negative
admin.,5,jun,222,negative
management,5,jun,243,negative
technician,5,jun,243,negative
unknown,5,jun,38,negative
self-employed,5,jun,379,negative
housemaid,5,jun,307,negative
management,5,jun,178,negative
admin.,5,jun,308,negative
retired,5,jun,27,negative
management,5,jun,80,negative
technician,5,jun,75,negative
admin.,5,jun,168,negative
retired,5,jun,160,negative
blue-collar,5,jun,179,negative
blue-collar,5,jun,25,negative
services,5,jun,49,negative
technician,5,jun,147,negative
blue-collar,5,jun,83,negative
blue-collar,5,jun,773,negative
admin.,5,jun,135,negative
unemployed,5,jun,169,negative
entrepreneur,5,jun,104,negative
blue-collar,5,jun,400,negative
housemaid,5,jun,827,negative
management,5,jun,112,negative
entrepreneur,5,jun,124,negative
admin.,5,jun,56,negative
blue-collar,5,jun,124,negative
management,5,jun,224,negative
blue-collar,5,jun,172,negative
management,5,jun,636,negative
self-employed,5,jun,40,negative
admin.,5,jun,63,negative
retired,5,jun,396,negative
technician,5,jun,487,negative
management,5,jun,221,negative
technician,5,jun,222,negative
admin.,5,jun,78,negative
technician,5,jun,92,negative
unknown,5,jun,48,negative
entrepreneur,5,jun,69,negative
blue-collar,5,jun,333,negative
management,5,jun,78,negative
management,5,jun,131,negative
technician,5,jun,170,negative
unknown,5,jun,397,negative
blue-collar,5,jun,41,negative
unknown,5,jun,93,negative
blue-collar,5,jun,133,negative
services,5,jun,133,negative
admin.,5,jun,57,negative
management,5,jun,21,negative
technician,5,jun,47,negative
management,5,jun,89,negative
admin.,5,jun,163,negative
housemaid,5,jun,86,negative
entrepreneur,5,jun,142,negative
blue-collar,5,jun,492,negative
blue-collar,5,jun,327,negative
blue-collar,5,jun,323,negative
management,5,jun,189,negative
retired,5,jun,99,negative
blue-collar,5,jun,135,negative
services,5,jun,428,negative
technician,5,jun,169,negative
blue-collar,5,jun,202,negative
blue-collar,5,jun,271,negative
services,5,jun,232,negative
self-employed,5,jun,56,negative
housemaid,5,jun,175,negative
technician,5,jun,67,negative
services,5,jun,81,negative
services,5,jun,1167,negative
blue-collar,5,jun,647,negative
technician,5,jun,74,negative
management,5,jun,65,negative
admin.,5,jun,21,negative
retired,5,jun,292,negative
retired,5,jun,85,negative
unemployed,5,jun,60,negative
housemaid,5,jun,132,negative
housemaid,5,jun,60,negative
management,5,jun,179,negative
blue-collar,5,jun,67,negative
services,5,jun,166,negative
retired,5,jun,133,negative
services,5,jun,124,negative
management,5,jun,331,negative
blue-collar,5,jun,174,negative
admin.,5,jun,190,negative
unknown,5,jun,409,negative
retired,5,jun,145,negative
services,5,jun,139,negative
blue-collar,5,jun,420,negative
self-employed,5,jun,247,negative
blue-collar,5,jun,90,negative
blue-collar,5,jun,52,negative
technician,5,jun,170,negative
services,5,jun,70,negative
blue-collar,5,jun,89,negative
management,5,jun,91,negative
blue-collar,5,jun,39,negative
entrepreneur,5,jun,225,negative
management,5,jun,36,negative
technician,5,jun,287,negative
blue-collar,5,jun,118,negative
blue-collar,5,jun,627,negative
retired,5,jun,428,negative
services,5,jun,104,negative
unemployed,5,jun,166,negative
management,5,jun,264,negative
admin.,5,jun,42,negative
housemaid,5,jun,452,negative
entrepreneur,5,jun,22,negative
retired,5,jun,272,negative
management,5,jun,152,negative
blue-collar,5,jun,85,negative
housemaid,5,jun,247,negative
blue-collar,5,jun,315,negative
admin.,5,jun,109,negative
blue-collar,5,jun,414,negative
services,5,jun,202,negative
retired,5,jun,107,negative
unknown,5,jun,285,negative
technician,5,jun,290,negative
unemployed,5,jun,257,negative
technician,5,jun,90,negative
housemaid,5,jun,150,negative
management,5,jun,86,negative
housemaid,5,jun,21,negative
retired,5,jun,108,negative
blue-collar,5,jun,560,negative
blue-collar,5,jun,153,negative
blue-collar,5,jun,202,negative
unemployed,5,jun,127,negative
management,5,jun,265,negative
blue-collar,5,jun,126,negative
unknown,5,jun,74,negative
housemaid,5,jun,48,negative
entrepreneur,5,jun,53,negative
services,5,jun,370,negative
retired,5,jun,419,negative
management,5,jun,355,negative
unemployed,5,jun,280,negative
technician,5,jun,80,negative
entrepreneur,5,jun,222,negative
services,5,jun,251,negative
services,5,jun,117,negative
admin.,5,jun,237,negative
management,5,jun,1009,negative
blue-collar,5,jun,148,negative
blue-collar,5,jun,81,negative
blue-collar,5,jun,83,negative
blue-collar,5,jun,164,negative
management,5,jun,103,negative
blue-collar,5,jun,280,negative
admin.,5,jun,22,negative
housemaid,5,jun,118,negative
blue-collar,5,jun,127,negative
blue-collar,5,jun,426,negative
services,5,jun,152,negative
housemaid,5,jun,701,positive
unemployed,5,jun,57,negative
management,5,jun,227,negative
housemaid,5,jun,115,negative
admin.,5,jun,307,negative
blue-collar,5,jun,267,negative
management,5,jun,155,negative
admin.,5,jun,245,negative
admin.,5,jun,489,negative
housemaid,5,jun,1053,positive
blue-collar,5,jun,66,negative
blue-collar,5,jun,471,negative
management,5,jun,107,negative
entrepreneur,5,jun,113,negative
technician,5,jun,447,negative
admin.,5,jun,215,negative
blue-collar,5,jun,185,negative
entrepreneur,5,jun,169,negative
services,5,jun,620,negative
management,5,jun,139,negative
blue-collar,5,jun,18,negative
unemployed,5,jun,23,negative
housemaid,5,jun,27,negative
blue-collar,5,jun,348,negative
technician,5,jun,64,negative
self-employed,5,jun,57,negative
blue-collar,5,jun,71,negative
blue-collar,5,jun,96,negative
services,5,jun,168,negative
unknown,5,jun,346,negative
technician,5,jun,99,negative
services,5,jun,237,negative
services,5,jun,52,negative
blue-collar,5,jun,309,negative
blue-collar,5,jun,267,negative
services,5,jun,27,negative
blue-collar,5,jun,511,negative
blue-collar,5,jun,201,negative
technician,5,jun,170,negative
services,5,jun,61,negative
admin.,5,jun,256,negative
admin.,5,jun,87,negative
management,5,jun,245,negative
services,5,jun,1005,negative
unknown,5,jun,20,negative
admin.,5,jun,340,negative
admin.,5,jun,387,negative
technician,5,jun,690,negative
admin.,5,jun,1084,negative
retired,5,jun,140,negative
services,5,jun,190,negative
technician,5,jun,400,negative
blue-collar,5,jun,82,negative
entrepreneur,5,jun,34,negative
housemaid,5,jun,94,negative
entrepreneur,5,jun,221,negative
self-employed,5,jun,563,negative
services,5,jun,741,negative
admin.,5,jun,40,negative
management,5,jun,85,negative
management,5,jun,128,negative
housemaid,5,jun,163,negative
management,5,jun,21,negative
management,5,jun,17,negative
unemployed,5,jun,59,negative
retired,5,jun,49,negative
retired,5,jun,138,negative
self-employed,5,jun,197,negative
admin.,5,jun,622,negative
management,5,jun,91,negative
services,5,jun,175,negative
technician,5,jun,179,negative
blue-collar,5,jun,181,negative
retired,5,jun,181,negative
blue-collar,5,jun,77,negative
management,5,jun,318,negative
unknown,5,jun,228,negative
management,5,jun,158,negative
admin.,5,jun,247,negative
blue-collar,5,jun,1302,negative
technician,5,jun,189,negative
services,5,jun,127,negative
management,5,jun,63,negative
management,5,jun,517,negative
blue-collar,5,jun,86,negative
retired,5,jun,420,negative
self-employed,5,jun,333,negative
technician,5,jun,26,negative
admin.,5,jun,57,negative
self-employed,5,jun,127,negative
services,5,jun,272,negative
unemployed,5,jun,105,negative
management,5,jun,101,negative
blue-collar,5,jun,152,negative
blue-collar,5,jun,97,negative
unemployed,5,jun,61,negative
unknown,5,jun,92,negative
blue-collar,5,jun,22,negative
blue-collar,5,jun,138,negative
blue-collar,5,jun,337,negative
technician,5,jun,412,negative
technician,5,jun,955,negative
blue-collar,5,jun,90,negative
blue-collar,5,jun,729,negative
admin.,5,jun,159,negative
services,5,jun,94,negative
entrepreneur,5,jun,314,negative
management,5,jun,74,negative
management,5,jun,153,negative
unemployed,5,jun,193,negative
admin.,5,jun,53,negative
technician,5,jun,231,negative
management,5,jun,353,negative
blue-collar,5,jun,805,negative
admin.,5,jun,19,negative
technician,5,jun,131,negative
admin.,5,jun,102,negative
technician,5,jun,150,negative
management,5,jun,65,negative
admin.,5,jun,91,negative
self-employed,5,jun,869,negative
entrepreneur,5,jun,144,negative
services,5,jun,115,negative
management,5,jun,93,negative
blue-collar,5,jun,209,negative
blue-collar,5,jun,85,negative
housemaid,5,jun,295,negative
blue-collar,5,jun,319,negative
technician,5,jun,323,negative
unemployed,5,jun,648,negative
self-employed,5,jun,21,negative
services,5,jun,312,negative
retired,5,jun,162,negative
management,5,jun,67,negative
technician,5,jun,18,negative
blue-collar,5,jun,541,negative
management,5,jun,221,negative
blue-collar,5,jun,138,negative
management,5,jun,231,negative
admin.,5,jun,82,negative
student,5,jun,17,negative
admin.,5,jun,214,negative
technician,5,jun,650,negative
services,5,jun,75,negative
management,5,jun,338,negative
technician,5,jun,58,negative
admin.,5,jun,718,negative
blue-collar,5,jun,394,negative
entrepreneur,5,jun,160,negative
blue-collar,5,jun,240,negative
blue-collar,5,jun,54,negative
admin.,5,jun,288,negative
student,5,jun,25,negative
