At9,At10,Class
42.763,84.5825,negative
2.2272,266.53,negative
22.426,136.305,negative
3.44,161.366,negative
84.3933,123.943,negative
0.012,291.331,negative
3.4161,237.626,negative
60.588,165.157,negative
56.9209,144.825,negative
12.249,95.0414,negative
13.331,166.405,negative
5.378,283.58,negative
5.4781,234.926,negative
13.671,300.303,negative
7.057,246.976,negative
10.1604,119.999,negative
3.357,172.228,negative
10.678,199.532,negative
24.2231,226.955,negative
2.248,118.019,negative
47.407,95.4522,negative
13.461,218.723,negative
0.4079,156.863,negative
0.4882,103.821,negative
13.2839,193.939,negative
27.662,234.09,negative
17.995,143.476,negative
3.681,376.223,negative
36.155,216.059,negative
51.161,82.8544,negative
9.549,190.467,negative
53.8928,112.369,negative
4.5107,267.256,negative
8.6814,392.792,negative
9.541,172.529,negative
7.9897,205.117,negative
44.3225,136.275,negative
4.043,243.316,negative
36.8783,167.752,negative
5.726,282.142,negative
9.087,127.266,negative
7.432,269.895,negative
6.0195,260.204,negative
0.837,268.427,negative
3.4717,369.271,negative
8.5098,321.462,negative
10.598,291.766,negative
2.384,288.832,negative
32.9639,140.335,negative
1.189,257.714,negative
1.6094,207.901,negative
1.1326,236.277,negative
17.364,137.303,negative
9.809,156.321,negative
0.3386,317.552,negative
19.9398,185.554,negative
8.9721,380.447,negative
87.3749,41.6044,negative
13.5875,171.207,negative
7.8144,226.805,negative
2.297,308.084,negative
11.983,192.065,negative
29.895,112.626,negative
33.805,194.337,negative
74.355,97.4673,negative
58.329,52.0772,negative
6.0914,295.249,negative
21.592,139.076,negative
0.893,127.049,negative
39.441,129.982,negative
24.157,314.336,negative
13.928,118.23,negative
6.1882,183.255,negative
69.122,111.184,negative
12.735,200.457,negative
2.276,124.753,negative
8.0235,145.532,negative
23.077,135.667,negative
3.776,175.844,negative
24.192,129.904,negative
11.885,292.677,negative
13.747,154.013,negative
46.6248,133.152,negative
12.9944,159.832,negative
32.8027,38.5209,negative
2.4,178.191,negative
25.715,212.126,negative
0.5273,194.829,negative
77.957,129.267,negative
1.103,198.089,negative
5.6815,167.81,negative
6.6996,140.956,negative
0.839,192.135,negative
21.5337,219.265,negative
37.5625,170.952,negative
0.277,173.939,negative
28.623,150.189,negative
12.413,211.496,negative
2.9862,262.324,negative
0.883,256.077,negative
28.132,85.2515,negative
34.9363,156.28,negative
24.9395,126.042,negative
31.5548,261.486,negative
55.8503,92.8949,negative
27.0291,76.6136,negative
68.6733,58.837,negative
12.3059,226.814,negative
15.5754,144.56,negative
11.7643,210.618,negative
21.6114,167.598,negative
27.0844,139.546,negative
3.06,175.676,negative
6.8644,196.761,negative
14.9219,199.632,negative
17.172,140.18,negative
27.768,83.869,negative
2.8951,188.33,negative
11.4622,150.238,negative
5.8253,217.201,negative
24.3712,64.8944,negative
79.698,236.344,negative
4.129,274.555,negative
86.4459,205.549,negative
26.499,145.125,negative
7.3364,187.46,negative
81.779,199.401,negative
32.497,175.653,negative
5.452,181.334,negative
4.3488,271.352,negative
2.9063,282.081,negative
2.979,228.939,negative
4.7412,112.347,negative
15.3064,166.687,negative
1.575,198.599,negative
15.842,200.285,negative
40.323,39.7423,negative
61.988,146.866,negative
36.4581,209.306,negative
13.394,209.766,negative
15.321,161.388,negative
84.7514,131.182,negative
2.85,188.651,negative
31.469,208.955,negative
1.818,180.959,negative
7.6682,251.852,negative
0.204,188.957,negative
14.441,190.721,negative
14.6067,425.267,negative
4.9933,272.645,negative
15.2554,116.632,negative
5.9537,200.251,negative
10.558,158.989,negative
9.1982,248.587,negative
9.668,188.041,negative
19.9605,242.764,negative
5.1478,378.331,negative
23.896,145.02,negative
8.667,124.895,negative
0.329,292.708,negative
60.7795,263.98,negative
0.0235,277.323,negative
3.533,203.315,negative
77.047,141.352,negative
10.545,108.33,negative
0.4904,159.66,negative
2.298,124.449,negative
7.9012,309.048,negative
2.4232,229.733,negative
1.5087,86.7844,negative
82.7585,137.232,negative
38.6953,121.457,negative
22.307,84.5171,negative
5.0177,173.518,negative
7.4474,233.582,negative
84.4501,60.4438,negative
14.0395,54.0099,negative
1.048,203.028,negative
3.947,303.364,negative
80.2551,103.138,negative
3.0708,198.484,negative
0.831,161.232,negative
6.0163,139.723,negative
78.8874,146.763,negative
55.967,43.9642,negative
3.713,202.864,negative
13.7391,186.985,negative
17.278,338.274,negative
2.76,237.452,negative
19.8801,169.281,negative
43.9162,55.2383,negative
52.36,118.838,negative
5.359,144.826,negative
10.7423,165.406,negative
3.503,302.304,negative
14.6972,180.238,negative
8.698,167.1,negative
0.386,207.992,negative
13.7582,91.8873,negative
13.6362,99.4482,negative
1.22,210.778,negative
9.0374,181.501,negative
6.11,200.42,negative
1.5824,359.328,negative
1.0036,178.341,negative
10.241,227.379,negative
45.454,101.997,negative
6.978,130.919,negative
1.1324,323.819,negative
10.6894,224.172,negative
31.914,147.726,negative
9.5163,177.32,negative
0.461,194.605,negative
1.5703,255.374,negative
0.7801,250.242,negative
11.2044,208.744,negative
1.825,358.199,negative
2.477,223.414,negative
6.7752,218.012,negative
51.112,202.572,negative
8.201,283.62,negative
0.8956,302.925,negative
0.2799,262.251,negative
4.591,295.128,negative
51.144,157.318,negative
6.34,218.901,negative
16.315,174.214,negative
68.1324,234.56,negative
0.2989,223.827,negative
7.9478,145.846,negative
4.6584,396.921,negative
4.53,184.47,negative
3.9671,207.605,negative
36.551,105.4,negative
15.5689,190.72,negative
6.759,270.21,negative
2.124,150.524,negative
1.576,289.206,negative
0.3113,341.943,negative
4.081,184.962,negative
2.6313,177.111,negative
2.681,96.9348,negative
44.853,151.049,negative
0.1321,177.613,negative
2.6896,157.832,negative
25.658,140.294,negative
25.4801,89.3021,negative
3.764,158.301,negative
15.8492,64.6895,negative
31.413,194.368,negative
2.3661,207.886,negative
2.5667,144.364,negative
2.558,238.888,negative
6.0236,154.749,negative
40.449,80.5489,negative
6.3073,295.655,negative
11.4165,186.816,negative
16.0043,232.436,negative
2.217,216.879,negative
29.712,162.037,negative
9.397,150.068,negative
5.448,167.441,negative
79.697,154.535,negative
14.894,129.857,negative
9.772,135.875,negative
46.6417,199.281,negative
4.914,151.572,negative
10.02,226.162,negative
37.8541,136.774,negative
35.542,130.182,negative
0.936,313.477,negative
2.4615,237.506,negative
2.2136,189.058,negative
8.1299,186.715,negative
0.252,303.584,negative
1.209,208.951,negative
23.452,192.441,negative
9.023,270.844,negative
79.591,84.5551,negative
5.2595,174.842,negative
16.29,147.314,negative
11.365,249.228,negative
11.45,295.343,negative
21.804,252.729,negative
3.1991,88.1379,negative
2.103,228.688,negative
23.036,172.23,negative
3.29,266.947,negative
10.878,225.025,negative
27.041,195.417,negative
1.253,250.862,negative
65.558,197.513,negative
20.3344,86.0919,negative
8.907,150.846,negative
4.555,143.005,negative
3.7613,160.278,negative
6.9421,154.084,negative
6.5,241.092,negative
0.738,195.837,negative
2.8444,229.148,negative
84.6315,111.695,negative
17.7959,215.424,negative
5.633,154.979,negative
10.167,97.8958,negative
4.885,294.535,negative
0.8053,189.467,negative
2.6457,232.763,negative
36.675,137.007,negative
3.081,252.784,negative
5.5697,170.239,negative
25.98,165.046,negative
72.274,201.773,negative
16.104,187.594,negative
26.188,235.482,negative
22.9883,146.813,negative
7.418,141.289,negative
11.8733,114.856,negative
3.1075,193.811,negative
70.2428,228.945,negative
8.4594,205.518,negative
3.5078,165.9,negative
1.7477,200.989,negative
30.337,109.979,negative
16.463,180.038,negative
19.258,141.67,negative
1.916,271.032,negative
4.526,260.518,negative
7.2741,116.695,negative
0.075,209.655,negative
1.133,365.289,negative
21.0501,276.77,negative
7.4539,173.836,negative
47.048,34.5555,negative
28.2782,223.592,negative
3.865,245.561,negative
24.0767,181.767,negative
32.534,121.942,negative
1.5342,164.41,negative
0.8402,350.413,negative
3.234,192.009,negative
48.4993,37.7511,negative
11.448,212.561,negative
8.007,117.052,negative
1.922,319.086,negative
5.284,229.022,negative
3.906,232.353,negative
0.949,339.391,negative
4.267,73.8729,negative
66.6354,122.289,negative
21.6049,237.156,negative
31.0402,102.389,negative
14.608,201.924,negative
7.388,271.107,negative
1.5862,248.83,negative
13.4176,130.073,negative
9.643,329.541,negative
2.1067,278.049,negative
49.689,41.6894,negative
3.3499,256.847,negative
63.2473,188.014,negative
2.4729,189.106,negative
53.718,172.753,negative
3.443,196.863,negative
11.566,92.967,negative
3.266,250.797,negative
4.664,247.552,negative
50.944,61.9598,negative
2.6299,248.256,negative
31.5053,190.221,negative
39.579,252.475,negative
78.236,166.472,negative
8.6684,173.19,negative
67.814,122.773,negative
7.3695,344.488,negative
3.973,263.894,negative
4.6106,213.971,negative
1.963,199.619,negative
38.5604,68.1625,negative
1.8909,215.623,negative
14.662,228.967,negative
4.2187,187.793,negative
20.1401,167.218,negative
25.139,171.163,negative
47.4731,195.113,negative
83.6202,60.9289,negative
46.9182,47.0187,negative
9.14,233.918,negative
16.5236,190.811,negative
26.688,100.975,negative
3.0461,262.858,negative
0.916,291.276,negative
2.973,221.133,negative
73.17,43.7272,negative
5.3152,129.722,negative
2.705,194.672,negative
1.784,259.624,negative
4.379,215.582,negative
2.1148,268.769,negative
1.96,287.767,negative
2.8735,188.798,negative
11.0535,135.396,negative
57.9071,171.83,negative
31.06,230.924,negative
39.776,182.201,negative
0.485,204.625,negative
22.118,46.7654,negative
25.4166,90.719,negative
23.99,186.33,negative
57.4577,25.4976,negative
0.7867,261.046,negative
9.256,113.409,negative
28.4823,121.781,negative
11.418,200.435,negative
0.3676,177.142,negative
6.8413,346.746,negative
34.9593,242.353,negative
8.163,268.679,negative
4.7156,155.869,negative
2.1841,195.196,negative
1.2007,358.277,negative
17.627,163.859,negative
11.1946,189.489,negative
6.304,210.963,negative
33.326,39.5942,negative
24.1032,214.355,negative
26.547,150.167,negative
15.343,159.758,negative
10.262,243.656,negative
19.0444,191.434,negative
1.2422,283.646,negative
12.3857,200.256,negative
2.8878,145.375,negative
1.38,248.061,negative
17.9992,249.174,negative
13.1938,196.47,negative
60.204,98.9831,negative
57.6366,17.8339,negative
0.026,362.528,negative
27.4515,145.155,negative
23.2813,110.329,negative
85.3717,121.695,negative
5.421,317.828,negative
43.9124,183.667,negative
37.8225,189.645,negative
14.76,164.816,negative
11.053,214.467,negative
0.443,346.398,negative
72.539,123.258,negative
7.295,176.706,negative
4.377,311.433,negative
26.0698,194.077,negative
23.211,108.462,negative
37.454,128.165,negative
13.097,151.687,negative
5.1931,276.676,negative
2.3402,245.899,negative
21.9634,129.021,negative
9.668,171.046,negative
58.5536,75.0135,negative
3.1547,188.017,negative
1.8256,211.71,negative
8.7191,122.255,negative
54.9825,168.84,negative
7.3061,221.951,negative
5.0251,275.476,negative
28.8991,122.023,negative
19.335,153.969,negative
8.9499,200.299,negative
4.2278,175.441,negative
9.9658,167.654,negative
0.951,309.663,negative
7.052,241.245,negative
20.293,138.349,negative
8.741,236.09,negative
2.969,181.585,negative
34.3833,232.907,negative
22.3975,159.558,negative
38.508,128.806,negative
19.732,76.9504,negative
13.131,142.52,negative
78.178,154.367,negative
4.914,279.627,negative
1.6503,260.79,negative
0.0881,374.934,negative
20.5231,217.088,negative
35.913,58.932,negative
19.4135,143.283,negative
34.2026,232.04,negative
24.7311,142.054,negative
3.9303,171.382,negative
5.5012,158.267,negative
9.2923,144.682,negative
5.7357,269.479,negative
8.363,186.179,negative
0.256,263.831,negative
42.589,191.957,negative
27.106,197.264,negative
5.044,105.338,negative
19.5495,158.094,negative
0.1593,186.851,negative
24.1621,195.012,negative
56.2,99.1448,negative
63.7649,116.62,negative
0.192,398.806,negative
0.055,184.6,negative
29.6658,42.5905,negative
14.203,269.319,negative
23.351,183.392,negative
10.7152,174.583,negative
19.429,176.246,negative
22.3488,199.27,negative
3.1548,191.114,negative
1.975,260.012,negative
18.229,130.371,negative
13.894,194.725,negative
29.71,179.219,negative
15.0673,106.2,negative
0.4206,160.912,negative
41.669,110.649,negative
11.9419,179.686,negative
30.388,79.3781,negative
18.962,192.04,negative
15.3551,88.8168,negative
4.8624,230.557,negative
54.262,37.9877,negative
73.681,118.054,negative
0.8496,171.977,negative
1.909,302.01,negative
12.2838,88.133,negative
30.1103,161.725,negative
1.76,150.329,negative
12.4655,153.212,negative
27.221,174.004,negative
13.5225,137.777,negative
10.347,240.523,negative
9.152,226.916,negative
19.703,110.646,negative
5.1684,206.875,negative
3.953,225.511,negative
66.1517,160.953,negative
14.5582,231.659,negative
4.8351,241.207,negative
7.371,235.9,negative
6.1287,143.96,negative
1.513,224.814,negative
5.9071,156.575,negative
30.919,226.986,negative
11.496,208.413,negative
19.2145,138.77,negative
30.8085,74.2206,negative
55.9291,188.155,negative
20.583,221.496,negative
1.5496,292.209,negative
78.2299,175.389,negative
18.0501,213.502,negative
0.933,248.854,negative
2.912,244.237,negative
12.18,286.97,negative
4.2358,237.302,negative
2.3494,230.46,negative
24.204,116.231,negative
37.3872,128.363,negative
23.4357,151.181,negative
6.208,137.344,negative
8.8813,271.059,negative
2.975,168.353,negative
0.217,287.088,negative
14.4,203.949,negative
28.351,95.1335,negative
67.1488,234.242,negative
4.884,218.029,negative
58.335,101.027,negative
53.0609,186.501,negative
0.6543,320.444,negative
23.2454,201.817,negative
24.1921,140.303,negative
14.461,275.572,negative
1.5888,203.58,negative
80.8843,157.05,negative
14.307,86.9099,negative
59.7755,25.7615,negative
74.3421,93.678,negative
16.071,168.539,negative
7.478,274.582,negative
52.698,57.8385,negative
2.423,341.018,negative
7.6056,224.009,negative
48.0374,48.0278,negative
4.437,162.587,negative
20.873,218.274,negative
35.1784,185.019,negative
40.6717,110.12,negative
8.662,144.334,negative
2.954,257.873,negative
22.598,173.144,negative
88.5222,60.2533,negative
63.8383,168.508,negative
0.6204,167.356,negative
59.558,105.966,negative
37.3772,200.612,negative
14.3708,232.901,negative
4.5512,316.523,negative
2.001,274.226,negative
4.1112,279.854,negative
3.355,194.465,negative
16.483,215.683,negative
42.462,77.5756,negative
9.2091,76.6665,negative
9.6758,243.076,negative
1.45,272.607,negative
4.9301,218.017,negative
3.4241,145.274,negative
3.5716,189.561,negative
0.591,231.876,negative
2.4052,290.111,negative
6.9645,220.4,negative
52.0161,203.107,negative
1.9963,112.949,negative
5.219,267.886,negative
1.044,208.319,negative
21.501,136.8,negative
3.1608,220.843,negative
22.053,140.793,negative
20.879,180.146,negative
7.4038,224.584,negative
1.5122,308.963,negative
64.323,134.831,negative
33.5885,161.783,negative
37.4338,122.634,negative
6.1998,160.08,negative
65.2853,237.608,negative
4.63,96.2282,negative
9.0054,194.609,negative
17.6995,231.756,negative
25.9457,108.687,negative
81.589,48.8226,negative
3.301,283.857,negative
16.2512,278.832,negative
12.504,267.338,negative
0.4595,191.744,negative
0.2906,203.787,negative
4.0575,147.735,negative
82.0557,122.709,negative
82.6674,33.7811,negative
12.0162,151.214,negative
21.5907,177.979,negative
16.59,150.468,negative
67.771,62.8114,negative
0.702,195.749,negative
21.0153,225.666,negative
40.691,91.2273,negative
15.103,228.711,negative
25.421,117.646,negative
63.8866,164.209,negative
48.809,232.29,negative
24.732,193.132,negative
1.591,206.873,negative
1.116,316.564,negative
6.1374,228.722,negative
1.4941,281.59,negative
2.2087,327.946,negative
20.997,227.967,negative
1.687,346.585,negative
69.079,194.444,negative
0.137,62.058,negative
23.3361,203.769,negative
49.2234,198.689,negative
2.2623,211.285,negative
16.9354,51.0104,negative
6.865,46.032,negative
11.127,332.854,negative
62.424,204.586,negative
11.655,227.139,negative
9.7527,194.288,negative
5.484,214.401,negative
42.803,185.876,negative
9.621,126.983,negative
0.77,307.997,negative
22.9044,109.935,negative
74.8176,56.1165,negative
75.3736,99.5358,negative
15.7771,111.781,negative
13.0028,180.114,negative
0.759,181.51,negative
3.253,222.555,negative
12.9366,58.6703,negative
59.7983,150.306,negative
35.604,170.859,negative
36.0106,93.6069,negative
1.734,304.782,negative
2.957,184.36,negative
0.3649,292.294,negative
5.4461,238.577,negative
40.779,206.502,negative
3.79,222.939,negative
8.625,161.304,negative
11.6246,178.695,negative
1.4849,269.446,negative
56.616,51.1647,negative
5.7777,262.046,negative
75.9321,191.761,negative
25.8139,138.904,negative
0.7124,381.871,negative
49.126,38.4126,negative
1.796,296.651,negative
1.3333,330.901,negative
2.123,252.681,negative
2.313,236.112,negative
13.913,238.616,negative
61.0007,49.6426,negative
60.8343,159.605,negative
87.5679,44.9558,negative
18.362,84.186,negative
0.712,293.452,negative
15.777,258.263,negative
3.0825,173.827,negative
5.866,265.465,negative
1.4485,127.868,negative
37.201,231.596,negative
25.9856,108.06,negative
0.2884,73.0449,negative
52.3913,45.2924,negative
8.54,179.446,negative
13.171,210.189,negative
1.7409,276.499,negative
23.45,101.021,negative
40.5414,79.5809,negative
74.343,205.18,negative
62.4135,149.057,negative
6.4181,103.198,negative
4.8245,159.71,negative
9.423,277.917,negative
5.7711,147.652,negative
0.549,145.619,negative
2.19,269.131,negative
1.164,287.191,negative
9.974,194.521,negative
55.33,187.651,negative
15.591,148.635,negative
66.181,62.4956,negative
24.031,118.694,negative
4.233,281.162,negative
46.066,150.835,negative
35.088,151.848,negative
18.294,174.417,negative
6.278,319.447,negative
7.551,254.594,negative
0.533,92.9824,negative
2.036,305.043,negative
22.623,141.571,negative
40.8052,60.8276,negative
3.633,325.677,negative
7.116,238.052,negative
32.4323,138.061,negative
0.432,306.935,negative
0.019,259.993,negative
4.4052,255.358,negative
38.7226,192.469,negative
72.4556,48.5431,negative
11.8172,133.467,negative
12.4856,204.254,negative
22.805,101.167,negative
2.265,197.517,negative
0.7528,155.514,negative
3.2549,146.34,negative
43.607,62.2795,negative
17.031,223.366,negative
4.6324,299.492,negative
68.4478,247.988,negative
0.0872,195.33,negative
11.322,169.348,negative
34.246,158.388,negative
17.8187,237.282,negative
14.708,137.186,negative
15.597,234.206,negative
39.9687,111.446,negative
4.382,211.926,negative
73.2939,179.731,negative
23.4767,166.896,negative
10.831,213.952,negative
76.6555,194.414,negative
77.952,84.8202,negative
6.917,243.768,negative
9.272,224.52,negative
2.6,148.692,negative
35.187,101.901,negative
10.45,196.81,negative
9.0922,179.118,negative
10.2623,139.235,negative
23.308,157.409,negative
13.034,214.581,negative
25.3949,186.147,negative
10.39,90.6557,negative
3.4161,165.107,negative
69.976,219.091,negative
61.973,221.165,negative
62.537,98.2473,negative
1.44,194.105,negative
21.0694,143.302,negative
7.6092,132.882,negative
77.3146,195.254,negative
8.909,166.164,negative
3.1282,282.954,negative
29.0239,206.342,negative
32.3945,91.6486,negative
0.114,362.993,negative
13.5528,169.448,negative
12.5937,171.925,negative
10.8389,167,negative
16.05,152.973,negative
1.751,324.231,negative
52.8284,119.815,negative
62.3507,191.119,negative
4.075,186.949,negative
11.6548,238.366,negative
48.1879,62.181,negative
14.1914,238.282,negative
27.555,213.777,negative
7.7662,223.98,negative
20.123,185.163,negative
0.812,262.182,negative
62.108,196.488,negative
1.4971,159.366,negative
0.3878,363.262,negative
18.23,224.705,negative
4.3301,273.474,negative
4.1929,210.796,negative
3.226,221.014,negative
0.128,362.793,negative
9.526,240.038,negative
25.8546,171.877,negative
3.584,235.042,negative
1.324,234.113,negative
2.876,237.039,negative
0.305,148.428,negative
12.3487,300.014,negative
34.281,186.161,negative
9.894,163.186,negative
13.6027,229.596,negative
0.784,220.99,negative
14.353,237.027,negative
4.687,134.654,negative
3.6931,145.551,negative
1.8949,204.743,negative
32.959,201.13,negative
16.3704,210.308,negative
7.4192,218.42,negative
84.0609,162.185,negative
37.4141,124.432,negative
15.933,131.712,negative
1.5723,207.306,negative
0.8187,247.631,negative
52.9701,54.3576,negative
3.7729,270.468,negative
42.3811,109.292,negative
9.5707,144.025,negative
13.3261,131.397,negative
4.078,188.116,negative
0.0392,209.619,negative
15.485,179.332,negative
13.4983,156.834,negative
0.4546,278.737,negative
6.3243,353.048,negative
46.523,145.777,negative
44.9555,163.376,negative
62.041,221.146,negative
26.07,167.396,negative
0.608,271.591,negative
7.361,202.789,negative
10.603,185.708,negative
48.4901,168.427,negative
9.1652,198.737,negative
6.1441,177.243,negative
8.208,254.657,negative
0.0759,189.846,negative
1.153,261.668,negative
1.2268,181.353,negative
0.04,183.411,negative
5.822,272.492,negative
1.596,206.09,negative
1.3823,243.46,negative
26.688,118.054,negative
4.134,286.69,negative
16.8056,189.636,negative
6.4438,242.514,negative
1.7171,189.474,negative
73.221,93.2077,negative
5.54,119.153,negative
5.3505,234.588,negative
18.6087,225.822,negative
81.1239,179.618,negative
11.1713,159.575,negative
0.7669,141.214,negative
2.956,286.609,negative
0.0685,260.868,negative
52.118,161.718,negative
11.5031,205.412,negative
5.248,156.184,negative
18.331,238.503,negative
4.915,235.905,negative
11.218,231.858,negative
1.534,269.253,negative
2.399,166.027,negative
4.763,118.546,negative
0.0972,304.384,negative
8.2623,236.749,negative
4.915,197.124,negative
21.6486,114.271,negative
43.6228,137.283,negative
32.3189,160.266,negative
1.926,258.696,negative
16.1552,185.547,negative
1.141,254.304,negative
3.056,240.989,negative
3.8937,254.67,negative
14.781,243.176,negative
28.5766,102.235,negative
7.9764,213.973,negative
2.123,226.712,negative
4.2321,255.514,negative
9.3363,263.241,negative
5.956,176.953,negative
79.998,155.696,negative
15.7003,182.666,negative
5.5282,346.176,negative
16.044,199.603,negative
16.859,243.209,negative
6.769,158.461,negative
12.969,211.29,negative
17.331,153.031,negative
7.8899,195.593,negative
8.7272,235.852,negative
0.534,143.031,negative
15.7031,109.533,negative
0.343,234.499,negative
3.9174,210.517,negative
5.723,150.479,negative
3.5371,202.387,negative
35.001,170.008,negative
75.2845,216.205,negative
10.3,67.121,negative
42.7312,165.199,negative
14.9066,224.871,negative
3.726,303.839,negative
0.3308,267.293,negative
48.896,199.29,negative
17.537,206.47,negative
88.6483,167.322,negative
8.075,173.969,negative
38.922,81.2325,negative
48.384,33.1645,negative
8.5051,144.383,negative
0.558,265.44,negative
53.449,155.257,negative
12.325,178.732,negative
14.45,121.874,negative
41.428,122.403,negative
2.622,263.818,negative
0.685,132.66,negative
41.034,185.909,negative
88.4375,97.0711,negative
3.2846,225.711,negative
8.56,183.421,negative
46.2009,147.754,negative
7.4076,214.866,negative
19.7833,202.754,negative
48.746,113.817,negative
73.0349,71.9308,negative
19.1036,252.635,negative
0.625,257.231,negative
5.402,291.997,negative
44.927,29.3704,negative
3.6733,212.525,negative
10.136,139.708,negative
9.9943,80.425,negative
14.818,193.449,negative
2.068,128.144,negative
0.3079,291.047,negative
30.2907,187.106,negative
15.898,163.736,negative
30.129,74.0943,negative
49.195,157.769,negative
0.4645,277.977,negative
15.4667,228.32,negative
3.1014,198.382,negative
3.367,204.735,negative
23.221,126.32,negative
38.491,138.55,negative
3.2837,257.543,negative
2.2453,202.902,negative
19.0525,206.032,negative
7.3378,190.024,negative
10.7449,247.604,negative
89.4684,43.8685,negative
4.6888,207.77,negative
15.7149,207.349,negative
20.0785,148.957,negative
48.194,235.365,negative
6.4218,180.482,negative
78.04,99.6224,negative
19.496,241.328,negative
51.793,156.841,negative
37.9872,194.578,negative
1.775,121.056,negative
42.667,71.222,negative
16.96,108.821,negative
1.139,203.657,negative
1.6435,233.249,negative
45.726,199.697,negative
58.6756,66.47,negative
23.8051,147.502,negative
3.436,113.746,negative
6.3884,194.697,negative
7.1658,126.571,negative
19.5075,205.005,negative
6.6607,223.985,negative
45.0788,230.115,negative
20.5966,139.299,negative
42.016,69.1981,negative
1.0298,273.41,negative
48.416,368.443,negative
4.01,332.472,negative
6.372,239.169,negative
70.3212,6.6852,negative
9.842,203.809,negative
1.2138,313.803,negative
43.8882,230.192,negative
18.5084,122.292,negative
38.404,114.82,negative
9.703,230.14,negative
16.6313,138.91,negative
60.9026,53.0291,negative
8.393,260.875,negative
6.168,228.349,negative
18.185,133.799,negative
8.8517,124.125,negative
33.009,129.388,negative
1.9366,214.966,negative
6.7787,291.256,negative
5.5843,173.65,negative
3.906,175.097,negative
3.0013,270.933,negative
1.338,265.832,negative
21.8794,92.7433,negative
11.3678,189.22,negative
4.529,243.331,negative
23.725,182.808,negative
24.9945,202.762,negative
14.6597,183.362,negative
2.649,349.252,negative
4.5424,351.061,negative
2.257,281.088,negative
0.9648,234.79,negative
9.5808,126.349,negative
1.088,402.724,negative
13.853,129.811,negative
1.334,113.778,negative
3.048,302.136,negative
8.789,256.883,negative
1.2879,138.887,negative
13.5641,121.658,negative
30.869,145.548,negative
75.648,109.751,negative
7.225,169.761,negative
34.432,162.542,negative
15.6504,221.256,negative
4.6487,182.365,negative
8.7606,242.73,negative
47.57,224.052,negative
7.1523,192.665,negative
1.29,220.227,negative
32.615,141.254,negative
53.2443,168.416,negative
10.4946,241.118,negative
7.5002,114.916,negative
29.3485,237.31,negative
9.201,237.578,negative
3.27,187.85,negative
59.423,166.275,negative
13.47,135.828,negative
4.7392,220.476,negative
9.053,202.271,negative
71.5113,172.217,negative
55.708,190.647,negative
5.6722,395.404,negative
2.8681,335.726,negative
1.727,286.572,negative
14.296,93.5727,negative
5.354,140.17,negative
6.803,263.303,negative
13.2241,164.167,negative
13.7763,182.081,negative
15.514,218.712,negative
18.9558,198.012,negative
1.3587,166.04,negative
0.373,154.539,negative
6.9302,157.559,negative
0,194.374,negative
25.0566,98.3879,negative
31.0008,122.632,negative
8.5828,145.832,negative
7.146,179.398,negative
0.746,202.581,negative
11.2053,80.5603,negative
4.9786,132.009,negative
66.9996,166.353,negative
0.8225,233.127,negative
13.4966,184.773,negative
20.956,152.285,negative
10.885,170.054,negative
36.1365,133.698,negative
2.323,113,negative
34.0607,191.028,negative
64.629,187.411,negative
7.3063,182.836,negative
3.196,356.486,negative
5.0911,339.606,negative
61.037,201.23,negative
4.054,215.109,negative
1.6831,167.454,negative
15.001,172.745,negative
32.9272,146.984,negative
3.3652,306.276,negative
0.624,220.899,negative
25.1567,53.4596,negative
33.4715,146.912,negative
15.228,43.9121,negative
4.5583,133.906,negative
6.929,172.232,negative
32.224,63.9582,negative
16.456,139.8,negative
20.288,153.273,negative
5.0421,194.707,negative
42.146,148.972,negative
55.157,195.712,negative
47.866,121.739,negative
31.3026,148.187,negative
64.4501,264.133,negative
0.557,98.4508,negative
2.954,220.417,negative
12.1452,146.281,negative
4.3045,290.341,negative
1.107,166.863,negative
29.901,105.593,negative
0.131,315.834,negative
8.419,225.83,negative
59.2402,227.049,negative
26.888,177.247,negative
4.65,159.414,negative
0.1406,105.88,negative
4.73,204.761,negative
27.001,233.389,negative
7.946,153.304,negative
15.518,174.213,negative
5.352,269.141,negative
4.201,243.22,negative
1.0564,244.837,negative
1.4909,256.102,negative
31.784,200.42,negative
49.0547,128.287,negative
2.7746,79.8198,negative
3.5362,261.867,negative
27.1728,230.51,negative
72.786,121.01,negative
83.6972,117.178,negative
0.7519,283.959,negative
0.6526,180.176,negative
85.4955,157.854,negative
1.333,249.994,negative
55.3614,45.2255,negative
0.7289,229.847,negative
49.512,128.384,negative
1.5526,243.358,negative
12.316,212.208,negative
73.467,18.578,negative
36.429,159.491,negative
28.845,117.723,negative
10.225,194.631,negative
0.9013,347.427,negative
25.3978,55.5818,negative
9.8822,102.65,negative
14.071,190.174,negative
39.1323,289.353,negative
2.748,163.526,negative
5.508,197.854,negative
4.6448,154.078,negative
1.216,291.139,negative
2.152,240.61,negative
76.277,149.275,negative
3.214,147.738,negative
12.565,179.351,negative
21.841,221.083,negative
0.386,193.943,negative
3.8163,199.788,negative
29.1506,196.1,negative
46.9743,144.217,negative
29.984,115.601,negative
14.9007,96.8673,negative
28.019,110.61,negative
2.266,287.722,negative
0.465,304.129,negative
1.0892,167.862,negative
56.8745,114.58,negative
4.5251,189.404,negative
1.8268,385.738,negative
15.576,57.7603,negative
60.424,135.619,negative
22.822,128.797,negative
8.261,265.915,negative
