Day_Mins,Day_Charge,Eve_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
293,49.81,13.65,10,2.7,2,negative
221.1,37.59,22.52,15.4,4.16,2,positive
181.5,30.86,16.74,10.3,2.78,1,negative
74.3,12.63,15.07,14.5,3.92,2,negative
62.3,10.59,23.38,10.8,2.92,1,negative
228.6,38.86,21.12,9,2.43,3,negative
228.1,38.78,23.5,9.9,2.67,2,positive
309.9,52.68,17.03,14.2,3.83,1,negative
201.9,34.32,19.28,13.7,3.7,3,negative
149.8,25.47,15.3,11.7,3.16,2,negative
183.8,31.25,19.52,7.7,2.08,1,negative
186.7,31.74,28.48,16.5,4.46,1,negative
209.4,35.6,29.52,7.4,2,1,positive
223.2,37.94,15.57,10.2,2.75,3,negative
164.2,27.91,13.21,10.7,2.89,1,negative
150.5,25.59,16.41,10.3,2.78,1,negative
234.2,39.81,24.91,9.8,2.65,0,positive
55.3,9.4,14,10.2,2.75,1,negative
221.8,37.71,17.32,8.4,2.27,1,negative
169.6,28.83,5.01,7.4,2,1,negative
89.7,15.25,22.11,13.5,3.65,5,positive
80.2,13.63,18.62,8.6,2.32,1,negative
218.9,37.21,25.49,11.3,3.05,2,negative
125.7,21.37,17.65,12.9,3.48,1,negative
176.3,29.97,7.94,9.6,2.59,2,negative
207.2,35.22,21.6,9.5,2.57,2,negative
205.7,34.97,13.76,12.5,3.38,2,negative
151.4,25.74,12.95,0,0,1,negative
157.5,26.78,11.11,9.6,2.59,3,negative
160.4,27.27,8.72,9.1,2.46,2,negative
159,27.03,14.27,12.3,3.32,1,negative
214.1,36.4,17.08,9.2,2.48,0,negative
102.6,17.44,20.91,9.1,2.46,2,negative
159.7,27.15,16.79,13.9,3.75,0,positive
202.8,34.48,14.09,4.6,1.24,1,negative
57.5,9.78,22.57,11.6,3.13,3,negative
169.9,28.88,19.14,11.4,3.08,1,negative
335.5,57.04,18.06,12.7,3.43,2,positive
139.5,23.72,24.59,13.1,3.54,0,negative
142.3,24.19,10.09,6.6,1.78,1,negative
187.8,31.93,21.13,10.6,2.86,0,negative
146.2,24.85,22.23,8.7,2.35,3,negative
231.8,39.41,12.8,11.6,3.13,3,negative
193.7,32.93,13.11,12.7,3.43,1,negative
156.4,26.59,19.84,7.7,2.08,4,negative
220.7,37.52,18.5,13.2,3.56,1,positive
239.8,40.77,18.86,7.3,1.97,2,negative
172,29.24,17.02,8,2.16,1,negative
128.2,21.79,23.33,8.8,2.38,2,negative
130.2,22.13,24.73,14,3.78,3,negative
195.4,33.22,13.14,11.6,3.13,1,negative
293.3,49.86,16.02,14.5,3.92,0,positive
191.3,32.52,16.48,12.8,3.46,1,negative
122.4,20.81,12.22,11.5,3.11,1,negative
209.6,35.63,12.49,10.6,2.86,2,negative
215.7,36.67,12.44,7.1,1.92,3,negative
161.4,27.44,18.75,5.1,1.38,0,negative
144.2,24.51,19.27,13.8,3.73,3,negative
220.2,37.43,15.75,4.1,1.11,0,positive
256.2,43.55,13.66,7.4,2,4,negative
112.7,19.16,18.5,6.5,1.76,1,negative
299.5,50.92,19.27,13.7,3.7,0,positive
194.8,33.12,14.53,13.9,3.75,0,negative
100.8,17.14,19.55,9.5,2.57,0,negative
82.5,14.03,24.64,4.8,1.3,3,negative
146.4,24.89,7.62,15.6,4.21,2,negative
177.9,30.24,19.09,10.8,2.92,2,negative
153.5,26.1,16.49,10.2,2.75,5,negative
150.7,25.62,16.77,9.2,2.48,1,negative
180.1,30.62,10.84,7.5,2.03,0,negative
265.3,45.1,12.55,12.9,3.48,1,negative
128.6,21.86,11.39,11.4,3.08,0,negative
161.5,27.46,14.75,7.9,2.13,2,negative
165.3,28.1,16.87,9.8,2.65,1,negative
195,33.15,17.89,11,2.97,0,negative
213.8,36.35,22.53,15.6,4.21,0,negative
205.5,34.94,18.64,14,3.78,1,negative
252.9,42.99,15.12,8.5,2.3,3,negative
235.6,40.05,19.37,15.4,4.16,0,negative
192,32.64,10.85,7.5,2.03,1,negative
69.1,11.75,8.61,9.1,2.46,0,negative
261.7,44.49,17.9,6,1.62,3,positive
235.5,40.04,21.86,11.5,3.11,2,negative
213.4,36.28,17.42,9.5,2.57,1,negative
206.9,35.17,10.86,9.2,2.48,3,negative
263.8,44.85,8.79,8.5,2.3,3,negative
183.4,31.18,16.62,10.5,2.84,1,negative
157.6,26.79,16.5,9.4,2.54,5,positive
175.6,29.85,13.75,9.3,2.51,0,negative
242.5,41.23,8.74,9.3,2.51,2,negative
151,25.67,11.17,9.9,2.67,0,negative
138.1,23.48,13.98,8.3,2.24,1,negative
264.7,45,25.93,9.5,2.57,1,positive
282.3,47.99,12.92,12,3.24,1,negative
211.2,35.9,20.2,12.3,3.32,0,negative
197.1,33.51,11.06,7.4,2,3,negative
205.3,34.9,14.17,7.8,2.11,1,negative
181.8,30.91,19.39,9.2,2.48,2,negative
252,42.84,12.77,9.6,2.59,2,negative
193.8,32.95,10.11,9.2,2.48,0,negative
231.2,39.3,16.04,12.3,3.32,1,negative
200.1,34.02,16.06,15.5,4.19,0,negative
266.7,45.34,19.75,16.3,4.4,1,negative
118.1,20.08,18.83,11.9,3.21,2,negative
175.3,29.8,12.27,11.8,3.19,0,negative
125.1,21.27,21.15,11.2,3.02,3,negative
176.8,30.06,19.1,7.5,2.03,1,negative
241.9,41.12,11,5.9,1.59,1,negative
241.2,41,9.9,10.6,2.86,0,negative
217.1,36.91,20.06,9.4,2.54,1,negative
195.4,33.22,15.4,8.9,2.4,0,negative
222.4,37.81,27.8,8.7,2.35,1,positive
189.5,32.22,16.13,13.1,3.54,1,negative
123.1,20.93,13.46,9.3,2.51,0,negative
256.7,43.64,12.79,11.4,3.08,3,negative
159.1,27.05,20.54,6.5,1.76,1,negative
100.1,17.02,19.83,11.1,3,3,negative
30.9,5.25,15.9,8.6,2.32,1,negative
223.2,37.94,18.22,10.1,2.73,3,negative
187.4,31.86,16.99,12.6,3.4,1,negative
315.6,53.65,17.76,12.1,3.27,3,negative
277.5,47.18,11.2,8.2,2.21,1,negative
189.8,32.27,16.77,14.9,4.02,2,negative
147.2,25.02,16.39,10.2,2.75,1,negative
185.8,31.59,23.5,5.7,1.54,4,negative
155.4,26.42,16.02,8,2.16,3,negative
154.2,26.21,22.83,10.9,2.94,6,negative
97.6,16.59,8.97,11.6,3.13,1,negative
178.8,30.4,15.16,7.5,2.03,1,negative
149.3,25.38,23.26,9.1,2.46,0,negative
206,35.02,15.81,8.4,2.27,0,negative
216.8,36.86,16.22,11,2.97,0,negative
103.3,17.56,10.97,10.7,2.89,0,negative
139.4,23.7,13.52,7.7,2.08,0,negative
191.2,32.5,13.93,14.1,3.81,1,negative
160,27.2,16.1,10.4,2.81,1,negative
221.7,37.69,16.41,6.5,1.76,3,negative
62.9,10.69,19.64,8.5,2.3,1,negative
215.6,36.65,16.6,3.6,0.97,1,negative
165.3,28.1,19,7.6,2.05,3,negative
94.7,16.1,13.12,10.6,2.86,2,negative
203.2,34.54,12.96,9.7,2.62,2,negative
195.3,33.2,18.42,12.5,3.38,3,negative
143.7,24.43,25.31,11.4,3.08,4,negative
114.4,19.45,6.66,0,0,2,negative
222.8,37.88,17.26,6.9,1.86,2,negative
175.9,29.9,17.99,7.3,1.97,2,negative
249.9,42.48,20.61,15.3,4.13,1,positive
234.5,39.87,16.59,11.4,3.08,2,negative
210.7,35.82,18.63,7.2,1.94,1,negative
182.3,30.99,14.44,9.3,2.51,1,negative
190.3,32.35,16.53,11.7,3.16,2,negative
177.1,30.11,13.91,7.4,2,0,negative
87.2,14.82,14.39,10.9,2.94,6,positive
215.6,36.65,16.44,13.5,3.65,1,negative
137.4,23.36,20.2,14,3.78,3,negative
192.8,32.78,15.05,16.4,4.43,1,negative
149.3,25.38,17.02,11.9,3.21,2,negative
143.7,24.43,14.51,7.8,2.11,1,negative
224.8,38.22,16.15,9.2,2.48,1,negative
261.2,44.4,18.21,12.7,3.43,2,negative
196.5,33.41,14.94,13.4,3.62,0,negative
271.2,46.1,17.22,11.5,3.11,3,positive
207.2,35.22,24.86,8,2.16,2,negative
300.4,51.07,11.32,7.2,1.94,2,negative
229.6,39.03,11.25,9.5,2.57,2,negative
187.5,31.88,14.43,12.1,3.27,1,negative
57.1,9.71,16.97,6.5,1.76,3,negative
162.1,27.56,13.18,11,2.97,5,positive
145,24.65,14.94,16.7,4.51,2,positive
159.5,27.12,20.47,11.4,3.08,1,negative
190.7,32.42,17.73,8.8,2.38,1,negative
230.6,39.2,16.07,9.4,2.54,1,negative
34,5.78,23.68,11.5,3.11,0,negative
193.4,32.88,20.45,11.4,3.08,5,negative
202,34.34,13.9,10.4,2.81,1,negative
191.7,32.59,20.52,9.1,2.46,1,negative
161.3,27.42,21.28,6.6,1.78,1,negative
150.6,25.6,10.12,6.4,1.73,1,negative
184.6,31.38,16.66,7.8,2.11,1,negative
220.7,37.52,22.97,8.7,2.35,1,negative
167.3,28.44,16.87,11,2.97,1,negative
154,26.18,15.77,8.2,2.21,3,negative
121.1,20.59,15.84,10.1,2.73,0,negative
182.1,30.96,13.99,12.7,3.43,3,negative
109.6,18.63,11.7,11,2.97,2,negative
209.9,35.68,10.36,9.6,2.59,1,negative
167.5,28.48,20.58,11.4,3.08,2,negative
213.9,36.36,20.38,9.8,2.65,2,negative
115.8,19.69,20.68,13.1,3.54,1,negative
276.6,47.02,18.71,9.8,2.65,2,negative
179.4,30.5,15.39,9.5,2.57,2,negative
187.3,31.84,23.02,10.1,2.73,1,negative
201.2,34.2,19.31,8.4,2.27,2,negative
189.6,32.23,22.73,1.3,0.35,1,negative
186.8,31.76,22.19,15,4.05,0,negative
153.5,26.1,18.62,11.4,3.08,0,negative
187.6,31.89,17.7,8.7,2.35,2,negative
230.9,39.25,20.67,11,2.97,0,positive
244.9,41.63,10.03,15.2,4.1,2,negative
230.9,39.25,18.96,9.7,2.62,3,negative
187.1,31.81,21.27,11,2.97,1,negative
170.7,29.02,16.24,13.3,3.59,1,negative
126.9,21.57,14.19,8.8,2.38,5,positive
189.5,32.22,17.6,9.2,2.48,0,negative
176.9,30.07,14.27,7.7,2.08,1,positive
161.1,27.39,16.9,10.6,2.86,1,negative
169.4,28.8,16.76,10.7,2.89,1,negative
254.4,43.25,13.74,10.5,2.84,0,negative
127.7,21.71,18.28,5.8,1.57,2,negative
170.5,28.99,18.46,13.6,3.67,6,negative
219.1,37.25,20.65,10.1,2.73,2,negative
273.5,46.5,15.62,11,2.97,2,negative
161.9,27.52,17.08,10.7,2.89,1,negative
241.7,41.09,12.07,9.4,2.54,1,negative
62.8,10.68,14.48,9.4,2.54,3,negative
281.1,47.79,12.21,11.2,3.02,1,negative
228.2,38.79,22.41,10.7,2.89,3,negative
209.8,35.67,16.53,11.3,3.05,0,negative
265.6,45.15,17.75,11.1,3,2,positive
214.9,36.53,10.01,11.8,3.19,2,negative
110.5,18.79,18.97,10.5,2.84,3,negative
281.1,47.79,16.83,7.5,2.03,0,negative
137.8,23.43,24.34,14.1,3.81,2,negative
271.5,46.16,21.54,8.2,2.21,1,positive
112.8,19.18,18.6,9,2.43,2,negative
187.3,31.84,20.37,15.1,4.08,1,negative
197,33.49,22.89,10.8,2.92,1,negative
180.4,30.67,11,8.4,2.27,1,negative
148.5,25.25,18.65,14.5,3.92,1,positive
197.1,33.51,22.05,14.6,3.94,2,negative
153.7,26.13,11.71,15.9,4.29,1,negative
261.3,44.42,18.78,11.3,3.05,1,negative
246.2,41.85,17.2,9.4,2.54,1,negative
191,32.47,27.1,6.5,1.76,0,negative
208.3,35.41,21.56,12.6,3.4,1,negative
253,43.01,18.64,9.8,2.65,0,negative
202.3,34.39,17.13,6.8,1.84,0,negative
174.4,29.65,13.29,10.2,2.75,0,negative
127.1,21.61,14.63,12.1,3.27,1,negative
143.5,24.4,20.62,11.3,3.05,0,negative
186.9,31.77,20.4,5.8,1.57,1,negative
194,32.98,20.57,12.1,3.27,1,negative
234.8,39.92,9.08,9.9,2.67,0,negative
123.7,21.03,8.76,13.1,3.54,1,negative
173.9,29.56,23.49,15.3,4.13,0,negative
130.9,22.25,17.29,12.4,3.35,1,negative
314.6,53.48,14.43,5.7,1.54,2,positive
227.9,38.74,17.64,12.1,3.27,1,negative
95.5,16.24,13.91,6.6,1.78,2,negative
185.3,31.5,17.68,15.1,4.08,1,negative
146.3,24.87,17.23,13.1,3.54,1,negative
184,31.28,6.49,12.7,3.43,2,negative
105.8,17.99,3.73,13.1,3.54,0,negative
178,30.26,13.07,11.7,3.16,1,negative
149.4,25.4,10.53,10.1,2.73,1,negative
209.4,35.6,11.26,11.3,3.05,2,negative
172.1,29.26,17.99,11.6,3.13,1,negative
169.3,28.78,18.52,9.4,2.54,1,negative
119.1,20.25,24.45,12.2,3.29,0,negative
194.2,33.01,14.74,5.5,1.49,2,negative
198.8,33.8,19.56,9.9,2.67,2,negative
167.7,28.51,7.96,13.4,3.62,3,positive
202.2,34.37,18.43,11.8,3.19,2,negative
322.5,54.83,17.39,9.4,2.54,2,positive
216.2,36.75,18.33,10.2,2.75,0,negative
76.4,12.99,9.83,9.4,2.54,3,negative
72.7,12.36,17.73,9.9,2.67,1,negative
210.4,35.77,19.17,9.7,2.62,0,negative
127.2,21.62,13.85,8.1,2.19,0,negative
201.8,34.31,25.92,11.9,3.21,1,negative
219.5,37.32,18.88,16.1,4.35,1,negative
99.3,16.88,22.99,9,2.43,3,negative
239.2,40.66,12.75,10.3,2.78,5,negative
120.9,20.55,19.98,11.4,3.08,2,negative
224.7,38.2,11,15.8,4.27,1,negative
176.6,30.02,13.83,14.6,3.94,1,negative
283.9,48.26,16.32,10,2.7,1,negative
180.6,30.7,16.23,10.3,2.78,1,positive
125.9,21.4,16.69,10.3,2.78,1,negative
237.6,40.39,16.35,9.1,2.46,0,negative
198.4,33.73,22.5,9.2,2.48,2,negative
274.3,46.63,4.5,10.9,2.94,0,negative
199.6,33.93,17.97,11,2.97,3,positive
217.7,37.01,23.25,9.6,2.59,3,negative
134.7,22.9,20.05,7.6,2.05,3,negative
212.7,36.16,21.89,9.7,2.62,2,negative
256.3,43.57,15.32,6.2,1.67,2,negative
183.6,31.21,10.26,12.7,3.43,1,negative
176.2,29.95,16.66,9.2,2.48,1,negative
205,34.85,14.06,11.7,3.16,1,negative
267.9,45.54,18.96,11.3,3.05,3,positive
179.2,30.46,14.89,9.9,2.67,2,negative
149.4,25.4,16.7,14.9,4.02,1,negative
163.6,27.81,12.47,13.1,3.54,3,negative
207.6,35.29,12.98,12.4,3.35,1,negative
165.4,28.12,15.61,8.9,2.4,3,negative
209.8,35.67,14.56,9.9,2.67,4,negative
220.1,37.42,22.8,11.1,3,0,negative
141.3,24.02,13.12,8.2,2.21,1,negative
196.5,33.41,20.51,4,1.08,0,negative
180.9,30.75,17.81,7.4,2,2,negative
105,17.85,21.39,14.9,4.02,0,negative
271.4,46.14,16.18,11.1,3,4,positive
206.7,35.14,14.84,10.9,2.94,1,negative
166.8,28.36,20.06,9.3,2.51,1,negative
204.9,34.83,11.49,10.4,2.81,5,negative
154.6,26.28,20.88,9.1,2.46,1,negative
127,21.59,27.47,7.5,2.03,1,negative
267.4,45.46,17.36,5.9,1.59,1,negative
281,47.77,13.65,0,0,1,negative
270.8,46.04,18.73,11.8,3.19,4,negative
171.2,29.1,15.78,10.2,2.75,1,negative
124.1,21.1,17.22,6.7,1.81,3,negative
162.8,27.68,24.68,7.2,1.94,1,negative
146.3,24.87,21.75,8,2.16,1,negative
254.8,43.32,12.19,15,4.05,2,negative
254.9,43.33,20.67,5.4,1.46,2,negative
107.7,18.31,16.06,8.9,2.4,0,negative
158.8,27,22.51,7.6,2.05,1,negative
182.9,31.09,20.37,5.5,1.49,2,negative
198.5,33.75,3.61,12.4,3.35,0,negative
178.4,30.33,19.86,12,3.24,0,negative
110.9,18.85,13.47,6.2,1.67,1,negative
166.9,28.37,18.8,12.3,3.32,1,positive
244.8,41.62,5.17,10.7,2.89,2,negative
120.8,20.54,14.43,11.9,3.21,4,positive
165.3,28.1,17.85,8.5,2.3,2,negative
126.7,21.54,13.22,14.4,3.89,2,negative
215.9,36.7,17.05,15.5,4.19,0,negative
140.1,23.82,17.82,8,2.16,1,negative
209.9,35.68,21.23,8.7,2.35,1,negative
139.8,23.77,11.75,5.5,1.49,0,negative
321.6,54.67,21.39,11.3,3.05,2,positive
166.6,28.32,18.6,8.2,2.21,7,negative
214.2,36.41,16.73,5.9,1.59,0,negative
260,44.2,17.89,9,2.43,1,positive
191.9,32.62,6.03,13.4,3.62,4,positive
213,36.21,16.05,13.5,3.65,0,negative
118.1,20.08,9.32,16.9,4.56,1,negative
190.2,32.33,14.14,15,4.05,6,negative
82.2,13.97,13.88,5.1,1.38,0,negative
163.8,27.85,15.11,8.1,2.19,0,negative
267.8,45.53,26.89,14.4,3.89,5,positive
159.8,27.17,10.23,10.6,2.86,2,negative
214.3,36.43,24.63,10.6,2.86,1,negative
287.3,48.84,24.48,10.5,2.84,0,positive
101.2,17.2,12.04,7.5,2.03,2,negative
102.8,17.48,23.94,13.2,3.56,2,negative
109.1,18.55,9.83,8.3,2.24,0,negative
215.9,36.7,18.45,5.2,1.4,1,negative
203.4,34.58,10.94,11,2.97,1,negative
110.1,18.72,14.37,9.2,2.48,1,negative
111,18.87,18.68,4.4,1.19,1,negative
239.9,40.78,12.1,9.3,2.51,1,negative
144.8,24.62,9.56,13.8,3.73,1,negative
135.4,23.02,17.5,7.9,2.13,1,negative
84.2,14.31,6.87,10.8,2.92,1,negative
209.1,35.55,9.02,14,3.78,0,negative
130.1,22.12,16.66,11.4,3.08,0,negative
175.8,29.89,13.18,7.8,2.11,2,negative
241.9,41.12,12.34,6.6,1.78,1,negative
136.7,23.24,19.43,9.8,2.65,0,negative
67.7,11.51,16.63,12,3.24,1,negative
200.4,34.07,26.28,10,2.7,1,negative
125.8,21.39,17.65,14.1,3.81,1,positive
128.2,21.79,11.32,11.2,3.02,1,negative
226.3,38.47,18.96,13,3.51,4,negative
162.3,27.59,19.88,9.2,2.48,0,negative
224.4,38.15,12.57,6.7,1.81,2,negative
120.5,20.49,16.12,14.3,3.86,1,negative
91.1,15.49,15.24,11.9,3.21,2,negative
168.8,28.7,20.52,15.5,4.19,0,negative
153.5,26.1,24.42,6.5,1.76,2,negative
226.2,38.45,11.93,6.4,1.73,0,negative
191.9,32.62,17.59,12.6,3.4,1,negative
167.9,28.54,16.21,9.2,2.48,4,positive
180,30.6,12.33,11.5,3.11,2,negative
257.4,43.76,22.19,13.4,3.62,2,positive
174.4,29.65,14.44,11,2.97,1,negative
159.7,27.15,13.21,8.4,2.27,1,negative
237.2,40.32,18.92,11,2.97,1,negative
103,17.51,20.6,7.9,2.13,1,negative
153.8,26.15,19.89,11.6,3.13,4,negative
205.1,34.87,13.64,10.7,2.89,3,negative
175.7,29.87,15.91,8.6,2.32,2,negative
155.9,26.5,19.06,8.6,2.32,2,negative
154.4,26.25,18.82,10.3,2.78,0,negative
209.7,35.65,15.61,7.1,1.92,2,negative
150,25.5,24.3,9.4,2.54,0,negative
232.4,39.51,15.81,12.3,3.32,3,negative
165.4,28.12,9.83,12.8,3.46,2,negative
199.2,33.86,15.92,13.3,3.59,3,negative
217.6,36.99,27.24,4.2,1.13,0,negative
212.1,36.06,12.76,7.7,2.08,3,negative
154,26.18,14.09,10.8,2.92,1,negative
193.8,32.95,17.22,13.3,3.59,1,negative
175.4,29.82,21.09,12.2,3.29,0,negative
152,25.84,22,15.7,4.24,2,positive
230.2,39.13,15.87,9.2,2.48,0,negative
174.9,29.73,21.1,13.5,3.65,1,positive
190.2,32.33,22.29,8.8,2.38,0,negative
176.4,29.99,19.12,11.5,3.11,1,negative
160.9,27.35,21.35,5,1.35,3,negative
228.7,38.88,13.86,11.8,3.19,1,negative
144,24.48,15.44,12.3,3.32,0,negative
135.9,23.1,23.04,9.5,2.57,6,negative
334.3,56.83,16.33,10.4,2.81,0,positive
130.5,22.19,11.15,13,3.51,0,negative
134.2,22.81,13.81,11.8,3.19,4,positive
278,47.26,22.64,13.1,3.54,4,positive
105.4,17.92,18.26,7.8,2.11,0,negative
188.9,32.11,17.33,11.6,3.13,3,negative
111.8,19.01,20.37,6.9,1.86,1,negative
159.1,27.05,12.73,13,3.51,1,negative
212.4,36.11,19.09,9,2.43,1,negative
142.3,24.19,26.04,9.9,2.67,1,negative
346.8,58.96,21.21,13.3,3.59,1,positive
113.9,19.36,12.35,11.8,3.19,1,negative
267.9,45.54,22.38,8.3,2.24,1,positive
171.4,29.14,9.79,17,4.59,3,negative
275.4,46.82,15.94,13.6,3.67,1,negative
197.2,33.52,21.24,3.9,1.05,0,negative
192.6,32.74,11.49,7.9,2.13,2,negative
91.7,15.59,12.8,7.7,2.08,1,negative
126.3,21.47,12.04,9.6,2.59,0,negative
251.5,42.76,19.9,10.4,2.81,3,negative
190.6,32.4,12.95,7.5,2.03,1,negative
116.1,19.74,17.15,11.6,3.13,0,negative
217.3,36.94,18.37,11.3,3.05,2,negative
179.4,30.5,19.76,14.7,3.97,0,negative
207.7,35.31,14.01,7.9,2.13,0,negative
277.3,47.14,19.41,12.8,3.46,2,positive
125.3,21.3,14.25,8.4,2.27,1,negative
138.1,23.48,14.22,6.8,1.84,2,negative
169.3,28.78,19.2,8.2,2.21,0,negative
201.3,34.22,12.22,12.3,3.32,1,negative
216.7,36.84,9.9,9.8,2.65,2,negative
190.4,32.37,26.99,8.3,2.24,2,negative
143.3,24.36,16.62,6,1.62,1,negative
97.4,16.56,17.31,11.4,3.08,2,negative
181.4,30.84,14.25,11.3,3.05,3,negative
246.4,41.89,21.78,3.8,1.03,0,negative
143.4,24.38,24.6,9.7,2.62,2,negative
104.9,17.83,16.87,8,2.16,2,negative
156.2,26.55,16.41,13.1,3.54,1,negative
114.8,19.52,6.96,12,3.24,0,negative
232.5,39.53,17.47,11.9,3.21,0,negative
143.6,24.41,12.95,8.6,2.32,1,negative
176.7,30.04,20.75,9.1,2.46,2,negative
263.4,44.78,19.58,11.4,3.08,1,positive
146.4,24.89,12.62,11.3,3.05,1,negative
145,24.65,16.53,14.2,3.83,2,negative
167.8,28.53,14.25,8.4,2.27,1,negative
166.9,28.37,13.17,7.2,1.94,0,negative
142.5,24.23,16.63,7.8,2.11,2,negative
133,22.61,22.34,11.2,3.02,1,negative
252.9,42.99,24.17,12.3,3.32,1,negative
95,16.15,24.75,10,2.7,2,negative
194.2,33.01,21.2,12.9,3.48,1,positive
222.8,37.88,18.35,0,0,1,negative
201.8,34.31,19.68,16.5,4.46,0,negative
216,36.72,19.75,9.3,2.51,2,positive
146.3,24.87,14.6,5.3,1.43,1,negative
234.8,39.92,11.98,9.5,2.57,1,negative
198.6,33.76,18.18,10.6,2.86,2,negative
94.4,16.05,18.28,13.1,3.54,2,negative
190.4,32.37,18.33,10,2.7,2,negative
142.6,24.24,17.7,12,3.24,3,negative
134.2,22.81,14.03,10.7,2.89,0,negative
111.9,19.02,9.69,14.1,3.81,5,positive
122.8,20.88,17.96,10.7,2.89,2,negative
189.3,32.18,18.78,9.2,2.48,4,negative
240.4,40.87,17.15,16.1,4.35,0,negative
93.5,15.9,15.59,9.9,2.67,0,negative
158.6,26.96,17.95,10.2,2.75,3,negative
243.2,41.34,12.5,7.2,1.94,4,negative
176.4,29.99,13.5,9.3,2.51,4,negative
220.9,37.55,20.59,6.4,1.73,0,negative
144.4,24.55,22.65,7.1,1.92,0,negative
212.3,36.09,19.41,7.7,2.08,0,negative
147,24.99,14.08,8.4,2.27,1,negative
96.2,16.35,15.21,12.9,3.48,2,negative
263.4,44.78,15.22,10.3,2.78,0,negative
12.5,2.13,21.81,7.7,2.08,1,negative
162.3,27.59,16.35,10.1,2.73,2,negative
183.6,31.21,4.98,8.7,2.35,1,negative
178.1,30.28,12.45,8.5,2.3,1,negative
201.4,34.24,8.3,7,1.89,0,negative
123,20.91,11.38,13.3,3.59,1,negative
208,35.36,16.91,8.6,2.32,0,negative
239.2,40.66,16.02,8.8,2.38,1,negative
193,32.81,7.63,15.3,4.13,1,negative
174.5,29.67,20.88,10.3,2.78,1,negative
116.7,19.84,12.4,9.9,2.67,1,negative
93.8,15.95,12.75,10.7,2.89,1,negative
154.1,26.2,10.09,12.9,3.48,2,negative
239.5,40.72,17.32,9.9,2.67,0,negative
216,36.72,19.05,11.8,3.19,0,negative
187.4,31.86,15.11,12.2,3.29,1,negative
167.4,28.46,19.82,10.3,2.78,0,negative
160.4,27.27,18.54,12.5,3.38,1,negative
143.2,24.34,17.77,11.9,3.21,1,negative
205.3,34.9,20.44,5,1.35,1,negative
219.1,37.25,12.88,14.3,3.86,1,negative
143.2,24.34,14.43,7.6,2.05,1,negative
232.8,39.58,14.89,12.5,3.38,2,negative
162,27.54,21.04,8.9,2.4,0,negative
25.9,4.4,17.55,6.5,1.76,1,negative
154.2,26.21,9.55,15.4,4.16,4,positive
322.3,54.79,18.87,6.7,1.81,0,positive
209.9,35.68,18.81,8.2,2.21,1,negative
191.5,32.56,14.89,0,0,0,negative
291.1,49.49,19.27,7.5,2.03,1,negative
215.6,36.65,18.38,11.8,3.19,3,negative
208.8,35.5,18.16,12.4,3.35,3,negative
255.9,43.5,17.35,12.3,3.32,3,negative
252.7,42.96,18.79,12.4,3.35,2,negative
132.1,22.46,21.04,6.9,1.86,3,negative
217,36.89,17.6,8.2,2.21,1,negative
101.9,17.32,18.96,12.9,3.48,0,negative
211.5,35.96,15.69,13.3,3.59,2,negative
153.4,26.08,16.87,10.4,2.81,0,negative
166.3,28.27,20.34,10,2.7,2,negative
185.2,31.48,14.48,9.5,2.57,1,negative
104.6,17.78,12.71,6.5,1.76,2,negative
245.2,41.68,13.52,7.2,1.94,0,negative
274.4,46.65,16.88,6,1.62,1,negative
98.4,16.73,21.22,14.2,3.83,1,negative
279.9,47.58,18.96,13,3.51,1,negative
187.2,31.82,16.63,5.1,1.38,1,negative
276.2,46.95,14.09,2.2,0.59,3,negative
200.4,34.07,23.19,8.3,2.24,1,negative
162.3,27.59,20.74,9.1,2.46,2,negative
176.9,30.07,8.74,10.5,2.84,4,positive
165.5,28.14,17.47,12.2,3.29,0,negative
217.8,37.03,16.12,10.4,2.81,4,negative
201.4,34.24,20.95,12.9,3.48,2,positive
190.5,32.39,15.27,10.1,2.73,3,negative
179.9,30.58,16.08,12.8,3.46,3,negative
235.9,40.1,6.85,5.8,1.57,3,negative
140.4,23.87,15.9,7.9,2.13,0,negative
144.6,24.58,22,7.4,2,2,negative
189,32.13,10.07,17.1,4.62,0,negative
101,17.17,13.23,13.3,3.59,0,negative
206.3,35.07,24.89,10.6,2.86,1,negative
165.1,28.07,22.7,10.9,2.94,1,negative
165,28.05,17.22,12.5,3.38,1,positive
155.9,26.5,21.77,11.7,3.16,3,negative
199.2,33.86,18.25,11.8,3.19,1,negative
155.3,26.4,16,12.3,3.32,3,negative
208.3,35.41,20.12,11.3,3.05,3,negative
157.1,26.71,13.82,12.1,3.27,1,negative
154.4,26.25,14.31,11.7,3.16,5,positive
189.1,32.15,20.92,10.4,2.81,1,positive
131.5,22.36,19.57,10,2.7,2,negative
166.4,28.29,20.67,9.9,2.67,1,negative
142.3,24.19,10.44,12.8,3.46,2,negative
87.7,14.91,18.96,7.3,1.97,2,negative
184.1,31.3,16.53,16.9,4.56,0,negative
174.5,29.67,19.06,12.3,3.32,2,negative
103.3,17.56,11.77,9,2.43,2,negative
35.1,5.97,15.37,12.7,3.43,1,negative
246.6,41.92,12.02,13,3.51,1,negative
78.5,13.35,17.89,11.8,3.19,1,negative
148.1,25.18,14.02,12.3,3.32,5,positive
206.2,35.05,21.79,9,2.43,1,negative
251.6,42.77,16.8,12.2,3.29,2,negative
