Day_Mins,Day_Charge,Intl_Charge,CustServ_Calls,Class
216.2,36.75,2.75,0,negative
76.4,12.99,2.54,3,negative
72.7,12.36,2.67,1,negative
210.4,35.77,2.62,0,negative
127.2,21.62,2.19,0,negative
201.8,34.31,3.21,1,negative
219.5,37.32,4.35,1,negative
99.3,16.88,2.43,3,negative
239.2,40.66,2.78,5,negative
120.9,20.55,3.08,2,negative
224.7,38.2,4.27,1,negative
176.6,30.02,3.94,1,negative
283.9,48.26,2.7,1,negative
180.6,30.7,2.78,1,positive
125.9,21.4,2.78,1,negative
237.6,40.39,2.46,0,negative
198.4,33.73,2.48,2,negative
274.3,46.63,2.94,0,negative
199.6,33.93,2.97,3,positive
217.7,37.01,2.59,3,negative
134.7,22.9,2.05,3,negative
212.7,36.16,2.62,2,negative
256.3,43.57,1.67,2,negative
183.6,31.21,3.43,1,negative
176.2,29.95,2.48,1,negative
205,34.85,3.16,1,negative
267.9,45.54,3.05,3,positive
179.2,30.46,2.67,2,negative
149.4,25.4,4.02,1,negative
163.6,27.81,3.54,3,negative
207.6,35.29,3.35,1,negative
165.4,28.12,2.4,3,negative
209.8,35.67,2.67,4,negative
220.1,37.42,3,0,negative
141.3,24.02,2.21,1,negative
196.5,33.41,1.08,0,negative
180.9,30.75,2,2,negative
105,17.85,4.02,0,negative
271.4,46.14,3,4,positive
206.7,35.14,2.94,1,negative
166.8,28.36,2.51,1,negative
204.9,34.83,2.81,5,negative
154.6,26.28,2.46,1,negative
127,21.59,2.03,1,negative
267.4,45.46,1.59,1,negative
281,47.77,0,1,negative
270.8,46.04,3.19,4,negative
171.2,29.1,2.75,1,negative
124.1,21.1,1.81,3,negative
162.8,27.68,1.94,1,negative
146.3,24.87,2.16,1,negative
254.8,43.32,4.05,2,negative
254.9,43.33,1.46,2,negative
107.7,18.31,2.4,0,negative
158.8,27,2.05,1,negative
182.9,31.09,1.49,2,negative
198.5,33.75,3.35,0,negative
178.4,30.33,3.24,0,negative
110.9,18.85,1.67,1,negative
166.9,28.37,3.32,1,positive
244.8,41.62,2.89,2,negative
120.8,20.54,3.21,4,positive
165.3,28.1,2.3,2,negative
126.7,21.54,3.89,2,negative
215.9,36.7,4.19,0,negative
140.1,23.82,2.16,1,negative
209.9,35.68,2.35,1,negative
139.8,23.77,1.49,0,negative
321.6,54.67,3.05,2,positive
166.6,28.32,2.21,7,negative
214.2,36.41,1.59,0,negative
260,44.2,2.43,1,positive
191.9,32.62,3.62,4,positive
213,36.21,3.65,0,negative
118.1,20.08,4.56,1,negative
190.2,32.33,4.05,6,negative
82.2,13.97,1.38,0,negative
163.8,27.85,2.19,0,negative
267.8,45.53,3.89,5,positive
159.8,27.17,2.86,2,negative
214.3,36.43,2.86,1,negative
287.3,48.84,2.84,0,positive
101.2,17.2,2.03,2,negative
102.8,17.48,3.56,2,negative
109.1,18.55,2.24,0,negative
215.9,36.7,1.4,1,negative
203.4,34.58,2.97,1,negative
110.1,18.72,2.48,1,negative
111,18.87,1.19,1,negative
239.9,40.78,2.51,1,negative
144.8,24.62,3.73,1,negative
135.4,23.02,2.13,1,negative
84.2,14.31,2.92,1,negative
209.1,35.55,3.78,0,negative
130.1,22.12,3.08,0,negative
175.8,29.89,2.11,2,negative
241.9,41.12,1.78,1,negative
136.7,23.24,2.65,0,negative
67.7,11.51,3.24,1,negative
200.4,34.07,2.7,1,negative
125.8,21.39,3.81,1,positive
128.2,21.79,3.02,1,negative
226.3,38.47,3.51,4,negative
162.3,27.59,2.48,0,negative
224.4,38.15,1.81,2,negative
120.5,20.49,3.86,1,negative
91.1,15.49,3.21,2,negative
168.8,28.7,4.19,0,negative
153.5,26.1,1.76,2,negative
226.2,38.45,1.73,0,negative
191.9,32.62,3.4,1,negative
167.9,28.54,2.48,4,positive
180,30.6,3.11,2,negative
257.4,43.76,3.62,2,positive
174.4,29.65,2.97,1,negative
159.7,27.15,2.27,1,negative
237.2,40.32,2.97,1,negative
103,17.51,2.13,1,negative
153.8,26.15,3.13,4,negative
205.1,34.87,2.89,3,negative
175.7,29.87,2.32,2,negative
155.9,26.5,2.32,2,negative
154.4,26.25,2.78,0,negative
209.7,35.65,1.92,2,negative
150,25.5,2.54,0,negative
232.4,39.51,3.32,3,negative
165.4,28.12,3.46,2,negative
199.2,33.86,3.59,3,negative
217.6,36.99,1.13,0,negative
212.1,36.06,2.08,3,negative
154,26.18,2.92,1,negative
193.8,32.95,3.59,1,negative
175.4,29.82,3.29,0,negative
152,25.84,4.24,2,positive
230.2,39.13,2.48,0,negative
174.9,29.73,3.65,1,positive
190.2,32.33,2.38,0,negative
176.4,29.99,3.11,1,negative
160.9,27.35,1.35,3,negative
228.7,38.88,3.19,1,negative
144,24.48,3.32,0,negative
135.9,23.1,2.57,6,negative
334.3,56.83,2.81,0,positive
130.5,22.19,3.51,0,negative
134.2,22.81,3.19,4,positive
278,47.26,3.54,4,positive
105.4,17.92,2.11,0,negative
188.9,32.11,3.13,3,negative
111.8,19.01,1.86,1,negative
159.1,27.05,3.51,1,negative
212.4,36.11,2.43,1,negative
142.3,24.19,2.67,1,negative
346.8,58.96,3.59,1,positive
113.9,19.36,3.19,1,negative
267.9,45.54,2.24,1,positive
171.4,29.14,4.59,3,negative
275.4,46.82,3.67,1,negative
197.2,33.52,1.05,0,negative
192.6,32.74,2.13,2,negative
91.7,15.59,2.08,1,negative
126.3,21.47,2.59,0,negative
251.5,42.76,2.81,3,negative
190.6,32.4,2.03,1,negative
116.1,19.74,3.13,0,negative
217.3,36.94,3.05,2,negative
179.4,30.5,3.97,0,negative
207.7,35.31,2.13,0,negative
277.3,47.14,3.46,2,positive
125.3,21.3,2.27,1,negative
138.1,23.48,1.84,2,negative
169.3,28.78,2.21,0,negative
201.3,34.22,3.32,1,negative
216.7,36.84,2.65,2,negative
190.4,32.37,2.24,2,negative
143.3,24.36,1.62,1,negative
97.4,16.56,3.08,2,negative
181.4,30.84,3.05,3,negative
246.4,41.89,1.03,0,negative
143.4,24.38,2.62,2,negative
104.9,17.83,2.16,2,negative
156.2,26.55,3.54,1,negative
114.8,19.52,3.24,0,negative
232.5,39.53,3.21,0,negative
143.6,24.41,2.32,1,negative
176.7,30.04,2.46,2,negative
263.4,44.78,3.08,1,positive
146.4,24.89,3.05,1,negative
145,24.65,3.83,2,negative
167.8,28.53,2.27,1,negative
166.9,28.37,1.94,0,negative
142.5,24.23,2.11,2,negative
133,22.61,3.02,1,negative
252.9,42.99,3.32,1,negative
95,16.15,2.7,2,negative
194.2,33.01,3.48,1,positive
222.8,37.88,0,1,negative
201.8,34.31,4.46,0,negative
216,36.72,2.51,2,positive
146.3,24.87,1.43,1,negative
234.8,39.92,2.57,1,negative
198.6,33.76,2.86,2,negative
94.4,16.05,3.54,2,negative
190.4,32.37,2.7,2,negative
142.6,24.24,3.24,3,negative
134.2,22.81,2.89,0,negative
111.9,19.02,3.81,5,positive
122.8,20.88,2.89,2,negative
189.3,32.18,2.48,4,negative
240.4,40.87,4.35,0,negative
93.5,15.9,2.67,0,negative
158.6,26.96,2.75,3,negative
243.2,41.34,1.94,4,negative
176.4,29.99,2.51,4,negative
220.9,37.55,1.73,0,negative
144.4,24.55,1.92,0,negative
212.3,36.09,2.08,0,negative
147,24.99,2.27,1,negative
96.2,16.35,3.48,2,negative
263.4,44.78,2.78,0,negative
12.5,2.13,2.08,1,negative
162.3,27.59,2.73,2,negative
183.6,31.21,2.35,1,negative
178.1,30.28,2.3,1,negative
201.4,34.24,1.89,0,negative
123,20.91,3.59,1,negative
208,35.36,2.32,0,negative
239.2,40.66,2.38,1,negative
193,32.81,4.13,1,negative
174.5,29.67,2.78,1,negative
116.7,19.84,2.67,1,negative
93.8,15.95,2.89,1,negative
154.1,26.2,3.48,2,negative
239.5,40.72,2.67,0,negative
216,36.72,3.19,0,negative
187.4,31.86,3.29,1,negative
167.4,28.46,2.78,0,negative
160.4,27.27,3.38,1,negative
143.2,24.34,3.21,1,negative
205.3,34.9,1.35,1,negative
219.1,37.25,3.86,1,negative
143.2,24.34,2.05,1,negative
232.8,39.58,3.38,2,negative
162,27.54,2.4,0,negative
25.9,4.4,1.76,1,negative
154.2,26.21,4.16,4,positive
322.3,54.79,1.81,0,positive
209.9,35.68,2.21,1,negative
191.5,32.56,0,0,negative
291.1,49.49,2.03,1,negative
215.6,36.65,3.19,3,negative
208.8,35.5,3.35,3,negative
255.9,43.5,3.32,3,negative
252.7,42.96,3.35,2,negative
132.1,22.46,1.86,3,negative
217,36.89,2.21,1,negative
101.9,17.32,3.48,0,negative
211.5,35.96,3.59,2,negative
153.4,26.08,2.81,0,negative
166.3,28.27,2.7,2,negative
185.2,31.48,2.57,1,negative
104.6,17.78,1.76,2,negative
245.2,41.68,1.94,0,negative
274.4,46.65,1.62,1,negative
98.4,16.73,3.83,1,negative
279.9,47.58,3.51,1,negative
187.2,31.82,1.38,1,negative
276.2,46.95,0.59,3,negative
200.4,34.07,2.24,1,negative
162.3,27.59,2.46,2,negative
176.9,30.07,2.84,4,positive
165.5,28.14,3.29,0,negative
217.8,37.03,2.81,4,negative
201.4,34.24,3.48,2,positive
190.5,32.39,2.73,3,negative
179.9,30.58,3.46,3,negative
235.9,40.1,1.57,3,negative
140.4,23.87,2.13,0,negative
144.6,24.58,2,2,negative
189,32.13,4.62,0,negative
101,17.17,3.59,0,negative
206.3,35.07,2.86,1,negative
165.1,28.07,2.94,1,negative
165,28.05,3.38,1,positive
155.9,26.5,3.16,3,negative
199.2,33.86,3.19,1,negative
155.3,26.4,3.32,3,negative
208.3,35.41,3.05,3,negative
157.1,26.71,3.27,1,negative
154.4,26.25,3.16,5,positive
189.1,32.15,2.81,1,positive
131.5,22.36,2.7,2,negative
166.4,28.29,2.67,1,negative
142.3,24.19,3.46,2,negative
87.7,14.91,1.97,2,negative
184.1,31.3,4.56,0,negative
174.5,29.67,3.32,2,negative
103.3,17.56,2.43,2,negative
35.1,5.97,3.43,1,negative
246.6,41.92,3.51,1,negative
78.5,13.35,3.19,1,negative
148.1,25.18,3.32,5,positive
206.2,35.05,2.43,1,negative
251.6,42.77,3.29,2,negative
270.3,45.95,3.89,1,positive
156.6,26.62,3.05,1,negative
139.4,23.7,3.67,1,negative
220.2,37.43,3.16,2,negative
214.1,36.4,2.73,1,negative
196,33.32,2.13,1,negative
106.4,18.09,1.43,6,positive
179.4,30.5,2.7,0,negative
216.7,36.84,2.92,2,negative
177.3,30.14,1.38,0,negative
151.6,25.77,1.08,1,negative
262.2,44.57,2.86,0,negative
173.6,29.51,2.62,3,negative
106.6,18.12,2.59,2,negative
193.3,32.86,3.13,5,positive
217.2,36.92,3.05,0,negative
209.5,35.62,2.38,1,negative
95.4,16.22,1.51,1,negative
214.6,36.48,2.19,1,negative
131.6,22.37,3,4,positive
168.4,28.63,3.19,1,negative
146.4,24.89,2.11,1,negative
183,31.11,3,1,negative
103.3,17.56,1.73,0,negative
112.2,19.07,2.86,0,negative
170.7,29.02,2.21,3,negative
172.5,29.33,2.94,0,negative
194.3,33.03,1.92,1,negative
187.8,31.93,3.24,2,negative
307.1,52.21,2.16,0,negative
118.2,20.09,3.29,3,negative
154,26.18,3.48,1,negative
155.5,26.44,2.05,1,negative
125.6,21.35,1.46,1,negative
199.3,33.88,4.1,0,negative
157.9,26.84,3.46,1,negative
203.4,34.58,2.48,2,negative
222.2,37.77,2.94,1,negative
92.8,15.78,1.57,1,negative
216.8,36.86,2.32,0,negative
193.2,32.84,2.62,4,negative
113.2,19.24,3.81,3,negative
166.2,28.25,3.02,3,negative
262.2,44.57,1.97,1,negative
207.8,35.33,3.54,0,negative
245.4,41.72,2.03,1,negative
287.1,48.81,3.89,3,positive
192.3,32.69,2.43,2,negative
194.2,33.01,2.62,2,negative
211,35.87,2.65,3,negative
141.9,24.12,2.35,0,negative
220.5,37.49,1.59,2,negative
157.4,26.76,2.51,1,negative
143.5,24.4,3.02,0,negative
156,26.52,2.4,0,negative
160.1,27.22,2.48,2,negative
235.1,39.97,1.94,4,positive
160,27.2,2.35,5,positive
188.4,32.03,3.56,1,negative
194.8,33.12,2.97,1,negative
247.8,42.13,1.86,1,negative
221.2,37.6,3.21,4,negative
118.5,20.15,3.62,2,negative
231.8,39.41,2.05,1,negative
215.9,36.7,3.13,1,negative
217.1,36.91,2.16,2,negative
83.5,14.2,3.4,0,negative
183.3,31.16,1.38,1,negative
236.8,40.26,2.57,1,positive
193.8,32.95,2.3,1,negative
134,22.78,2.62,0,negative
176.6,30.02,3.05,2,negative
191.4,32.54,2.75,3,negative
174.8,29.72,3.46,0,negative
275.2,46.78,2.13,1,negative
174,29.58,2.13,1,negative
165,28.05,3.4,1,negative
228.7,38.88,3.19,1,negative
107.9,18.34,2.57,2,negative
221.3,37.62,3.05,1,negative
141.1,23.99,1.59,3,negative
166.4,28.29,2.89,4,negative
249.6,42.43,2.05,3,negative
178.6,30.36,2.94,1,negative
139,23.63,4.24,2,negative
134.3,22.83,3.4,2,negative
215.9,36.7,1.32,3,negative
181.6,30.87,3.08,1,negative
178.4,30.33,2.51,1,negative
106.4,18.09,3.08,1,negative
170.7,29.02,3.08,2,negative
184.5,31.37,3.32,0,negative
161.2,27.4,2.4,1,negative
84.9,14.43,2.03,2,negative
217.9,37.04,2.86,1,negative
270.9,46.05,2.38,0,positive
243,41.31,4.13,0,positive
128.2,21.79,2.4,0,negative
126.3,21.47,2.65,2,negative
178.7,30.38,2.86,4,negative
159,27.03,2.73,0,negative
150.9,25.65,3.16,3,negative
219.9,37.38,2.19,3,negative
168,28.56,2.73,2,negative
162.1,27.56,2.59,4,positive
198.8,33.8,4.46,5,negative
256.8,43.66,2.46,3,negative
182.8,31.08,2.97,1,negative
196.8,33.46,2.08,1,negative
140.1,23.82,3.02,2,negative
194.3,33.03,2.43,5,negative
117.6,19.99,2.38,1,negative
193.7,32.93,3.13,0,negative
243.1,41.33,2.11,2,negative
145.4,24.72,1.4,1,negative
169.1,28.75,2.67,3,negative
229.3,38.98,2.38,2,negative
197.2,33.52,2.24,4,negative
186.4,31.69,3,2,positive
76.1,12.94,2.92,0,negative
162.8,27.68,1.62,2,negative
182.3,30.99,4.86,1,negative
194.4,33.05,3.02,2,negative
189.3,32.18,3.38,2,negative
160.1,27.22,2.57,3,negative
145,24.65,1.92,3,negative
220.7,37.52,3.11,4,negative
224.7,38.2,2.03,1,positive
147,24.99,2.84,1,negative
260.8,44.34,2.73,1,negative
155.4,26.42,2.43,0,negative
166.2,28.25,1.46,1,negative
211.8,36.01,2.92,0,negative
130.5,22.19,2.97,4,positive
162.7,27.66,2.35,0,negative
237.1,40.31,2.13,1,negative
166.2,28.25,3.56,4,negative
121.7,20.69,2.24,6,positive
176.4,29.99,3.02,0,negative
67.4,11.46,3.08,2,negative
229.7,39.05,2.59,1,positive
176,29.92,3.97,1,negative
247.7,42.11,2.59,0,positive
115.4,19.62,3.54,2,negative
112.2,19.07,3.75,0,positive
162.6,27.64,3.11,0,negative
229.4,39,2.81,4,negative
139.6,23.73,4.05,2,negative
263.8,44.85,2.27,5,positive
217.5,36.98,2.43,4,negative
114.3,19.43,2.03,1,negative
196.3,33.37,2.08,2,negative
253.2,43.04,1.19,1,negative
98,16.66,2.84,0,negative
249.4,42.4,2.46,0,negative
129.6,22.03,3.92,1,negative
221.3,37.62,2.51,0,negative
220.7,37.52,3.35,1,negative
87.6,14.89,2.48,1,negative
203.6,34.61,2.27,0,negative
213.6,36.31,2.38,2,negative
181.6,30.87,3.48,2,negative
215.4,36.62,2.11,1,negative
266.3,45.27,3.78,2,positive
199.2,33.86,2.75,3,negative
115,19.55,1.97,3,negative
270.5,45.99,2.59,1,positive
222.2,37.77,3.48,1,negative
61.9,10.52,2.38,3,negative
141.1,23.99,2.92,2,negative
189.2,32.16,2.86,3,positive
196,33.32,2.65,3,negative
171.6,29.17,3.73,0,negative
174,29.58,3.08,2,negative
78.6,13.36,2,1,positive
200.9,34.15,2.4,1,negative
141.3,24.02,1.73,1,negative
235.8,40.09,1.97,2,negative
185.1,31.47,1.7,3,negative
254.3,43.23,3.19,2,negative
183,31.11,2.35,2,negative
163.5,27.8,2.03,2,negative
207.9,35.34,2.08,2,negative
248.6,42.26,1.65,3,negative
185.4,31.52,3.92,2,negative
197.8,33.63,2.4,1,negative
132.1,22.46,2.46,2,positive
197.1,33.51,2.51,0,negative
154.6,26.28,3.4,2,negative
153.1,26.03,2.7,6,positive
211.2,35.9,1.7,2,negative
96.8,16.46,2.94,2,positive
172,29.24,2.73,1,negative
141.1,23.99,2.16,2,negative
151.1,25.69,3.73,2,negative
209.6,35.63,2.05,3,negative
247,41.99,2.84,3,negative
221.4,37.64,2.92,1,negative
321.3,54.62,2.16,1,positive
243.7,41.43,3.05,0,negative
251.5,42.76,3,3,negative
236.9,40.27,1.97,0,positive
159.7,27.15,2.51,2,negative
148.2,25.19,2.48,4,positive
150.9,25.65,3.97,1,negative
210.5,35.79,3.11,1,negative
170.9,29.05,1.11,2,negative
254.7,43.3,2.86,0,negative
284.4,48.35,2.27,0,positive
0,0,1.84,4,positive
133.7,22.73,2.89,1,positive
224.9,38.23,2.78,0,negative
151.8,25.81,3.21,1,negative
141.4,24.04,1.51,2,negative
285.7,48.57,4,0,positive
58.4,9.93,3.21,1,negative
90.4,15.37,3.54,0,negative
114.4,19.45,2.97,0,negative
147.7,25.11,3.46,2,negative
302.7,51.46,3.67,3,negative
136.1,23.14,3.05,1,negative
169.7,28.85,3.46,3,negative
227.2,38.62,4.02,0,negative
217.8,37.03,2.78,1,positive
124.2,21.11,3.54,2,negative
206.2,35.05,3.67,1,negative
132.9,22.59,2.67,3,negative
104.9,17.83,2.08,3,negative
245,41.65,3.7,1,positive
184.5,31.37,3.13,1,negative
89.5,15.22,3.32,3,negative
235.6,40.05,2.32,1,negative
186,31.62,3.11,4,negative
223.9,38.06,1.97,1,negative
179.5,30.52,1.78,1,negative
169.4,28.8,2.4,1,negative
118.1,20.08,2.21,1,negative
112,19.04,1.11,4,positive
168.4,28.63,2.3,0,negative
214.3,36.43,3.05,0,negative
245.7,41.77,1.13,4,positive
156.6,26.62,3.62,1,negative
142.8,24.28,2.4,1,negative
202.4,34.41,2.75,3,negative
116.8,19.86,3.24,1,negative
155.7,26.47,2.97,1,negative
236.1,40.14,2.46,2,negative
138.1,23.48,2.21,2,negative
51.9,8.82,2.73,3,negative
81.3,13.82,2.4,0,negative
171.5,29.16,1.92,0,negative
126,21.42,2.05,1,negative
197.2,33.52,2.67,4,negative
194.1,33,4.13,1,negative
115.7,19.67,2.51,1,negative
157.2,26.72,2.27,3,negative
269.7,45.85,1.22,3,positive
246.4,41.89,2.46,0,negative
227.4,38.66,3.51,1,negative
189.8,32.27,3.29,0,negative
188.9,32.11,3.11,4,negative
0,0,1.94,1,negative
110.5,18.79,2.97,1,negative
167.6,28.49,3.16,4,negative
132,22.44,0,3,negative
167.8,28.53,3.21,0,negative
213.4,36.28,1.54,1,negative
175.4,29.82,2.86,0,negative
82.6,14.04,2.57,3,negative
143.2,24.34,2.38,4,positive
125.5,21.34,2.4,1,negative
82.3,13.99,3.19,6,positive
165.6,28.15,3.19,1,negative
183.1,31.13,2.27,0,negative
162.1,27.56,3.29,1,negative
166.6,28.32,2.08,1,negative
135.9,23.1,2.54,1,negative
165.7,28.17,2.65,0,negative
176.1,29.94,2.62,1,negative
142.3,24.19,2.46,0,negative
177.6,30.19,2.05,3,negative
83.2,14.14,2.89,1,negative
235,39.95,1.54,2,negative
105.7,17.97,1.78,2,negative
149.4,25.4,4.83,3,positive
264.7,45,2.81,0,negative
160.3,27.25,1.51,1,negative
95.9,16.3,2.81,1,negative
140.7,23.92,3.16,0,negative
119.7,20.35,1.24,2,negative
99.9,16.98,2.65,2,negative
250.9,42.65,2.59,2,negative
200.6,34.1,3.02,2,negative
209.8,35.67,1.89,1,negative
198,33.66,2.05,1,negative
239.8,40.77,3.05,1,negative
164.5,27.97,3.02,0,negative
220.9,37.55,3.29,1,negative
112.8,19.18,3.56,2,negative
112.6,19.14,3,0,positive
226.4,38.49,2.92,1,negative
244.9,41.63,2.62,4,negative
203.2,34.54,4.08,2,negative
136.7,23.24,2.32,0,negative
152.6,25.94,1.35,1,negative
274.9,46.73,2.38,1,negative
195.7,33.27,2.24,1,positive
204.3,34.73,2.48,1,negative
222.3,37.79,2.4,3,negative
222.5,37.83,2.62,1,negative
128.8,21.9,2.78,2,negative
174.3,29.63,2.24,0,negative
242.5,41.23,2.11,4,negative
221.6,37.67,3.43,4,negative
114.3,19.43,2.94,0,negative
219.7,37.35,2.57,2,negative
144.9,24.63,3.32,2,negative
236.5,40.21,2.19,2,negative
174,29.58,3.81,2,positive
109.5,18.62,1.78,1,negative
81.6,13.87,2.67,1,negative
133.4,22.68,1.59,1,negative
137.1,23.31,2.32,1,negative
197,33.49,4.35,0,negative
198.1,33.68,2.51,3,negative
39.5,6.72,2.7,0,negative
199.5,33.92,2.19,2,negative
156.8,26.66,2.05,1,negative
183.4,31.18,2.43,3,negative
132.4,22.51,2.32,1,negative
63.2,10.74,1.38,0,negative
181.1,30.79,4.56,0,positive
117.5,19.98,1.13,3,negative
218.7,37.18,4.05,0,negative
207.3,35.24,1.59,1,negative
150.6,25.6,2.19,0,negative
273.3,46.46,3.24,1,positive
266.1,45.24,2.78,1,negative
112.8,19.18,4.4,0,negative
104.7,17.8,4.27,3,negative
193.8,32.95,1.59,0,negative
168.6,28.66,2.65,1,negative
253.2,43.04,2.62,2,negative
174.7,29.7,2.4,1,negative
87,14.79,2.97,0,negative
204.5,34.77,4,2,negative
226.5,38.51,2.54,3,negative
234.1,39.8,2.7,1,negative
133.3,22.66,3.48,3,positive
133.9,22.76,4.16,1,negative
160.2,27.23,2.62,0,negative
230.6,39.2,3,0,negative
227.4,38.66,1.7,2,negative
72.8,12.38,3.19,2,negative
196.1,33.34,1.89,1,negative
197.1,33.51,3.46,1,negative
219.6,37.33,2.62,1,negative
153.4,26.08,3.46,4,positive
216,36.72,1.32,2,negative
222.9,37.89,2.92,0,negative
115.9,19.7,3.16,3,negative
189.8,32.27,2.86,1,negative
154.7,26.3,3,0,negative
136.4,23.19,3.11,3,negative
170.5,28.99,3.29,1,negative
272.4,46.31,3.43,0,negative
210,35.7,1.59,8,negative
236.5,40.21,3.29,2,negative
153.9,26.16,2.3,2,negative
223,37.91,2.38,1,negative
252.4,42.91,2.89,2,negative
197.9,33.64,3.24,1,negative
152.4,25.91,1.78,3,negative
237.4,40.36,2.48,3,negative
265.6,45.15,2.32,1,negative
197.3,33.54,1.81,1,negative
199.1,33.85,1.13,1,negative
233.7,39.73,3.24,2,negative
183.1,31.13,1.89,1,negative
139.4,23.7,2.7,2,negative
213.9,36.36,2.27,1,positive
207.1,35.21,3.35,1,negative
139.7,23.75,3.05,2,negative
177.2,30.12,2.4,2,negative
169.8,28.87,2.57,2,negative
173.5,29.5,2.62,3,negative
159.9,27.18,1.51,1,negative
115.1,19.57,3.08,2,negative
136.8,23.26,3.38,2,negative
92.2,15.67,3.54,1,negative
243.9,41.46,3.62,2,negative
117.1,19.91,2.43,0,negative
223.3,37.96,1.22,0,positive
154.8,26.32,2.86,3,negative
261.4,44.44,2.16,1,positive
46.5,7.91,2.59,4,positive
149.9,25.48,3.11,0,positive
242.2,41.17,3.75,2,positive
259.4,44.1,2.89,1,positive
222.4,37.81,3.24,2,negative
69.4,11.8,2.4,0,negative
156.5,26.61,3,4,positive
61.2,10.4,3.7,5,positive
245.2,41.68,2.89,0,negative
102.3,17.39,4.24,3,negative
230.9,39.25,2.05,3,negative
227.4,38.66,3.21,0,negative
192.8,32.78,3.43,1,negative
162.6,27.64,2.21,1,negative
219.4,37.3,2.97,2,negative
137.2,23.32,3.86,1,negative
87.7,14.91,2.84,1,negative
271.1,46.09,2.78,1,negative
103.4,17.58,3.89,1,negative
52.2,8.87,3.08,2,negative
165.4,28.12,2.35,0,positive
147.5,25.08,4.43,2,negative
217.8,37.03,3.05,0,negative
235.7,40.07,3.59,1,negative
204.5,34.77,2.32,2,negative
178.4,30.33,2.59,0,negative
130.1,22.12,3.65,2,negative
103.7,17.63,4,2,negative
239.9,40.78,1.59,2,negative
148.4,25.23,2.4,0,negative
148.6,25.26,2.7,2,negative
191.1,32.49,3.48,0,negative
218.5,37.15,1.97,1,negative
97.5,16.58,0,1,negative
128.7,21.88,2.92,0,negative
236.6,40.22,2.57,2,negative
85.9,14.6,4.21,0,negative
141.2,24,3.08,1,negative
194.4,33.05,3.11,0,negative
167.6,28.49,4.67,2,negative
234.5,39.87,1.65,1,negative
154.2,26.21,2.73,1,negative
143.2,24.34,3.13,1,negative
216.4,36.79,3.43,1,negative
161.9,27.52,2.3,1,negative
118.7,20.18,2.81,3,negative
179.1,30.45,2.75,1,negative
147.9,25.14,2.38,2,negative
209.2,35.56,4.46,2,negative
244.3,41.53,2.86,0,negative
175.3,29.8,1.51,1,negative
150.5,25.59,2.43,1,negative
197.4,33.56,3.56,0,negative
163.5,27.8,3.4,1,negative
236.9,40.27,3.08,2,positive
82.3,13.99,1.94,1,negative
216,36.72,3.43,1,negative
180,30.6,3.35,1,negative
143.7,24.43,1.57,1,negative
198.2,33.69,3.05,1,negative
185.6,31.55,3,2,negative
137.6,23.39,1.57,3,negative
273.9,46.56,2.94,1,positive
125.3,21.3,1.7,3,negative
178.8,30.4,2.32,3,negative
214.9,36.53,2.21,0,negative
163,27.71,4.08,2,negative
163.8,27.85,2.38,2,negative
189.5,32.22,3.62,1,negative
155.2,26.38,1.22,0,negative
242.3,41.19,3.05,0,positive
254.1,43.2,2.35,3,negative
112,19.04,3.05,2,negative
115.5,19.64,3.59,3,negative
137.1,23.31,3,1,negative
198.4,33.73,2.73,0,negative
132.7,22.56,3.48,3,negative
219.6,37.33,3.73,2,negative
169.6,28.83,3.02,0,negative
160.4,27.27,3.4,4,negative
95,16.15,3.02,0,negative
160.1,27.22,1.89,2,negative
194.6,33.08,1.03,3,negative
236.4,40.19,3.73,1,positive
157.1,26.71,2.05,2,negative
179.8,30.57,2.94,0,negative
148.2,25.19,2.97,0,negative
183.2,31.14,3.21,1,negative
119.2,20.26,3.29,4,positive
224,38.08,2.59,0,negative
19.5,3.32,2.13,0,negative
184.8,31.42,2.59,1,negative
176.3,29.97,3.05,1,negative
241.7,41.09,3,2,negative
224.7,38.2,2.65,0,negative
207.3,35.24,2.32,1,negative
196.8,33.46,3.43,2,negative
110.9,18.85,4.27,1,negative
122.5,20.83,2.16,2,negative
226.9,38.57,3.56,2,negative
187,31.79,2.7,2,negative
170.5,28.99,3.02,0,negative
204.8,34.82,2.57,0,negative
165.9,28.2,3.24,2,negative
154,26.18,2.57,4,positive
158.1,26.88,2.4,1,negative
225.2,38.28,2.46,2,negative
159.4,27.1,2.62,6,positive
172.7,29.36,3.16,2,negative
222.8,37.88,2.97,3,negative
214.1,36.4,2.73,1,negative
54.8,9.32,2.03,1,negative
134,22.78,1.97,3,negative
184.8,31.42,2.84,1,negative
283.1,48.13,3.05,3,negative
291.8,49.61,2.67,0,positive
222.7,37.86,3.65,1,negative
174.5,29.67,2.3,0,negative
68.4,11.63,2.81,0,negative
273,46.41,2.59,1,negative
225.3,38.3,4.67,1,positive
283.2,48.14,1.94,1,negative
131.4,22.34,3,1,positive
89.7,15.25,2.89,1,negative
127.1,21.61,1.35,3,negative
105.9,18,2.89,1,negative
142.3,24.19,1.62,2,negative
191.3,32.52,1.73,2,negative
201.9,34.32,3.7,0,negative
247.3,42.04,3.97,3,negative
242.2,41.17,2.4,1,negative
127.3,21.64,3.7,5,positive
162,27.54,2.94,1,negative
179.1,30.45,2.86,2,negative
197.4,33.56,3.32,3,negative
148.2,25.19,1.73,2,negative
