Day_Mins,Day_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
195.4,33.22,8.9,2.4,0,negative
222.4,37.81,8.7,2.35,1,positive
189.5,32.22,13.1,3.54,1,negative
123.1,20.93,9.3,2.51,0,negative
256.7,43.64,11.4,3.08,3,negative
159.1,27.05,6.5,1.76,1,negative
100.1,17.02,11.1,3,3,negative
30.9,5.25,8.6,2.32,1,negative
223.2,37.94,10.1,2.73,3,negative
187.4,31.86,12.6,3.4,1,negative
315.6,53.65,12.1,3.27,3,negative
277.5,47.18,8.2,2.21,1,negative
189.8,32.27,14.9,4.02,2,negative
147.2,25.02,10.2,2.75,1,negative
185.8,31.59,5.7,1.54,4,negative
155.4,26.42,8,2.16,3,negative
154.2,26.21,10.9,2.94,6,negative
97.6,16.59,11.6,3.13,1,negative
178.8,30.4,7.5,2.03,1,negative
149.3,25.38,9.1,2.46,0,negative
206,35.02,8.4,2.27,0,negative
216.8,36.86,11,2.97,0,negative
103.3,17.56,10.7,2.89,0,negative
139.4,23.7,7.7,2.08,0,negative
191.2,32.5,14.1,3.81,1,negative
160,27.2,10.4,2.81,1,negative
221.7,37.69,6.5,1.76,3,negative
62.9,10.69,8.5,2.3,1,negative
215.6,36.65,3.6,0.97,1,negative
165.3,28.1,7.6,2.05,3,negative
94.7,16.1,10.6,2.86,2,negative
203.2,34.54,9.7,2.62,2,negative
195.3,33.2,12.5,3.38,3,negative
143.7,24.43,11.4,3.08,4,negative
114.4,19.45,0,0,2,negative
222.8,37.88,6.9,1.86,2,negative
175.9,29.9,7.3,1.97,2,negative
249.9,42.48,15.3,4.13,1,positive
234.5,39.87,11.4,3.08,2,negative
210.7,35.82,7.2,1.94,1,negative
182.3,30.99,9.3,2.51,1,negative
190.3,32.35,11.7,3.16,2,negative
177.1,30.11,7.4,2,0,negative
87.2,14.82,10.9,2.94,6,positive
215.6,36.65,13.5,3.65,1,negative
137.4,23.36,14,3.78,3,negative
192.8,32.78,16.4,4.43,1,negative
149.3,25.38,11.9,3.21,2,negative
143.7,24.43,7.8,2.11,1,negative
224.8,38.22,9.2,2.48,1,negative
261.2,44.4,12.7,3.43,2,negative
196.5,33.41,13.4,3.62,0,negative
271.2,46.1,11.5,3.11,3,positive
207.2,35.22,8,2.16,2,negative
300.4,51.07,7.2,1.94,2,negative
229.6,39.03,9.5,2.57,2,negative
187.5,31.88,12.1,3.27,1,negative
57.1,9.71,6.5,1.76,3,negative
162.1,27.56,11,2.97,5,positive
145,24.65,16.7,4.51,2,positive
159.5,27.12,11.4,3.08,1,negative
190.7,32.42,8.8,2.38,1,negative
230.6,39.2,9.4,2.54,1,negative
34,5.78,11.5,3.11,0,negative
193.4,32.88,11.4,3.08,5,negative
202,34.34,10.4,2.81,1,negative
191.7,32.59,9.1,2.46,1,negative
161.3,27.42,6.6,1.78,1,negative
150.6,25.6,6.4,1.73,1,negative
184.6,31.38,7.8,2.11,1,negative
220.7,37.52,8.7,2.35,1,negative
167.3,28.44,11,2.97,1,negative
154,26.18,8.2,2.21,3,negative
121.1,20.59,10.1,2.73,0,negative
182.1,30.96,12.7,3.43,3,negative
109.6,18.63,11,2.97,2,negative
209.9,35.68,9.6,2.59,1,negative
167.5,28.48,11.4,3.08,2,negative
213.9,36.36,9.8,2.65,2,negative
115.8,19.69,13.1,3.54,1,negative
276.6,47.02,9.8,2.65,2,negative
179.4,30.5,9.5,2.57,2,negative
187.3,31.84,10.1,2.73,1,negative
201.2,34.2,8.4,2.27,2,negative
189.6,32.23,1.3,0.35,1,negative
186.8,31.76,15,4.05,0,negative
153.5,26.1,11.4,3.08,0,negative
187.6,31.89,8.7,2.35,2,negative
230.9,39.25,11,2.97,0,positive
244.9,41.63,15.2,4.1,2,negative
230.9,39.25,9.7,2.62,3,negative
187.1,31.81,11,2.97,1,negative
170.7,29.02,13.3,3.59,1,negative
126.9,21.57,8.8,2.38,5,positive
189.5,32.22,9.2,2.48,0,negative
176.9,30.07,7.7,2.08,1,positive
161.1,27.39,10.6,2.86,1,negative
169.4,28.8,10.7,2.89,1,negative
254.4,43.25,10.5,2.84,0,negative
127.7,21.71,5.8,1.57,2,negative
170.5,28.99,13.6,3.67,6,negative
219.1,37.25,10.1,2.73,2,negative
273.5,46.5,11,2.97,2,negative
161.9,27.52,10.7,2.89,1,negative
241.7,41.09,9.4,2.54,1,negative
62.8,10.68,9.4,2.54,3,negative
281.1,47.79,11.2,3.02,1,negative
228.2,38.79,10.7,2.89,3,negative
209.8,35.67,11.3,3.05,0,negative
265.6,45.15,11.1,3,2,positive
214.9,36.53,11.8,3.19,2,negative
110.5,18.79,10.5,2.84,3,negative
281.1,47.79,7.5,2.03,0,negative
137.8,23.43,14.1,3.81,2,negative
271.5,46.16,8.2,2.21,1,positive
112.8,19.18,9,2.43,2,negative
187.3,31.84,15.1,4.08,1,negative
197,33.49,10.8,2.92,1,negative
180.4,30.67,8.4,2.27,1,negative
148.5,25.25,14.5,3.92,1,positive
197.1,33.51,14.6,3.94,2,negative
153.7,26.13,15.9,4.29,1,negative
261.3,44.42,11.3,3.05,1,negative
246.2,41.85,9.4,2.54,1,negative
191,32.47,6.5,1.76,0,negative
208.3,35.41,12.6,3.4,1,negative
253,43.01,9.8,2.65,0,negative
202.3,34.39,6.8,1.84,0,negative
174.4,29.65,10.2,2.75,0,negative
127.1,21.61,12.1,3.27,1,negative
143.5,24.4,11.3,3.05,0,negative
186.9,31.77,5.8,1.57,1,negative
194,32.98,12.1,3.27,1,negative
234.8,39.92,9.9,2.67,0,negative
123.7,21.03,13.1,3.54,1,negative
173.9,29.56,15.3,4.13,0,negative
130.9,22.25,12.4,3.35,1,negative
314.6,53.48,5.7,1.54,2,positive
227.9,38.74,12.1,3.27,1,negative
95.5,16.24,6.6,1.78,2,negative
185.3,31.5,15.1,4.08,1,negative
146.3,24.87,13.1,3.54,1,negative
184,31.28,12.7,3.43,2,negative
105.8,17.99,13.1,3.54,0,negative
178,30.26,11.7,3.16,1,negative
149.4,25.4,10.1,2.73,1,negative
209.4,35.6,11.3,3.05,2,negative
172.1,29.26,11.6,3.13,1,negative
169.3,28.78,9.4,2.54,1,negative
119.1,20.25,12.2,3.29,0,negative
194.2,33.01,5.5,1.49,2,negative
198.8,33.8,9.9,2.67,2,negative
167.7,28.51,13.4,3.62,3,positive
202.2,34.37,11.8,3.19,2,negative
322.5,54.83,9.4,2.54,2,positive
216.2,36.75,10.2,2.75,0,negative
76.4,12.99,9.4,2.54,3,negative
72.7,12.36,9.9,2.67,1,negative
210.4,35.77,9.7,2.62,0,negative
127.2,21.62,8.1,2.19,0,negative
201.8,34.31,11.9,3.21,1,negative
219.5,37.32,16.1,4.35,1,negative
99.3,16.88,9,2.43,3,negative
239.2,40.66,10.3,2.78,5,negative
120.9,20.55,11.4,3.08,2,negative
224.7,38.2,15.8,4.27,1,negative
176.6,30.02,14.6,3.94,1,negative
283.9,48.26,10,2.7,1,negative
180.6,30.7,10.3,2.78,1,positive
125.9,21.4,10.3,2.78,1,negative
237.6,40.39,9.1,2.46,0,negative
198.4,33.73,9.2,2.48,2,negative
274.3,46.63,10.9,2.94,0,negative
199.6,33.93,11,2.97,3,positive
217.7,37.01,9.6,2.59,3,negative
134.7,22.9,7.6,2.05,3,negative
212.7,36.16,9.7,2.62,2,negative
256.3,43.57,6.2,1.67,2,negative
183.6,31.21,12.7,3.43,1,negative
176.2,29.95,9.2,2.48,1,negative
205,34.85,11.7,3.16,1,negative
267.9,45.54,11.3,3.05,3,positive
179.2,30.46,9.9,2.67,2,negative
149.4,25.4,14.9,4.02,1,negative
163.6,27.81,13.1,3.54,3,negative
207.6,35.29,12.4,3.35,1,negative
165.4,28.12,8.9,2.4,3,negative
209.8,35.67,9.9,2.67,4,negative
220.1,37.42,11.1,3,0,negative
141.3,24.02,8.2,2.21,1,negative
196.5,33.41,4,1.08,0,negative
180.9,30.75,7.4,2,2,negative
105,17.85,14.9,4.02,0,negative
271.4,46.14,11.1,3,4,positive
206.7,35.14,10.9,2.94,1,negative
166.8,28.36,9.3,2.51,1,negative
204.9,34.83,10.4,2.81,5,negative
154.6,26.28,9.1,2.46,1,negative
127,21.59,7.5,2.03,1,negative
267.4,45.46,5.9,1.59,1,negative
281,47.77,0,0,1,negative
270.8,46.04,11.8,3.19,4,negative
171.2,29.1,10.2,2.75,1,negative
124.1,21.1,6.7,1.81,3,negative
162.8,27.68,7.2,1.94,1,negative
146.3,24.87,8,2.16,1,negative
254.8,43.32,15,4.05,2,negative
254.9,43.33,5.4,1.46,2,negative
107.7,18.31,8.9,2.4,0,negative
158.8,27,7.6,2.05,1,negative
182.9,31.09,5.5,1.49,2,negative
198.5,33.75,12.4,3.35,0,negative
178.4,30.33,12,3.24,0,negative
110.9,18.85,6.2,1.67,1,negative
166.9,28.37,12.3,3.32,1,positive
244.8,41.62,10.7,2.89,2,negative
120.8,20.54,11.9,3.21,4,positive
165.3,28.1,8.5,2.3,2,negative
126.7,21.54,14.4,3.89,2,negative
215.9,36.7,15.5,4.19,0,negative
140.1,23.82,8,2.16,1,negative
209.9,35.68,8.7,2.35,1,negative
139.8,23.77,5.5,1.49,0,negative
321.6,54.67,11.3,3.05,2,positive
166.6,28.32,8.2,2.21,7,negative
214.2,36.41,5.9,1.59,0,negative
260,44.2,9,2.43,1,positive
191.9,32.62,13.4,3.62,4,positive
213,36.21,13.5,3.65,0,negative
118.1,20.08,16.9,4.56,1,negative
190.2,32.33,15,4.05,6,negative
82.2,13.97,5.1,1.38,0,negative
163.8,27.85,8.1,2.19,0,negative
267.8,45.53,14.4,3.89,5,positive
159.8,27.17,10.6,2.86,2,negative
214.3,36.43,10.6,2.86,1,negative
287.3,48.84,10.5,2.84,0,positive
101.2,17.2,7.5,2.03,2,negative
102.8,17.48,13.2,3.56,2,negative
109.1,18.55,8.3,2.24,0,negative
215.9,36.7,5.2,1.4,1,negative
203.4,34.58,11,2.97,1,negative
110.1,18.72,9.2,2.48,1,negative
111,18.87,4.4,1.19,1,negative
239.9,40.78,9.3,2.51,1,negative
144.8,24.62,13.8,3.73,1,negative
135.4,23.02,7.9,2.13,1,negative
84.2,14.31,10.8,2.92,1,negative
209.1,35.55,14,3.78,0,negative
130.1,22.12,11.4,3.08,0,negative
175.8,29.89,7.8,2.11,2,negative
241.9,41.12,6.6,1.78,1,negative
136.7,23.24,9.8,2.65,0,negative
67.7,11.51,12,3.24,1,negative
200.4,34.07,10,2.7,1,negative
125.8,21.39,14.1,3.81,1,positive
128.2,21.79,11.2,3.02,1,negative
226.3,38.47,13,3.51,4,negative
162.3,27.59,9.2,2.48,0,negative
224.4,38.15,6.7,1.81,2,negative
120.5,20.49,14.3,3.86,1,negative
91.1,15.49,11.9,3.21,2,negative
168.8,28.7,15.5,4.19,0,negative
153.5,26.1,6.5,1.76,2,negative
226.2,38.45,6.4,1.73,0,negative
191.9,32.62,12.6,3.4,1,negative
167.9,28.54,9.2,2.48,4,positive
180,30.6,11.5,3.11,2,negative
257.4,43.76,13.4,3.62,2,positive
174.4,29.65,11,2.97,1,negative
159.7,27.15,8.4,2.27,1,negative
237.2,40.32,11,2.97,1,negative
103,17.51,7.9,2.13,1,negative
153.8,26.15,11.6,3.13,4,negative
205.1,34.87,10.7,2.89,3,negative
175.7,29.87,8.6,2.32,2,negative
155.9,26.5,8.6,2.32,2,negative
154.4,26.25,10.3,2.78,0,negative
209.7,35.65,7.1,1.92,2,negative
150,25.5,9.4,2.54,0,negative
232.4,39.51,12.3,3.32,3,negative
165.4,28.12,12.8,3.46,2,negative
199.2,33.86,13.3,3.59,3,negative
217.6,36.99,4.2,1.13,0,negative
212.1,36.06,7.7,2.08,3,negative
154,26.18,10.8,2.92,1,negative
193.8,32.95,13.3,3.59,1,negative
175.4,29.82,12.2,3.29,0,negative
152,25.84,15.7,4.24,2,positive
230.2,39.13,9.2,2.48,0,negative
174.9,29.73,13.5,3.65,1,positive
190.2,32.33,8.8,2.38,0,negative
176.4,29.99,11.5,3.11,1,negative
160.9,27.35,5,1.35,3,negative
228.7,38.88,11.8,3.19,1,negative
144,24.48,12.3,3.32,0,negative
135.9,23.1,9.5,2.57,6,negative
334.3,56.83,10.4,2.81,0,positive
130.5,22.19,13,3.51,0,negative
134.2,22.81,11.8,3.19,4,positive
278,47.26,13.1,3.54,4,positive
105.4,17.92,7.8,2.11,0,negative
188.9,32.11,11.6,3.13,3,negative
111.8,19.01,6.9,1.86,1,negative
159.1,27.05,13,3.51,1,negative
212.4,36.11,9,2.43,1,negative
142.3,24.19,9.9,2.67,1,negative
346.8,58.96,13.3,3.59,1,positive
113.9,19.36,11.8,3.19,1,negative
267.9,45.54,8.3,2.24,1,positive
171.4,29.14,17,4.59,3,negative
275.4,46.82,13.6,3.67,1,negative
197.2,33.52,3.9,1.05,0,negative
192.6,32.74,7.9,2.13,2,negative
91.7,15.59,7.7,2.08,1,negative
126.3,21.47,9.6,2.59,0,negative
251.5,42.76,10.4,2.81,3,negative
190.6,32.4,7.5,2.03,1,negative
116.1,19.74,11.6,3.13,0,negative
217.3,36.94,11.3,3.05,2,negative
179.4,30.5,14.7,3.97,0,negative
207.7,35.31,7.9,2.13,0,negative
277.3,47.14,12.8,3.46,2,positive
125.3,21.3,8.4,2.27,1,negative
138.1,23.48,6.8,1.84,2,negative
169.3,28.78,8.2,2.21,0,negative
201.3,34.22,12.3,3.32,1,negative
216.7,36.84,9.8,2.65,2,negative
190.4,32.37,8.3,2.24,2,negative
143.3,24.36,6,1.62,1,negative
97.4,16.56,11.4,3.08,2,negative
181.4,30.84,11.3,3.05,3,negative
246.4,41.89,3.8,1.03,0,negative
143.4,24.38,9.7,2.62,2,negative
104.9,17.83,8,2.16,2,negative
156.2,26.55,13.1,3.54,1,negative
114.8,19.52,12,3.24,0,negative
232.5,39.53,11.9,3.21,0,negative
143.6,24.41,8.6,2.32,1,negative
176.7,30.04,9.1,2.46,2,negative
263.4,44.78,11.4,3.08,1,positive
146.4,24.89,11.3,3.05,1,negative
145,24.65,14.2,3.83,2,negative
167.8,28.53,8.4,2.27,1,negative
166.9,28.37,7.2,1.94,0,negative
142.5,24.23,7.8,2.11,2,negative
133,22.61,11.2,3.02,1,negative
252.9,42.99,12.3,3.32,1,negative
95,16.15,10,2.7,2,negative
194.2,33.01,12.9,3.48,1,positive
222.8,37.88,0,0,1,negative
201.8,34.31,16.5,4.46,0,negative
216,36.72,9.3,2.51,2,positive
146.3,24.87,5.3,1.43,1,negative
234.8,39.92,9.5,2.57,1,negative
198.6,33.76,10.6,2.86,2,negative
94.4,16.05,13.1,3.54,2,negative
190.4,32.37,10,2.7,2,negative
142.6,24.24,12,3.24,3,negative
134.2,22.81,10.7,2.89,0,negative
111.9,19.02,14.1,3.81,5,positive
122.8,20.88,10.7,2.89,2,negative
189.3,32.18,9.2,2.48,4,negative
240.4,40.87,16.1,4.35,0,negative
93.5,15.9,9.9,2.67,0,negative
158.6,26.96,10.2,2.75,3,negative
243.2,41.34,7.2,1.94,4,negative
176.4,29.99,9.3,2.51,4,negative
220.9,37.55,6.4,1.73,0,negative
144.4,24.55,7.1,1.92,0,negative
212.3,36.09,7.7,2.08,0,negative
147,24.99,8.4,2.27,1,negative
96.2,16.35,12.9,3.48,2,negative
263.4,44.78,10.3,2.78,0,negative
12.5,2.13,7.7,2.08,1,negative
162.3,27.59,10.1,2.73,2,negative
183.6,31.21,8.7,2.35,1,negative
178.1,30.28,8.5,2.3,1,negative
201.4,34.24,7,1.89,0,negative
123,20.91,13.3,3.59,1,negative
208,35.36,8.6,2.32,0,negative
239.2,40.66,8.8,2.38,1,negative
193,32.81,15.3,4.13,1,negative
174.5,29.67,10.3,2.78,1,negative
116.7,19.84,9.9,2.67,1,negative
93.8,15.95,10.7,2.89,1,negative
154.1,26.2,12.9,3.48,2,negative
239.5,40.72,9.9,2.67,0,negative
216,36.72,11.8,3.19,0,negative
187.4,31.86,12.2,3.29,1,negative
167.4,28.46,10.3,2.78,0,negative
160.4,27.27,12.5,3.38,1,negative
143.2,24.34,11.9,3.21,1,negative
205.3,34.9,5,1.35,1,negative
219.1,37.25,14.3,3.86,1,negative
143.2,24.34,7.6,2.05,1,negative
232.8,39.58,12.5,3.38,2,negative
162,27.54,8.9,2.4,0,negative
25.9,4.4,6.5,1.76,1,negative
154.2,26.21,15.4,4.16,4,positive
322.3,54.79,6.7,1.81,0,positive
209.9,35.68,8.2,2.21,1,negative
191.5,32.56,0,0,0,negative
291.1,49.49,7.5,2.03,1,negative
215.6,36.65,11.8,3.19,3,negative
208.8,35.5,12.4,3.35,3,negative
255.9,43.5,12.3,3.32,3,negative
252.7,42.96,12.4,3.35,2,negative
132.1,22.46,6.9,1.86,3,negative
217,36.89,8.2,2.21,1,negative
101.9,17.32,12.9,3.48,0,negative
211.5,35.96,13.3,3.59,2,negative
153.4,26.08,10.4,2.81,0,negative
166.3,28.27,10,2.7,2,negative
185.2,31.48,9.5,2.57,1,negative
104.6,17.78,6.5,1.76,2,negative
245.2,41.68,7.2,1.94,0,negative
274.4,46.65,6,1.62,1,negative
98.4,16.73,14.2,3.83,1,negative
279.9,47.58,13,3.51,1,negative
187.2,31.82,5.1,1.38,1,negative
276.2,46.95,2.2,0.59,3,negative
200.4,34.07,8.3,2.24,1,negative
162.3,27.59,9.1,2.46,2,negative
176.9,30.07,10.5,2.84,4,positive
165.5,28.14,12.2,3.29,0,negative
217.8,37.03,10.4,2.81,4,negative
201.4,34.24,12.9,3.48,2,positive
190.5,32.39,10.1,2.73,3,negative
179.9,30.58,12.8,3.46,3,negative
235.9,40.1,5.8,1.57,3,negative
140.4,23.87,7.9,2.13,0,negative
144.6,24.58,7.4,2,2,negative
189,32.13,17.1,4.62,0,negative
101,17.17,13.3,3.59,0,negative
206.3,35.07,10.6,2.86,1,negative
165.1,28.07,10.9,2.94,1,negative
165,28.05,12.5,3.38,1,positive
155.9,26.5,11.7,3.16,3,negative
199.2,33.86,11.8,3.19,1,negative
155.3,26.4,12.3,3.32,3,negative
208.3,35.41,11.3,3.05,3,negative
157.1,26.71,12.1,3.27,1,negative
154.4,26.25,11.7,3.16,5,positive
189.1,32.15,10.4,2.81,1,positive
131.5,22.36,10,2.7,2,negative
166.4,28.29,9.9,2.67,1,negative
142.3,24.19,12.8,3.46,2,negative
87.7,14.91,7.3,1.97,2,negative
184.1,31.3,16.9,4.56,0,negative
174.5,29.67,12.3,3.32,2,negative
103.3,17.56,9,2.43,2,negative
35.1,5.97,12.7,3.43,1,negative
246.6,41.92,13,3.51,1,negative
78.5,13.35,11.8,3.19,1,negative
148.1,25.18,12.3,3.32,5,positive
206.2,35.05,9,2.43,1,negative
251.6,42.77,12.2,3.29,2,negative
270.3,45.95,14.4,3.89,1,positive
156.6,26.62,11.3,3.05,1,negative
139.4,23.7,13.6,3.67,1,negative
220.2,37.43,11.7,3.16,2,negative
214.1,36.4,10.1,2.73,1,negative
196,33.32,7.9,2.13,1,negative
106.4,18.09,5.3,1.43,6,positive
179.4,30.5,10,2.7,0,negative
216.7,36.84,10.8,2.92,2,negative
177.3,30.14,5.1,1.38,0,negative
151.6,25.77,4,1.08,1,negative
262.2,44.57,10.6,2.86,0,negative
173.6,29.51,9.7,2.62,3,negative
106.6,18.12,9.6,2.59,2,negative
193.3,32.86,11.6,3.13,5,positive
217.2,36.92,11.3,3.05,0,negative
209.5,35.62,8.8,2.38,1,negative
95.4,16.22,5.6,1.51,1,negative
214.6,36.48,8.1,2.19,1,negative
131.6,22.37,11.1,3,4,positive
168.4,28.63,11.8,3.19,1,negative
146.4,24.89,7.8,2.11,1,negative
183,31.11,11.1,3,1,negative
103.3,17.56,6.4,1.73,0,negative
112.2,19.07,10.6,2.86,0,negative
170.7,29.02,8.2,2.21,3,negative
172.5,29.33,10.9,2.94,0,negative
194.3,33.03,7.1,1.92,1,negative
187.8,31.93,12,3.24,2,negative
307.1,52.21,8,2.16,0,negative
118.2,20.09,12.2,3.29,3,negative
154,26.18,12.9,3.48,1,negative
155.5,26.44,7.6,2.05,1,negative
125.6,21.35,5.4,1.46,1,negative
199.3,33.88,15.2,4.1,0,negative
157.9,26.84,12.8,3.46,1,negative
203.4,34.58,9.2,2.48,2,negative
222.2,37.77,10.9,2.94,1,negative
92.8,15.78,5.8,1.57,1,negative
216.8,36.86,8.6,2.32,0,negative
193.2,32.84,9.7,2.62,4,negative
113.2,19.24,14.1,3.81,3,negative
166.2,28.25,11.2,3.02,3,negative
262.2,44.57,7.3,1.97,1,negative
207.8,35.33,13.1,3.54,0,negative
245.4,41.72,7.5,2.03,1,negative
287.1,48.81,14.4,3.89,3,positive
192.3,32.69,9,2.43,2,negative
194.2,33.01,9.7,2.62,2,negative
211,35.87,9.8,2.65,3,negative
141.9,24.12,8.7,2.35,0,negative
220.5,37.49,5.9,1.59,2,negative
157.4,26.76,9.3,2.51,1,negative
143.5,24.4,11.2,3.02,0,negative
156,26.52,8.9,2.4,0,negative
160.1,27.22,9.2,2.48,2,negative
235.1,39.97,7.2,1.94,4,positive
160,27.2,8.7,2.35,5,positive
188.4,32.03,13.2,3.56,1,negative
194.8,33.12,11,2.97,1,negative
247.8,42.13,6.9,1.86,1,negative
221.2,37.6,11.9,3.21,4,negative
118.5,20.15,13.4,3.62,2,negative
231.8,39.41,7.6,2.05,1,negative
215.9,36.7,11.6,3.13,1,negative
217.1,36.91,8,2.16,2,negative
83.5,14.2,12.6,3.4,0,negative
183.3,31.16,5.1,1.38,1,negative
236.8,40.26,9.5,2.57,1,positive
193.8,32.95,8.5,2.3,1,negative
134,22.78,9.7,2.62,0,negative
176.6,30.02,11.3,3.05,2,negative
191.4,32.54,10.2,2.75,3,negative
174.8,29.72,12.8,3.46,0,negative
275.2,46.78,7.9,2.13,1,negative
174,29.58,7.9,2.13,1,negative
165,28.05,12.6,3.4,1,negative
228.7,38.88,11.8,3.19,1,negative
107.9,18.34,9.5,2.57,2,negative
221.3,37.62,11.3,3.05,1,negative
141.1,23.99,5.9,1.59,3,negative
166.4,28.29,10.7,2.89,4,negative
249.6,42.43,7.6,2.05,3,negative
178.6,30.36,10.9,2.94,1,negative
139,23.63,15.7,4.24,2,negative
134.3,22.83,12.6,3.4,2,negative
215.9,36.7,4.9,1.32,3,negative
181.6,30.87,11.4,3.08,1,negative
178.4,30.33,9.3,2.51,1,negative
106.4,18.09,11.4,3.08,1,negative
170.7,29.02,11.4,3.08,2,negative
184.5,31.37,12.3,3.32,0,negative
161.2,27.4,8.9,2.4,1,negative
84.9,14.43,7.5,2.03,2,negative
217.9,37.04,10.6,2.86,1,negative
270.9,46.05,8.8,2.38,0,positive
243,41.31,15.3,4.13,0,positive
128.2,21.79,8.9,2.4,0,negative
126.3,21.47,9.8,2.65,2,negative
178.7,30.38,10.6,2.86,4,negative
159,27.03,10.1,2.73,0,negative
150.9,25.65,11.7,3.16,3,negative
219.9,37.38,8.1,2.19,3,negative
168,28.56,10.1,2.73,2,negative
162.1,27.56,9.6,2.59,4,positive
198.8,33.8,16.5,4.46,5,negative
256.8,43.66,9.1,2.46,3,negative
182.8,31.08,11,2.97,1,negative
196.8,33.46,7.7,2.08,1,negative
140.1,23.82,11.2,3.02,2,negative
194.3,33.03,9,2.43,5,negative
117.6,19.99,8.8,2.38,1,negative
193.7,32.93,11.6,3.13,0,negative
243.1,41.33,7.8,2.11,2,negative
145.4,24.72,5.2,1.4,1,negative
169.1,28.75,9.9,2.67,3,negative
229.3,38.98,8.8,2.38,2,negative
197.2,33.52,8.3,2.24,4,negative
186.4,31.69,11.1,3,2,positive
76.1,12.94,10.8,2.92,0,negative
162.8,27.68,6,1.62,2,negative
182.3,30.99,18,4.86,1,negative
194.4,33.05,11.2,3.02,2,negative
189.3,32.18,12.5,3.38,2,negative
160.1,27.22,9.5,2.57,3,negative
145,24.65,7.1,1.92,3,negative
220.7,37.52,11.5,3.11,4,negative
224.7,38.2,7.5,2.03,1,positive
147,24.99,10.5,2.84,1,negative
260.8,44.34,10.1,2.73,1,negative
155.4,26.42,9,2.43,0,negative
166.2,28.25,5.4,1.46,1,negative
211.8,36.01,10.8,2.92,0,negative
130.5,22.19,11,2.97,4,positive
162.7,27.66,8.7,2.35,0,negative
237.1,40.31,7.9,2.13,1,negative
166.2,28.25,13.2,3.56,4,negative
121.7,20.69,8.3,2.24,6,positive
176.4,29.99,11.2,3.02,0,negative
67.4,11.46,11.4,3.08,2,negative
229.7,39.05,9.6,2.59,1,positive
176,29.92,14.7,3.97,1,negative
247.7,42.11,9.6,2.59,0,positive
115.4,19.62,13.1,3.54,2,negative
112.2,19.07,13.9,3.75,0,positive
162.6,27.64,11.5,3.11,0,negative
229.4,39,10.4,2.81,4,negative
139.6,23.73,15,4.05,2,negative
263.8,44.85,8.4,2.27,5,positive
217.5,36.98,9,2.43,4,negative
114.3,19.43,7.5,2.03,1,negative
196.3,33.37,7.7,2.08,2,negative
253.2,43.04,4.4,1.19,1,negative
98,16.66,10.5,2.84,0,negative
249.4,42.4,9.1,2.46,0,negative
129.6,22.03,14.5,3.92,1,negative
221.3,37.62,9.3,2.51,0,negative
220.7,37.52,12.4,3.35,1,negative
87.6,14.89,9.2,2.48,1,negative
203.6,34.61,8.4,2.27,0,negative
213.6,36.31,8.8,2.38,2,negative
181.6,30.87,12.9,3.48,2,negative
215.4,36.62,7.8,2.11,1,negative
266.3,45.27,14,3.78,2,positive
199.2,33.86,10.2,2.75,3,negative
115,19.55,7.3,1.97,3,negative
270.5,45.99,9.6,2.59,1,positive
222.2,37.77,12.9,3.48,1,negative
61.9,10.52,8.8,2.38,3,negative
141.1,23.99,10.8,2.92,2,negative
189.2,32.16,10.6,2.86,3,positive
196,33.32,9.8,2.65,3,negative
171.6,29.17,13.8,3.73,0,negative
174,29.58,11.4,3.08,2,negative
78.6,13.36,7.4,2,1,positive
200.9,34.15,8.9,2.4,1,negative
141.3,24.02,6.4,1.73,1,negative
235.8,40.09,7.3,1.97,2,negative
185.1,31.47,6.3,1.7,3,negative
254.3,43.23,11.8,3.19,2,negative
183,31.11,8.7,2.35,2,negative
163.5,27.8,7.5,2.03,2,negative
207.9,35.34,7.7,2.08,2,negative
248.6,42.26,6.1,1.65,3,negative
185.4,31.52,14.5,3.92,2,negative
197.8,33.63,8.9,2.4,1,negative
132.1,22.46,9.1,2.46,2,positive
197.1,33.51,9.3,2.51,0,negative
154.6,26.28,12.6,3.4,2,negative
153.1,26.03,10,2.7,6,positive
211.2,35.9,6.3,1.7,2,negative
96.8,16.46,10.9,2.94,2,positive
172,29.24,10.1,2.73,1,negative
141.1,23.99,8,2.16,2,negative
151.1,25.69,13.8,3.73,2,negative
209.6,35.63,7.6,2.05,3,negative
247,41.99,10.5,2.84,3,negative
221.4,37.64,10.8,2.92,1,negative
321.3,54.62,8,2.16,1,positive
243.7,41.43,11.3,3.05,0,negative
251.5,42.76,11.1,3,3,negative
236.9,40.27,7.3,1.97,0,positive
159.7,27.15,9.3,2.51,2,negative
148.2,25.19,9.2,2.48,4,positive
150.9,25.65,14.7,3.97,1,negative
210.5,35.79,11.5,3.11,1,negative
170.9,29.05,4.1,1.11,2,negative
254.7,43.3,10.6,2.86,0,negative
284.4,48.35,8.4,2.27,0,positive
0,0,6.8,1.84,4,positive
133.7,22.73,10.7,2.89,1,positive
224.9,38.23,10.3,2.78,0,negative
151.8,25.81,11.9,3.21,1,negative
141.4,24.04,5.6,1.51,2,negative
285.7,48.57,14.8,4,0,positive
58.4,9.93,11.9,3.21,1,negative
90.4,15.37,13.1,3.54,0,negative
114.4,19.45,11,2.97,0,negative
147.7,25.11,12.8,3.46,2,negative
302.7,51.46,13.6,3.67,3,negative
136.1,23.14,11.3,3.05,1,negative
