Day_Mins,Day_Charge,Eve_Mins,Eve_Charge,Night_Calls,Intl_Mins,Intl_Charge,CustServ_Calls,Class
184,31.28,120.4,10.23,86,11,2.97,0,negative
261.8,44.51,220.6,18.75,91,9.6,2.59,1,negative
147.9,25.14,228.4,19.41,90,9.6,2.59,3,negative
106.4,18.09,108.1,9.19,111,10.1,2.73,1,negative
133.7,22.73,195.3,16.6,89,5.9,1.59,0,negative
193.5,32.9,220.2,18.72,111,8.5,2.3,0,negative
178.2,30.29,167.8,14.26,111,13.6,3.67,3,positive
226.2,38.45,181.6,15.44,102,10.5,2.84,3,positive
170.4,28.97,200.2,17.02,100,11.6,3.13,1,negative
70.9,12.05,166.7,14.17,105,11.1,3,3,negative
194.4,33.05,254.9,21.67,115,17.2,4.64,2,negative
240.3,40.85,164.6,13.99,106,10.6,2.86,1,negative
75,12.75,248.7,21.14,83,9.5,2.57,3,negative
69.1,11.75,136.3,11.59,53,6.3,1.7,1,negative
96.6,16.42,315.4,26.81,117,6.2,1.67,4,positive
214.6,36.48,235.1,19.98,132,14.8,4,0,negative
148.5,25.25,146.5,12.45,83,9.9,2.67,3,negative
258.1,43.88,161.4,13.72,110,11.7,3.16,1,negative
149.7,25.45,162.5,13.81,115,7.6,2.05,3,negative
149.8,25.47,164.4,13.97,124,8.1,2.19,1,negative
190.4,32.37,158.1,13.44,92,11.2,3.02,2,negative
181.4,30.84,253.8,21.57,94,11.6,3.13,1,negative
151.1,25.69,187.4,15.93,93,5.3,1.43,1,negative
155.7,26.47,173.7,14.76,97,8.1,2.19,0,negative
149.9,25.48,256.1,21.77,92,13.3,3.59,2,negative
222.3,37.79,231.5,19.68,75,11,2.97,3,negative
149.4,25.4,131.8,11.2,87,6.7,1.81,0,negative
233.8,39.75,221.6,18.84,106,12.8,3.46,0,negative
204.2,34.71,292.6,24.87,105,10.5,2.84,0,negative
242.9,41.29,209.8,17.83,126,0,0,1,negative
150.4,25.57,230.5,19.59,76,12.3,3.32,1,negative
208.9,35.51,252.4,21.45,120,12.8,3.46,0,negative
191.9,32.62,256.1,21.77,101,14.3,3.86,1,positive
130.7,22.22,260.6,22.15,98,9.4,2.54,2,positive
119.6,20.33,278.7,23.69,175,5.9,1.59,2,negative
273.6,46.51,114.6,9.74,120,8.2,2.21,1,negative
156.1,26.54,180.3,15.33,115,11.1,3,2,negative
178.7,30.38,178.6,15.18,82,8,2.16,2,negative
177.5,30.18,287.4,24.43,118,11.9,3.21,2,negative
211.3,35.92,105.6,8.98,63,9.7,2.62,4,positive
175.2,29.78,244.4,20.77,95,7.5,2.03,1,negative
114.3,19.43,190.3,16.18,111,12.6,3.4,3,negative
251.4,42.74,225.1,19.13,121,7.5,2.03,1,negative
216.9,36.87,207.4,17.63,110,17.5,4.73,1,positive
217.2,36.92,145.5,12.37,76,9.3,2.51,0,negative
206.3,35.07,154.9,13.17,82,12.4,3.35,0,negative
159.3,27.08,125.9,10.7,76,11.1,3,1,negative
143.1,24.33,236.6,20.11,120,11.4,3.08,2,negative
154,26.18,329.8,28.03,117,5.6,1.51,3,positive
186.6,31.72,222,18.87,138,11.6,3.13,1,negative
170.8,29.04,199.5,16.96,98,9.6,2.59,5,positive
124,21.08,202.9,17.25,129,12.3,3.32,1,negative
198.3,33.71,279.3,23.74,87,14.8,4,3,negative
172.8,29.38,204.8,17.41,90,9.1,2.46,2,negative
217.4,36.96,213.8,18.17,104,6.6,1.78,0,negative
265.9,45.2,215.8,18.34,82,14,3.78,0,positive
93.6,15.91,193.8,16.47,84,17.5,4.73,1,negative
98.2,16.69,307.2,26.11,120,7.6,2.05,2,negative
214.7,36.5,158.6,13.48,114,9.4,2.54,2,negative
168.2,28.59,224.7,19.1,99,12.9,3.48,1,negative
202.9,34.49,153.8,13.07,92,9,2.43,3,negative
261.4,44.44,154.5,13.13,90,11.6,3.13,1,negative
73.3,12.46,161.4,13.72,76,8.2,2.21,4,positive
253.7,43.13,229.2,19.48,123,9.2,2.48,7,negative
45,7.65,151.3,12.86,94,9.8,2.65,2,negative
231.3,39.32,171.7,14.59,136,13,3.51,1,negative
47.4,8.06,167.8,14.26,107,10.5,2.84,2,negative
227.4,38.66,182.5,15.51,134,12.5,3.38,0,negative
40.9,6.95,133.4,11.34,91,11.9,3.21,0,negative
124.8,21.22,157.3,13.37,72,8.6,2.32,2,negative
68.5,11.65,337.1,28.65,99,12.1,3.27,0,negative
163.5,27.8,203.1,17.26,87,7.8,2.11,2,negative
163,27.71,219.1,18.62,66,6.7,1.81,2,negative
213.7,36.33,253,21.51,73,10.7,2.89,2,negative
201.3,34.22,42.2,3.59,104,5.4,1.46,1,negative
310.4,52.77,66.5,5.65,99,9.2,2.48,4,negative
48.4,8.23,281.1,23.89,87,18.2,4.91,1,negative
171.2,29.1,145.7,12.38,93,14,3.78,1,negative
166.5,28.31,183,15.56,102,8.5,2.3,0,negative
216.6,36.82,190.8,16.22,123,12.4,3.35,0,negative
107.8,18.33,216.6,18.41,92,9.9,2.67,2,negative
141.3,24.02,168,14.28,84,7.8,2.11,1,negative
209.9,35.68,158,13.43,113,6.6,1.78,0,negative
237.5,40.38,253.4,21.54,80,14.2,3.83,9,positive
234.5,39.87,216.5,18.4,94,3.5,0.95,3,negative
103.1,17.53,243,20.66,92,12.2,3.29,3,negative
129.5,22.02,248.9,21.16,115,11.9,3.21,1,negative
279.8,47.57,248.7,21.14,118,8.4,2.27,2,positive
136.8,23.26,200.8,17.07,67,10.3,2.78,5,positive
100.1,17.02,246.3,20.94,131,5.9,1.59,0,negative
237.1,40.31,205.6,17.48,85,10.1,2.73,4,negative
172.8,29.38,183.1,15.56,104,7.9,2.13,4,positive
224.5,38.17,200.7,17.06,118,11.5,3.11,2,negative
288.1,48.98,258,21.93,90,10.2,2.75,3,positive
78.2,13.29,195.9,16.65,100,10.1,2.73,2,negative
148.7,25.28,259,22.02,107,12.7,3.43,2,negative
194.6,33.08,119.9,10.19,75,13.1,3.54,2,negative
159.5,27.12,303.8,25.82,120,12,3.24,0,negative
194.5,33.07,213.7,18.16,92,9.5,2.57,1,negative
174.1,29.6,251.1,21.34,123,8.3,2.24,2,positive
131.8,22.41,136.7,11.62,119,7.7,2.08,2,negative
160.6,27.3,237,20.15,88,10.7,2.89,1,negative
146.8,24.96,310,26.35,130,7.2,1.94,0,negative
200.7,34.12,264.2,22.46,102,9.1,2.46,1,negative
145.6,24.75,98.3,8.36,83,10.9,2.94,1,negative
229.4,39,257.4,21.88,119,8,2.16,2,negative
211,35.87,189,16.07,102,4.7,1.27,3,negative
121.5,20.66,271.4,23.07,97,11.3,3.05,2,negative
216,36.72,188.2,16,98,3.6,0.97,2,negative
293,49.81,160.6,13.65,87,10,2.7,2,negative
221.1,37.59,264.9,22.52,108,15.4,4.16,2,positive
181.5,30.86,196.9,16.74,119,10.3,2.78,1,negative
74.3,12.63,177.3,15.07,90,14.5,3.92,2,negative
62.3,10.59,275,23.38,108,10.8,2.92,1,negative
228.6,38.86,248.5,21.12,124,9,2.43,3,negative
228.1,38.78,276.5,23.5,77,9.9,2.67,2,positive
309.9,52.68,200.3,17.03,105,14.2,3.83,1,negative
201.9,34.32,226.8,19.28,80,13.7,3.7,3,negative
149.8,25.47,180,15.3,119,11.7,3.16,2,negative
183.8,31.25,229.7,19.52,124,7.7,2.08,1,negative
186.7,31.74,335,28.48,119,16.5,4.46,1,negative
209.4,35.6,347.3,29.52,116,7.4,2,1,positive
223.2,37.94,183.2,15.57,90,10.2,2.75,3,negative
164.2,27.91,155.4,13.21,117,10.7,2.89,1,negative
150.5,25.59,193.1,16.41,93,10.3,2.78,1,negative
234.2,39.81,293.1,24.91,79,9.8,2.65,0,positive
55.3,9.4,164.7,14,108,10.2,2.75,1,negative
221.8,37.71,203.8,17.32,154,8.4,2.27,1,negative
169.6,28.83,58.9,5.01,124,7.4,2,1,negative
89.7,15.25,260.1,22.11,93,13.5,3.65,5,positive
80.2,13.63,219,18.62,102,8.6,2.32,1,negative
218.9,37.21,299.9,25.49,110,11.3,3.05,2,negative
125.7,21.37,207.6,17.65,103,12.9,3.48,1,negative
176.3,29.97,93.4,7.94,107,9.6,2.59,2,negative
207.2,35.22,254.1,21.6,92,9.5,2.57,2,negative
205.7,34.97,161.9,13.76,104,12.5,3.38,2,negative
151.4,25.74,152.4,12.95,109,0,0,1,negative
157.5,26.78,130.7,11.11,98,9.6,2.59,3,negative
160.4,27.27,102.6,8.72,106,9.1,2.46,2,negative
159,27.03,167.9,14.27,101,12.3,3.32,1,negative
214.1,36.4,200.9,17.08,126,9.2,2.48,0,negative
102.6,17.44,246,20.91,140,9.1,2.46,2,negative
159.7,27.15,197.5,16.79,105,13.9,3.75,0,positive
202.8,34.48,165.8,14.09,71,4.6,1.24,1,negative
57.5,9.78,265.5,22.57,128,11.6,3.13,3,negative
169.9,28.88,225.2,19.14,93,11.4,3.08,1,negative
335.5,57.04,212.5,18.06,132,12.7,3.43,2,positive
139.5,23.72,289.3,24.59,97,13.1,3.54,0,negative
142.3,24.19,118.7,10.09,91,6.6,1.78,1,negative
187.8,31.93,248.6,21.13,124,10.6,2.86,0,negative
146.2,24.85,261.5,22.23,116,8.7,2.35,3,negative
231.8,39.41,150.6,12.8,129,11.6,3.13,3,negative
193.7,32.93,154.2,13.11,60,12.7,3.43,1,negative
156.4,26.59,233.4,19.84,141,7.7,2.08,4,negative
220.7,37.52,217.7,18.5,100,13.2,3.56,1,positive
239.8,40.77,221.9,18.86,100,7.3,1.97,2,negative
172,29.24,200.2,17.02,96,8,2.16,1,negative
128.2,21.79,274.5,23.33,130,8.8,2.38,2,negative
130.2,22.13,290.9,24.73,140,14,3.78,3,negative
195.4,33.22,154.6,13.14,97,11.6,3.13,1,negative
293.3,49.86,188.5,16.02,91,14.5,3.92,0,positive
191.3,32.52,193.9,16.48,121,12.8,3.46,1,negative
122.4,20.81,143.8,12.22,106,11.5,3.11,1,negative
209.6,35.63,146.9,12.49,131,10.6,2.86,2,negative
215.7,36.67,146.3,12.44,83,7.1,1.92,3,negative
161.4,27.44,220.6,18.75,78,5.1,1.38,0,negative
144.2,24.51,226.7,19.27,72,13.8,3.73,3,negative
220.2,37.43,185.3,15.75,82,4.1,1.11,0,positive
256.2,43.55,160.7,13.66,80,7.4,2,4,negative
112.7,19.16,217.7,18.5,76,6.5,1.76,1,negative
299.5,50.92,226.7,19.27,134,13.7,3.7,0,positive
194.8,33.12,170.9,14.53,93,13.9,3.75,0,negative
100.8,17.14,230,19.55,95,9.5,2.57,0,negative
82.5,14.03,289.9,24.64,114,4.8,1.3,3,negative
146.4,24.89,89.7,7.62,91,15.6,4.21,2,negative
177.9,30.24,224.6,19.09,102,10.8,2.92,2,negative
153.5,26.1,194,16.49,94,10.2,2.75,5,negative
150.7,25.62,197.3,16.77,116,9.2,2.48,1,negative
180.1,30.62,127.5,10.84,118,7.5,2.03,0,negative
265.3,45.1,147.6,12.55,117,12.9,3.48,1,negative
128.6,21.86,134,11.39,113,11.4,3.08,0,negative
161.5,27.46,173.5,14.75,95,7.9,2.13,2,negative
165.3,28.1,198.5,16.87,102,9.8,2.65,1,negative
195,33.15,210.5,17.89,92,11,2.97,0,negative
213.8,36.35,265.1,22.53,128,15.6,4.21,0,negative
205.5,34.94,219.3,18.64,95,14,3.78,1,negative
252.9,42.99,177.9,15.12,146,8.5,2.3,3,negative
235.6,40.05,227.9,19.37,103,15.4,4.16,0,negative
192,32.64,127.6,10.85,125,7.5,2.03,1,negative
69.1,11.75,101.3,8.61,94,9.1,2.46,0,negative
261.7,44.49,210.6,17.9,83,6,1.62,3,positive
235.5,40.04,257.2,21.86,111,11.5,3.11,2,negative
213.4,36.28,204.9,17.42,93,9.5,2.57,1,negative
206.9,35.17,127.8,10.86,120,9.2,2.48,3,negative
263.8,44.85,103.4,8.79,109,8.5,2.3,3,negative
183.4,31.18,195.5,16.62,93,10.5,2.84,1,negative
157.6,26.79,194.1,16.5,86,9.4,2.54,5,positive
175.6,29.85,161.8,13.75,55,9.3,2.51,0,negative
242.5,41.23,102.8,8.74,89,9.3,2.51,2,negative
151,25.67,131.4,11.17,86,9.9,2.67,0,negative
138.1,23.48,164.5,13.98,63,8.3,2.24,1,negative
264.7,45,305,25.93,86,9.5,2.57,1,positive
282.3,47.99,152,12.92,93,12,3.24,1,negative
211.2,35.9,237.7,20.2,58,12.3,3.32,0,negative
197.1,33.51,130.1,11.06,100,7.4,2,3,negative
205.3,34.9,166.7,14.17,84,7.8,2.11,1,negative
181.8,30.91,228.1,19.39,141,9.2,2.48,2,negative
252,42.84,150.2,12.77,96,9.6,2.59,2,negative
193.8,32.95,118.9,10.11,124,9.2,2.48,0,negative
231.2,39.3,188.7,16.04,124,12.3,3.32,1,negative
200.1,34.02,188.9,16.06,90,15.5,4.19,0,negative
266.7,45.34,232.3,19.75,98,16.3,4.4,1,negative
118.1,20.08,221.5,18.83,89,11.9,3.21,2,negative
175.3,29.8,144.3,12.27,88,11.8,3.19,0,negative
125.1,21.27,248.8,21.15,79,11.2,3.02,3,negative
176.8,30.06,224.7,19.1,77,7.5,2.03,1,negative
241.9,41.12,129.4,11,104,5.9,1.59,1,negative
241.2,41,116.5,9.9,91,10.6,2.86,0,negative
217.1,36.91,236,20.06,120,9.4,2.54,1,negative
195.4,33.22,181.2,15.4,105,8.9,2.4,0,negative
222.4,37.81,327,27.8,104,8.7,2.35,1,positive
189.5,32.22,189.8,16.13,83,13.1,3.54,1,negative
123.1,20.93,158.4,13.46,82,9.3,2.51,0,negative
256.7,43.64,150.5,12.79,87,11.4,3.08,3,negative
159.1,27.05,241.6,20.54,120,6.5,1.76,1,negative
100.1,17.02,233.3,19.83,57,11.1,3,3,negative
30.9,5.25,187,15.9,101,8.6,2.32,1,negative
223.2,37.94,214.4,18.22,80,10.1,2.73,3,negative
187.4,31.86,199.9,16.99,107,12.6,3.4,1,negative
315.6,53.65,208.9,17.76,123,12.1,3.27,3,negative
277.5,47.18,131.8,11.2,101,8.2,2.21,1,negative
189.8,32.27,197.3,16.77,111,14.9,4.02,2,negative
147.2,25.02,192.8,16.39,105,10.2,2.75,1,negative
185.8,31.59,276.5,23.5,104,5.7,1.54,4,negative
155.4,26.42,188.5,16.02,118,8,2.16,3,negative
154.2,26.21,268.6,22.83,99,10.9,2.94,6,negative
97.6,16.59,105.5,8.97,105,11.6,3.13,1,negative
178.8,30.4,178.4,15.16,77,7.5,2.03,1,negative
149.3,25.38,273.6,23.26,72,9.1,2.46,0,negative
206,35.02,186,15.81,86,8.4,2.27,0,negative
216.8,36.86,190.8,16.22,79,11,2.97,0,negative
103.3,17.56,129.1,10.97,113,10.7,2.89,0,negative
139.4,23.7,159.1,13.52,129,7.7,2.08,0,negative
191.2,32.5,163.9,13.93,114,14.1,3.81,1,negative
160,27.2,189.4,16.1,118,10.4,2.81,1,negative
221.7,37.69,193,16.41,113,6.5,1.76,3,negative
62.9,10.69,231,19.64,121,8.5,2.3,1,negative
215.6,36.65,195.3,16.6,65,3.6,0.97,1,negative
165.3,28.1,223.5,19,72,7.6,2.05,3,negative
94.7,16.1,154.4,13.12,109,10.6,2.86,2,negative
203.2,34.54,152.5,12.96,76,9.7,2.62,2,negative
195.3,33.2,216.7,18.42,119,12.5,3.38,3,negative
143.7,24.43,297.8,25.31,86,11.4,3.08,4,negative
114.4,19.45,78.3,6.66,78,0,0,2,negative
222.8,37.88,203,17.26,106,6.9,1.86,2,negative
175.9,29.9,211.7,17.99,81,7.3,1.97,2,negative
249.9,42.48,242.5,20.61,121,15.3,4.13,1,positive
234.5,39.87,195.2,16.59,94,11.4,3.08,2,negative
210.7,35.82,219.2,18.63,83,7.2,1.94,1,negative
182.3,30.99,169.9,14.44,116,9.3,2.51,1,negative
190.3,32.35,194.5,16.53,109,11.7,3.16,2,negative
177.1,30.11,163.7,13.91,72,7.4,2,0,negative
87.2,14.82,169.3,14.39,80,10.9,2.94,6,positive
215.6,36.65,193.4,16.44,115,13.5,3.65,1,negative
137.4,23.36,237.6,20.2,136,14,3.78,3,negative
192.8,32.78,177,15.05,118,16.4,4.43,1,negative
149.3,25.38,200.2,17.02,101,11.9,3.21,2,negative
143.7,24.43,170.7,14.51,95,7.8,2.11,1,negative
224.8,38.22,190,16.15,110,9.2,2.48,1,negative
261.2,44.4,214.2,18.21,101,12.7,3.43,2,negative
196.5,33.41,175.8,14.94,124,13.4,3.62,0,negative
271.2,46.1,202.6,17.22,51,11.5,3.11,3,positive
207.2,35.22,292.5,24.86,103,8,2.16,2,negative
300.4,51.07,133.2,11.32,94,7.2,1.94,2,negative
229.6,39.03,132.3,11.25,76,9.5,2.57,2,negative
187.5,31.88,169.8,14.43,127,12.1,3.27,1,negative
57.1,9.71,199.7,16.97,103,6.5,1.76,3,negative
162.1,27.56,155,13.18,87,11,2.97,5,positive
145,24.65,175.8,14.94,151,16.7,4.51,2,positive
159.5,27.12,240.8,20.47,76,11.4,3.08,1,negative
190.7,32.42,208.6,17.73,111,8.8,2.38,1,negative
230.6,39.2,189.1,16.07,115,9.4,2.54,1,negative
34,5.78,278.6,23.68,120,11.5,3.11,0,negative
193.4,32.88,240.6,20.45,98,11.4,3.08,5,negative
202,34.34,163.5,13.9,84,10.4,2.81,1,negative
191.7,32.59,241.4,20.52,86,9.1,2.46,1,negative
161.3,27.42,250.3,21.28,92,6.6,1.78,1,negative
150.6,25.6,119,10.12,123,6.4,1.73,1,negative
184.6,31.38,196,16.66,122,7.8,2.11,1,negative
220.7,37.52,270.2,22.97,113,8.7,2.35,1,negative
167.3,28.44,198.5,16.87,88,11,2.97,1,negative
154,26.18,185.5,15.77,107,8.2,2.21,3,negative
121.1,20.59,186.4,15.84,75,10.1,2.73,0,negative
182.1,30.96,164.6,13.99,102,12.7,3.43,3,negative
109.6,18.63,137.6,11.7,121,11,2.97,2,negative
209.9,35.68,121.9,10.36,104,9.6,2.59,1,negative
167.5,28.48,242.1,20.58,103,11.4,3.08,2,negative
213.9,36.36,239.8,20.38,71,9.8,2.65,2,negative
115.8,19.69,243.3,20.68,78,13.1,3.54,1,negative
276.6,47.02,220.1,18.71,95,9.8,2.65,2,negative
179.4,30.5,181.1,15.39,120,9.5,2.57,2,negative
187.3,31.84,270.8,23.02,68,10.1,2.73,1,negative
201.2,34.2,227.2,19.31,91,8.4,2.27,2,negative
189.6,32.23,267.4,22.73,137,1.3,0.35,1,negative
186.8,31.76,261,22.19,103,15,4.05,0,negative
153.5,26.1,219.1,18.62,76,11.4,3.08,0,negative
187.6,31.89,208.2,17.7,101,8.7,2.35,2,negative
230.9,39.25,243.2,20.67,57,11,2.97,0,positive
244.9,41.63,118,10.03,91,15.2,4.1,2,negative
230.9,39.25,223,18.96,101,9.7,2.62,3,negative
187.1,31.81,250.2,21.27,81,11,2.97,1,negative
170.7,29.02,191.1,16.24,107,13.3,3.59,1,negative
126.9,21.57,166.9,14.19,77,8.8,2.38,5,positive
189.5,32.22,207,17.6,91,9.2,2.48,0,negative
176.9,30.07,167.9,14.27,138,7.7,2.08,1,positive
161.1,27.39,198.8,16.9,116,10.6,2.86,1,negative
169.4,28.8,197.2,16.76,79,10.7,2.89,1,negative
254.4,43.25,161.7,13.74,91,10.5,2.84,0,negative
127.7,21.71,215,18.28,84,5.8,1.57,2,negative
170.5,28.99,217.2,18.46,71,13.6,3.67,6,negative
219.1,37.25,242.9,20.65,101,10.1,2.73,2,negative
273.5,46.5,183.8,15.62,67,11,2.97,2,negative
161.9,27.52,200.9,17.08,134,10.7,2.89,1,negative
241.7,41.09,142,12.07,68,9.4,2.54,1,negative
62.8,10.68,170.4,14.48,78,9.4,2.54,3,negative
281.1,47.79,143.7,12.21,128,11.2,3.02,1,negative
228.2,38.79,263.7,22.41,60,10.7,2.89,3,negative
209.8,35.67,194.5,16.53,85,11.3,3.05,0,negative
265.6,45.15,208.8,17.75,105,11.1,3,2,positive
214.9,36.53,117.8,10.01,78,11.8,3.19,2,negative
110.5,18.79,223.2,18.97,64,10.5,2.84,3,negative
281.1,47.79,198,16.83,76,7.5,2.03,0,negative
137.8,23.43,286.3,24.34,77,14.1,3.81,2,negative
271.5,46.16,253.4,21.54,85,8.2,2.21,1,positive
112.8,19.18,218.8,18.6,106,9,2.43,2,negative
187.3,31.84,239.7,20.37,108,15.1,4.08,1,negative
197,33.49,269.3,22.89,105,10.8,2.92,1,negative
180.4,30.67,129.4,11,124,8.4,2.27,1,negative
148.5,25.25,219.4,18.65,121,14.5,3.92,1,positive
197.1,33.51,259.4,22.05,135,14.6,3.94,2,negative
153.7,26.13,137.8,11.71,104,15.9,4.29,1,negative
261.3,44.42,220.9,18.78,97,11.3,3.05,1,negative
246.2,41.85,202.4,17.2,95,9.4,2.54,1,negative
191,32.47,318.8,27.1,79,6.5,1.76,0,negative
208.3,35.41,253.6,21.56,86,12.6,3.4,1,negative
253,43.01,219.3,18.64,89,9.8,2.65,0,negative
202.3,34.39,201.5,17.13,82,6.8,1.84,0,negative
174.4,29.65,156.3,13.29,121,10.2,2.75,0,negative
127.1,21.61,172.1,14.63,111,12.1,3.27,1,negative
143.5,24.4,242.6,20.62,95,11.3,3.05,0,negative
186.9,31.77,240,20.4,64,5.8,1.57,1,negative
194,32.98,242,20.57,108,12.1,3.27,1,negative
234.8,39.92,106.8,9.08,122,9.9,2.67,0,negative
123.7,21.03,103,8.76,82,13.1,3.54,1,negative
173.9,29.56,276.4,23.49,113,15.3,4.13,0,negative
130.9,22.25,203.4,17.29,68,12.4,3.35,1,negative
314.6,53.48,169.8,14.43,100,5.7,1.54,2,positive
227.9,38.74,207.5,17.64,100,12.1,3.27,1,negative
95.5,16.24,163.7,13.91,118,6.6,1.78,2,negative
185.3,31.5,208,17.68,124,15.1,4.08,1,negative
146.3,24.87,202.7,17.23,103,13.1,3.54,1,negative
184,31.28,76.4,6.49,96,12.7,3.43,2,negative
105.8,17.99,43.9,3.73,87,13.1,3.54,0,negative
178,30.26,153.8,13.07,105,11.7,3.16,1,negative
149.4,25.4,123.9,10.53,84,10.1,2.73,1,negative
209.4,35.6,132.5,11.26,123,11.3,3.05,2,negative
172.1,29.26,211.7,17.99,105,11.6,3.13,1,negative
169.3,28.78,217.9,18.52,77,9.4,2.54,1,negative
119.1,20.25,287.7,24.45,100,12.2,3.29,0,negative
194.2,33.01,173.4,14.74,114,5.5,1.49,2,negative
198.8,33.8,230.1,19.56,81,9.9,2.67,2,negative
167.7,28.51,93.7,7.96,115,13.4,3.62,3,positive
202.2,34.37,216.8,18.43,99,11.8,3.19,2,negative
322.5,54.83,204.6,17.39,128,9.4,2.54,2,positive
216.2,36.75,215.6,18.33,127,10.2,2.75,0,negative
76.4,12.99,115.6,9.83,94,9.4,2.54,3,negative
72.7,12.36,208.6,17.73,71,9.9,2.67,1,negative
210.4,35.77,225.5,19.17,120,9.7,2.62,0,negative
127.2,21.62,162.9,13.85,109,8.1,2.19,0,negative
201.8,34.31,304.9,25.92,133,11.9,3.21,1,negative
219.5,37.32,222.1,18.88,92,16.1,4.35,1,negative
99.3,16.88,270.5,22.99,94,9,2.43,3,negative
239.2,40.66,150,12.75,81,10.3,2.78,5,negative
120.9,20.55,235,19.98,130,11.4,3.08,2,negative
224.7,38.2,129.4,11,109,15.8,4.27,1,negative
176.6,30.02,162.7,13.83,98,14.6,3.94,1,negative
283.9,48.26,192,16.32,85,10,2.7,1,negative
180.6,30.7,190.9,16.23,125,10.3,2.78,1,positive
125.9,21.4,196.4,16.69,75,10.3,2.78,1,negative
237.6,40.39,192.4,16.35,111,9.1,2.46,0,negative
198.4,33.73,264.7,22.5,101,9.2,2.48,2,negative
274.3,46.63,52.9,4.5,119,10.9,2.94,0,negative
199.6,33.93,211.4,17.97,84,11,2.97,3,positive
217.7,37.01,273.5,23.25,99,9.6,2.59,3,negative
134.7,22.9,235.9,20.05,113,7.6,2.05,3,negative
212.7,36.16,257.5,21.89,119,9.7,2.62,2,negative
256.3,43.57,180.2,15.32,135,6.2,1.67,2,negative
183.6,31.21,120.7,10.26,112,12.7,3.43,1,negative
176.2,29.95,196,16.66,95,9.2,2.48,1,negative
205,34.85,165.4,14.06,81,11.7,3.16,1,negative
267.9,45.54,223,18.96,90,11.3,3.05,3,positive
179.2,30.46,175.2,14.89,92,9.9,2.67,2,negative
149.4,25.4,196.5,16.7,108,14.9,4.02,1,negative
163.6,27.81,146.7,12.47,115,13.1,3.54,3,negative
207.6,35.29,152.7,12.98,125,12.4,3.35,1,negative
165.4,28.12,183.7,15.61,108,8.9,2.4,3,negative
209.8,35.67,171.3,14.56,119,9.9,2.67,4,negative
220.1,37.42,268.2,22.8,80,11.1,3,0,negative
141.3,24.02,154.3,13.12,91,8.2,2.21,1,negative
196.5,33.41,241.3,20.51,105,4,1.08,0,negative
180.9,30.75,209.5,17.81,105,7.4,2,2,negative
105,17.85,251.6,21.39,93,14.9,4.02,0,negative
271.4,46.14,190.4,16.18,118,11.1,3,4,positive
206.7,35.14,174.6,14.84,80,10.9,2.94,1,negative
166.8,28.36,236,20.06,77,9.3,2.51,1,negative
204.9,34.83,135.2,11.49,106,10.4,2.81,5,negative
154.6,26.28,245.6,20.88,90,9.1,2.46,1,negative
127,21.59,323.2,27.47,127,7.5,2.03,1,negative
267.4,45.46,204.2,17.36,146,5.9,1.59,1,negative
281,47.77,160.6,13.65,74,0,0,1,negative
270.8,46.04,220.4,18.73,104,11.8,3.19,4,negative
171.2,29.1,185.6,15.78,64,10.2,2.75,1,negative
124.1,21.1,202.6,17.22,119,6.7,1.81,3,negative
162.8,27.68,290.3,24.68,140,7.2,1.94,1,negative
146.3,24.87,255.9,21.75,117,8,2.16,1,negative
254.8,43.32,143.4,12.19,102,15,4.05,2,negative
254.9,43.33,243.2,20.67,95,5.4,1.46,2,negative
107.7,18.31,188.9,16.06,98,8.9,2.4,0,negative
158.8,27,264.8,22.51,77,7.6,2.05,1,negative
182.9,31.09,239.6,20.37,104,5.5,1.49,2,negative
198.5,33.75,42.5,3.61,124,12.4,3.35,0,negative
178.4,30.33,233.6,19.86,91,12,3.24,0,negative
110.9,18.85,158.5,13.47,131,6.2,1.67,1,negative
166.9,28.37,221.2,18.8,97,12.3,3.32,1,positive
244.8,41.62,60.8,5.17,110,10.7,2.89,2,negative
120.8,20.54,169.8,14.43,63,11.9,3.21,4,positive
165.3,28.1,210,17.85,93,8.5,2.3,2,negative
126.7,21.54,155.5,13.22,112,14.4,3.89,2,negative
215.9,36.7,200.6,17.05,107,15.5,4.19,0,negative
140.1,23.82,209.6,17.82,77,8,2.16,1,negative
209.9,35.68,249.8,21.23,92,8.7,2.35,1,negative
139.8,23.77,138.2,11.75,88,5.5,1.49,0,negative
321.6,54.67,251.6,21.39,158,11.3,3.05,2,positive
166.6,28.32,218.8,18.6,131,8.2,2.21,7,negative
214.2,36.41,196.8,16.73,112,5.9,1.59,0,negative
260,44.2,210.5,17.89,70,9,2.43,1,positive
191.9,32.62,70.9,6.03,107,13.4,3.62,4,positive
213,36.21,188.8,16.05,89,13.5,3.65,0,negative
118.1,20.08,109.6,9.32,73,16.9,4.56,1,negative
190.2,32.33,166.4,14.14,73,15,4.05,6,negative
82.2,13.97,163.3,13.88,104,5.1,1.38,0,negative
163.8,27.85,177.8,15.11,106,8.1,2.19,0,negative
267.8,45.53,316.4,26.89,91,14.4,3.89,5,positive
159.8,27.17,120.4,10.23,93,10.6,2.86,2,negative
214.3,36.43,289.8,24.63,130,10.6,2.86,1,negative
287.3,48.84,288,24.48,112,10.5,2.84,0,positive
101.2,17.2,141.6,12.04,124,7.5,2.03,2,negative
102.8,17.48,281.7,23.94,113,13.2,3.56,2,negative
109.1,18.55,115.7,9.83,84,8.3,2.24,0,negative
