Day_Mins,Day_Charge,Class
87.6,14.89,negative
203.6,34.61,negative
213.6,36.31,negative
181.6,30.87,negative
215.4,36.62,negative
266.3,45.27,positive
199.2,33.86,negative
115,19.55,negative
270.5,45.99,positive
222.2,37.77,negative
61.9,10.52,negative
141.1,23.99,negative
189.2,32.16,positive
196,33.32,negative
171.6,29.17,negative
174,29.58,negative
78.6,13.36,positive
200.9,34.15,negative
141.3,24.02,negative
235.8,40.09,negative
185.1,31.47,negative
254.3,43.23,negative
183,31.11,negative
163.5,27.8,negative
207.9,35.34,negative
248.6,42.26,negative
185.4,31.52,negative
197.8,33.63,negative
132.1,22.46,positive
197.1,33.51,negative
154.6,26.28,negative
153.1,26.03,positive
211.2,35.9,negative
96.8,16.46,positive
172,29.24,negative
141.1,23.99,negative
151.1,25.69,negative
209.6,35.63,negative
247,41.99,negative
221.4,37.64,negative
321.3,54.62,positive
243.7,41.43,negative
251.5,42.76,negative
236.9,40.27,positive
159.7,27.15,negative
148.2,25.19,positive
150.9,25.65,negative
210.5,35.79,negative
170.9,29.05,negative
254.7,43.3,negative
284.4,48.35,positive
0,0,positive
133.7,22.73,positive
224.9,38.23,negative
151.8,25.81,negative
141.4,24.04,negative
285.7,48.57,positive
58.4,9.93,negative
90.4,15.37,negative
114.4,19.45,negative
147.7,25.11,negative
302.7,51.46,negative
136.1,23.14,negative
169.7,28.85,negative
227.2,38.62,negative
217.8,37.03,positive
124.2,21.11,negative
206.2,35.05,negative
132.9,22.59,negative
104.9,17.83,negative
245,41.65,positive
184.5,31.37,negative
89.5,15.22,negative
235.6,40.05,negative
186,31.62,negative
223.9,38.06,negative
179.5,30.52,negative
169.4,28.8,negative
118.1,20.08,negative
112,19.04,positive
168.4,28.63,negative
214.3,36.43,negative
245.7,41.77,positive
156.6,26.62,negative
142.8,24.28,negative
202.4,34.41,negative
116.8,19.86,negative
155.7,26.47,negative
236.1,40.14,negative
138.1,23.48,negative
51.9,8.82,negative
81.3,13.82,negative
171.5,29.16,negative
126,21.42,negative
197.2,33.52,negative
194.1,33,negative
115.7,19.67,negative
157.2,26.72,negative
269.7,45.85,positive
246.4,41.89,negative
227.4,38.66,negative
189.8,32.27,negative
188.9,32.11,negative
0,0,negative
110.5,18.79,negative
167.6,28.49,negative
132,22.44,negative
167.8,28.53,negative
213.4,36.28,negative
175.4,29.82,negative
82.6,14.04,negative
143.2,24.34,positive
125.5,21.34,negative
82.3,13.99,positive
165.6,28.15,negative
183.1,31.13,negative
162.1,27.56,negative
166.6,28.32,negative
135.9,23.1,negative
165.7,28.17,negative
176.1,29.94,negative
142.3,24.19,negative
177.6,30.19,negative
83.2,14.14,negative
235,39.95,negative
105.7,17.97,negative
149.4,25.4,positive
264.7,45,negative
160.3,27.25,negative
95.9,16.3,negative
140.7,23.92,negative
119.7,20.35,negative
99.9,16.98,negative
250.9,42.65,negative
200.6,34.1,negative
209.8,35.67,negative
198,33.66,negative
239.8,40.77,negative
164.5,27.97,negative
220.9,37.55,negative
112.8,19.18,negative
112.6,19.14,positive
226.4,38.49,negative
244.9,41.63,negative
203.2,34.54,negative
136.7,23.24,negative
152.6,25.94,negative
274.9,46.73,negative
195.7,33.27,positive
204.3,34.73,negative
222.3,37.79,negative
222.5,37.83,negative
128.8,21.9,negative
174.3,29.63,negative
242.5,41.23,negative
221.6,37.67,negative
114.3,19.43,negative
219.7,37.35,negative
144.9,24.63,negative
236.5,40.21,negative
174,29.58,positive
109.5,18.62,negative
81.6,13.87,negative
133.4,22.68,negative
137.1,23.31,negative
197,33.49,negative
198.1,33.68,negative
39.5,6.72,negative
199.5,33.92,negative
156.8,26.66,negative
183.4,31.18,negative
132.4,22.51,negative
63.2,10.74,negative
181.1,30.79,positive
117.5,19.98,negative
218.7,37.18,negative
207.3,35.24,negative
150.6,25.6,negative
273.3,46.46,positive
266.1,45.24,negative
112.8,19.18,negative
104.7,17.8,negative
193.8,32.95,negative
168.6,28.66,negative
253.2,43.04,negative
174.7,29.7,negative
87,14.79,negative
204.5,34.77,negative
226.5,38.51,negative
234.1,39.8,negative
133.3,22.66,positive
133.9,22.76,negative
160.2,27.23,negative
230.6,39.2,negative
227.4,38.66,negative
72.8,12.38,negative
196.1,33.34,negative
197.1,33.51,negative
219.6,37.33,negative
153.4,26.08,positive
216,36.72,negative
222.9,37.89,negative
115.9,19.7,negative
189.8,32.27,negative
154.7,26.3,negative
136.4,23.19,negative
170.5,28.99,negative
272.4,46.31,negative
210,35.7,negative
236.5,40.21,negative
153.9,26.16,negative
223,37.91,negative
252.4,42.91,negative
197.9,33.64,negative
152.4,25.91,negative
237.4,40.36,negative
265.6,45.15,negative
197.3,33.54,negative
199.1,33.85,negative
233.7,39.73,negative
183.1,31.13,negative
139.4,23.7,negative
213.9,36.36,positive
207.1,35.21,negative
139.7,23.75,negative
177.2,30.12,negative
169.8,28.87,negative
173.5,29.5,negative
159.9,27.18,negative
115.1,19.57,negative
136.8,23.26,negative
92.2,15.67,negative
243.9,41.46,negative
117.1,19.91,negative
223.3,37.96,positive
154.8,26.32,negative
261.4,44.44,positive
46.5,7.91,positive
149.9,25.48,positive
242.2,41.17,positive
259.4,44.1,positive
222.4,37.81,negative
69.4,11.8,negative
156.5,26.61,positive
61.2,10.4,positive
245.2,41.68,negative
102.3,17.39,negative
230.9,39.25,negative
227.4,38.66,negative
192.8,32.78,negative
162.6,27.64,negative
219.4,37.3,negative
137.2,23.32,negative
87.7,14.91,negative
271.1,46.09,negative
103.4,17.58,negative
52.2,8.87,negative
165.4,28.12,positive
147.5,25.08,negative
217.8,37.03,negative
235.7,40.07,negative
204.5,34.77,negative
178.4,30.33,negative
130.1,22.12,negative
103.7,17.63,negative
239.9,40.78,negative
148.4,25.23,negative
148.6,25.26,negative
191.1,32.49,negative
218.5,37.15,negative
97.5,16.58,negative
128.7,21.88,negative
236.6,40.22,negative
85.9,14.6,negative
141.2,24,negative
194.4,33.05,negative
167.6,28.49,negative
234.5,39.87,negative
154.2,26.21,negative
143.2,24.34,negative
216.4,36.79,negative
161.9,27.52,negative
118.7,20.18,negative
179.1,30.45,negative
147.9,25.14,negative
209.2,35.56,negative
244.3,41.53,negative
175.3,29.8,negative
150.5,25.59,negative
197.4,33.56,negative
163.5,27.8,negative
236.9,40.27,positive
82.3,13.99,negative
216,36.72,negative
180,30.6,negative
143.7,24.43,negative
198.2,33.69,negative
185.6,31.55,negative
137.6,23.39,negative
273.9,46.56,positive
125.3,21.3,negative
178.8,30.4,negative
214.9,36.53,negative
163,27.71,negative
163.8,27.85,negative
189.5,32.22,negative
155.2,26.38,negative
242.3,41.19,positive
254.1,43.2,negative
112,19.04,negative
115.5,19.64,negative
137.1,23.31,negative
198.4,33.73,negative
132.7,22.56,negative
219.6,37.33,negative
169.6,28.83,negative
160.4,27.27,negative
95,16.15,negative
160.1,27.22,negative
194.6,33.08,negative
236.4,40.19,positive
157.1,26.71,negative
179.8,30.57,negative
148.2,25.19,negative
183.2,31.14,negative
119.2,20.26,positive
224,38.08,negative
19.5,3.32,negative
184.8,31.42,negative
176.3,29.97,negative
241.7,41.09,negative
224.7,38.2,negative
207.3,35.24,negative
196.8,33.46,negative
110.9,18.85,negative
122.5,20.83,negative
226.9,38.57,negative
187,31.79,negative
170.5,28.99,negative
204.8,34.82,negative
165.9,28.2,negative
154,26.18,positive
158.1,26.88,negative
225.2,38.28,negative
159.4,27.1,positive
172.7,29.36,negative
222.8,37.88,negative
214.1,36.4,negative
54.8,9.32,negative
134,22.78,negative
184.8,31.42,negative
283.1,48.13,negative
291.8,49.61,positive
222.7,37.86,negative
174.5,29.67,negative
68.4,11.63,negative
273,46.41,negative
225.3,38.3,positive
283.2,48.14,negative
131.4,22.34,positive
89.7,15.25,negative
127.1,21.61,negative
105.9,18,negative
142.3,24.19,negative
191.3,32.52,negative
201.9,34.32,negative
247.3,42.04,negative
242.2,41.17,negative
127.3,21.64,positive
162,27.54,negative
179.1,30.45,negative
197.4,33.56,negative
148.2,25.19,negative
193.1,32.83,negative
171.7,29.19,negative
198.5,33.75,negative
121.7,20.69,negative
130.2,22.13,negative
203.4,34.58,negative
174.7,29.7,negative
241,40.97,positive
141.7,24.09,negative
134.8,22.92,negative
163.1,27.73,negative
145.5,24.74,negative
329.8,56.07,positive
194.5,33.07,negative
131.9,22.42,negative
150,25.5,negative
196.6,33.42,negative
99.7,16.95,negative
143.6,24.41,negative
231.9,39.42,negative
37.8,6.43,negative
72.8,12.38,negative
94.8,16.12,negative
221.8,37.71,negative
269,45.73,positive
268.3,45.61,positive
198.7,33.78,negative
115.5,19.64,positive
202.1,34.36,negative
215.6,36.65,negative
169.9,28.88,negative
201.7,34.29,negative
221.1,37.59,negative
218.7,37.18,negative
293.7,49.93,positive
120.3,20.45,positive
175.8,29.89,negative
278.5,47.35,positive
236.3,40.17,negative
273.8,46.55,negative
131.1,22.29,positive
167.4,28.46,negative
197.7,33.61,negative
169.5,28.82,negative
225.2,38.28,negative
174.5,29.67,negative
129.7,22.05,positive
200,34,negative
95.9,16.3,negative
152.8,25.98,negative
129.9,22.08,negative
268.4,45.63,positive
188.5,32.05,negative
170.6,29,negative
191.4,32.54,negative
75.3,12.8,negative
149.8,25.47,negative
115.9,19.7,negative
128.8,21.9,negative
131.7,22.39,negative
101.4,17.24,negative
149,25.33,negative
96.8,16.46,negative
107.5,18.28,negative
232.8,39.58,positive
121.1,20.59,negative
124.3,21.13,negative
157.7,26.81,negative
124.3,21.13,negative
286.4,48.69,positive
141.7,24.09,negative
173,29.41,negative
268.7,45.68,positive
218.5,37.15,negative
255.3,43.4,negative
41.9,7.12,negative
260.8,44.34,negative
239.4,40.7,negative
226.7,38.54,negative
179.3,30.48,positive
158,26.86,negative
175.7,29.87,negative
157.4,26.76,negative
113.1,19.23,positive
182.7,31.06,negative
161.3,27.42,positive
142.5,24.23,negative
190.5,32.39,positive
159.3,27.08,negative
153.8,26.15,negative
180.7,30.72,negative
202.7,34.46,negative
190.8,32.44,negative
205.1,34.87,negative
235.6,40.05,negative
189.3,32.18,negative
166.9,28.37,negative
245.2,41.68,positive
132.6,22.54,positive
182.3,30.99,negative
192.3,32.69,negative
122,20.74,positive
193,32.81,negative
158.6,26.96,negative
91.5,15.56,negative
153.6,26.11,negative
221.6,37.67,negative
244.7,41.6,negative
239.8,40.77,negative
172.4,29.31,negative
242.5,41.23,positive
117.6,19.99,negative
174.5,29.67,negative
157.3,26.74,negative
192,32.64,negative
218.2,37.09,negative
144.6,24.58,negative
153.6,26.11,positive
135.8,23.09,negative
160.7,27.32,negative
202.5,34.43,negative
152.2,25.87,negative
227.4,38.66,negative
191.6,32.57,negative
138.9,23.61,negative
127,21.59,negative
168.6,28.66,negative
286.6,48.72,positive
164.6,27.98,negative
144,24.48,negative
141.6,24.07,negative
204.3,34.73,negative
163.2,27.74,negative
225,38.25,negative
176.1,29.94,negative
254.2,43.21,negative
174.9,29.73,negative
187.3,31.84,positive
211.8,36.01,negative
241.9,41.12,negative
196.1,33.34,negative
231.3,39.32,negative
161.6,27.47,negative
194,32.98,negative
109.7,18.65,negative
277,47.09,negative
192.1,32.66,negative
198.4,33.73,negative
209.2,35.56,negative
184.8,31.42,negative
167.8,28.53,negative
139.2,23.66,negative
221.3,37.62,negative
121.6,20.67,negative
270.4,45.97,negative
139.6,23.73,negative
253,43.01,negative
183.9,31.26,negative
203.3,34.56,negative
200.6,34.1,negative
167.6,28.49,negative
156.5,26.61,negative
215.1,36.57,negative
301.7,51.29,negative
152.3,25.89,negative
195.4,33.22,negative
208.7,35.48,negative
190.1,32.32,negative
185.4,31.52,negative
183.2,31.14,negative
54.2,9.21,positive
208,35.36,negative
230.3,39.15,negative
240.8,40.94,negative
195.7,33.27,negative
276.1,46.94,positive
166.1,28.24,negative
135.9,23.1,positive
189.1,32.15,positive
177.9,30.24,negative
143.9,24.46,negative
148.2,25.19,negative
287.1,48.81,positive
179.7,30.55,positive
165.8,28.19,positive
144.1,24.5,negative
172.5,29.33,negative
199.8,33.97,negative
109.1,18.55,negative
171.8,29.21,negative
222.3,37.79,positive
245.8,41.79,negative
164.6,27.98,negative
211.7,35.99,negative
147.2,25.02,positive
254.7,43.3,positive
170.1,28.92,negative
195.1,33.17,negative
149.3,25.38,positive
81.9,13.92,positive
191.1,32.49,negative
206.9,35.17,negative
239,40.63,positive
179.3,30.48,negative
185.3,31.5,negative
141.4,24.04,negative
248.6,42.26,negative
152.5,25.93,negative
145.6,24.75,negative
164.2,27.91,negative
221,37.57,negative
295.4,50.22,positive
139.8,23.77,negative
162.3,27.59,positive
272.7,46.36,positive
200.3,34.05,negative
157.1,26.71,negative
135.8,23.09,negative
236.7,40.24,negative
111.4,18.94,negative
156.1,26.54,positive
191.1,32.49,negative
153,26.01,positive
218.8,37.2,negative
205.4,34.92,negative
225.2,38.28,positive
249.9,42.48,positive
131.6,22.37,negative
197.9,33.64,negative
166.5,28.31,negative
225.4,38.32,negative
275.8,46.89,positive
142.9,24.29,negative
207.2,35.22,negative
206.2,35.05,negative
210.3,35.75,negative
225.7,38.37,positive
167.8,28.53,positive
197.7,33.61,negative
169.8,28.87,negative
190.6,32.4,negative
80.3,13.65,negative
231.7,39.39,negative
69.1,11.75,negative
188.8,32.1,negative
150.6,25.6,positive
192,32.64,negative
163.7,27.83,negative
211.7,35.99,negative
175.5,29.84,negative
150.1,25.52,negative
189.5,32.22,negative
70.8,12.04,positive
215.5,36.64,negative
101.7,17.29,negative
258.4,43.93,negative
242.4,41.21,negative
131.8,22.41,negative
190.2,32.33,negative
154.1,26.2,negative
188,31.96,negative
103.1,17.53,negative
175.4,29.82,negative
145.4,24.72,negative
250.6,42.6,negative
161.5,27.46,negative
260.1,44.22,positive
281.3,47.82,positive
130.1,22.12,positive
102,17.34,negative
218.7,37.18,negative
128.5,21.85,negative
128.7,21.88,positive
172.2,29.27,negative
199.2,33.86,negative
184.5,31.37,negative
168.6,28.66,negative
174,29.58,negative
230.4,39.17,negative
198.2,33.69,negative
186.1,31.64,negative
148.5,25.25,negative
157.1,26.71,negative
155,26.35,positive
129.3,21.98,negative
188.5,32.05,negative
208.8,35.5,negative
238,40.46,positive
211.1,35.89,negative
198.9,33.81,negative
212.8,36.18,negative
137.4,23.36,negative
191.8,32.61,negative
149,25.33,negative
117.1,19.91,negative
108,18.36,negative
112.8,19.18,negative
175.9,29.9,negative
236.6,40.22,positive
169.4,28.8,negative
129.6,22.03,negative
177.1,30.11,negative
133.3,22.66,negative
167.8,28.53,negative
174.6,29.68,negative
150.3,25.55,negative
283.2,48.14,negative
157.8,26.83,positive
141.2,24,negative
230.2,39.13,negative
237.8,40.43,positive
204,34.68,positive
221.1,37.59,negative
177.2,30.12,negative
118,20.06,negative
163.8,27.85,negative
141.3,24.02,negative
272.5,46.33,positive
118.9,20.21,negative
7.9,1.34,negative
159.5,27.12,negative
150.2,25.53,negative
144.5,24.57,negative
140.7,23.92,negative
169.2,28.76,negative
220.8,37.54,negative
216.3,36.77,negative
169.5,28.82,negative
256.3,43.57,negative
179.7,30.55,negative
266,45.22,negative
96.7,16.44,negative
82.7,14.06,negative
168.2,28.59,negative
286.4,48.69,positive
174.3,29.63,negative
190.6,32.4,negative
175.5,29.84,negative
133.4,22.68,negative
204.6,34.78,negative
242.2,41.17,negative
253.1,43.03,negative
130,22.1,negative
105.9,18,negative
194.2,33.01,negative
183.8,31.25,negative
196.5,33.41,negative
184.5,31.37,negative
261.9,44.52,negative
202.4,34.41,negative
167.4,28.46,negative
167.7,28.51,negative
191.7,32.59,negative
240.2,40.83,negative
189.1,32.15,negative
127.7,21.71,negative
205.2,34.88,negative
153.6,26.11,negative
154.5,26.27,negative
153.7,26.13,negative
171.2,29.1,negative
328.1,55.78,positive
145.9,24.8,positive
201.2,34.2,negative
139.1,23.65,negative
118.9,20.21,negative
217.6,36.99,positive
145,24.65,negative
203.5,34.6,negative
240.1,40.82,negative
83.8,14.25,negative
269.8,45.87,positive
126.3,21.47,negative
88.1,14.98,negative
218.5,37.15,negative
236.8,40.26,negative
124.1,21.1,negative
184.2,31.31,negative
222.7,37.86,negative
149.2,25.36,negative
206.5,35.11,negative
159.7,27.15,negative
204.7,34.8,negative
213.2,36.24,negative
269.6,45.83,negative
116.7,19.84,negative
263.4,44.78,negative
140.2,23.83,negative
197.7,33.61,negative
136.2,23.15,negative
88.5,15.05,negative
215.3,36.6,negative
269.2,45.76,positive
203.8,34.65,negative
268.4,45.63,negative
159.1,27.05,negative
114.4,19.45,negative
138.9,23.61,negative
186,31.62,negative
170.4,28.97,negative
164.5,27.97,negative
168.6,28.66,negative
261.2,44.4,positive
190.5,32.39,negative
181.1,30.79,negative
177.1,30.11,negative
160.5,27.29,negative
134.7,22.9,negative
198.2,33.69,negative
228.9,38.91,positive
241.7,41.09,negative
131.1,22.29,negative
234.1,39.8,negative
200.1,34.02,negative
154,26.18,negative
224.2,38.11,negative
148.3,25.21,negative
174.6,29.68,negative
138.5,23.55,negative
109,18.53,negative
162.3,27.59,negative
210.8,35.84,negative
142.4,24.21,negative
223.5,38,negative
182.5,31.03,negative
219.6,37.33,negative
193.6,32.91,negative
192.4,32.71,negative
236.2,40.15,negative
233.2,39.64,negative
158.8,27,negative
126.1,21.44,negative
290.4,49.37,positive
60.6,10.3,negative
148.4,25.23,negative
246.5,41.91,negative
298.1,50.68,positive
119.3,20.28,negative
242.5,41.23,negative
222.1,37.76,positive
236.2,40.15,positive
144.2,24.51,negative
154.6,26.28,negative
137.4,23.36,negative
103.7,17.63,negative
136.6,23.22,positive
289.8,49.27,positive
260.9,44.35,negative
196.2,33.35,positive
195.6,33.25,negative
222.2,37.77,negative
172.9,29.39,positive
249.8,42.47,positive
154.5,26.27,negative
90.4,15.37,negative
268.8,45.7,negative
106.1,18.04,negative
27,4.59,negative
140.1,23.82,negative
245,41.65,negative
196.7,33.44,negative
131.2,22.3,negative
149.6,25.43,negative
239.8,40.77,negative
142.1,24.16,negative
115.4,19.62,negative
193,32.81,negative
206.1,35.04,negative
160.3,27.25,negative
199.9,33.98,negative
213.1,36.23,negative
178.3,30.31,negative
252.3,42.89,positive
197.7,33.61,negative
111.1,18.89,negative
96.5,16.41,positive
156.9,26.67,negative
123.3,20.96,negative
193.7,32.93,negative
206.9,35.17,negative
249.8,42.47,positive
144,24.48,negative
299.5,50.92,negative
226,38.42,positive
137.6,23.39,negative
211.7,35.99,negative
89.7,15.25,negative
197.6,33.59,negative
270,45.9,positive
224.7,38.2,negative
194.3,33.03,negative
47.7,8.11,positive
190.1,32.32,negative
89.5,15.22,positive
182.6,31.04,negative
205.5,34.94,negative
231.5,39.36,negative
251.3,42.72,positive
171.2,29.1,negative
197.9,33.64,negative
134.8,22.92,negative
191.4,32.54,negative
174.5,29.67,negative
177.4,30.16,negative
182.1,30.96,negative
222.4,37.81,negative
47.8,8.13,positive
121.8,20.71,negative
143.5,24.4,negative
164.9,28.03,negative
193.6,32.91,negative
101.1,17.19,negative
92.3,15.69,negative
168.9,28.71,negative
219.2,37.26,negative
178.1,30.28,negative
146.5,24.91,negative
172.3,29.29,negative
190.9,32.45,negative
232.1,39.46,positive
169.2,28.76,positive
123.8,21.05,negative
96,16.32,negative
93.4,15.88,negative
90.6,15.4,negative
152.9,25.99,negative
257.9,43.84,negative
85.2,14.48,negative
160,27.2,negative
182.9,31.09,negative
216.2,36.75,negative
261.7,44.49,negative
241.2,41,negative
177.2,30.12,negative
89.5,15.22,negative
200.3,34.05,negative
145,24.65,positive
159.5,27.12,negative
151.8,25.81,negative
176.2,29.95,negative
152.1,25.86,negative
161.3,27.42,negative
171.7,29.19,negative
278.9,47.41,positive
213,36.21,negative
242.9,41.29,negative
217.2,36.92,positive
175.9,29.9,negative
303.2,51.54,positive
238.9,40.61,negative
189.6,32.23,negative
133.3,22.66,positive
92.7,15.76,negative
177.2,30.12,negative
184.5,31.37,negative
176.1,29.94,negative
204.7,34.8,negative
143.6,24.41,negative
179.3,30.48,negative
137.3,23.34,negative
237.8,40.43,negative
203.7,34.63,negative
191.3,32.52,negative
209.1,35.55,negative
88.8,15.1,negative
97.2,16.52,negative
137.9,23.44,negative
224.3,38.13,negative
207.6,35.29,negative
268.1,45.58,negative
166.7,28.34,positive
267.1,45.41,positive
181.8,30.91,negative
147.1,25.01,negative
37.7,6.41,negative
185,31.45,negative
156.4,26.59,negative
239.3,40.68,negative
215.5,36.64,negative
134.9,22.93,negative
194.8,33.12,negative
239.1,40.65,negative
92.6,15.74,negative
209.4,35.6,negative
197.6,33.59,negative
17.6,2.99,negative
62.9,10.69,negative
202.3,34.39,negative
136.1,23.14,negative
207,35.19,negative
207.9,35.34,negative
276.5,47.01,positive
313.8,53.35,negative
288.5,49.05,negative
210.9,35.85,negative
64.9,11.03,negative
243.5,41.4,negative
197,33.49,negative
278,47.26,negative
219.9,37.38,negative
313.2,53.24,positive
145.7,24.77,negative
75.8,12.89,negative
195.9,33.3,negative
132,22.44,negative
124,21.08,negative
171.9,29.22,negative
249.4,42.4,negative
228.4,38.83,negative
168.6,28.66,negative
123.7,21.03,negative
178.7,30.38,negative
113.2,19.24,negative
142.4,24.21,negative
204.2,34.71,negative
149.7,25.45,negative
227.1,38.61,positive
155.3,26.4,negative
156.4,26.59,negative
148.7,25.28,negative
271.7,46.19,negative
193.7,32.93,negative
245.5,41.74,negative
245.3,41.7,positive
196.1,33.34,negative
134.1,22.8,negative
225,38.25,negative
189.7,32.25,negative
142.9,24.29,negative
175.6,29.85,negative
92.4,15.71,negative
92.8,15.78,negative
221.7,37.69,negative
159.6,27.13,negative
144.5,24.57,negative
159.1,27.05,negative
49.9,8.48,negative
116.9,19.87,negative
150,25.5,negative
254.4,43.25,negative
270.7,46.02,negative
207,35.19,negative
145.3,24.7,negative
230.7,39.22,negative
151.5,25.76,negative
146.1,24.84,negative
256,43.52,negative
200.2,34.03,negative
150.7,25.62,negative
186,31.62,negative
212.9,36.19,negative
194.8,33.12,negative
272.5,46.33,negative
135.1,22.97,negative
154.6,26.28,negative
230.5,39.19,negative
165.4,28.12,negative
143.3,24.36,positive
271.1,46.09,positive
253.5,43.1,negative
167.1,28.41,positive
168.3,28.61,negative
104.7,17.8,negative
135.4,23.02,negative
191.4,32.54,negative
158.7,26.98,negative
144.8,24.62,negative
98.8,16.8,negative
157.8,26.83,positive
163,27.71,negative
181.6,30.87,negative
129,21.93,negative
86,14.62,negative
193.9,32.96,negative
109.4,18.6,negative
188.9,32.11,negative
179.9,30.58,positive
183.4,31.18,negative
288.1,48.98,negative
169.2,28.76,negative
195.5,33.24,positive
264.4,44.95,negative
207.7,35.31,negative
169.5,28.82,negative
141.5,24.06,negative
154.8,26.32,negative
133.5,22.7,negative
273.2,46.44,positive
224.6,38.18,negative
273.8,46.55,positive
159.5,27.12,positive
104,17.68,negative
115.4,19.62,negative
222.1,37.76,negative
116.4,19.79,negative
217.7,37.01,negative
129.4,22,negative
161.8,27.51,negative
198.8,33.8,negative
147.8,25.13,negative
262.3,44.59,negative
246.4,41.89,negative
174.3,29.63,positive
183.4,31.18,negative
191.9,32.62,negative
187.8,31.93,negative
259.7,44.15,negative
180.4,30.67,negative
51.8,8.81,negative
303.9,51.66,positive
123.7,21.03,positive
206.2,35.05,negative
164.3,27.93,negative
228.6,38.86,positive
200.4,34.07,negative
154.3,26.23,negative
122.9,20.89,negative
220.8,37.54,negative
214.6,36.48,negative
202,34.34,positive
209.5,35.62,positive
297.9,50.64,positive
212.8,36.18,positive
145.6,24.75,negative
152.9,25.99,negative
125.4,21.32,negative
138.3,23.51,negative
189.3,32.18,negative
199.3,33.88,negative
247.5,42.08,negative
294.9,50.13,positive
175.4,29.82,negative
179.4,30.5,negative
126.8,21.56,negative
239.7,40.75,positive
143,24.31,positive
91.9,15.62,negative
210.4,35.77,negative
201.3,34.22,positive
145.6,24.75,negative
203.5,34.6,positive
232.4,39.51,negative
86.5,14.71,negative
109.9,18.68,negative
156,26.52,negative
326.3,55.47,positive
195,33.15,negative
110,18.7,negative
147.1,25.01,positive
156,26.52,negative
98.2,16.69,negative
210.6,35.8,negative
239.9,40.78,positive
159.9,27.18,positive
197.8,33.63,positive
115.4,19.62,negative
123.8,21.05,negative
117.6,19.99,negative
105.3,17.9,negative
111.7,18.99,negative
159.3,27.08,negative
81.7,13.89,positive
238,40.46,negative
128.1,21.78,negative
171.2,29.1,negative
109,18.53,positive
220,37.4,negative
55.6,9.45,negative
286.6,48.72,negative
207.6,35.29,negative
109.6,18.63,positive
197.2,33.52,negative
175.7,29.87,negative
205.2,34.88,negative
193.1,32.83,negative
232.6,39.54,negative
102.7,17.46,negative
263.1,44.73,negative
197,33.49,negative
169.3,28.78,negative
201.5,34.26,negative
251,42.67,negative
230.4,39.17,negative
109.8,18.67,negative
279.5,47.52,positive
173.4,29.48,negative
214.4,36.45,negative
96.1,16.34,negative
101.4,17.24,negative
232.5,39.53,negative
174.5,29.67,negative
224,38.08,negative
211.1,35.89,negative
109.2,18.56,negative
220,37.4,negative
181.4,30.84,negative
180.7,30.72,negative
96.5,16.41,negative
183.5,31.2,negative
107.9,18.34,negative
161,27.37,negative
146.8,24.96,positive
149.2,25.36,negative
227.8,38.73,negative
160.3,27.25,negative
137.8,23.43,positive
141.7,24.09,negative
196.4,33.39,negative
175.2,29.78,negative
146.8,24.96,negative
173.9,29.56,negative
305.2,51.88,negative
162.3,27.59,positive
150,25.5,negative
197.5,33.58,negative
240.2,40.83,negative
186.2,31.65,negative
116.9,19.87,negative
236.7,40.24,negative
173.2,29.44,negative
152.2,25.87,negative
181.3,30.82,negative
167.8,28.53,positive
175.4,29.82,negative
87.6,14.89,negative
203.3,34.56,negative
92.6,15.74,positive
262.9,44.69,negative
160.8,27.34,negative
141.8,24.11,negative
50.6,8.6,negative
134.9,22.93,negative
252.1,42.86,negative
215.5,36.64,negative
124.8,21.22,negative
178.7,30.38,negative
183.2,31.14,negative
167.5,28.48,negative
147.1,25.01,negative
230.1,39.12,negative
135.8,23.09,negative
205.7,34.97,negative
73.8,12.55,negative
189.3,32.18,negative
147.2,25.02,negative
137.3,23.34,negative
70.7,12.02,negative
204.6,34.78,negative
123.1,20.93,positive
129.7,22.05,negative
198.7,33.78,negative
145.1,24.67,negative
135.2,22.98,negative
124.7,21.2,negative
215.9,36.7,negative
119.2,20.26,negative
144.3,24.53,negative
235.2,39.98,negative
174,29.58,negative
115,19.55,positive
151.7,25.79,negative
153.1,26.03,negative
218.6,37.16,negative
265.2,45.08,negative
143.3,24.36,negative
190.3,32.35,negative
184.7,31.4,positive
115.3,19.6,negative
113,19.21,positive
294.2,50.01,positive
215.6,36.65,negative
128.8,21.9,negative
211.2,35.9,positive
71.2,12.1,negative
94.9,16.13,negative
259.4,44.1,positive
215.8,36.69,negative
97.5,16.58,negative
146.5,24.91,negative
157.9,26.84,negative
139.9,23.78,negative
153.2,26.04,negative
103.5,17.6,negative
185.8,31.59,negative
129.5,22.02,negative
236.6,40.22,negative
260.4,44.27,negative
167.3,28.44,negative
182.2,30.97,negative
113,19.21,negative
185.7,31.57,negative
136.2,23.15,negative
222.6,37.84,negative
197.3,33.54,negative
141.4,24.04,negative
208,35.36,negative
118.5,20.15,negative
153.2,26.04,negative
108.3,18.41,negative
168.6,28.66,negative
247.2,42.02,positive
224.2,38.11,negative
166.9,28.37,negative
118.4,20.13,negative
190.9,32.45,negative
317.8,54.03,positive
312,53.04,positive
146,24.82,negative
131.6,22.37,positive
193.4,32.88,negative
185.1,31.47,negative
193.3,32.86,negative
146.4,24.89,negative
71.2,12.1,negative
123.2,20.94,positive
205,34.85,negative
128.7,21.88,negative
216.9,36.87,negative
150,25.5,negative
164.1,27.9,negative
212,36.04,negative
167.3,28.44,negative
