Day_Mins,Class
269.6,negative
116.7,negative
263.4,negative
140.2,negative
197.7,negative
136.2,negative
88.5,negative
215.3,negative
269.2,positive
203.8,negative
268.4,negative
159.1,negative
114.4,negative
138.9,negative
186,negative
170.4,negative
164.5,negative
168.6,negative
261.2,positive
190.5,negative
181.1,negative
177.1,negative
160.5,negative
134.7,negative
198.2,negative
228.9,positive
241.7,negative
131.1,negative
234.1,negative
200.1,negative
154,negative
224.2,negative
148.3,negative
174.6,negative
138.5,negative
109,negative
162.3,negative
210.8,negative
142.4,negative
223.5,negative
182.5,negative
219.6,negative
193.6,negative
192.4,negative
236.2,negative
233.2,negative
158.8,negative
126.1,negative
290.4,positive
60.6,negative
148.4,negative
246.5,negative
298.1,positive
119.3,negative
242.5,negative
222.1,positive
236.2,positive
144.2,negative
154.6,negative
137.4,negative
103.7,negative
136.6,positive
289.8,positive
260.9,negative
196.2,positive
195.6,negative
222.2,negative
172.9,positive
249.8,positive
154.5,negative
90.4,negative
268.8,negative
106.1,negative
27,negative
140.1,negative
245,negative
196.7,negative
131.2,negative
149.6,negative
239.8,negative
142.1,negative
115.4,negative
193,negative
206.1,negative
160.3,negative
199.9,negative
213.1,negative
178.3,negative
252.3,positive
197.7,negative
111.1,negative
96.5,positive
156.9,negative
123.3,negative
193.7,negative
206.9,negative
249.8,positive
144,negative
299.5,negative
226,positive
137.6,negative
211.7,negative
89.7,negative
197.6,negative
270,positive
224.7,negative
194.3,negative
47.7,positive
190.1,negative
89.5,positive
182.6,negative
205.5,negative
231.5,negative
251.3,positive
171.2,negative
197.9,negative
134.8,negative
191.4,negative
174.5,negative
177.4,negative
182.1,negative
222.4,negative
47.8,positive
121.8,negative
143.5,negative
164.9,negative
193.6,negative
101.1,negative
92.3,negative
168.9,negative
219.2,negative
178.1,negative
146.5,negative
172.3,negative
190.9,negative
232.1,positive
169.2,positive
123.8,negative
96,negative
93.4,negative
90.6,negative
152.9,negative
257.9,negative
85.2,negative
160,negative
182.9,negative
216.2,negative
261.7,negative
241.2,negative
177.2,negative
89.5,negative
200.3,negative
145,positive
159.5,negative
151.8,negative
176.2,negative
152.1,negative
161.3,negative
171.7,negative
278.9,positive
213,negative
242.9,negative
217.2,positive
175.9,negative
303.2,positive
238.9,negative
189.6,negative
133.3,positive
92.7,negative
177.2,negative
184.5,negative
176.1,negative
204.7,negative
143.6,negative
179.3,negative
137.3,negative
237.8,negative
203.7,negative
191.3,negative
209.1,negative
88.8,negative
97.2,negative
137.9,negative
224.3,negative
207.6,negative
268.1,negative
166.7,positive
267.1,positive
181.8,negative
147.1,negative
37.7,negative
185,negative
156.4,negative
239.3,negative
215.5,negative
134.9,negative
194.8,negative
239.1,negative
92.6,negative
209.4,negative
197.6,negative
17.6,negative
62.9,negative
202.3,negative
136.1,negative
207,negative
207.9,negative
276.5,positive
313.8,negative
288.5,negative
210.9,negative
64.9,negative
243.5,negative
197,negative
278,negative
219.9,negative
313.2,positive
145.7,negative
75.8,negative
195.9,negative
132,negative
124,negative
171.9,negative
249.4,negative
228.4,negative
168.6,negative
123.7,negative
178.7,negative
113.2,negative
142.4,negative
204.2,negative
149.7,negative
227.1,positive
155.3,negative
156.4,negative
148.7,negative
271.7,negative
193.7,negative
245.5,negative
245.3,positive
196.1,negative
134.1,negative
225,negative
189.7,negative
142.9,negative
175.6,negative
92.4,negative
92.8,negative
221.7,negative
159.6,negative
144.5,negative
159.1,negative
49.9,negative
116.9,negative
150,negative
254.4,negative
270.7,negative
207,negative
145.3,negative
230.7,negative
151.5,negative
146.1,negative
256,negative
200.2,negative
150.7,negative
186,negative
212.9,negative
194.8,negative
272.5,negative
135.1,negative
154.6,negative
230.5,negative
165.4,negative
143.3,positive
271.1,positive
253.5,negative
167.1,positive
168.3,negative
104.7,negative
135.4,negative
191.4,negative
158.7,negative
144.8,negative
98.8,negative
157.8,positive
163,negative
181.6,negative
129,negative
86,negative
193.9,negative
109.4,negative
188.9,negative
179.9,positive
183.4,negative
288.1,negative
169.2,negative
195.5,positive
264.4,negative
207.7,negative
169.5,negative
141.5,negative
154.8,negative
133.5,negative
273.2,positive
224.6,negative
273.8,positive
159.5,positive
104,negative
115.4,negative
222.1,negative
116.4,negative
217.7,negative
129.4,negative
161.8,negative
198.8,negative
147.8,negative
262.3,negative
246.4,negative
174.3,positive
183.4,negative
191.9,negative
187.8,negative
259.7,negative
180.4,negative
51.8,negative
303.9,positive
123.7,positive
206.2,negative
164.3,negative
228.6,positive
200.4,negative
154.3,negative
122.9,negative
220.8,negative
214.6,negative
202,positive
209.5,positive
297.9,positive
212.8,positive
145.6,negative
152.9,negative
125.4,negative
138.3,negative
189.3,negative
199.3,negative
247.5,negative
294.9,positive
175.4,negative
179.4,negative
126.8,negative
239.7,positive
143,positive
91.9,negative
210.4,negative
201.3,positive
145.6,negative
203.5,positive
232.4,negative
86.5,negative
109.9,negative
156,negative
326.3,positive
195,negative
110,negative
147.1,positive
156,negative
98.2,negative
210.6,negative
239.9,positive
159.9,positive
197.8,positive
115.4,negative
123.8,negative
117.6,negative
105.3,negative
111.7,negative
159.3,negative
81.7,positive
238,negative
128.1,negative
171.2,negative
109,positive
220,negative
55.6,negative
286.6,negative
207.6,negative
109.6,positive
197.2,negative
175.7,negative
205.2,negative
193.1,negative
232.6,negative
102.7,negative
263.1,negative
197,negative
169.3,negative
201.5,negative
251,negative
230.4,negative
109.8,negative
279.5,positive
173.4,negative
214.4,negative
96.1,negative
101.4,negative
232.5,negative
174.5,negative
224,negative
211.1,negative
109.2,negative
220,negative
181.4,negative
180.7,negative
96.5,negative
183.5,negative
107.9,negative
161,negative
146.8,positive
149.2,negative
227.8,negative
160.3,negative
137.8,positive
141.7,negative
196.4,negative
175.2,negative
146.8,negative
173.9,negative
305.2,negative
162.3,positive
150,negative
197.5,negative
240.2,negative
186.2,negative
116.9,negative
236.7,negative
173.2,negative
152.2,negative
181.3,negative
167.8,positive
175.4,negative
87.6,negative
203.3,negative
92.6,positive
262.9,negative
160.8,negative
141.8,negative
50.6,negative
134.9,negative
252.1,negative
215.5,negative
124.8,negative
178.7,negative
183.2,negative
167.5,negative
147.1,negative
230.1,negative
135.8,negative
205.7,negative
73.8,negative
189.3,negative
147.2,negative
137.3,negative
70.7,negative
204.6,negative
123.1,positive
129.7,negative
198.7,negative
145.1,negative
135.2,negative
124.7,negative
215.9,negative
119.2,negative
144.3,negative
235.2,negative
174,negative
115,positive
151.7,negative
153.1,negative
218.6,negative
265.2,negative
143.3,negative
190.3,negative
184.7,positive
115.3,negative
113,positive
294.2,positive
215.6,negative
128.8,negative
211.2,positive
71.2,negative
94.9,negative
259.4,positive
215.8,negative
97.5,negative
146.5,negative
157.9,negative
139.9,negative
153.2,negative
103.5,negative
185.8,negative
129.5,negative
236.6,negative
260.4,negative
167.3,negative
182.2,negative
113,negative
185.7,negative
136.2,negative
222.6,negative
197.3,negative
141.4,negative
208,negative
118.5,negative
153.2,negative
108.3,negative
168.6,negative
247.2,positive
224.2,negative
166.9,negative
118.4,negative
190.9,negative
317.8,positive
312,positive
146,negative
131.6,positive
193.4,negative
185.1,negative
193.3,negative
146.4,negative
71.2,negative
123.2,positive
205,negative
128.7,negative
216.9,negative
150,negative
164.1,negative
212,negative
167.3,negative
154.4,negative
177.3,negative
231.2,positive
202.9,negative
149.6,negative
345.3,positive
264.9,positive
122,negative
177.2,negative
133.1,negative
225.1,positive
208.4,negative
173.1,negative
162.4,positive
281.2,negative
208.3,negative
243.4,negative
224.2,positive
189.3,negative
168.3,negative
232.9,negative
155,negative
154.4,negative
234.7,negative
240,negative
298.4,positive
166,negative
111.6,negative
174.5,negative
175.5,negative
157.5,positive
206.2,negative
207.5,negative
144.8,negative
258.8,negative
226.9,positive
152.9,negative
156.7,negative
150.8,negative
221,negative
322.4,positive
153.6,negative
215.1,negative
174.4,negative
180.5,negative
123.1,negative
165.7,negative
200.2,negative
154.8,negative
125.4,negative
184.2,negative
274.7,negative
142,negative
151.5,negative
124.8,negative
179.2,negative
246.4,positive
232.7,negative
288,positive
170.8,negative
216.1,negative
138.7,negative
210.7,negative
181.8,negative
61.6,negative
207.7,negative
219.2,negative
227,negative
245.9,negative
257.3,negative
121.1,negative
301.5,positive
233.9,negative
99.6,positive
169.8,negative
198.8,positive
116.2,negative
255.9,positive
187.7,negative
195.9,negative
129.4,negative
221,negative
140.5,negative
277.9,positive
224.9,positive
109.1,negative
207.8,negative
205.9,negative
308.6,positive
242.6,negative
229.6,negative
166,negative
144.8,positive
106.1,negative
221.8,negative
204.6,negative
213.5,negative
152,negative
260.8,positive
166.4,negative
177.9,negative
235.1,negative
186.8,negative
268.4,negative
192.1,negative
240.7,positive
179.9,negative
314.1,positive
162,negative
175.8,negative
109.4,negative
255.1,positive
208.7,negative
214.6,negative
49.2,negative
141.3,negative
253.2,negative
206,negative
40.4,negative
291.2,positive
71.2,negative
261.8,positive
191.3,negative
133.3,negative
183.6,negative
155.2,negative
283.1,negative
186.5,negative
163.3,negative
203.4,negative
178.1,negative
195.9,negative
295.3,negative
136.1,negative
114.1,negative
279.1,positive
169.3,negative
214.4,negative
255.8,negative
148.2,negative
119.3,negative
192.3,negative
245.2,positive
216.2,positive
172.4,negative
175.3,negative
169,positive
2.6,negative
184.1,negative
181.9,negative
160.1,negative
189.8,negative
223.2,negative
216,negative
198.5,negative
159.5,negative
105,positive
204.5,negative
274,positive
158.7,negative
229.9,negative
137.8,negative
179.4,negative
139.3,negative
7.8,negative
183.1,negative
206.9,negative
140,negative
179.2,negative
177.4,negative
115.6,negative
237.3,positive
181.5,negative
51.5,negative
155.7,negative
245,negative
131.7,negative
111.1,negative
88.5,negative
116,negative
155.5,negative
106.5,negative
175.2,negative
154.7,positive
247.2,positive
218.4,positive
227.5,negative
185,negative
186.8,negative
158.8,negative
208.7,negative
185.9,negative
222.5,negative
201.1,negative
167.9,negative
239.1,positive
175.7,positive
111.2,positive
87.7,negative
244.1,negative
165,negative
127.4,negative
194.8,negative
54.7,negative
283.4,negative
258,positive
90.5,negative
235.6,negative
142.5,negative
54,negative
214.8,negative
251.4,positive
139,negative
117.3,negative
264,negative
82.6,negative
175.8,negative
220.4,negative
217,negative
129,negative
150.5,negative
193.3,negative
189.5,negative
137.8,negative
129.3,negative
115.6,negative
221.9,negative
263.7,positive
61.3,negative
183.8,negative
167.4,positive
154.1,negative
252,negative
163.1,negative
198.3,negative
324.7,positive
128.3,negative
187.9,negative
129.2,positive
125.5,positive
257.2,negative
124.6,negative
175.1,negative
124.3,negative
271.6,negative
219.9,negative
183.3,negative
101.1,negative
203.3,negative
175.4,negative
266,positive
171.6,negative
78.7,negative
211.9,negative
63.7,negative
173.4,negative
237.7,negative
225.9,negative
173,negative
224.9,negative
237.7,negative
137,negative
142.5,negative
142.4,negative
147,negative
220.3,negative
149.2,negative
204.4,negative
216.8,negative
308,negative
58,negative
173.2,negative
210.3,negative
58.9,negative
236.8,negative
228.9,negative
90,positive
146.7,negative
237.3,negative
162.8,positive
186.9,negative
86.1,negative
212.3,negative
151,negative
158.6,negative
296,positive
212.3,negative
234.4,negative
176.8,negative
157.3,negative
146.6,negative
260.5,negative
146.1,negative
124.5,positive
209.4,negative
285.7,positive
190.9,negative
144.4,negative
208.8,negative
77.6,negative
271.1,positive
240.8,negative
114.8,negative
138.8,negative
209.8,negative
134.9,negative
164,negative
245.5,negative
80.3,negative
90.7,negative
190.3,negative
108.6,positive
89.8,positive
252.4,negative
183.4,negative
183.4,negative
155.2,negative
165.8,negative
209.4,negative
279.3,positive
174.1,negative
175.7,negative
256.5,negative
170.2,negative
139.6,negative
208.8,negative
210.1,negative
113.6,negative
202.6,negative
174.4,negative
210.6,negative
121.5,negative
127.8,negative
135.2,negative
99.4,negative
276.9,positive
163.4,positive
287.4,positive
120.5,negative
184.1,negative
185,negative
160.9,negative
207.6,negative
209.2,negative
158.4,negative
149,positive
204.5,negative
288.8,positive
108.6,negative
97.5,negative
166.5,negative
156.2,negative
225.2,negative
287.4,positive
175.3,negative
102.1,negative
157.9,negative
146.5,negative
245.8,positive
177.7,negative
250.8,negative
117.8,positive
119.7,negative
242.2,positive
163.4,negative
161,negative
128.7,negative
81.6,negative
207.7,negative
128.6,positive
233.3,negative
182.1,positive
168,positive
251.6,negative
183.8,negative
256.4,positive
180.2,negative
227.8,negative
147.8,negative
234.9,positive
110.9,negative
124.5,negative
233.5,positive
197.3,positive
58.2,negative
212.7,negative
151.5,negative
146.3,negative
195.1,negative
208.9,negative
135.7,positive
225.9,positive
122.2,negative
153.3,negative
214,negative
194.8,negative
206.7,negative
188,negative
122.3,positive
259.3,negative
115.1,positive
172.9,negative
156.4,negative
128.1,negative
196.6,negative
227.9,positive
194.9,negative
44.9,negative
262.8,negative
211.2,negative
204,negative
223.2,negative
119,negative
266.1,positive
134.4,negative
171.1,negative
170.5,negative
178.5,negative
205.2,negative
232.8,negative
239.9,negative
55.6,negative
153.5,negative
109.8,negative
196.1,negative
166.8,negative
113.2,negative
203,negative
242.8,negative
156.5,negative
266.7,positive
182,negative
85.9,negative
146.6,negative
110.5,positive
118.6,negative
197.6,negative
210.3,negative
220.3,negative
150,negative
161.7,negative
191.4,negative
146.7,negative
109.4,negative
144.1,negative
248.9,negative
85.7,positive
214.8,negative
158.9,negative
110,negative
152.8,negative
145.6,negative
93.3,negative
216.8,negative
201.9,negative
146.4,negative
272.7,positive
18.9,negative
172.8,negative
190.2,negative
130.6,negative
158.4,positive
166.5,negative
129.3,negative
199.3,negative
185.1,negative
175.4,negative
263.4,negative
94.2,negative
189.4,negative
118,negative
212.1,negative
222,negative
222.8,negative
190,negative
271.8,positive
195.4,negative
199.6,negative
100,negative
160.6,negative
158.7,negative
154.5,positive
192.3,negative
305.1,positive
193,negative
72.5,negative
105.2,negative
180.5,negative
214.7,negative
86.8,negative
131.5,positive
135.4,negative
174.3,negative
203.9,negative
235.5,negative
157,negative
111.9,negative
236.3,negative
163.6,negative
213.6,negative
143.4,negative
78.3,negative
97.1,negative
94.1,negative
226.3,positive
133.8,negative
190.3,negative
294.9,negative
185.4,negative
179.5,negative
158,negative
173,negative
134.2,negative
125.2,negative
195.9,negative
214.2,negative
221.1,negative
132,negative
157.6,negative
110.3,negative
161.5,negative
171.8,negative
211,negative
139.3,positive
291.6,positive
139,negative
234.8,negative
187.6,negative
159.8,negative
177.1,negative
117.9,negative
247.6,negative
169.9,negative
185,negative
204.9,negative
225.5,negative
169.7,positive
239.3,negative
113.3,positive
161.9,negative
133.3,negative
170.7,negative
189.7,negative
322.3,positive
124.4,negative
146.9,negative
192.6,negative
96.3,negative
131.9,negative
147.2,negative
143.1,negative
280.4,negative
237.2,negative
184.2,negative
109.1,negative
138.1,positive
186.8,negative
155.4,negative
245.3,negative
205.9,positive
207.2,negative
151.5,negative
221.9,positive
190,negative
220.8,negative
173.7,negative
114.8,negative
113.8,negative
143.2,positive
184.4,negative
227.4,negative
224,negative
216.2,negative
129.9,negative
230.1,negative
204.4,negative
216.6,negative
247.5,positive
228.1,negative
225.9,positive
103.5,positive
115.5,negative
218.8,negative
223.8,negative
143.8,negative
29.9,negative
276.7,negative
141.4,negative
153.9,negative
190.5,negative
192.6,negative
151.8,negative
215.6,negative
180,negative
157.3,negative
196.5,negative
240.3,negative
193.3,negative
211.9,negative
218.7,negative
246.8,positive
174.7,positive
240,positive
181.2,negative
113.7,negative
174.7,negative
211.1,negative
169.3,negative
247.4,negative
131.2,negative
161.4,negative
107.2,negative
211.9,negative
160.4,negative
230.7,negative
232.6,negative
294.7,positive
133.4,negative
306.2,negative
236.8,negative
125.7,positive
168.4,negative
70.9,negative
105,negative
152.1,negative
180.9,negative
156.6,negative
180.5,negative
238.8,negative
182.1,negative
139.6,negative
200.3,negative
153.5,negative
128.2,negative
159.5,negative
226.4,positive
251.9,negative
264.5,positive
153.7,negative
232.1,negative
201.9,negative
186.9,negative
196.6,negative
232.1,negative
166,negative
200.6,negative
141,negative
245,negative
140.8,negative
255.1,positive
125,negative
180.6,negative
248.7,positive
178.1,negative
122.2,positive
231.3,negative
111.2,negative
103.2,positive
138.4,positive
146.3,negative
206.3,negative
132,negative
274.6,negative
185.3,negative
154.8,negative
179.2,negative
286.2,positive
268,negative
137.5,negative
243,negative
134.9,negative
234.2,negative
175.1,negative
142.2,negative
132.4,negative
97.8,negative
266.9,positive
155.2,negative
200.2,negative
289.1,positive
198.4,negative
180.3,negative
86.3,negative
295,positive
240.9,negative
207.7,negative
128.5,negative
224.4,negative
164.9,negative
238,negative
231,negative
107.3,positive
185,negative
244.1,negative
238.4,negative
141.1,negative
158.1,negative
220.1,negative
199.5,positive
109.5,negative
187.2,negative
107.9,negative
172.1,positive
203.8,negative
160,negative
51.1,negative
227.7,negative
203.8,negative
241.7,negative
78.1,negative
187.8,negative
127.1,negative
280,positive
153.2,negative
137.1,negative
186.1,positive
224.1,negative
83.6,negative
203.9,negative
211.3,negative
219.4,negative
190.4,negative
147.7,negative
229.9,negative
102.8,negative
178.7,negative
148.5,negative
164.1,negative
197.2,negative
124.9,negative
115.4,negative
140,positive
193.9,negative
321.1,positive
118.4,positive
169.8,negative
193.4,negative
106.6,negative
134.7,negative
156.2,negative
231.1,negative
180.8,negative
213.8,negative
234.4,negative
